,Concept_ID,os,ce
0,Auge::N,цӕст,бӏаьрг
1,Ohr::N,хъус,лерг
2,Nase::N,фындз,мара
3,Mund::N,дзых,бага
4,Zahn::N,дӕндаг,церг
5,Zunge::N,ӕвзаг,мотт
6,Lippe::N,был,балда
7,Wange::N,рус,бесни
8,Wange::N,уадул,бесни
9,Wange::N,ӕхсӕрфарс,бесни
10,Gesicht::N,цӕсгом,юьхь
11,Stirn::N,ных,хьаж
12,Haar::N,хил,мас
13,Schnurrbart::N,рихи,мекх
14,Bart::N,зачъе,маж
15,Kinn::N,роцъо,чӏениг
16,Kiefer[Anatomie]::N,ӕфсӕр,мочхал
17,Kehle::N,хъуыр,къамкъарг
18,Hals::N,къубал,ворта
19,Genick::N,къӕбут,кӏесаркӏаг
20,Kopf::N,сӕр,корта
21,Rücken::N,фӕсонтӕ,букъ
22,Bauch::N,гуыбын,кийра
23,Nabel::N,бикъ,цӏонга
24,Busen::N,дзидзи,зударийн накха
25,Brust::N,риу,накха
26,Schulter::N,уӕхск,белш
27,Arm::N,цонг,пхьарс
28,Ellenbogen::N,рæмбын,пхьаьрсан гола
29,Hand::N,къух,куьг
30,Handfläche::N,армытъӕпӕн,кераюкъ
31,Finger::N,ӕнруылдз,пӏелг
32,Fingernagel::N,ных,мӏара
33,Nagel[Anatomie]::N,ных,мӏара
34,Zeh::N,къух,кога пӏелг
35,Fuß::N,фад,ког
36,Ferse::N,зӕвӕт,кӏажа
37,Knie::N,уӕраг,гола
38,Oberschenkel::N,агъд,варе
39,Bein::N,зӕнг,ког
40,Körper::N,буар,хӏума
41,Haut::N,царм,чкъор
42,Blut::N,туг,цӏий
43,Ader::N,дадзин,пха
44,Ader::N,тугдадзин,пха
45,Sehne::N,хъиутæ,хьорзам
46,Sehne::N,нуар,хьорзам
47,Knochen::N,стӕг,даьӏахк
48,Gehirn::N,магъз,хье
49,Herz::N,зӕрдӕ,дог
50,Magen::N,ахсӕн,зорх
51,Leber::N,игæр,доӏах
52,Atem::N,улӕфт,садеӏар
53,Hunger::N,стонг,мацалла
54,Träne::N,цæссыг,бӏаьрхи
55,Geschmack::N,ад,чам
56,Geruch::N,смаг,хьожа
57,Schlaf::N,хуыссӕг,наб
58,Traum::N,фын,гӏан
59,Himmel::N,арв,стигал
60,Himmel::N,уӕларв,стигал
61,Sonne::N,хур,малх
62,Mond::N,мӕй,бутт
63,Stern::N,стъалы,седа
64,Luft::N,уӕлдӕф,xӏаваъ
65,Wind::N,дымгӕ,мох
66,Welle::N,уылӕн,тулгӏе
67,Wasser::N,дон,хи
68,Stein::N,дур,тӏулг
69,Boden::N,зӕхх,цӏенкъа
70,Erde::N,сыджыт,латта
71,Staub::N,рыг,чан
72,Rauch::N,фӕздӕг,кӏур
73,Funke::N,цӕхӕр,суй
74,Feuer::N,зынг,цӏе
75,Licht::N,рухс,серло
76,Schatten::N,аууон,ӏиндагӏ
77,Wetter::N,боныхъӕд,хенан хӏоттам
78,Nebel::N,мигъ,дохк
79,Wolke::N,ӕврагъ,марха
80,Regen::N,уарын,догӏа
81,Schnee::N,мит,ло
82,Eis::N,их,ша
83,Frost::N,ихæн,шело
84,Kälte::N,уазал,шело
85,Hitze::N,ӕнтӕф,йовхо
86,Raureif::N,халас,йис
87,Regenbogen::N,арвырон,стелаӏад
88,Regenbogen::N,арвырдын,стелаӏад
89,Donner::N,æрвнæрын,ткъес
90,Strömung::N,цыд,дӏаэхар
91,Strömung::N,цыд,дӏасалелар
92,Tropfen::N,æртах,тӏадам
93,Schaum::N,фынк,чопа
94,Schmutz::N,цъыф,хатт
95,See::N,цад,ӏам
96,Sumpf::N,цъыфдзаст,уьшал
97,Moor::N,цъыфдзаст,уьшал
98,Wiese::N,уыгӕрдӕн,бай
99,Wald::N,хъӕд,хьун
100,Hügel::N,обау,гу
101,Hügel::N,обау,шу
102,Hügel::N,обау,барз
103,Hügel::N,къуыбыр,гу
104,Hügel::N,къуыбыр,шу
105,Hügel::N,къуыбыр,барз
106,Anhöhe::N,уæлвæз,акъари
107,Anhöhe::N,уæлхох,акъари
108,Berg::N,хох,лам
109,Gipfel::N,цъупп,бохь
110,Höhle::N,лӕгӕт,хьех
111,Abhang::N,къул,басе
112,Quelle::N,суадон,шовда
113,Bach::N,мӕсчъыдон,татол
114,Fluss::N,дон,хи
115,Fluss::N,цӕугӕдон,хи
116,Ufer::N,был,хийист
117,Küste::N,донбыл,йист
118,Festland::N,сурзæхх,латта
119,Meer::N,денджыз,xӏорд
120,Bucht::N,донбакæлæн,чож
121,Insel::N,сакъадах,гӏайре
122,Blume::N,дидинӕг,зезаг
123,Gras::N,кӕрдӕг,буц
124,Wurzel::N,уидаг,орам
125,Baum::N,бӕлас,дитт
126,Stamm::N,хӕтӕл,гӏад
127,Stamm::N,хӕтӕл,тайпа
128,Rinde::N,цъар,кевстиг
129,Ast::N,арх,га
130,Zweig::N,къалиу,га
131,Blatt::N,сыф,гӏа
132,Birke::N,бæрз,дакх
133,Kiefer[Baum]::N,нӕзы,бага
134,Weide[Baum]::N,хӕрис,дак
135,Tanne::N,наз,база
136,Horn::N,сыкъа,маӏа
137,Feder::N,сис,пелаг
138,Fell::N,царм,цӏока
139,Flügel::N,базыр,тӏам
140,Klaue::N,ных,мӏара
141,Kralle::N,дзӕмбы,тlод
142,Schwanz::N,къӕдзил,цӏога
143,Ei::N,айк,xӏoa
144,Nest::N,ахстон,бен
145,Bau::N,хуынкъ,lуьрг
146,Tier::N,сырд,дийнат
147,Tier::N,цӕрӕгой,дийнат
148,Herde::N,дзуг,жа
149,Herde::N,рӕгъау,жа
150,Kuh::N,хъуг,етт
151,Bulle::N,гал,сту
152,Pferd::N,бӕх,говр
153,Schaf::N,фыс,жий
154,Schaf::N,фыс,уьстагӏ
155,Schwein::N,хуы,хьакха
156,Hund::N,куыдз,жӏаьла
157,Katze::N,гӕды,цициг
158,Bär::N,арс,ча
159,Eichhörnchen::N,æхсæрæг,тарсал
160,Elch::N,цæгатаг саг,сай
161,Fuchs::N,рувас,цхьогал
162,Hase::N,тæрхъус,пхьагал
163,Maus::N,мыст,дахка
164,Wolf::N,бирӕгъ,борз
165,Vogel::N,цъиу,олхазар
166,Vogel::N,маргъ,олхазар
167,Schwarm::N,бал,
168,Huhn::N,карк,котам
169,Hahn::N,уасӕг,нӏаьна
170,Hahn::N,уасӕг,боргӏал
171,Gans::N,хъаз,гӏаз
172,Adler::N,цӕргӕс,aьрзу
173,Ente::N,ацц,бад
174,Eule::N, уыг,бухӏа
175,Eule::N,сидахъ,бухӏа
176,Kranich::N,зырнæг,гӏаргӏули
177,Kranich::N,хърихъупп,гӏаргӏули
178,Krähe::N,халон,къиг
179,Kuckuck::N,гаккук,aттйокх
180,Schwan::N,доныхъаз,гӏургӏаз
181,Fisch::N,кӕсаг,чӏара
182,Barsch::N,окунь,окунь
183,Hecht::N,хихор кӕсаг,гӏазкхийн чӏара
184,Schlange[Tier]::N,калм,лаьхьа
185,Wurm::N,зулкъ,нӏаьна
186,Wurm::N,къуыдыргалм,нӏаьна
187,Spinne::N,хӕлуарӕг,гезг
188,Ameise::N,мæлдзыг,зингат
189,Laus::N,сыст,меза
190,Laus::N,сыст,гӏениг
191,Mücke::N,къогъо,чуьрк
192,Fliege::N,бындз,моза
193,Schmetterling::N,гæлæбу,полла
194,Beere::N,гагадыргъ,цӏазам
195,Apfel::N,фӕткъуы,ӏаж
196,Pilz::N,зокъо,жӏаьлин нускал
197,Pilz::N,къозо,жӏаьлин нускал
198,Zwiebel::N,хъӕдындз,xох
199,Saat::N,тауинаг,чlу
200,Saat::N,мыггаг,чlу
201,Korn::N,мыггаг,буьртиг
202,Korn::N,тауинаг,буьртиг
203,Heu::N,хос,йол
204,Schale::N,цъар,пардо
205,Grube::N,урм,ор
206,Grube::N,къахт,ор
207,Grube::N,дзыхъхъ,ор
208,Falle::N,цъысым,кӏело
209,Falle::N,къӕппӕг,кӏело
210,Schlinge::N,цасм,
211,Spur::N,фæд,лар
212,Asche::N,фӕнык,чим
213,Asche::N,ӕртхутӕг,чим
214,Dreck::N,цъыф,мода
215,Eisen::N,ӕфсӕйнаг,эчиг
216,Gold::N,сыгъзӕрин,деши
217,Silber::N,ӕвзист,дети
218,Kohle::N,ӕвзалы,кӏора
219,Glas::N,авг,aнгали
220,Lehm::N,ӕлыг,поппар
221,Sand::N,змис,гӏум
222,Mensch::N,лӕг,адам
223,Mensch::N,адӕймаг,адам
224,Mensch::N,удгоймаг,адам
225,Mann::N,лӕг,майра
226,Mann::N,нӕлгоймаг,майра
227,Frau::N,сылгоймаг,зуда
228,Kind::N,сывӕллон,бер
229,Junge::N,лӕппу,жимха
230,Mädchen::N,чызг,жима йоӏ
231,Familie::N,бинонтæ,доьзал
232,Großvater::N,фыдыфыд,ненада
233,Großvater::N,мадыфыд,ненада
234,Großmutter::N,фыды мад,денана
