,Concept_ID,os,fr
0,Auge::N,цӕст,œil
1,Ohr::N,хъус,oreille
2,Nase::N,фындз,nez
3,Mund::N,дзых,bouche
4,Zahn::N,дӕндаг,dent
5,Zunge::N,ӕвзаг,langue
6,Lippe::N,был,lèvre
7,Wange::N,рус,joue
8,Wange::N,уадул,joue
9,Wange::N,ӕхсӕрфарс,joue
10,Gesicht::N,цӕсгом,face
11,Gesicht::N,цӕсгом,visage
12,Stirn::N,ных,front
13,Haar::N,хил,cheveu
14,Schnurrbart::N,рихи,moustache
15,Bart::N,зачъе,barbe
16,Kinn::N,роцъо,menton
17,Kiefer[Anatomie]::N,ӕфсӕр,mâchoire
18,Kehle::N,хъуыр,gorge
19,Hals::N,къубал,cou
20,Genick::N,къӕбут,nuque
21,Kopf::N,сӕр,tête
22,Rücken::N,фӕсонтӕ,dos
23,Bauch::N,гуыбын,ventre
24,Nabel::N,бикъ,nombril
25,Busen::N,дзидзи,sein
26,Brust::N,риу,poitrine
27,Schulter::N,уӕхск,épaule
28,Arm::N,цонг,bras
29,Ellenbogen::N,рæмбын,coude
30,Hand::N,къух,main
31,Handfläche::N,армытъӕпӕн,paume
32,Finger::N,ӕнруылдз,doigt
33,Fingernagel::N,ных,ongle
34,Nagel[Anatomie]::N,ных,ongle
35,Zeh::N,къух,orteil
36,Zeh::N,къух,doigt de pied
37,Fuß::N,фад,pied
38,Ferse::N,зӕвӕт,talon
39,Knie::N,уӕраг,genou
40,Oberschenkel::N,агъд,cuisse
41,Bein::N,зӕнг,jambe
42,Körper::N,буар,corps
43,Haut::N,царм,peau
44,Blut::N,туг,sang
45,Ader::N,дадзин,veine
46,Ader::N,тугдадзин,veine
47,Sehne::N,хъиутæ,tendon
48,Sehne::N,нуар,tendon
49,Knochen::N,стӕг,os
50,Gehirn::N,магъз,cerveau
51,Herz::N,зӕрдӕ,cœur
52,Magen::N,ахсӕн,estomac
53,Leber::N,игæр,foie
54,Atem::N,улӕфт,haleine
55,Hunger::N,стонг,faim
56,Träne::N,цæссыг,larme
57,Geschmack::N,ад,goût
58,Geschmack::N,ад,saveur
59,Geruch::N,смаг,odeur
60,Schlaf::N,хуыссӕг,sommeil
61,Traum::N,фын,songe
62,Himmel::N,арв,ciel
63,Himmel::N,уӕларв,ciel
64,Sonne::N,хур,soleil
65,Mond::N,мӕй,lune
66,Stern::N,стъалы,étoile
67,Luft::N,уӕлдӕф,air
68,Wind::N,дымгӕ,vent
69,Welle::N,уылӕн,vague
70,Wasser::N,дон,eau
71,Stein::N,дур,pierre
72,Boden::N,зӕхх,sol
73,Boden::N,зӕхх,terrain
74,Erde::N,сыджыт,terre
75,Staub::N,рыг,poussière
76,Rauch::N,фӕздӕг,fumée
77,Funke::N,цӕхӕр,étincelle
78,Feuer::N,зынг,feu
79,Licht::N,рухс,lumière
80,Schatten::N,аууон,ombre
81,Wetter::N,боныхъӕд,temps
82,Nebel::N,мигъ,brume
83,Nebel::N,мигъ,brouillard
84,Wolke::N,ӕврагъ,nuage
85,Regen::N,уарын,pluie
86,Schnee::N,мит,neige
87,Eis::N,их,glace
88,Frost::N,ихæн,gel
89,Frost::N,ихæн,gelée
90,Kälte::N,уазал,froid
91,Hitze::N,ӕнтӕф,chaleur
92,Raureif::N,халас,givre
93,Regenbogen::N,арвырон,arc-en-ciel
94,Regenbogen::N,арвырдын,arc-en-ciel
95,Donner::N,æрвнæрын,tonnerre
96,Strömung::N,цыд,courant
97,Tropfen::N,æртах,goutte
98,Schaum::N,фынк,écume
99,Schaum::N,фынк,mousse
100,Schmutz::N,цъыф,boue
101,Schmutz::N,цъыф,saleté
102,See::N,цад,lac
103,Sumpf::N,цъыфдзаст,marais
104,Sumpf::N,цъыфдзаст,marécage
105,Moor::N,цъыфдзаст,tourbière
106,Wiese::N,уыгӕрдӕн,pré
107,Wald::N,хъӕд,bois
108,Wald::N,хъӕд,forêt
109,Hügel::N,обау,coteau
110,Hügel::N,обау,colline
111,Hügel::N,къуыбыр,coteau
112,Hügel::N,къуыбыр,colline
113,Anhöhe::N,уæлвæз,éminence
114,Anhöhe::N,уæлвæз,élévation
115,Anhöhe::N,уæлхох,éminence
116,Anhöhe::N,уæлхох,élévation
117,Berg::N,хох,mont
118,Berg::N,хох,montagne
119,Gipfel::N,цъупп,cime
120,Gipfel::N,цъупп,sommet
121,Höhle::N,лӕгӕт,caverne
122,Abhang::N,къул,pente
123,Abhang::N,къул,versant
124,Quelle::N,суадон,source
125,Quelle::N,суадон,fontaine
126,Bach::N,мӕсчъыдон,ruisseau
127,Fluss::N,дон,fleuve
128,Fluss::N,дон,rivière
129,Fluss::N,цӕугӕдон,fleuve
130,Fluss::N,цӕугӕдон,rivière
131,Ufer::N,был,bord
132,Ufer::N,был,rivage
133,Küste::N,донбыл,côte
134,Festland::N,сурзæхх,terre ferme
135,Meer::N,денджыз,mer
136,Bucht::N,донбакæлæн,baie
137,Insel::N,сакъадах,île
138,Blume::N,дидинӕг,fleur
139,Gras::N,кӕрдӕг,herbe
140,Wurzel::N,уидаг,racine
141,Baum::N,бӕлас,arbre
142,Stamm::N,хӕтӕл,tronc
143,Rinde::N,цъар,écorce
144,Ast::N,арх,branche
145,Zweig::N,къалиу,rameau
146,Blatt::N,сыф,feuille
147,Birke::N,бæрз,bouleau
148,Kiefer[Baum]::N,нӕзы,pin
149,Weide[Baum]::N,хӕрис,saule
150,Tanne::N,наз,sapin
151,Horn::N,сыкъа,corne
152,Feder::N,сис,plume
153,Fell::N,царм,peau
154,Flügel::N,базыр,aile
155,Klaue::N,ных,serre
156,Kralle::N,дзӕмбы,ongle
157,Kralle::N,дзӕмбы,griffe
158,Schwanz::N,къӕдзил,queue
159,Ei::N,айк,œuf
160,Nest::N,ахстон,nid
161,Bau::N,хуынкъ,terrier
162,Tier::N,сырд,animal
163,Tier::N,цӕрӕгой,animal
164,Herde::N,дзуг,troupeau
165,Herde::N,рӕгъау,troupeau
166,Kuh::N,хъуг,vache
167,Bulle::N,гал,taureau
168,Pferd::N,бӕх,cheval
169,Schaf::N,фыс,mouton
170,Schwein::N,хуы,porc
171,Schwein::N,хуы,cochon
172,Hund::N,куыдз,chien
173,Katze::N,гӕды,chat
174,Bär::N,арс,ours
175,Eichhörnchen::N,æхсæрæг,écureuil
176,Elch::N,цæгатаг саг,élan
177,Fuchs::N,рувас,renard
178,Hase::N,тæрхъус,lièvre
179,Maus::N,мыст,souris
180,Wolf::N,бирӕгъ,loup
181,Vogel::N,цъиу,oiseau
182,Vogel::N,маргъ,oiseau
183,Schwarm::N,бал,nuée
184,Schwarm::N,бал,volée
185,Huhn::N,карк,poule
186,Hahn::N,уасӕг,coq
187,Gans::N,хъаз,oie
188,Adler::N,цӕргӕс,aigle
189,Ente::N,ацц,canard
190,Eule::N, уыг,hibou
191,Eule::N,сидахъ,hibou
192,Kranich::N,зырнæг,grue
193,Kranich::N,хърихъупп,grue
194,Krähe::N,халон,corneille
195,Kuckuck::N,гаккук,coucou
196,Schwan::N,доныхъаз,cygne
197,Fisch::N,кӕсаг,poisson
198,Barsch::N,окунь,perche
199,Hecht::N,хихор кӕсаг,brochet
200,Schlange[Tier]::N,калм,serpent
201,Wurm::N,зулкъ,ver
202,Wurm::N,къуыдыргалм,ver
203,Spinne::N,хӕлуарӕг,araignée
204,Ameise::N,мæлдзыг,fourmi
205,Laus::N,сыст,pou
206,Mücke::N,къогъо,moucheron
207,Fliege::N,бындз,mouche
208,Schmetterling::N,гæлæбу,papillon
209,Beere::N,гагадыргъ,baie
210,Apfel::N,фӕткъуы,pomme
211,Pilz::N,зокъо,champignon
212,Pilz::N,къозо,champignon
213,Zwiebel::N,хъӕдындз,oignon
214,Saat::N,тауинаг,semence
215,Saat::N,мыггаг,semence
216,Korn::N,мыггаг,grain
217,Korn::N,тауинаг,grain
218,Heu::N,хос,foin
219,Schale::N,цъар,pelure
220,Grube::N,урм,fosse
221,Grube::N,къахт,fosse
222,Grube::N,дзыхъхъ,fosse
223,Falle::N,цъысым,piège
224,Falle::N,къӕппӕг,piège
225,Schlinge::N,цасм,lacs
226,Spur::N,фæд,trace
227,Asche::N,фӕнык,cendre
228,Asche::N,ӕртхутӕг,cendre
229,Dreck::N,цъыф,crotte
230,Eisen::N,ӕфсӕйнаг,fer
231,Gold::N,сыгъзӕрин,or
232,Silber::N,ӕвзист,argent
233,Kohle::N,ӕвзалы,charbon
234,Glas::N,авг,verre
235,Lehm::N,ӕлыг,glaise
236,Sand::N,змис,sable
237,Mensch::N,лӕг,homme
238,Mensch::N,адӕймаг,homme
239,Mensch::N,удгоймаг,homme
240,Mann::N,лӕг,homme
241,Mann::N,нӕлгоймаг,homme
242,Frau::N,сылгоймаг,femme
243,Kind::N,сывӕллон,enfant
244,Junge::N,лӕппу,garçon
245,Mädchen::N,чызг,fille
246,Mädchen::N,чызг,jeune fille
247,Familie::N,бинонтæ,famille
248,Großvater::N,фыдыфыд,grand-père
249,Großvater::N,мадыфыд,grand-père
250,Großmutter::N,фыды мад,grand-mère
251,Großmutter::N,мады мад,grand-mère
252,Eltern::N,ныййарджытæ,parents
253,Vater::N,фыд,père
254,Mutter::N,мад,mère
255,Sohn::N,фырт,fils
256,Tochter::N,чызг,fille
257,Bruder::N,ӕфсымӕр,frère
258,Schwester::N,хо,sœur
259,Onkel::N,фыдыфсымӕр,oncle
260,Tante::N,мадыхо,tante
261,Ehemann::N,мой,mari
262,Ehemann::N,мой,époux
263,Ehefrau::N,ус,femme
264,Ehefrau::N,ус,épouse
265,Freude::N,цин,joie
266,Freude::N,цин,plaisir
267,Freude::N,циндзинад,joie
268,Freude::N,циндзинад,plaisir
269,Gelächter::N,худын,rires
270,Gelächter::N,худт,rires
271,Gelächter::N,худæг,rires
272,Glück::N,амонд,bonheur
273,Kummer::N,хъыг,peine
274,Kummer::N,хъыг,chagrin
275,Wunsch::N,бӕллиц,désir
276,Lust::N,монц,envie
277,Geist::N,уд,esprit
278,Gedanke::N,хъуыды,idée
279,Gedanke::N,хъуыды,pensée
280,Gedächtnis::N,мысæн,mémoire
281,Gedächtnis::N,мысын,mémoire
282,Gedächtnis::N,зæрдылдарын,mémoire
283,Verstand::N,зонд,raison
284,Sinn::N,нысаниуæг,sens
285,Grund::N,ӕфсон,cause
286,Grund::N,ӕфсон,raison
287,Wahrheit::N,æцæг,vérité
288,Gespräch::N,ныхас,conversation
289,Märchen::N,аргъау,conte
290,Märchen::N,аргъау,conte de fées
291,Erzählung::N,радзырд,conte
292,Erzählung::N,радзырд,narration
293,Nachricht::N,уац,message
294,Neuigkeit::N,хабар,nouvelle
295,Name::N,ном,nom
296,Rätsel::N,уыци-уыци,énigme
297,Rätsel::N,уыци-уыци,devinette
298,Rätsel::N,базон-базон,énigme
299,Rätsel::N,базон-базон,devinette
300,Rede::N,раныхас,parole
301,Rede::N,раныхас,discours
302,Sprache::N,ӕвзаг,langue
303,Sprache::N,ӕвзаг,langage
304,Stimme::N,хъӕлӕс,voix
305,Wort::N,дзырд,mot
306,Zeichen::N,нысан,signe
307,Ruf::N,сидт,cri
308,Ruf::N,сидт,appel
309,Lärm::N,уынæр,bruit
310,Laut::N,зӕл,son
311,Laut::N,мыр,son
312,Ton::N,мыр,ton
313,Lied::N,зарӕг,chant
314,Lied::N,зарӕг,chanson
315,Ruhe::N,æнцой,calme
316,Ruhe::N,æнцой,tranquillité
317,Leute::N,адӕм,gens
318,Volk::N,адӕм,peuple
319,Arbeit::N,фӕллой,travail
320,Gast::N,уазӕг,hôte
321,Gast::N,уазӕг,invité
322,Geschenk::N,хуын,cadeau
323,Geschenk::N,хуын,présent
324,Spiel::N,хъазт,jeu
325,Gesellschaft::N,дзыллæ,compagnie
326,Gesellschaft::N,æхсæнад,compagnie
327,Hilfe::N,æххуыс,aide
328,Hilfe::N,æххуыс,secours
329,Hilfe::N,ахъаз,aide
330,Hilfe::N,ахъаз,secours
331,Freund::N,лымӕн,ami
332,Kamerad::N,ӕмбал,copain
333,Kamerad::N,ӕмбал,camarade
334,Angelegenheit::N,хъуыддаг,affaire
335,Anzahl::N,бӕрц,nombre
336,Art::N,хуыз,sorte
337,Art::N,хуыз,espèce
338,Art::N,хуызад,sorte
339,Art::N,хуызад,espèce
340,Stück::N,кæрдих,morceau
341,Stück::N,комдзаг,morceau
342,Teil::N,хай,part
