,Concept_ID,ta,it
0,Auge::N,கண்,occhio
1,Ohr::N,காது,orecchio
2,Nase::N,மூக்கு,naso
3,Mund::N,வாய்,bocca
4,Zahn::N,பல்,dente
5,Zunge::N,நாக்கு,lingua
6,Lippe::N,உதடு,labbro
7,Wange::N,கன்னம்,guancia
8,Gesicht::N,முகம்,viso
9,Gesicht::N,முகம்,faccia
10,Stirn::N,முன்னெற்றி,fronte
11,Haar::N,முடி,capello
12,Schnurrbart::N,மீசை,baffi
13,Schnurrbart::N,மீசை,mustacchi
14,Bart::N,தாடி,barba
15,Kinn::N,கீழதாடை,mento
16,Kiefer[Anatomie]::N,தாடை,mascella
17,Kehle::N,தொண்டை,gola
18,Hals::N,கழுத்து,collo
19,Genick::N,கழுத்து,nuca
20,Kopf::N,தலை,capo
21,Kopf::N,தலை,testa
22,Rücken::N,முதுகு,dorso
23,Rücken::N,முதுகு,schiena
24,Bauch::N,வயிறு,ventre
25,Nabel::N,தொப்புள்,ombelico
26,Busen::N,மார்பகம்,seno
27,Brust::N, மார்பு,petto
28,Schulter::N,தோள்பட்டை,spalla
29,Arm::N,கரம்,braccio
30,Ellenbogen::N,முழங்கை,gomito
31,Hand::N,கை,mano
32,Handfläche::N,உள்ளங்கை,palma
33,Finger::N,விரல்,dito
34,Fingernagel::N,விரல் நகம்,unghia
35,Nagel[Anatomie]::N,நகம்,unghia
36,Zeh::N,கால்விரல்,dito del piede
37,Fuß::N,கால்,piede
38,Ferse::N,குதிகால்,tallone
39,Ferse::N,குதிகால்,calcagno
40,Knie::N,முழங்கால்,ginocchio
41,Oberschenkel::N,தொடை,fèmore
42,Bein::N,கால்,gamba
43,Körper::N,உடல்,corpo
44,Haut::N,சருமம்,pelle
45,Blut::N,இரத்தம்,sangue
46,Ader::N,நாளம்,vena
47,Sehne::N,தசைநார்,tèndine
48,Knochen::N,எலுமபு,osso
49,Gehirn::N,மூனை,cervello
50,Herz::N,இதயம,cuore
51,Magen::N,வயிறு,stòmaco
52,Leber::N,கல்லீரல்,fegato
53,Atem::N,மூச்சு,fiato
54,Atem::N,மூச்சு,respiro
55,Hunger::N,பசி,fame
56,Träne::N,கண்ணீர்,làcrima
57,Geschmack::N,நறுமணம்,gusto
58,Geschmack::N,நறுமணம்,sapore
59,Geruch::N,துர்நாற்றம்,odore
60,Schlaf::N,தூக்கம்,sonno
