,Concept_ID,mrj,ka
0,Auge::N,сӹнзӓ,თვალი
1,Ohr::N,пӹлӹш,ყური
2,Nase::N,нер,ცხვირი
3,Mund::N,ышма,პირი
4,Zahn::N,пӱ,კბილი
5,Zunge::N,йӹлмӹ,ენა
6,Lippe::N,тӹрвӹ,ბაგე
7,Wange::N,шӹргӹ,ლოყა
8,Gesicht::N,лицӓ,სახე
9,Stirn::N,лепкӓ,შუბლი
10,Haar::N,ӱп,თმა
11,Schnurrbart::N,öрш,ულვაში
12,Bart::N,пандаш,წვერი
13,Kinn::N,онгылаш,ნიკაპი
14,Kiefer[Anatomie]::N,пӱ арата,ყბა
15,Kehle::N,логер,ყელი
16,Hals::N,шӱ,ყელი
17,Hals::N,шӱ,კისერი
18,Genick::N,ланга,კეფა
19,Kopf::N,вуй,თავი
20,Rücken::N,туп,ზურგი
21,Bauch::N,мӹшкӹр,მუცელი
22,Nabel::N,кӹлӹмдӹ,ჭიპი
23,Busen::N,цӹзӹ,ძუძუ
24,Brust::N,мел,მკერდი
25,Schulter::N,ӹнгӹжӓ,მხარი
26,Schulter::N,ӹнгӹжӓ,მკლავი
27,Arm::N,кид,ხელი
28,Ellenbogen::N,кӹнервуй,იდაყვი
29,Hand::N,лапа,ხელი
30,Handfläche::N,кид лапа,ნები
31,Handfläche::N,кид лапа,ხელისგული
32,Finger::N,парня,თითი
33,Fingernagel::N,кӹч,ფრჩხილი
34,Nagel[Anatomie]::N,кӹч,ფრჩხილი
35,Zeh::N,парня,ფეხის თითი
36,Fuß::N,ял лапа,ტერფი
37,Fuß::N,ял лапа,ფეხისგული
38,Ferse::N,ялгавал,ქუსლი
39,Ferse::N,ял кавал,ქუსლი
40,Knie::N,пылвуй,მუხლი
41,Oberschenkel::N,ӓрдӹ,ბარძაყი
42,Bein::N,ял,ფეხი
43,Körper::N,монгыр,ტანი
44,Körper::N,монгыр,სხეული
45,Haut::N,кавашты,კანი
46,Blut::N,вӹр,სისხლი
47,Ader::N,вӹршӓр,ძარღვი
48,Sehne::N,кукшышӱн,მყესი
49,Knochen::N,лу,ძვალი
50,Gehirn::N,вим,ტვინი
51,Herz::N,шӱм,გული
52,Magen::N,шӱм,კუჭი
53,Leber::N,мокш,ღვიძლი
54,Atem::N,шӱлӹш,სუნთქვა
55,Hunger::N,шужымаш,შიმშილი
56,Träne::N,сӹнзӓвӹд,ცრემლი
57,Geschmack::N,тот,გემო
58,Geruch::N,пыш,სუნი
59,Schlaf::N,ом,ძილი
60,Traum::N,ом,სიზმარი
61,Himmel::N,пӹлгом,ცა
62,Sonne::N,кечӹ,მზე
63,Mond::N,тӹлзӹ,მთვარე
64,Stern::N,шӹдӹр,ვარსკვლავი
65,Luft::N,юж,ჰაერი
66,Luft::N,воздух,ჰაერი
67,Wind::N,мардеж,ქარი
68,Welle::N,ко,ტალღა
69,Welle::N,коэ,ტალღა
70,Wasser::N,вӹд,წყალი
71,Stein::N,кӱ,ქვა
72,Boden::N,рок,მიწა
73,Erde::N,свет,ნიადაგი
74,Staub::N,пырак,მტვერი
75,Rauch::N,шӹкш,ბოლი
76,Rauch::N,шӹкш,კვამლი
77,Funke::N,ип,ნაკვესი
78,Funke::N,тылип,ნაკვესი
79,Feuer::N,тыл,ცეცხლი
80,Licht::N,соты,შუქი
81,Licht::N,соты,სინათლე
82,Licht::N,валгыды,შუქი
83,Licht::N,валгыды,სინათლე
84,Schatten::N,ӹмӹл,ლანდი
85,Schatten::N,ӹмӹл,ჩრდილი
86,Wetter::N,игечӹ,ამინდი
87,Nebel::N,тӹтӹрӓ,ნისლი
88,Wolke::N,пӹл,ღრუბელი
89,Regen::N,юр,წვიმა
90,Schnee::N,лым,თოვლი
91,Eis::N,и,თოში
92,Eis::N,и,ყინული
93,Frost::N,ӱштӹ,ყინვა
94,Kälte::N,ӱштӹ,სიცივე
95,Hitze::N,шокшы,სიცხე
96,Raureif::N,пöрш,ჭირხლი
