,Concept_ID,lv,ps
0,Auge::N,син,سترګه
1,Auge::N,acs,سترګه
2,Ohr::N,пель,غوږ
3,Ohr::N,auss,غوږ
4,Nase::N,ныр,پوزه
5,Nase::N,deguns,پوزه
6,Mund::N,вом,خوله
7,Mund::N,mute,خوله
8,Zahn::N,пинь,غاښ
9,Zahn::N,zobs,غاښ
10,Zunge::N,кыв,جبه
11,Zunge::N,mēle,جبه
12,Lippe::N,вом дор,شونډه
13,Lippe::N,lūpa,شونډه
14,Wange::N,бан,باړخو
15,Wange::N,vaigs,باړخو
16,Gesicht::N,чужӧм,مخ
17,Gesicht::N,seja,مخ
18,Gesicht::N,ģīmis,مخ
19,Stirn::N,плеш,تندی
20,Stirn::N,плеш,وچولی
21,Stirn::N,кымӧс,تندی
22,Stirn::N,кымӧс,وچولی
23,Stirn::N,piere,تندی
24,Stirn::N,piere,وچولی
25,Haar::N,си,وېښته
26,Haar::N,юрси,وېښته
27,Haar::N,mats,وېښته
28,Schnurrbart::N,ус,برېت
29,Schnurrbart::N,пыртсим,برېت
30,Schnurrbart::N,ūsas,برېت
31,Bart::N,тош,ږیره
32,Bart::N,bārda,ږیره
33,Kinn::N,тшӧка,زنه
34,Kinn::N,zods,زنه
35,Kinn::N,smakrs,زنه
36,Kiefer[Anatomie]::N,черлы,جامه
37,Kiefer[Anatomie]::N,алака лы,جامه
38,Kiefer[Anatomie]::N,вомкӧтш лы,جامه
39,Kiefer[Anatomie]::N,žoklis,جامه
40,Kehle::N,голя,غاړه
41,Kehle::N,rīkle,غاړه
42,Hals::N,сьылі,غاړه
43,Hals::N,kakls,غاړه
44,Genick::N,юрбӧр,ورمېږ
45,Genick::N,балябӧж,ورمېږ
46,Genick::N,sprands,ورمېږ
47,Kopf::N,юр,سر
48,Kopf::N,galva,سر
49,Rücken::N,мыш,شا
50,Rücken::N,mugura,شا
51,Bauch::N,рушку,نس
52,Bauch::N,рушку,ګېډه
53,Bauch::N,vēders,نس
54,Bauch::N,vēders,ګېډه
55,Nabel::N,гӧг,نوم
56,Nabel::N,naba,نوم
57,Busen::N,морӧс,تی
58,Busen::N,krūts,تی
59,Brust::N,морӧс,سینه
60,Brust::N,krūts,سینه
61,Schulter::N,пельпом,اوږه
62,Schulter::N,plecs,اوږه
63,Arm::N,ки,لاس
64,Arm::N,roka,لاس
65,Arm::N,delms,لاس
66,Ellenbogen::N,гырддза,څنګل
67,Ellenbogen::N,elkonis,څنګل
68,Hand::N,ки,لاس
69,Hand::N,roka,لاس
70,Hand::N,plauksta,لاس
71,Handfläche::N,ки пыдӧс,ورغوی
72,Handfläche::N,delna,ورغوی
73,Handfläche::N,plauksta,ورغوی
74,Finger::N,чунь,ګوته
75,Finger::N,pirksts,ګوته
76,Fingernagel::N,гыж,نوک
77,Fingernagel::N,nags,نوک
78,Nagel[Anatomie]::N,гыж,نوک
79,Nagel[Anatomie]::N,nags,نوک
80,Zeh::N,кок чунь,ګوته
81,Zeh::N,pirksts,ګوته
82,Fuß::N,кок,پښه
83,Fuß::N,kāja,پښه
84,Ferse::N,кокбӧр,پونده
85,Ferse::N,papēdis,پونده
86,Knie::N,пидзӧс,زنګون
87,Knie::N,celis,زنګون
88,Oberschenkel::N,лядьвей,پتون
89,Oberschenkel::N,бек,پتون
90,Oberschenkel::N,ciska,پتون
91,Oberschenkel::N,augšstilbs,پتون
92,Bein::N,кок,پښه
93,Bein::N,kāja,پښه
94,Körper::N,туша,ځان
95,Körper::N,вывтыр,ځان
96,Körper::N,miesa,ځان
97,Körper::N,ķermenis,ځان
98,Haut::N,ку,پوټکی
99,Haut::N,āda,پوټکی
100,Blut::N,вир,وینه
101,Blut::N,asins,وینه
102,Ader::N,сӧн,رګ
103,Ader::N,asinsvads,رګ
104,Sehne::N,вез,پله
