,Concept_ID,sk,uz
0,Auge::N,oko,ko'z
1,Ohr::N,ucho,quloq
2,Nase::N,nos,burun
3,Mund::N,ústa,og'iz
4,Zahn::N,zub,tish
5,Zunge::N,jazyk,til
6,Lippe::N,pera,dudoq
7,Wange::N,líce,bet
8,Gesicht::N,tvár,yuz
9,Gesicht::N,obličaj,yuz
10,Stirn::N,čelo,manglay
11,Haar::N,vlas,soch
12,Schnurrbart::N,fúzy,mo'ylov
13,Bart::N,brada,soqol
14,Kinn::N,brada,ängak
15,Kiefer[Anatomie]::N,čeľusť,iyak
16,Kehle::N,hrdlo,bo'g'iz
17,Hals::N,krk,bo'yin
18,Genick::N,väzy,gardan
19,Kopf::N,hlava,bosh
20,Rücken::N,chrbát,orqa
21,Bauch::N,brucho,qorin
22,Nabel::N,pupok,kindik
23,Busen::N,prsia,ämchak
24,Brust::N,hruď,ko'krak
25,Schulter::N,plece,elka
26,Arm::N,rameno,bilak
27,Ellenbogen::N,lakeť,tirsak
28,Hand::N,ruka,qo'l
29,Handfläche::N,dlaň,kaft
30,Finger::N,prst,barmoq
31,Fingernagel::N,necht,tirnoq
32,Nagel[Anatomie]::N,necht,tirnoq
33,Zeh::N,prst na nohe,oyoq barmog'i
34,Fuß::N,noha,oyoq
35,Ferse::N,päta,tovon
36,Knie::N,koleno,tiz
37,Oberschenkel::N,stehno,son
38,Bein::N,noha,oyoq
39,Körper::N,telo,badna
40,Haut::N,koža,teri
41,Blut::N,krv,qon
42,Ader::N,žila,qon tomir
43,Sehne::N,šľacha,tomir
44,Knochen::N,kosť,suyak
45,Gehirn::N,mozog,miya
46,Herz::N,srdce,qalb
47,Magen::N,žalúdok,oshqozon
48,Leber::N,pečeň,bag'ir
49,Atem::N,dych,dam
50,Hunger::N,hlad,ochlik
51,Träne::N,slza,yosh
52,Geschmack::N,chuť,tam
53,Geruch::N,pach,jid
54,Schlaf::N,spánok,uyqu
55,Traum::N,sen,tush
56,Himmel::N,nebo,osmon
57,Sonne::N,slnko,quyosh
58,Mond::N,mesiac,oy
59,Stern::N,hviezda,yulduz
60,Luft::N,vzduch,havo
61,Wind::N,vietor,el
62,Welle::N,vlna,to'lqin
63,Wasser::N,voda,suv
64,Stein::N,kameň,tosh
65,Boden::N,zem,tuproq
66,Boden::N,pôda,tuproq
67,Erde::N,zem,er
68,Staub::N,prach,chang
69,Rauch::N,dym,tutun
70,Funke::N,iskra,yalt
71,Feuer::N,oheň,o't
72,Licht::N,svetlo,yorug'
73,Schatten::N,tieň,soya
74,Wetter::N,počasie,havo
75,Nebel::N,hmla,tuman
76,Wolke::N,oblak,bulut
77,Wolke::N,mračno,bulut
78,Regen::N,dážď,yomg'ir
79,Schnee::N,sneh,qor
80,Eis::N,ľad,muz
81,Frost::N,mráz,ajoz
82,Kälte::N,zima,ajoz
83,Kälte::N,chlad,ajoz
84,Hitze::N,horúčava,issiq
85,Raureif::N,srieň,qirov
