,Concept_ID,it,ab
0,Auge::N,occhio,ала
1,Ohr::N,orecchio,алымҳа
2,Nase::N,naso,аҧынҵа
3,Mund::N,bocca,аҧышə
4,Zahn::N,dente,ахаҧыц
5,Zunge::N,lingua,абз
6,Lippe::N,labbro,ақьышə
7,Wange::N,guancia,аӡамҩа
8,Gesicht::N,viso,аҿы
9,Gesicht::N,faccia,аҿы
10,Stirn::N,fronte,алахь
11,Haar::N,capello,ахəыц
12,Schnurrbart::N,baffi,аҧаҵа
13,Schnurrbart::N,mustacchi,аҧаҵа
14,Bart::N,barba,ажакьа
15,Kinn::N,mento,ацламкəыгə
16,Kiefer[Anatomie]::N,mascella,ацламҳəа
17,Kehle::N,gola,ахəда
18,Hals::N,collo,ахəда
19,Genick::N,nuca,ахəдаџьал
20,Kopf::N,capo,ахы
21,Kopf::N,testa,ахы
22,Rücken::N,dorso,азқəа
23,Rücken::N,schiena,азқəа
24,Bauch::N,ventre,амгəа
25,Nabel::N,ombelico,аҷапан
26,Busen::N,seno,агəыҧҳəы
27,Brust::N,petto,агəышҧы
28,Schulter::N,spalla,ажəҩахыр
29,Arm::N,braccio,амахəар
30,Ellenbogen::N,gomito,амашьхəылҵ
31,Hand::N,mano,анапы
32,Handfläche::N,palma,анапсаргəыҵа
33,Finger::N,dito,анацəа
34,Fingernagel::N,unghia,анапхыц
35,Nagel[Anatomie]::N,unghia,ашьапхыц
36,Zeh::N,dito del piede,ашьацəа
37,Fuß::N,piede,ашьапсыргəыҵа
38,Ferse::N,tallone,ашьхəа
39,Ferse::N,calcagno,ашьхəа
40,Knie::N,ginocchio,ашьамхы
41,Oberschenkel::N,fèmore,ауаҭəа
42,Bein::N,gamba,ашьапы
43,Körper::N,corpo,ацəеижь
44,Haut::N,pelle,ацəа
45,Blut::N,sangue,ашьа
46,Ader::N,vena,ада
47,Sehne::N,tèndine,адаш
48,Knochen::N,osso,абаҩ
49,Gehirn::N,cervello,ахшлыбаҩ
50,Gehirn::N,cervello,ахшыбаҩ
51,Herz::N,cuore,агəы
52,Magen::N,stòmaco,аца
53,Magen::N,stòmaco,ацар
54,Leber::N,fegato,агəаҵəа
55,Atem::N,fiato,аҧсыҧлагаҩгара
56,Atem::N,respiro,аҧсыҧлагаҩгара
57,Hunger::N,fame,амла
58,Träne::N,làcrima,алабжыш
59,Geschmack::N,gusto,агьама
60,Geschmack::N,sapore,агьама
61,Geruch::N,odore,афҩы
62,Schlaf::N,sonno,ацəа
63,Traum::N,sogno,аҧхыӡ
64,Himmel::N,cielo,ажəҩан
65,Sonne::N,sole,амра
66,Mond::N,luna,амза
67,Stern::N,stella,аеҵəа
68,Luft::N,aria,аҳаир
69,Wind::N,vento,аҧша
70,Welle::N,onda,ацəқəырҧа
71,Wasser::N,acqua,аӡы
72,Stein::N,sasso,ахаҳə
73,Stein::N,pietra,ахаҳə
74,Boden::N,suolo,адгьыл
75,Boden::N,terreno,адгьыл
76,Erde::N,terra,адгьыл
77,Staub::N,polvere,асаба
78,Rauch::N,fumo,алҩа
79,Funke::N,scintilla,акəиц
80,Funke::N,scintilla,ацҧхь
81,Feuer::N,fuoco,амца
82,Licht::N,luce,алашара
83,Schatten::N,ombra,ашəшьыра
84,Wetter::N,tempo,амш
85,Nebel::N,nebbia,анаҟəа
86,Wolke::N,nube,аҧсҭҳəа
87,Wolke::N,nùvola,аҧсҭҳəа
88,Regen::N,pioggia,ақəа
89,Schnee::N,neve,асы
90,Eis::N,ghiaccio,аҵаа
91,Frost::N,gelo,аҵаа
92,Kälte::N,freddo,ахьҭа
93,Hitze::N,caldo,ашоура
94,Hitze::N,calura,ашоура
95,Raureif::N,brina,аҵааҧшқа
96,Regenbogen::N,arcobaleno,ацəаҟəа
97,Donner::N,tuono,адыд
98,Strömung::N,corrente,аиасра
99,Strömung::N,corrente,амҩасра
100,Tropfen::N,goccia,ацəыкəбар
101,Schaum::N,spuma,ашəах
102,Schaum::N,schiuma,ашəах
103,Schmutz::N,sudiciume,алымт
104,See::N,lago,аӡиа
105,Sumpf::N,palude,аӡмах
106,Moor::N,torbiera,
107,Wiese::N,prato,адəы
108,Wald::N,bosco,абна
109,Wald::N,foresta,абна
110,Hügel::N,colle,ахəы
111,Hügel::N,collina,ахəы
112,Anhöhe::N,altura,аҳаракыра
113,Berg::N,monte,ашьха
114,Berg::N,montagna,ашьха
115,Gipfel::N,cima,ацəқəа
116,Höhle::N,grotta,аҳаҧы
117,Höhle::N,caverna,аҳаҧы
118,Abhang::N,pendìo,анаара
119,Quelle::N,sorgente,аҵҵырҭа
120,Bach::N,ruscello,акəараҷҷа
121,Fluss::N,fiume,аӡиас
122,Ufer::N,riva,ахықə
123,Küste::N,costa,ахықə
124,Festland::N,terraferma,абарра
125,Meer::N,mare,амшын
126,Bucht::N,cala,аӡбжьахала
127,Insel::N,ìsola,адгьылбжьаха
128,Blume::N,fiore,ашəҭ
129,Gras::N,erba,аҳасакьын
130,Wurzel::N,radice,адац
131,Baum::N,àlbero,аҵла
132,Stamm::N,tronco,ашьапы
133,Rinde::N,corteccia,ацəа
134,Ast::N,ramo,амахə
135,Ast::N,ramo,амахəҭа
136,Zweig::N,ramo,амахə
137,Zweig::N,ramo,амахəҭа
138,Blatt::N,foglia,абҕьы
139,Birke::N,betulla,аҵааҵла
140,Kiefer[Baum]::N,pino,амза
141,Weide[Baum]::N,sàlice,аҧслыш
142,Tanne::N,abete,аҧсаӡ
143,Horn::N,corno,атəыҩа
144,Feder::N,penna,ахӡы
145,Fell::N,manto,ацəа
146,Fell::N,pelame,ацəа
147,Flügel::N,ala,амҵəыжəа
148,Klaue::N,grinfia,ашьапхыц
149,Kralle::N,unghia,
150,Kralle::N,artiglio,
151,Schwanz::N,coda,аҵыхəа
152,Ei::N,uovo,акəтаӷь
153,Nest::N,nido,аҭра
154,Nest::N,nido,аҵысҭра
155,Bau::N,covo,аҭыҩра
156,Tier::N,bestia,аҧстəы
157,Tier::N,bestia,агыгшəыг
158,Tier::N,animale,аҧстəы
159,Tier::N,animale,агыгшəыг
160,Herde::N,gregge,агəарҭа
161,Kuh::N,vacca,ажə
162,Bulle::N,toro,ацə
163,Pferd::N,cavallo,аҽы
164,Schaf::N,pècora,ауаса
165,Schwein::N,porco,аҳəа
166,Schwein::N,maiale,аҳəа
167,Hund::N,cane,ала
168,Katze::N,gatta,ацгəы
169,Bär::N,orso,амшə
170,Eichhörnchen::N,scoiàttolo,аеш
171,Elch::N,alce,аҽаҩа
172,Fuchs::N,volpe,абгахəыҷы
173,Hase::N,lepre,ажьа
174,Maus::N,topo,аҳəынаҧ
175,Maus::N,sorcio,аҳəынаҧ
176,Wolf::N,lupo,абгаду
177,Vogel::N,uccello,аҧсаатə
178,Schwarm::N,stormo,
179,Huhn::N,gallina,акəты
180,Hahn::N,gallo,арбаҕь
181,Gans::N,oca,аҟыз
182,Adler::N,àquila,ауарба
183,Ente::N,ànatra,акəата
184,Eule::N,gufo,аты
185,Eule::N,civetta,аты
186,Kranich::N,gru,апҟа
187,Krähe::N,cornacchia,аҟəараан
188,Kuckuck::N,cuccù,акəыкəу
189,Kuckuck::N,cùculo,акəыкəу
190,Schwan::N,cigno,агьад
191,Fisch::N,pesce,аҧсыӡ
192,Barsch::N,pèrsico,ацəыбла
193,Hecht::N,luccio,ахиаала
194,Schlange[Tier]::N,serpente,амаҭ
195,Wurm::N,baco,ахəа
196,Wurm::N,baco,ахəац
197,Wurm::N,verme,ахəа
198,Wurm::N,verme,ахəац
199,Spinne::N,ragno,абызкаҭаҳа
200,Ameise::N,formica,ашышкамс
201,Laus::N,pidocchio,аҵа
202,Mücke::N,zanzara,акəыбры
203,Fliege::N,mosca,амҵ
204,Schmetterling::N,farfalla,аҧарҧалыкь
205,Beere::N,bacca,аргуц
206,Apfel::N,mela,аҵəа
207,Pilz::N,fungo,акəкəбаа
208,Zwiebel::N,cipolla,аџьымшьы
209,Zwiebel::N,cipolla,аџьымшьхы
210,Saat::N,semente,ажəла
211,Korn::N,grano,арыц
212,Heu::N,fieno,аҭəа
213,Schale::N,buccia,ацəа
214,Grube::N,cava,ажра
215,Grube::N,cava,атыша
216,Grube::N,fossa,ажра
217,Grube::N,fossa,атыша
218,Falle::N,tràppola,арыҧҟьа
219,Schlinge::N,laccio,аҟəараҟəантə
220,Spur::N,traccia,ашьҭа
221,Asche::N,cenere,ахəа
222,Dreck::N,fango,аҳəынҵəа
223,Dreck::N,fango,аҟьамсар
224,Eisen::N,ferro,аиха
225,Gold::N,oro,ахьы
226,Silber::N,argento,аразны
227,Kohle::N,carbone,арацəа
228,Glas::N,vetro,асаркьа
229,Lehm::N,argilla,анышəаҧшь
230,Sand::N,arena,аҧслымӡ
231,Sand::N,sabbia,аҧслымӡ
232,Mensch::N,uomo,ауаҩы
233,Mensch::N,èssere umano,ауаҩы
234,Mann::N,uomo,ахаҵа
235,Frau::N,donna,аҧҳəыс
236,Kind::N,bambino,ахəыҷы
237,Junge::N,ragazzo,аҷкəын
238,Junge::N,ragazzo,ахаҵарҧыс
239,Mädchen::N,ragazza,аӡӷаб
240,Familie::N,famiglia,аҭаацəа
241,Großvater::N,nonno,абду
242,Großmutter::N,nonna,анду
243,Eltern::N,genitori,ани аби
244,Vater::N,padre,аб
245,Mutter::N,madre,ан
246,Sohn::N,figlio,аҧа
247,Tochter::N,figlia,аҧҳа
248,Bruder::N,fratello,аиашьа
249,Schwester::N,sorella,Аҳəшьа
250,Onkel::N,zio,абиашьа
