,Concept_ID,vep,hy
0,Auge::N,sil'm,աչք
1,Ohr::N,korv,ականջ
2,Nase::N,nena,քիթ
3,Mund::N,su,բերան
4,Zahn::N,pi,ատամ
5,Zahn::N,hambaz,ատամ
6,Zunge::N,kel',լեզու
7,Lippe::N,hul',շրթունք
8,Wange::N,modpolišk,այտ
9,Wange::N,modpolišk,թուշ
10,Gesicht::N,mod,դեմք
11,Stirn::N,oc,ճակատ
12,Haar::N,tuk,մազ
13,Haar::N,hibuz,մազ
14,Schnurrbart::N,habinod,բեղ
15,Bart::N,bard,մորուք
16,Kinn::N,löug,կզակ
17,Kiefer[Anatomie]::N,hambazlu,ծնոտ
18,Kehle::N,kurk,կոկորդ
19,Hals::N,kagl,վիզ
20,Hals::N,kagl,պարանոց
21,Genick::N,tagarai,ծոծրակ
22,Kopf::N,pä,գլուխ
23,Rücken::N,sel'g,մեջք
24,Bauch::N,vac,փոր
25,Bauch::N,vac,որովայն
26,Bauch::N,koht,փոր
27,Bauch::N,koht,որովայն
28,Nabel::N,naba,պորտ
29,Busen::N,niža,ծոց
30,Brust::N,rind,կուրծք
31,Schulter::N,oug,ուս
32,Arm::N,käzi,թեւ
33,Arm::N,käzi,բազուկ
34,Ellenbogen::N,künambruz,արմունկ
35,Hand::N,käzi,ձեռք
36,Hand::N,käzitera,ձեռք
37,Handfläche::N,kämen,ափ
38,Finger::N,sor'm,մատ
39,Fingernagel::N,künz',եղունգ
40,Nagel[Anatomie]::N,künz',եղունգ
41,Zeh::N,barbaz,ոտքի մատ
42,Fuß::N,jaug,ոտք
43,Ferse::N,kand,գարշապար
44,Knie::N,komb,ծունկ
45,Knie::N,pol'v,ծունկ
46,Oberschenkel::N,riiže,ազդր
47,Bein::N,jaug,ոտք
48,Körper::N,hibj,մարմին
49,Haut::N,nahk,մաշկ
50,Blut::N,čak,արյուն
51,Blut::N,veri,արյուն
52,Ader::N,son',երակ
53,Sehne::N,jände,ջիղ
54,Sehne::N,jände,ձգտան
55,Knochen::N,lu,ոսկոր
56,Gehirn::N,aivod,խելք
57,Herz::N,südäin,սիրտ
58,Magen::N,südäikoht,ստամոքս
59,Leber::N,maks,լյարդ
60,Atem::N,hengaiduz,շունչ
61,Hunger::N,näl'g,քաղց
62,Träne::N,kündal',արտասուք
63,Geschmack::N,magu,համ
64,Geschmack::N,magu,բուրմունք
65,Geruch::N,haju,հոտ
66,Geruch::N,haju,բուրում
67,Schlaf::N,uni,քուն
68,Traum::N,unikuva,երազ
69,Himmel::N,taivaz,երկինք
70,Sonne::N,päiväine,արեւ
71,Mond::N,kudmaine,լուսին
72,Stern::N,tähtaz,աստղ
73,Luft::N,il'm,օդ
74,Wind::N,döl,քամի
75,Wind::N,tullei,քամի
76,Welle::N,ald,ալիք
77,Welle::N,laineh,ալիք
78,Wasser::N,vezi,ջուր
79,Stein::N,kivi,քար
80,Boden::N,ma,գետին
81,Boden::N,pohj,գետին
82,Erde::N,ma,հող
83,Staub::N,pölü,փոշի
84,Rauch::N,savu,ծուխ
85,Funke::N,kibin,կայծ
86,Feuer::N,lämoi,կրակ
87,Feuer::N,lämoi,հրդեհ
88,Licht::N,vauktuz,լույս
89,Schatten::N,pil'vez,ստվեր
90,Schatten::N,kuvahaine,ստվեր
91,Wetter::N,sä,եղանակ
92,Nebel::N,sumeg,մեգ
93,Nebel::N,sumeg,մառախուղ
94,Wolke::N,pil'v,ամպ
95,Regen::N,vihm,անձրև
96,Schnee::N,lumi,ձյուն
97,Eis::N,jä,սառույց
98,Frost::N,hala,սառնամանիք
99,Frost::N,pakaine,սառնամանիք
100,Kälte::N,vilu,դող
101,Hitze::N,räk,շոգ
102,Raureif::N,hüde,ցօղեղեամ
103,Regenbogen::N,jumalanbembel',ծիածան
104,Donner::N,juru,որոտ
105,Donner::N,jumalanjuru,որոտ
106,Strömung::N,joksmuz,հոսանք
107,Tropfen::N,tilkuine,կաթիլ
108,Schaum::N,vaht,փրփուր
109,Schmutz::N,redu,կեղտ
110,Schmutz::N,pačak,կեղտ
111,See::N,järv,լիճ
112,Sumpf::N,so,ճահիճ
113,Moor::N,so,ճահիճ
114,Wiese::N,nit,մարգագետին
115,Wald::N,mec,անտառ
116,Hügel::N,kukaz,բլուր
117,Anhöhe::N,kukaz,բարձունք
118,Berg::N,mägi,լեռ
119,Gipfel::N,ladv,գագաթ
120,Gipfel::N,ladv,կատար
121,Höhle::N,mägionduz,քարայր
122,Abhang::N,paute,լանջ
123,Abhang::N,paute,զառիվայր
124,Quelle::N,lähte,աղբյուր
125,Bach::N,oja,վտակ
126,Fluss::N,jogi,գետ
127,Ufer::N,rand,ծովափ
128,Küste::N,randišt,ափ
129,Küste::N,randišt,ծովափ
130,Festland::N,kuivma,ցամաք
131,Meer::N,meri,ծով
132,Bucht::N,laht,հաչիւն
133,Insel::N,sar',վղզի
134,Blume::N,änik,ծաղիկ
135,Gras::N,hein,խոտ
136,Wurzel::N,jur',արմատ
137,Baum::N,pu,ծառ
138,Stamm::N,tüvi,իրան
139,Rinde::N,kor',կեղեւ
140,Rinde::N,kor',հաչոց
141,Ast::N,oks,ճյուղ
142,Zweig::N,oks,ճյուղ
143,Zweig::N,barb,ճյուղ
144,Blatt::N,lehtez,տերեւ
145,Birke::N,koiv,ցարասի
146,Kiefer[Baum]::N,pedai,սոճի
147,Weide[Baum]::N,raid,ուռենի
148,Tanne::N,kuz',եղեւին
149,Horn::N,sar'v,
150,Feder::N,höuneh,փետուր
151,Fell::N,nahk,մորթի
152,Flügel::N,suug,թեւ
153,Klaue::N,künz',չանչ
154,Kralle::N,künz',ճանկ
155,Schwanz::N,händ,պոչ
156,Ei::N,muna,ձու
157,Nest::N,peza,բույն
158,Bau::N,uru,որջ
159,Bau::N,uru,բայոց
160,Tier::N,živat,կենդանի
161,Herde::N,kogo,հոտ
162,Kuh::N,lehm,կով
163,Bulle::N,härg,ցուլ
164,Pferd::N,hebo,ձի
165,Schaf::N,lambaz,ոչխար
166,Schwein::N,siga,խոզ
167,Hund::N,koir,շուն
168,Katze::N,kaži,կատու
169,Bär::N,kondi,արջ
170,Eichhörnchen::N,orav,սկյուռ
171,Elch::N,hirb',հիւսիսային եղջերու
172,Fuchs::N,reboi,աղվես
173,Hase::N,jäniš,նապաստակ
174,Maus::N,hir',մուկ
175,Wolf::N,händikaz,գայլ
176,Vogel::N,lind,թռչուն
177,Schwarm::N,parveh,երամ
178,Huhn::N,kana,հավ
179,Hahn::N,kukoi,աքաղաղ
180,Gans::N,hanh',սագ
181,Adler::N,orl,արծիվ
182,Ente::N,sorz,բադ
183,Eule::N,hir'pulo,բու
184,Kranich::N,kurg,կռունկ
185,Krähe::N,variš,ագռավ
186,Kuckuck::N,kägi,կուկու
187,Schwan::N,joucen,կարապ
188,Fisch::N,kala,ձուկ
189,Barsch::N,ahven,պերկես
190,Hecht::N,haug',գայլաձուկ
191,Schlange[Tier]::N,kü,օձ
192,Schlange[Tier]::N,mado,օձ
193,Wurm::N,mado,որդ
194,Wurm::N,mado,ճիճու
195,Spinne::N,hämähouk,սարդ
196,Ameise::N,murahaine,միջյուն
197,Laus::N,täi,ոջիլ
198,Mücke::N,säs'k,մժղուկ
199,Fliege::N,kärbhaine,ճանճ
200,Schmetterling::N,lipkaine,թիթեռ
201,Beere::N,marj,հատապտուղ
202,Apfel::N,jablok,խնձոր
203,Pilz::N,sen',սունկ
204,Pilz::N,babuk,սունկ
205,Zwiebel::N,lauk,սոխ
206,Saat::N,semned,սերմ
207,Korn::N,jüvä,հատիկ
208,Korn::N,vill',հատիկ
209,Heu::N,hein,խոտ
210,Schale::N,kor',կեղեւ
211,Grube::N,kop,փոս
212,Falle::N,rida,ծուղակ
213,Schlinge::N,rihm,խեղդան
214,Spur::N,jäl'g,հետք
215,Asche::N,tuhk,մոխիր
216,Dreck::N,redu,աղտ
217,Dreck::N,pačak,աղտ
218,Eisen::N,raud,երկաթ
219,Gold::N,kuld,ոսկի
220,Silber::N,hobed,արծաթ
221,Kohle::N,hil',քարածուխ
222,Glas::N,stökol,ապակի
223,Lehm::N,savi,կավ
224,Sand::N,lete,ավազ
225,Mensch::N,mez',մարդ
226,Mensch::N,ristit,մարդ
227,Mann::N,mez',մարդ
228,Mann::N,mez',տղամարդ
229,Frau::N,naine,կին
230,Kind::N,laps',զավակ
231,Junge::N,poig,տղա
232,Junge::N,prihaine,տղա
233,Mädchen::N,neičukaine,աղջիկ
234,Familie::N,kanz,ընտանիք
235,Familie::N,pereh,ընտանիք
236,Großvater::N,ded,պապ
237,Großmutter::N,bab,տատ
238,Eltern::N,vanhembad,ծնողներ
239,Eltern::N,kazvatajad,ծնողներ
240,Vater::N,tat,հայր
241,Mutter::N,mam,մայր
242,Sohn::N,poig,որդի
243,Tochter::N,tütär,աղջիկ
244,Tochter::N,tütär,դուստր
245,Bruder::N,veik,եղբայր
246,Bruder::N,vell',եղբայր
247,Schwester::N,čiža,քույր
