,Concept_ID,bn,bg
0,Auge::N,চক্ষু,око
1,Ohr::N,কর্ণ,ухо
2,Nase::N,নাক,нос
3,Mund::N,মুখ,уста
4,Zahn::N,দাঁত,зъб
5,Zunge::N,জিহবা,език
6,Lippe::N,অধর,устна
7,Wange::N,গণ্ড,буза
8,Gesicht::N,মুখমণ্ডল,лице
9,Gesicht::N,মুখমণ্ডল,образ
10,Stirn::N,কপাল,чело
11,Haar::N,চুল,коса
12,Haar::N,চুল,косъм
13,Schnurrbart::N,গোঁফ,мустаци
14,Bart::N,শ্মশ্রু,брада
15,Kinn::N,চিবুক,брада
16,Kinn::N,চিবুক,брадичка
17,Kiefer[Anatomie]::N,চোয়াল,челюст
18,Kehle::N,কণ্ঠ,гърло
19,Hals::N,গল,врат
20,Genick::N,ঘাড়,тил
21,Kopf::N,মাথা,глава
22,Rücken::N,পৃষ্ঠ,гръб
23,Bauch::N,উদর,корем
24,Nabel::N,নাভি,пъп
25,Busen::N,স্তন,бозка
26,Brust::N,বুক,гръд
27,Schulter::N,স্কন্ধ,рамо
28,Schulter::N,স্কন্ধ,плещи
29,Arm::N,বাহু,ръка
30,Ellenbogen::N,কনুই,лакът
31,Hand::N,হাত,ръка
32,Hand::N,হাত,китка
33,Handfläche::N,করতল,длан
34,Finger::N,আঙ্গুল,пръст
35,Fingernagel::N,হাতের নখ,нокът
36,Nagel[Anatomie]::N,নখ,нокът
37,Zeh::N,আঙ্গুল,пръст на крак
38,Fuß::N,পা,крак
39,Fuß::N,পা,нога
40,Ferse::N,গোড়ালি,пета
41,Knie::N,হাঁটু,коляно
42,Oberschenkel::N,ঊরু,бедро
43,Bein::N,পা,крак
44,Bein::N,পা,нога
45,Körper::N,দেহ,тяло
46,Haut::N,ত্বক,кожа
47,Blut::N,রক্ত,кръв
48,Ader::N,শিরা,вена
49,Ader::N,শিরা,артерия
50,Sehne::N,কণ্ডরা,жила
51,Sehne::N,কণ্ডরা,сухожилие
52,Knochen::N,অস্থি,кост
53,Gehirn::N,মস্তিষ্ক,мозък
54,Herz::N,হৃৎপিণ্ড,сърце
55,Magen::N,পাকস্থলী,стомах
56,Leber::N,যকৃৎ,черен дроб
57,Atem::N,শ্বাস,дишане
58,Hunger::N,ক্ষুধা,глад
59,Träne::N,অশ্রু,сълза
60,Geschmack::N,স্বাদ,вкус
61,Geruch::N,গন্ধ,миризма
62,Schlaf::N,ঘুম,сън
