,Concept_ID,cy,sl
0,Auge::N,llygad,okó
1,Ohr::N,clust,uhó
2,Nase::N,trwyn,nós
3,Mund::N,ceg,ústa
4,Zahn::N,dant,zób
5,Zunge::N,tafod,jêzik
6,Lippe::N,gwefus,ústnica
7,Wange::N,boch,líce
8,Gesicht::N,wyneb,oblíčje
9,Stirn::N,talcen,čêlo
10,Haar::N,blew,lás
11,Schnurrbart::N,mwstas,bŕki
12,Bart::N,barf,bráda
13,Kinn::N,gên,bráda
14,Kiefer[Anatomie]::N,gên,čeljúst
15,Kehle::N,gwddf,gŕlo
16,Hals::N,gwddf,vrát
17,Genick::N,gwar,zatílnik
18,Genick::N,gwegil,zatílnik
19,Kopf::N,pen,gláva
20,Rücken::N,cefn,hrbèt
21,Bauch::N,bol,trébuh
22,Nabel::N,bogail,pópek
23,Busen::N,bron,nédrja
24,Brust::N,brest,pŕsi
25,Schulter::N,ysgwydd,ráma
26,Schulter::N,ysgwydd,plêče
27,Arm::N,braich,rôka
28,Ellenbogen::N,penelin,komólec
29,Hand::N,llaw,rôka
30,Handfläche::N,palf,dlán
31,Finger::N,bys,pŕst
32,Fingernagel::N,ewin,nóht na rôki
33,Nagel[Anatomie]::N,ewin,nóht
34,Zeh::N,bys troed,pŕst na nôgi
35,Fuß::N,troed,nôga
36,Ferse::N,sawdl,pêta
37,Knie::N,glin,koléno
38,Oberschenkel::N,clun,stêgno
39,Bein::N,coes,nôga
40,Körper::N,corff,teló
41,Haut::N,croen,kóža
42,Blut::N,gwaed,krí
43,Ader::N,gwythïen,žíla
44,Sehne::N,gewyn,kíta
45,Knochen::N,asgwrn,kóst
46,Gehirn::N,ymennydd,možgáni
47,Herz::N,calon,srcé
48,Magen::N,cylla,želódec
49,Magen::N,stumog,želódec
50,Leber::N,iau,jétra
51,Atem::N,anadl,díh
52,Hunger::N,newyn,glád
53,Träne::N,deigryn,sólza
54,Geschmack::N,cyflas,okús
55,Geruch::N,aroglau,vónj
56,Schlaf::N,cwsg,sèn
57,Schlaf::N,cwsg,spánec
58,Traum::N,breuddwyd,sánje
59,Himmel::N,awyr,nebó
60,Sonne::N,haul,sónce
61,Mond::N,lleuad,lúna
62,Mond::N,lleuad,mésec
63,Stern::N,seren,zvézda
64,Luft::N,awyr,zràk
65,Wind::N,gwynt,véter
66,Welle::N,ton,vál
67,Wasser::N,dŵr,vôda
68,Stein::N,carreg,kámen
69,Boden::N,llawr,tlà
70,Erde::N,pridd,pŕst
71,Erde::N,pridd,zêmlja
72,Staub::N,llwch,práh
73,Rauch::N,mwg,dìm
74,Funke::N,gwreichioni,ískra
75,Feuer::N,tân,ôgenj
76,Licht::N,golau,lúč
77,Schatten::N,cysgod,sénca
78,Wetter::N,tywydd,vrême
79,Nebel::N,niwl,meglà
80,Wolke::N,cwmwl,oblák
81,Regen::N,glaw,dèž
82,Schnee::N,ôd,snég
83,Schnee::N,eira,snég
84,Eis::N,iâ,léd
85,Frost::N,rhew,zmrzál
86,Kälte::N,oerni,mràz
87,Kälte::N,annwyd,mràz
88,Hitze::N,gwres,pripéka
