,Concept_ID,sah,ro
0,Auge::N,харах,ochi
1,Ohr::N,кулгаах,ureche
2,Nase::N,мурун,nas
3,Mund::N,айах,gură
4,Zahn::N,тиис,dinte
5,Zunge::N,тыл,limbă
6,Lippe::N,уос,buză
7,Wange::N,иэдэс,bucă
8,Wange::N,иэдэс,obraz
9,Gesicht::N,сирэй,față
10,Gesicht::N,сирэй,figură
11,Stirn::N,сүүс,frunte
12,Haar::N,баттах,păr
13,Schnurrbart::N,уос бытыга,mustață
14,Bart::N,сэҥийэ бытыга,barbă
15,Kinn::N,сэҥийэ,bărbie
16,Kiefer[Anatomie]::N,сыҥаах,falcă
17,Kehle::N,тамах,beregată
18,Kehle::N,күөмэй,beregată
19,Hals::N,моой,gât
20,Genick::N,кэтэх,ceafă
21,Kopf::N,бас,cap
22,Rücken::N,көҕүс,dos
23,Rücken::N,көҕүс,spate
24,Rücken::N,көҕүс,spinare
25,Bauch::N,ис,burtă
26,Bauch::N,ис,pântece
27,Nabel::N,киин,buric
28,Busen::N,эмиий,sân
29,Brust::N,түөс,piept
30,Schulter::N,сарын,umăr
31,Schulter::N,сарын,spate
32,Arm::N,илии,braț
33,Ellenbogen::N,тоҕонох,cot
34,Hand::N,илии,mână
35,Handfläche::N,ытыс,palmă
36,Finger::N,тарбах,deget
37,Fingernagel::N,тыҥырах,unghie
38,Nagel[Anatomie]::N,тыҥырах,unghie
39,Zeh::N,тарбах,deget de la picior
40,Fuß::N,уллуҥах,picior
41,Ferse::N,тилэх,călcâi
42,Knie::N,тобук,genunchi
43,Knie::N,дьилбэк,genunchi
44,Oberschenkel::N,уллук,coapsă
45,Oberschenkel::N,өттүк,coapsă
46,Bein::N,атах,picior
47,Körper::N,бэйэ,corp
48,Haut::N,тирии,piele
49,Blut::N,хаан,sânge
50,Ader::N,вена,vână
51,Ader::N,вена,arteră
52,Ader::N,күөх_тымыр,vână
53,Ader::N,күөх_тымыр,arteră
54,Sehne::N,иҥиир,tendon
55,Knochen::N,уҥуох,os
56,Knochen::N,уҥгуох,os
57,Gehirn::N,мэйии,creier
58,Herz::N,сүрэх,inimă
59,Magen::N,куртах,stomac
60,Leber::N,быар,ficat
61,Atem::N,тыын,răsuflare
62,Atem::N,тыын,respirație
63,Hunger::N,аас,foame
64,Träne::N,харах уута,lacrimă
65,Geschmack::N,амтан,gust
66,Geruch::N,сыт,miros
67,Schlaf::N,утуйуу,somn
68,Traum::N,түүл,vis
69,Himmel::N,халлаан,cer
70,Sonne::N,күн,soare
71,Mond::N,ый,lună
72,Stern::N,сулус,stea
73,Luft::N,салгын,aer
74,Wind::N,тыал,vânt
75,Welle::N,долгун,val
