,Concept_ID,pt,ps
0,Auge::N,olho,سترګه
1,Ohr::N,orelha,غوږ
2,Nase::N,nariz,پوزه
3,Mund::N,boca,خوله
4,Zahn::N,dente,غاښ
5,Zunge::N,língua,جبه
6,Lippe::N,lábio,شونډه
7,Wange::N,face,باړخو
8,Gesicht::N,cara,مخ
9,Gesicht::N,rosto,مخ
10,Stirn::N,testa,تندی
11,Stirn::N,testa,وچولی
12,Haar::N,cabelo,وېښته
13,Schnurrbart::N,bigode,برېت
14,Bart::N,barba,ږیره
15,Kinn::N,queixo,زنه
16,Kiefer[Anatomie]::N,maxila,جامه
17,Kiefer[Anatomie]::N,mandíbula,جامه
18,Kehle::N,garganta,غاړه
19,Hals::N,colo,غاړه
20,Hals::N,pescoço,غاړه
21,Genick::N,nuca,ورمېږ
22,Kopf::N,cabeça,سر
23,Rücken::N,dorso,شا
24,Rücken::N,costas,شا
25,Bauch::N,ventre,نس
26,Bauch::N,ventre,ګېډه
27,Bauch::N,barriga,نس
28,Bauch::N,barriga,ګېډه
29,Nabel::N,umbigo,نوم
30,Busen::N,seio,تی
31,Brust::N,peito,سینه
32,Schulter::N,ombro,اوږه
33,Arm::N,braço,لاس
34,Ellenbogen::N,cotovelo,څنګل
35,Hand::N,mão,لاس
36,Handfläche::N,palma,ورغوی
37,Handfläche::N,palma da mão,ورغوی
38,Finger::N,dedo,ګوته
39,Fingernagel::N,unha,نوک
40,Nagel[Anatomie]::N,unha,نوک
41,Zeh::N,dedo do pé,ګوته
42,Fuß::N,pé,پښه
43,Ferse::N,calcanhar,پونده
44,Knie::N,joelho,زنګون
45,Oberschenkel::N,coxa,پتون
46,Bein::N,perna,پښه
47,Körper::N,corpo,ځان
48,Haut::N,pele,پوټکی
49,Blut::N,sangue,وینه
50,Ader::N,veia,رګ
51,Sehne::N,tendão,پله
52,Knochen::N,osso,هډوکی
53,Gehirn::N,cérebro,ماغزه
54,Herz::N,coração,زړه
55,Magen::N,estômago,معده
56,Leber::N,fígado,ينه
57,Leber::N,fígado,ځیګر
58,Atem::N,fôlego,نفس
59,Hunger::N,fome,ولږه
60,Träne::N,lágrima,اوښکه
61,Geschmack::N,gosto,مزه
62,Geschmack::N,gosto,خوند
63,Geruch::N,odor,بوی
64,Geruch::N,cheiro,بوی
65,Schlaf::N,sono,خوب
66,Traum::N,sonho,خوب
67,Himmel::N,céu,اسمان
68,Sonne::N,sol,لمر
69,Mond::N,lua,سپوږمۍ
70,Stern::N,estrela,ستوری
71,Luft::N,ar,هوا
72,Wind::N,vento,ورښ
73,Welle::N,onda,موج
74,Wasser::N,água,اوبه
75,Stein::N,pedra,ډبره
76,Boden::N,solo,مځکه
77,Erde::N,terra,خاوره
78,Staub::N,pó,ګرد
79,Staub::N,pó,خاوره
80,Rauch::N,fumo,دود
81,Rauch::N,fumo,لوګی
82,Funke::N,faísca,سپرغۍ
83,Funke::N,centelha,سپرغۍ
84,Feuer::N,fogo,اور
85,Licht::N,luz,رڼا
86,Schatten::N,sombra,سیوری
87,Wetter::N,tempo,هوا
88,Nebel::N,nevoeiro,لړه
89,Wolke::N,nuvem,ورېځ
90,Regen::N,chuva,وریا
91,Regen::N,chuva,باران
92,Schnee::N,neve,واوره
93,Eis::N,gelo,یخ
94,Eis::N,gelo,کنګل
95,Frost::N,gelo,یخ
96,Frost::N,geada,یخ
97,Kälte::N,frio,ساړه
98,Hitze::N,ardor,تودوخي
99,Raureif::N,geada,سپینه پرخه
100,Regenbogen::N,arco-iris,بوډۍ ټال
101,Regenbogen::N,arco-iris,سره زرغونه
102,Donner::N,trovão,تالنده
103,Strömung::N,corrente,بهېدنه
104,Tropfen::N,gota,قطره
105,Tropfen::N,gota,څاڅکی
106,Schaum::N,espuma,ځګ
107,Schmutz::N,sujidade,ناپاکي
108,Schmutz::N,imundície,ناپاکي
109,See::N,lago,جهیل
110,Sumpf::N,charco,جبه
111,Sumpf::N,pântano,جبه
112,Moor::N,pântano,جبه
113,Wiese::N,prado,چمن
114,Wiese::N,prado,شنېلی
115,Wald::N,bosque,ځنګل
116,Wald::N,floresta,ځنګل
117,Hügel::N,colina,تپه
118,Anhöhe::N,alto,غونډۍ
119,Anhöhe::N,outeiro,غونډۍ
120,Berg::N,monte,غ‍‍‍‍‍ر
121,Berg::N,montanha,غ‍‍‍‍‍ر
122,Gipfel::N,pico,څوکه
123,Höhle::N,caverna,کاز
124,Abhang::N,encosta,لمن
125,Quelle::N,fonte,چینه
126,Bach::N,regato,واله
127,Bach::N,ribeiro,واله
128,Fluss::N,rio,سیند
129,Ufer::N,beira,غاړه
130,Küste::N,costa,ساحل
131,Festland::N,terra firme,وچه
132,Meer::N,mar,بحر
133,Meer::N,mar,سمندر
134,Bucht::N,baía,کارۍ
135,Insel::N,ilha,ټاپو
136,Insel::N,ilha,جزيره
137,Blume::N,flor,ګل
138,Gras::N,erva,واښه
139,Wurzel::N,raiz,ریښه
140,Baum::N,árvore,ونه
141,Stamm::N,tronco,ډډ
142,Rinde::N,casca,پوستکی
143,Ast::N,ramo,ښاخ
144,Zweig::N,galho,څانګه
145,Blatt::N,folha,پاڼه
146,Birke::N,bétula,توس
147,Kiefer[Baum]::N,pinheiro,نښتر
148,Weide[Baum]::N,salgueiro,وله
149,Tanne::N,abeto,ناجو
150,Horn::N,corno,ښکر
151,Horn::N,chifre,ښکر
152,Feder::N,pena,بڼکه
153,Fell::N,pele,پوستکی
154,Flügel::N,asa,وزر
155,Klaue::N,pata,پنجه
156,Klaue::N,pata,منګول
157,Kralle::N,unha,پنجه
158,Kralle::N,unha,منګول
159,Kralle::N,garra,پنجه
160,Kralle::N,garra,منګول
161,Schwanz::N,rabo,لکۍ
162,Schwanz::N,cauda,لکۍ
163,Ei::N,ovo,وۍ
164,Ei::N,ovo,هګۍ
165,Nest::N,ninho,جاله
166,Bau::N,toca,کاز
167,Bau::N,covil,کاز
168,Tier::N,animal,ژوی
169,Tier::N,animal,حیوان
170,Herde::N,rebanho,رمه
171,Herde::N,rebanho,غېله
172,Kuh::N,vaca,غوا
173,Bulle::N,touro,غوئی
174,Pferd::N,cavalo,آس
175,Schaf::N,ovelha,پسه
176,Schwein::N,porco,سرکوزی
177,Hund::N,cão,سپی
178,Katze::N,gata,پشه
179,Bär::N,urso,خرس
180,Eichhörnchen::N,esquilo,خړ لمی
181,Elch::N,alce,ګوزن
182,Fuchs::N,raposa,سپلم
183,Hase::N,lebre,سوی
184,Maus::N,rato,مږک
185,Wolf::N,lobo,لېوه
186,Vogel::N,ave,مرغه
187,Vogel::N,pássaro,مرغه
