,Concept_ID,zh,kn
0,Auge::N,眼睛,ಕಣ್ಣು
1,Ohr::N,耳朵,ಕಿವಿ
2,Nase::N,鼻子,ಮೂಗು
3,Mund::N,嘴,ಬಾಯಿ
4,Zahn::N,牙齿,ಹಲ್ಲು
5,Zunge::N,舌头,ನಾಲಿಗೆ
6,Lippe::N,嘴唇,ತುಟಿ
7,Wange::N,面颊,ಗಲ್ಲ
8,Gesicht::N,脸,ಮುಖ
9,Stirn::N,额,ಹಣೆ
10,Haar::N,头发,ಕೂದಲು
11,Schnurrbart::N,髭须,ಮೀಸೆ
12,Bart::N,胡子,ಗಡ್ಡ
13,Kinn::N,下巴,ಗದ್ದ
14,Kiefer[Anatomie]::N,颌,ದವಡೆ
15,Kehle::N,嗓子,ಗಂಟಲು
16,Hals::N,颈,ಕೊರಳು
17,Genick::N,后颈,ಹಿಂಗತ್ತು
18,Kopf::N,头,ತಲೆ
19,Rücken::N,背,ಬೆನ್ನು
20,Bauch::N,肚子,ಹೊಟ್ಟೆ
21,Nabel::N,肚脐,ಹೊಕ್ಕುಳು
22,Busen::N,胸脯,ಸ್ತನ
23,Brust::N,胸,ಎದೆ
24,Schulter::N,肩膀,ಭುಜ
25,Arm::N,臂膀,ತೋಳು
26,Ellenbogen::N,肘,ಮೊಣಕೈ
27,Hand::N,手,ಕೈ
28,Handfläche::N,手掌,ಅಂಗೈ
29,Finger::N,手指,ಕೈಬೆರಳು
30,Fingernagel::N,指甲,ಉಗುರು
31,Nagel[Anatomie]::N,指甲,ಉಗುರು
32,Zeh::N,脚趾,ಕಾಲ್ಬೆರಳು
33,Fuß::N,脚,ಪಾದ
34,Ferse::N,后跟,ಹಿಮ್ಮಡಿ
35,Knie::N,膝,ಮಂಡಿ
36,Oberschenkel::N,大腿,ತೊಡೆ
37,Bein::N,腿,ಕಾಲು
38,Körper::N,身体,ದೇಹ
39,Haut::N,皮肤,ಚರ್ಮ
40,Blut::N,血,ರಕ್ತ
41,Ader::N,血管,ನರ
42,Sehne::N,腱,ನರ
43,Knochen::N,骨,ಮೂಳೆ
44,Gehirn::N,脑,ಮಿದುಳು
45,Herz::N,心,ಹೃದಯ
46,Magen::N,胃,ಉದರ
47,Leber::N,肝,ಯಕೃತ್ತು
48,Atem::N,呼吸,ಉಸಿರು
49,Hunger::N,饿,ಹಸಿವು
50,Träne::N,眼泪,ಕಣ್ಣೀರು
51,Geschmack::N,味道,ರುಚಿ
52,Geruch::N,气味,ವಾಸನೆ
53,Schlaf::N,睡眠,ನಿದ್ರೆ
54,Traum::N,梦,ಕನಸು
55,Himmel::N,天空,ಬಾನು
56,Sonne::N,太阳,ಸೂರ್ಯ
57,Mond::N,月亮,ಚಂದ್ರ
58,Stern::N,星,ಚುಕ್ಕಿ
59,Luft::N,空气,ವಾಯು
60,Wind::N,风,ಗಾಳಿ
61,Welle::N,波,ಅಲೆ
62,Wasser::N,水,ನೀರು
63,Stein::N,石头,ಕಲ್ಲು
64,Boden::N,地面,ನೆಲ
65,Erde::N,地,ಭೂಮಿ
66,Staub::N,灰尘,ದೂಳು
67,Rauch::N,烟,ಹೊಗೆ
68,Funke::N,火花,ಕಿಡಿ
69,Feuer::N,火,ಬೆಂಕಿ
70,Licht::N,光,ಬೆಳಕು
71,Schatten::N,影子,ನೆರಳು
72,Wetter::N,天气,ಹವ
73,Nebel::N,雾,ಮಂಜು
74,Wolke::N,云,ಮೋಡ
75,Regen::N,雨,ಮಳೆ
76,Schnee::N,雪,ಹಿಮ
77,Eis::N,冰,ಮಂಜುಗಡ್ಡೆ
78,Frost::N,霜冻,ಮಂಜು
79,Kälte::N,寒冷,ಹಿಮ
80,Hitze::N,炎热,ಉಷ್ಣ
81,Raureif::N,霜,ಇಬ್ಬನಿ
82,Regenbogen::N,虹,ಇಂದ್ರಚಾಪ
83,Donner::N,雷,ಗುಡುಗು
84,Strömung::N,水流,ಪ್ರವಾಹ
85,Tropfen::N,滴,ತೊಟ್ಟು
86,Schaum::N,泡沫,ನೊರೆ
87,Schmutz::N,赃物,ಕಸ
88,See::N,湖,ಸರೋವರ
89,Sumpf::N,沼泽,ಜೌಗುಸ್ಥಳ
90,Moor::N,沼泽,ಬಂಜರು ಭೂಮಿ
91,Wiese::N,草地,ಹುಲ್ಲುಗಾವಲು
92,Wald::N,森林,ಕಾಡು
93,Hügel::N,丘陵,ಗುಡ್ಡೆ
94,Anhöhe::N,山丘,ದಿಬ್ಬ
95,Berg::N,山,ಮಲೆ
96,Berg::N,山,ಪರ್ವತ
97,Gipfel::N,峰,ಶೃಂಗ
98,Höhle::N,洞穴,ಗುಹೆ
99,Abhang::N,斜坡,ಇಳಿಜಾರು
100,Quelle::N,泉,ಮೂಲ
101,Bach::N,溪,ತೊರೆ
102,Fluss::N,河流,ನದಿ
103,Ufer::N,岸,ತೀರ
104,Küste::N,海岸,ದಂಡೆ
105,Festland::N,大陆,ಭೂಮಿ
106,Meer::N,海,ಕಡಲು
107,Bucht::N,海湾,ಖಾರಿ
108,Insel::N,岛,ದ್ವೀಪ
109,Blume::N,花,ಸುಮ
110,Gras::N,草,ಹುಲ್ಲು
111,Wurzel::N,根,ಬೇರು
112,Baum::N,树,ಮರ
113,Stamm::N,树干,ಕಾಂಡ
