,Concept_ID,ga,kk
0,Auge::N,súil,көз
1,Ohr::N,cluas,құлақ
2,Nase::N,soc,мұрын
3,Mund::N,béal,ауыз
4,Zahn::N,fiacail,тіс
5,Zunge::N,teanga,тіл
6,Lippe::N,liopa,ерін
7,Wange::N,grua,ұрт
8,Wange::N,leiceann,ұрт
9,Gesicht::N,éadan,бет-аузы
10,Gesicht::N,aghaidh,бет-аузы
11,Stirn::N,baithis,маңдай
12,Stirn::N,clár éadain,маңдай
13,Haar::N,gruaig,қыл
14,Schnurrbart::N,croiméal,мұрт
15,Bart::N,féasóg,сақал
16,Kinn::N,smig,иек
17,Kiefer[Anatomie]::N,giall,жақ
18,Kehle::N,scornach,алқым
19,Hals::N,muinéal,мойын
20,Genick::N,baic,желке
21,Kopf::N,ceann,кәллә
22,Rücken::N,droim,арқа
23,Bauch::N,bolg,қарын
24,Nabel::N,imleacán,кіндік
25,Busen::N,cíoch,омырау
26,Brust::N,brollach,кеуде
27,Schulter::N,gualainn,иық
28,Arm::N,lámh,қол
29,Ellenbogen::N,uillinn,шынтақ
30,Hand::N,lámh,қол
31,Handfläche::N,bos,алақан
32,Finger::N,méar,саусақ
33,Fingernagel::N,ionga,тырнақ
34,Nagel[Anatomie]::N,ionga,тырнақ
35,Zeh::N,ladhar,тырнақ
36,Zeh::N,ladhar,тұяқ
37,Fuß::N,cos,аяқ-басы
38,Fuß::N,troigh,аяқ-басы
39,Ferse::N,sáil,өкше
40,Ferse::N,sáil,өкшелік
41,Knie::N,glúin,тізе
42,Oberschenkel::N,ceathrú,жамбас
43,Bein::N,cos,аяқ
44,Körper::N,corp,дене
45,Körper::N,colainn,дене
46,Haut::N,cneas,тері
47,Haut::N,craiceann,тері
48,Blut::N,fuil,қан
49,Sehne::N,teannán,сіңір
50,Sehne::N,féitheog,сіңір
51,Knochen::N,cnámh,жілік
52,Gehirn::N,inchinn,ми
53,Herz::N,croí,жүрек
54,Magen::N,bolg,асқазан
55,Magen::N,goile,асқазан
56,Leber::N,ae,бауыр
57,Atem::N,anáil,леп
58,Hunger::N,ocras,ашаршылық
59,Träne::N,deoir,жас
60,Geschmack::N,blas,дәм
61,Geschmack::N,blas,татым
62,Geschmack::N,blas,талғам
63,Geruch::N,boladh,иіс
64,Schlaf::N,suan,ұйқы
65,Schlaf::N,suan,ұйықтау
66,Schlaf::N,codladh,ұйқы
67,Schlaf::N,codladh,ұйықтау
68,Traum::N,taibhreamh,түс
69,Himmel::N,spéir,аспан
70,Himmel::N,spéir,көқ
71,Himmel::N,spéir,таңдай
72,Sonne::N,grian,күн
73,Mond::N,ré,ай
74,Mond::N,gealach,ай
75,Stern::N,rinn,жұлдыз
76,Stern::N,réalta,жұлдыз
77,Luft::N,aer,әуе
78,Wind::N,gaoth,жел
79,Welle::N,tonn,толқын
80,Wasser::N,uisce,су
81,Stein::N,cloch,тас
82,Boden::N,talamh,қыртыс
83,Erde::N,cré,топырақ
84,Erde::N,ithir,топырақ
85,Staub::N,dusta,шаң
86,Staub::N,deannach,шаң
87,Rauch::N,toit,түтін
88,Rauch::N,deatach,түтін
89,Funke::N,drithle,ұшқын
90,Feuer::N,tine,алау
91,Licht::N,solas,шұғыла
92,Schatten::N,scáth,көлеңке
93,Wetter::N,aimsir,ауа райы
94,Nebel::N,ceo,тұман
95,Wolke::N,néal,бұлт
96,Wolke::N,scamall,бұлт
97,Regen::N,báisteach,жаңбыр
98,Regen::N,fearthainn,жаңбыр
99,Schnee::N,sneachta,қар
100,Eis::N,oighear,мұз
101,Frost::N,sioc,суық
102,Kälte::N,fuacht,ызғар
103,Kälte::N,fuacht,суықтық
104,Hitze::N,teas,аптап
105,Hitze::N,teocht,аптап
106,Raureif::N,sioc bán,қырау
107,Regenbogen::N,stua ceatha,кемпірқосақ
108,Regenbogen::N,bogha báistí,кемпірқосақ
109,Donner::N,toirneach,күн күркіреу
110,Strömung::N,sruth,ағын
111,Tropfen::N,deoir,тамшы
112,Schaum::N,cúr,көбік
113,Schmutz::N,salachar,кір
114,See::N,loch,көл
115,Sumpf::N,portach,саз
116,Moor::N,caorán,саз
117,Moor::N,móinteán,саз
118,Wiese::N,cluain,шалғын
119,Wiese::N,móinéar,шалғын
120,Wald::N,coill,орман
121,Wald::N,foraois,орман
122,Hügel::N,ard,төбе
123,Hügel::N,ard,белес
124,Hügel::N,ard,белес-белес
125,Anhöhe::N,ard,дөң
