,Concept_ID,os,sq
0,Auge::N,цӕст,sy
1,Ohr::N,хъус,vesh
2,Nase::N,фындз,hundë
3,Mund::N,дзых,gojë
4,Zahn::N,дӕндаг,dhëmb
5,Zunge::N,ӕвзаг,gjuhë
6,Lippe::N,был,buzë
7,Wange::N,рус,faqe
8,Wange::N,рус,mollëz
9,Wange::N,уадул,faqe
10,Wange::N,уадул,mollëz
11,Wange::N,ӕхсӕрфарс,faqe
12,Wange::N,ӕхсӕрфарс,mollëz
13,Gesicht::N,цӕсгом,fytyrë
14,Stirn::N,ных,ballë
15,Haar::N,хил,flokë
16,Schnurrbart::N,рихи,mustaqe
17,Bart::N,зачъе,mjekër
18,Kinn::N,роцъо,mjekër
19,Kiefer[Anatomie]::N,ӕфсӕр,nofull
20,Kehle::N,хъуыр,fyt
21,Kehle::N,хъуыр,grykë
22,Hals::N,къубал,qafë
23,Genick::N,къӕбут,arrëz
24,Kopf::N,сӕр,kokë
25,Rücken::N,фӕсонтӕ,kurriz
26,Bauch::N,гуыбын,bark
27,Nabel::N,бикъ,kërthizë
28,Busen::N,дзидзи,gji
29,Brust::N,риу,gjoks
30,Brust::N,риу,kraharor
31,Schulter::N,уӕхск,sup
32,Schulter::N,уӕхск,krah
33,Arm::N,цонг,krah
34,Ellenbogen::N,рæмбын,bërryl
35,Hand::N,къух,dorë
36,Handfläche::N,армытъӕпӕн,pëllëmbë
37,Finger::N,ӕнруылдз,gisht
38,Fingernagel::N,ных,thua
39,Nagel[Anatomie]::N,ных,thua
40,Zeh::N,къух,gisht i këmbës
41,Fuß::N,фад,këmbë
42,Ferse::N,зӕвӕт,thembër
43,Knie::N,уӕраг,gju
44,Oberschenkel::N,агъд,kofshë
45,Bein::N,зӕнг,këmbë
46,Körper::N,буар,trup
47,Haut::N,царм,lëkurë
48,Blut::N,туг,gjak
49,Ader::N,дадзин,venë
50,Ader::N,тугдадзин,venë
51,Sehne::N,хъиутæ,dell
52,Sehne::N,нуар,dell
