,Concept_ID,te,lt
0,Auge::N,కన్ను,akis
1,Ohr::N,చెవి,ausis
2,Nase::N,ముక్కు,nosis
3,Mund::N,నోరు,burna
4,Zahn::N,పల్లు,dantis
5,Zunge::N,నాలుక,liežuvis
6,Lippe::N,పెదవి,lūpa
7,Wange::N,చెంప,žandas
8,Wange::N,చెంప,skruostas
9,Gesicht::N,ముఖము,veidas
10,Stirn::N,నుదురు,kakta
11,Haar::N,వెండ్రుక,plaukai
12,Schnurrbart::N,మీసము,ūsai
13,Bart::N,గడ్డము,barzda
14,Kinn::N,గడ్డము,smakras
15,Kiefer[Anatomie]::N,దౌడ,žandikaulis
16,Kehle::N,గొంతు,gerklė
17,Hals::N,మెడ,kaklas
18,Genick::N,మూపు,sprandas
19,Kopf::N,తల,galva
20,Rücken::N,వెన్ను,nugara
21,Bauch::N,కడుపు,pilvas
22,Nabel::N,బొడ్డు,bamba
23,Busen::N,స్తనము,krūtinė
24,Brust::N,ఱొమ్ము,krūtis
25,Schulter::N,భుజము,petys
26,Arm::N,చేయి,ranka
27,Ellenbogen::N,మోచేయి,alkūnė
28,Hand::N,చేయి,ranka
29,Hand::N,చేయి,plaštaka
30,Handfläche::N,అరచేయు,delnas
31,Handfläche::N,అరచేయు,plaštaka
32,Finger::N,చేతిప్రేలు,pirštas
33,Fingernagel::N,గోరు,nagas
34,Nagel[Anatomie]::N,గోరు,nagas
35,Zeh::N,కాలిప్రేలు,pirštas
36,Fuß::N,అడుగు,pėda
37,Ferse::N,మడమ,kulnas
38,Knie::N,మోకాలు,kelis
39,Oberschenkel::N,తొడ,kulšis
40,Oberschenkel::N,తొడ,šlaunis
41,Bein::N,కాలు,koja
42,Körper::N,కాయము,kūnas
43,Haut::N,చర్మము,oda
44,Blut::N,రక్తము,kraujas
45,Ader::N,సిర,kraujagyslė
46,Sehne::N,స్నాయువు,sausgyslė
47,Knochen::N,ఎముక,kaulas
48,Gehirn::N,మెదడు,smegenys
49,Herz::N,హృదయము,širdis
50,Magen::N,కడుపు,skrandis
51,Leber::N,కాలేయము,kepenys
52,Atem::N,ఉపిరి,kvapas
53,Hunger::N,ఆకలి,badas
54,Hunger::N,ఆకలి,alkis
55,Träne::N,కన్నీటిచుక్క,ašara
56,Geschmack::N,రుచి,skonis
57,Geruch::N,వాసన,kvapas
58,Schlaf::N,నిద్ర,miegas
59,Traum::N,కల,sapnas
60,Himmel::N,ఆకాశము,dangus
61,Sonne::N,సూర్యుడు,saulė
62,Mond::N,చంద్రుడు,mėnulis
63,Stern::N,నక్షత్రము,žvaigždė
64,Luft::N,గాలి,oras
65,Wind::N,వీచుచున్నగాలి,vėjas
66,Welle::N,అల,banga
67,Welle::N,అల,vilnis
68,Wasser::N,నీరు,vanduo
69,Stein::N,ఱాయి,akmuo
70,Boden::N,నేల,žemė
71,Boden::N,నేల,dugnas
72,Erde::N,మన్ను,žemė
73,Staub::N,దుమ్ము,dulkės
74,Rauch::N,పొగ,dūmai
75,Funke::N,అగ్నికణము,kibirkštis
76,Feuer::N,అగ్ని,ugnis
77,Licht::N,కాంతి,šviesa
78,Schatten::N,నీడ,paūksmė
79,Wetter::N,వాతావరణ స్థితి,oras
80,Nebel::N,పొగమంచు,migla
81,Nebel::N,పొగమంచు,rūkas
82,Wolke::N,మేఘము,debesis
83,Regen::N,వాన,lietus
84,Schnee::N,హిమము,sniegas
85,Eis::N,మంచుగడ్డ,ledas
86,Frost::N,పేరిన మంచు,šalna
87,Kälte::N,చలి,šaltis
88,Hitze::N,వేడిమి,karštis
89,Raureif::N,మంచు,šerkšnas
90,Regenbogen::N,ఇంద్రధనుస్సు,vaivorykštė
91,Donner::N,ఉరుము,perkūnas
92,Donner::N,ఉరుము,griaustinis
93,Strömung::N,ప్రవాహము,tėkmė
94,Tropfen::N,చుక్క,lašas
95,Schaum::N,నురుగు,putos
96,Schmutz::N,మైల,purvas
97,See::N,సరస్సు,ežeras
98,Sumpf::N,చిత్తడినేల,klampynė
99,Sumpf::N,చిత్తడినేల,liūnas
100,Moor::N,చిత్తడినేల,pelkė
101,Wiese::N,పచ్చిక బయలు,pieva
102,Wald::N,అడవి,miškas
103,Hügel::N,చివ్నకొండ,kalva
104,Anhöhe::N,కొండ,kauburys
105,Berg::N,పర్వతము,kalnas
106,Gipfel::N,శిఖరము,viršūnė
107,Höhle::N,గుహ,ola
