,Concept_ID,ps,mn
0,Auge::N,سترګه,нүд
1,Ohr::N,غوږ,чих
2,Nase::N,پوزه,хамар
3,Mund::N,خوله,ам
4,Zahn::N,غاښ,шүд
5,Zunge::N,جبه,хэл
6,Lippe::N,شونډه,уруул
7,Wange::N,باړخو,хацар
8,Gesicht::N,مخ,царай
9,Gesicht::N,مخ,нүүр
10,Stirn::N,تندی,дух
11,Stirn::N,وچولی,дух
12,Haar::N,وېښته,үс
13,Schnurrbart::N,برېت,дээд сахал
14,Schnurrbart::N,برېت,живэр сахал
15,Bart::N,ږیره,сахал
16,Kinn::N,زنه,эрүү
17,Kiefer[Anatomie]::N,جامه,эрүү
18,Kehle::N,غاړه,хоолой
19,Hals::N,غاړه,хүзүү
20,Genick::N,ورمېږ,шил
21,Genick::N,ورمېږ,хүзүү
22,Kopf::N,سر,толгой
23,Rücken::N,شا,ар
24,Rücken::N,شا,нуруу
25,Bauch::N,نس,хэвлий
26,Bauch::N,نس,гэдэс
27,Bauch::N,ګېډه,хэвлий
28,Bauch::N,ګېډه,гэдэс
29,Nabel::N,نوم,хүйс
30,Busen::N,تی,хөх
31,Brust::N,سینه,цээж
32,Schulter::N,اوږه,мөр
33,Schulter::N,اوږه,бугалга
34,Arm::N,لاس,гар
35,Ellenbogen::N,څنګل,тохой
36,Hand::N,لاس,гар
37,Hand::N,لاس,алга
38,Handfläche::N,ورغوی,алга
39,Finger::N,ګوته,хуруу
40,Fingernagel::N,نوک,хурууны хумс
41,Nagel[Anatomie]::N,نوک,хумс
42,Zeh::N,ګوته,хуруу
43,Fuß::N,پښه,хөл
44,Ferse::N,پونده,өсгий
45,Knie::N,زنګون,өвдөг
46,Oberschenkel::N,پتون,гуя
47,Bein::N,پښه,хөл
48,Körper::N,ځان,бие
49,Haut::N,پوټکی,арьс
50,Blut::N,وینه,цус
51,Ader::N,رګ,судас
52,Sehne::N,پله,бүлх
53,Sehne::N,پله,шандас
54,Knochen::N,هډوکی,яс
55,Gehirn::N,ماغزه,тархи
56,Herz::N,زړه,зүрх
57,Magen::N,معده,ходоод
58,Leber::N,ينه,элэг
59,Leber::N,ځیګر,элэг
60,Atem::N,نفس,амьсгаа
61,Hunger::N,ولږه,өлсгөлөн
62,Träne::N,اوښکه,нулимс
63,Geschmack::N,مزه,амт
64,Geschmack::N,خوند,амт
65,Geruch::N,بوی,үнэр
66,Schlaf::N,خوب,нойр
67,Traum::N,خوب,зүүд
68,Himmel::N,اسمان,тэнгэр
69,Himmel::N,اسمان,огторгуй
70,Sonne::N,لمر,нар
71,Mond::N,سپوږمۍ,сар
72,Stern::N,ستوری,од
73,Luft::N,هوا,агаар
74,Wind::N,ورښ,салхи
75,Welle::N,موج,долгио
76,Welle::N,موج,давалгаа
77,Wasser::N,اوبه,ус
78,Stein::N,ډبره,чулуу
79,Boden::N,مځکه,хөрс
80,Erde::N,خاوره,газар
81,Erde::N,خاوره,шороо
82,Staub::N,ګرد,тоос
83,Staub::N,خاوره,тоос
84,Rauch::N,دود,утаа
85,Rauch::N,لوګی,утаа
86,Funke::N,سپرغۍ,оч
87,Feuer::N,اور,гал
88,Licht::N,رڼا,гэрэл
89,Licht::N,رڼا,гэгээ
90,Schatten::N,سیوری,сүүдэр
91,Wetter::N,هوا,тэнгэр
92,Wetter::N,هوا,цаг уур
93,Nebel::N,لړه,будан
94,Wolke::N,ورېځ,үүл
95,Regen::N,وریا,бороо
96,Regen::N,باران,бороо
97,Schnee::N,واوره,цас
98,Eis::N,یخ,мөс
99,Eis::N,کنګل,мөс
100,Frost::N,یخ,хүйт
101,Kälte::N,ساړه,хүйт
102,Hitze::N,تودوخي,халуун
103,Raureif::N,سپینه پرخه,цан
104,Raureif::N,سپینه پرخه,хяруу
105,Regenbogen::N,بوډۍ ټال,солонго
106,Regenbogen::N,سره زرغونه,солонго
107,Donner::N,تالنده,тэнгэрийн дуу
108,Strömung::N,بهېدنه,урсгал
109,Tropfen::N,قطره,дусал
110,Tropfen::N,څاڅکی,дусал
111,Schaum::N,ځګ,хөөс
112,Schmutz::N,ناپاکي,хир
113,Schmutz::N,ناپاکي,шавхай
114,See::N,جهیل,нуур
115,Sumpf::N,جبه,намаг
116,Sumpf::N,جبه,балчиг
117,Moor::N,جبه,хүлрийн намаг
118,Wiese::N,چمن,нуга
119,Wiese::N,شنېلی,нуга
120,Wald::N,ځنګل,ой
121,Hügel::N,تپه,болдог
122,Anhöhe::N,غونډۍ,гүвээ
123,Berg::N,غ‍‍‍‍‍ر,уул
124,Gipfel::N,څوکه,орой
125,Gipfel::N,څوکه,оргил
126,Höhle::N,کاز,агуй
127,Abhang::N,لمن,хүр
128,Quelle::N,چینه,булаг
129,Bach::N,واله,горхи
130,Fluss::N,سیند,гол
131,Fluss::N,سیند,мөрөн
132,Ufer::N,غاړه,эрэг
133,Küste::N,ساحل,эрэг
134,Festland::N,وچه,хуурай газар
135,Meer::N,بحر,далай
136,Meer::N,بحر,тэнгис
137,Meer::N,سمندر,далай
138,Meer::N,سمندر,тэнгис
139,Bucht::N,کارۍ,булан
140,Bucht::N,کارۍ,далайн тохой
141,Insel::N,ټاپو,арал
142,Insel::N,جزيره,арал
143,Blume::N,ګل,цэцэг
144,Gras::N,واښه,өвс
145,Gras::N,واښه,ногоо
146,Wurzel::N,ریښه,үндэс
147,Baum::N,ونه,мод
148,Stamm::N,ډډ,иш
149,Stamm::N,ډډ,гуалин
150,Rinde::N,پوستکی,холтос
151,Ast::N,ښاخ,гишүү
152,Zweig::N,څانګه,салаа
153,Blatt::N,پاڼه,навч
154,Birke::N,توس,хус
155,Kiefer[Baum]::N,نښتر,нарс
156,Weide[Baum]::N,وله,уд
157,Weide[Baum]::N,وله,бургас
158,Tanne::N,ناجو,гачуур
159,Horn::N,ښکر,эвэр
160,Feder::N,بڼکه,өд
161,Fell::N,پوستکی,арьс
162,Flügel::N,وزر,жигүүр
163,Flügel::N,وزر,далавч
164,Klaue::N,پنجه,савар
165,Klaue::N,پنجه,хумс
166,Klaue::N,منګول,савар
167,Klaue::N,منګول,хумс
168,Kralle::N,پنجه,савар
169,Kralle::N,منګول,савар
170,Schwanz::N,لکۍ,сүүл
171,Ei::N,وۍ,өндөг
172,Ei::N,هګۍ,өндөг
173,Nest::N,جاله,үүр
174,Bau::N,کاز,нүх
175,Bau::N,کاز,элүү
176,Tier::N,ژوی,амьтан
177,Tier::N,ژوی,адгуус
178,Tier::N,حیوان,амьтан
179,Tier::N,حیوان,адгуус
180,Herde::N,رمه,сүрэг
181,Herde::N,غېله,сүрэг
182,Kuh::N,غوا,үнээ
183,Bulle::N,غوئی,бух
184,Pferd::N,آس,морь
185,Pferd::N,آس,адуу
186,Schaf::N,پسه,хонь
187,Schwein::N,سرکوزی,гахай
188,Hund::N,سپی,нохой
189,Katze::N,پشه,муур
190,Katze::N,پشه,мигуй
191,Bär::N,خرس,баавгай
192,Eichhörnchen::N,خړ لمی,хэрэм
193,Elch::N,ګوزن,хандгай
194,Fuchs::N,سپلم,үнэг
195,Hase::N,سوی,туулай
196,Maus::N,مږک,хулгана
197,Wolf::N,لېوه,чоно
198,Vogel::N,مرغه,шувуу
199,Schwarm::N,سېل,сүрэг
200,Huhn::N,چرګه,тахиа
201,Hahn::N,چرګ,эр тахиа
202,Gans::N,بته,галуу
203,Adler::N,عقاب,бүргэд
204,Ente::N,ایلۍ,нугас
205,Eule::N,ګونګی,ууль
206,Kranich::N,کلنګ,тогоруу
207,Krähe::N,کارغه,хэрээ
208,Kuckuck::N,فاخته,хөхөө
209,Schwan::N,قو,хун
210,Fisch::N,کب,загас
211,Fisch::N,ماهی,загас
212,Schlange[Tier]::N,مار,могой
213,Wurm::N,چینجی,өт
214,Wurm::N,چینجی,хорхой
215,Spinne::N,غڼه,аалз
216,Spinne::N,تارکښ,аалз
217,Ameise::N,مېږی,шоргоолж
