,Concept_ID,es,da
0,Auge::N,ojo,øje
1,Ohr::N,oreja,øre
2,Nase::N,nariz,næse
3,Mund::N,boca,mund
4,Zahn::N,diente,tand
5,Zunge::N,lengua,tunge
6,Lippe::N,labio,læbe
7,Wange::N,mejilla,kind
8,Gesicht::N,cara,ansigt
9,Stirn::N,frente,pande
10,Haar::N,cabello,hår
11,Schnurrbart::N,bigote,overskæg
12,Bart::N,barba,skæg
13,Kinn::N,barbilla,hage
14,Kiefer[Anatomie]::N,mandíbula,kæbe
15,Kehle::N,garganta,strube
16,Hals::N,cuello,hals
17,Genick::N,nuca,nakke
18,Genick::N,cerviz,nakke
19,Kopf::N,cabeza,hoved
20,Rücken::N,espalda,ryg
21,Bauch::N,vientre,mave
22,Nabel::N,ombligo,navle
23,Busen::N,pecho,barm
24,Brust::N,pecho,bryst
25,Schulter::N,hombro,skulder
26,Arm::N,brazo,arm
27,Ellenbogen::N,codo,albue
28,Hand::N,mano,hånd
29,Handfläche::N,palma,håndflade
30,Finger::N,dedo,finger
31,Fingernagel::N,uña,fingernegl
32,Nagel[Anatomie]::N,uña,negl
33,Zeh::N,dedo del pie,tå
34,Fuß::N,pie,fod
35,Ferse::N,talón,hæl
36,Knie::N,rodilla,knæ
37,Oberschenkel::N,muslo,lår
38,Bein::N,pierna,ben
39,Körper::N,cuerpo,krop
40,Körper::N,cuerpo,legeme
41,Haut::N,piel,hud
42,Blut::N,sangre,blod
43,Ader::N,vena,åre
44,Sehne::N,tendón,sene
45,Knochen::N,hueso,ben
46,Gehirn::N,cerebro,hjerne
47,Gehirn::N,encéfalo,hjerne
48,Herz::N,corazón,hjerte
49,Magen::N,estómago,mave
50,Leber::N,hígado,lever
51,Atem::N,aliento,ånde
52,Hunger::N,hambre,sult
53,Träne::N,lágrima,tåre
54,Geschmack::N,gusto,smag
55,Geruch::N,olor,lugt
56,Schlaf::N,sueño,søvn
57,Traum::N,sueño,drøm
58,Traum::N,ensueño,drøm
59,Himmel::N,cielo,himmel
60,Sonne::N,sol,sol
61,Mond::N,luna,måne
62,Stern::N,estrella,stjerne
63,Luft::N,aire,luft
64,Wind::N,viento,vind
65,Welle::N,ola,bølge
66,Welle::N,onda,bølge
67,Wasser::N,agua,vand
68,Stein::N,piedra,sten
69,Boden::N,suelo,jord
70,Erde::N,tierra,jord
71,Staub::N,polvo,støv
72,Rauch::N,humo,røg
73,Funke::N,chispa,gnist
74,Feuer::N,fuego,ild
75,Licht::N,luz,lys
76,Schatten::N,sombra,skygge
77,Wetter::N,tiempo,vejr
78,Nebel::N,niebla,tåge
79,Wolke::N,nube,sky
80,Regen::N,lluvia,regn
81,Schnee::N,nieve,sne
82,Eis::N,hielo,is
83,Frost::N,helada,frost
84,Kälte::N,frío,kulde
85,Hitze::N,calor,hede
86,Raureif::N,escarcha,rimfrost
87,Regenbogen::N,arco iris,regnbue
88,Donner::N,trueno,torden
89,Strömung::N,corriente,strømning
