,Concept_ID,ro,ko
195,Fisch::N,pește,물고기
196,Barsch::N,biban,농어
197,Hecht::N,știucă,에속스
198,Schlange[Tier]::N,șarpe,뱀
199,Wurm::N,vierme,벌레
200,Spinne::N,păianjen,거미
201,Ameise::N,furnică,개미
202,Laus::N,păduche,이
203,Mücke::N,țânțar,모기
204,Fliege::N,muscă,날기
205,Schmetterling::N,fluture,나비
206,Beere::N,boabă,장과
207,Apfel::N,măr,사과
208,Pilz::N,burete,고방이
209,Pilz::N,ciupercă,고방이
210,Zwiebel::N,ceapă,양파
211,Saat::N,semănătură,씨
212,Korn::N,grâu,알맹이
213,Heu::N,fân,건초
214,Schale::N,coajă,피상
215,Grube::N,groapă,
216,Falle::N,cursă,함정
217,Falle::N,capcană,함정
218,Schlinge::N,laț,올가미
219,Schlinge::N,laț,멜빵붕대
220,Spur::N,dâră,발지국
221,Asche::N,cenușă,재
222,Dreck::N,noroi,똥
223,Dreck::N,noroi,오물
224,Dreck::N,murdărie,똥
225,Dreck::N,murdărie,오물
226,Eisen::N,fier,쇠
227,Eisen::N,fier,철
228,Gold::N,aur,항금
229,Silber::N,argint,은
230,Kohle::N,cărbune,슻
231,Glas::N,sticlă,유리
232,Lehm::N,lut,찰흙
233,Lehm::N,humă,찰흙
234,Sand::N,nisip,모래
235,Mensch::N,om,사람
236,Mensch::N,persoană,사람
237,Mann::N,om,남자
238,Mann::N,bărbat,남자
239,Frau::N,femeie,여자
240,Kind::N,copil,아이
241,Junge::N,băiat,소녁
242,Junge::N,flăcău,소녁
243,Mädchen::N,fată,소녀
244,Familie::N,familie,가족
245,Großvater::N,bunic,할아버지
246,Großvater::N,tată mare,할아버지
247,Großmutter::N,bunică,할머니
248,Großmutter::N,mamă mare,할머니
249,Eltern::N,părinți,어버오
250,Vater::N,tată,아버지
251,Vater::N,părinte,아버지
252,Mutter::N,mamă,어머니
253,Sohn::N,fiu,아들
254,Sohn::N,fecior,아들
255,Tochter::N,fiică,딸기
256,Bruder::N,frate,형제
257,Schwester::N,soră,누이
258,Onkel::N,unchi,백부
259,Tante::N,mătușă,아주머니
260,Ehemann::N,soț,남편
261,Ehemann::N,bărbat,남편
262,Ehefrau::N,soție,아내
263,Freude::N,bucurie,기쁨
264,Gelächter::N,râset,웃음
265,Glück::N,fericire,즐거움
266,Kummer::N,mâhnire,슬픔
267,Wunsch::N,dorință,소망
268,Wunsch::N,deziderat,소망
269,Lust::N,poftă,
270,Lust::N,înclinare,
271,Geist::N,duh,할기
272,Geist::N,minte,할기
273,Geist::N,suflet,할기
274,Gedanke::N,gând,상념
275,Gedanke::N,cuget,상념
276,Gedächtnis::N,memorie,기억
277,Verstand::N,minte,분별
278,Verstand::N,minte,지능
279,Verstand::N,intelect,분별
280,Verstand::N,intelect,지능
281,Sinn::N,sens,센스
282,Sinn::N,înțeles,센스
283,Grund::N,cauză,까닭
284,Grund::N,pricină,까닭
285,Wahrheit::N,adevăr,참
286,Wahrheit::N,adevăr,진실
287,Gespräch::N,convorbire,대화
288,Gespräch::N,conversație,대화
289,Märchen::N,basm,동화
290,Märchen::N,poveste,동화
291,Erzählung::N,poveste,이야기
292,Nachricht::N,veste,
293,Neuigkeit::N,noutate,뉴스
294,Neuigkeit::N,actualitate,뉴스
295,Name::N,nume,이름
296,Rätsel::N,ghicitoare,수수께끼
297,Rede::N,discurs,연설
298,Sprache::N,limbă,말
299,Sprache::N,limbaj,말
300,Stimme::N,glas,목소리
301,Wort::N,cuvânt,낱말
302,Zeichen::N,semn,신호
303,Zeichen::N,semnal,신호
304,Ruf::N,chemare,부름
305,Lärm::N,zgomot,소동
306,Lärm::N,tărăboi,소동
307,Laut::N,sunet,음성
308,Ton::N,ton,목소리
309,Lied::N,cântec,노래
310,Ruhe::N,odihnă,쉼
311,Ruhe::N,liniște,쉼
312,Leute::N,lume,사람들
313,Leute::N,oameni,사람들
314,Volk::N,popor,국중
315,Volk::N,națiune,국중
316,Arbeit::N,lucru,근로
317,Arbeit::N,lucru,너무
318,Gast::N,musafir,손님
319,Geschenk::N,dar,행하
320,Geschenk::N,cadou,행하
321,Spiel::N,joc,무리
322,Gesellschaft::N,societate,교제
323,Hilfe::N,ajutor,거들음
324,Hilfe::N,ajutor,보좌
325,Freund::N,amic,친구
326,Freund::N,prieten,친구
327,Kamerad::N,tovarăș,동실자
328,Angelegenheit::N,afacere,용무
329,Anzahl::N,număr,어떤
330,Anzahl::N,număr,수
331,Anzahl::N,cantitate,어떤
332,Anzahl::N,cantitate,수
333,Art::N,fel,정류
334,Art::N,specie,정류
335,Stück::N,bucată,일부분
336,Teil::N,parte,몱
337,Teil::N,parte,구훠
338,Teil::N,porție,몱
339,Teil::N,porție,구훠
340,Hälfte::N,jumătate,2분의
341,Kreis::N,cerc,고리
342,Kreuz::N,cruce,열십자
343,Linie::N,linie,선
344,Strich::N,linie,스침
345,Strich::N,trăsătură,스침
346,Abstand::N,distanță,거리
347,Abstand::N,depărtare,거리
348,Entfernung::N,distanță,거리
349,Entfernung::N,depărtare,거리
350,Gegend::N,regiune,곳
351,Gegend::N,regiune,부금
352,Platz::N,loc,장소
353,Ort::N,loc,장소
354,Seite::N,latură,옆면
355,Mitte::N,centru,궁간
356,Gegenstand::N,obiect,항목
357,Sache::N,lucru,뭉에
358,Sache::N,chestie,뭉에
359,Rand::N,bordură,가
360,Kante::N,muchie,귀퉁
361,Kante::N,bordură,귀퉁
362,Ecke::N,colț,구석
363,Spitze::N,vârf,끝
364,Spitze::N,vârf,참단
365,Spitze::N,creștet,끝
366,Spitze::N,creștet,참단
367,Ende::N,capăt,말당
368,Loch::N,gaură,빙옷
369,Winkel::N,colț,각도
370,Muster::N,desen,본
371,Muster::N,desen,견복
372,Größe::N,mărime,신장
373,Länge::N,lungime,길이긺
374,Höhe::N,înălțime,높이
375,Gewicht::N,greutate,추
376,Menge::N,cantitate,수양
377,Haufen::N,grămadă,퇴적
378,Reihe::N,șir,열
379,Reihe::N,rând,열
380,Boot::N,barcă,보트
381,Boot::N,luntre,보트
382,Ruder::N,vâslă,노
