,Concept_ID,la,myv
0,Auge::N,oculus,сельме
1,Ohr::N,auris,пиле
2,Nase::N,nasus,судо
3,Mund::N,os,курго
4,Zahn::N,dens,пей
5,Zunge::N,lingua,кель
6,Lippe::N,labrum,турва
7,Wange::N,gena,чамабока
8,Wange::N,gena,чамаумарь
9,Gesicht::N,vultus,чама
10,Stirn::N,frons,коня
11,Haar::N,capillus,черь
12,Schnurrbart::N,barba labri superioris,ус
13,Schnurrbart::N,barba labri superioris,муюк
14,Bart::N,barba,сакал
15,Kinn::N,mentum,уло
16,Kiefer[Anatomie]::N,mala,пейпакар
17,Kiefer[Anatomie]::N,mala,пейловажа
18,Kehle::N,iugulums,кирьгапарь
19,Hals::N,collum,кирьга
20,Genick::N,cervices,човонь
21,Kopf::N,caput,пря
22,Rücken::N,tergum,копорь
23,Bauch::N,venter,пеке
24,Nabel::N,umbilicus,почо
25,Busen::N,sinus,поте
26,Brust::N,pectus,меште
27,Schulter::N,umerus,лавтов
28,Arm::N,bracchium,кедь
29,Ellenbogen::N,cubitum,кенерепакарь
30,Hand::N,manus,кедь
31,Handfläche::N,palma,кедькуншка
32,Handfläche::N,palma,кедьлапушка
33,Finger::N,digitus,сур
34,Fingernagel::N,unguiculus,кенже
35,Nagel[Anatomie]::N,unguis,кенже
36,Zeh::N,digitus,пильге сур
37,Fuß::N,pes,пильге
38,Ferse::N,calx,кочкаря
39,Knie::N,genu,эле
40,Knie::N,genu,эзне
41,Knie::N,genu,кумажа
42,Oberschenkel::N,femur,качо
43,Bein::N,crus,пильге
44,Körper::N,corpus,рунго
45,Haut::N,cutis,киське
46,Haut::N,pellis,киське
47,Blut::N,sanguis,верь
48,Ader::N,vena,сан
49,Sehne::N,nervus,коське сан
50,Knochen::N,os,пакарь
51,Gehirn::N,cerebrum,удем
52,Herz::N,cor,седей
53,Herz::N,animus,седей
54,Magen::N,stomachus,пеке
55,Leber::N,iecur,максо
56,Atem::N,spiritus,лексема
57,Atem::N,spiritus,оймень таргсема
58,Hunger::N,fames,вачочи
59,Träne::N,lacrima,селведь
60,Geschmack::N,sapor,тансть
61,Geschmack::N,gustus,тансть
62,Geruch::N,odor,чине
63,Schlaf::N,somnus,удома
64,Traum::N,somnium,он
65,Himmel::N,caelum,менель
66,Sonne::N,sol,чи
67,Mond::N,luna,ков
68,Stern::N,sidus,теште
69,Stern::N,stella,теште
70,Luft::N,aer,кошт
71,Wind::N,ventus,варма
72,Welle::N,unda,толкун
73,Wasser::N,aqua,ведь
74,Stein::N,lapis,кев
75,Boden::N,solum,мода
76,Erde::N,terra,мастор
77,Staub::N,pulvis,пуль
78,Rauch::N,fumus,качамо
79,Funke::N,scintilla,сятко
80,Feuer::N,ignis,тол
81,Licht::N,lux,валдо
82,Licht::N,lumen,валдо
83,Schatten::N,umbra,сулей
84,Schatten::N,umbra,сулейкс
85,Wetter::N,caelum,ушо
86,Wetter::N,tempestas,ушо
87,Nebel::N,nebula,сув
88,Wolke::N,nubes,пель
89,Regen::N,imber,пиземс
90,Regen::N,pluvia,пиземс
91,Schnee::N,nix,лов
92,Eis::N,glacies,эй
93,Frost::N,gelu,кельме
94,Kälte::N,frigus,якшамо
95,Hitze::N,calor,пси
96,Hitze::N,aestus,пси
97,Raureif::N,pruina,лекш
98,Regenbogen::N,arcus,пурьгинечирьке
99,Regenbogen::N,arcus,пурьгинеёнкс
100,Donner::N,tonitrus,пурьгине
101,Strömung::N,fluctus,чудема
102,Strömung::N,fluctus,чудевкс
103,Tropfen::N,gutta,петнявкс
104,Schaum::N,spuma,чов
105,Schmutz::N,sordes,рудаз
106,Schmutz::N,squalor,рудаз
107,See::N,lacus,эрьке
108,Sumpf::N,palus,чей
109,Moor::N,palus,чей
110,Wiese::N,pratum,луга
111,Wald::N,silva,вирь
112,Hügel::N,collis,губорь
113,Hügel::N,collis,пандыне
114,Anhöhe::N,specula,губорь
115,Anhöhe::N,specula,пандыне
116,Berg::N,mons,пандо
117,Gipfel::N,vertex,пря
118,Höhle::N,caverna,пещера
119,Höhle::N,spelunca,пещера
120,Abhang::N,declivum,пандочама
121,Quelle::N,fons,ушодкс
122,Bach::N,rivus,чудикерькс
123,Fluss::N,flumen,лей
124,Ufer::N,ripa,чире
125,Küste::N,litus,лейчире
126,Festland::N,continens,мода
127,Meer::N,mare,моря
128,Bucht::N,sinus,усия
129,Insel::N,insula,усия
130,Blume::N,flos,цеця
131,Gras::N,herba,тикше
132,Gras::N,gramen,тикше
133,Wurzel::N,radix,юр
134,Wurzel::N,radix,ундокс
135,Baum::N,arbor,чувто
136,Stamm::N,truncus,рунго
137,Rinde::N,cortex,суд
138,Rinde::N,cortex,керь
139,Ast::N,ramus,морго
140,Zweig::N,ramus,тарад
141,Blatt::N,folium,лопа
142,Birke::N,betulla,килей
143,Kiefer[Baum]::N,pinus,пиче
144,Weide[Baum]::N,salix,каль
145,Tanne::N,abies,куз
146,Horn::N,cornu,сюро
147,Feder::N,penna,толга
148,Fell::N,pellis,пона
149,Flügel::N,ala,сёлмо
150,Klaue::N,unguis,кенже
151,Kralle::N,unguis,кенже
152,Schwanz::N,cauda,пуло
