,Concept_ID,kl,bg
0,Auge::N,isi,око
1,Ohr::N,siut,ухо
2,Mund::N,paaq,уста
3,Mund::N,qaneq,уста
4,Zahn::N,kigut,зъб
5,Zunge::N,oqaq,език
6,Lippe::N,qarloq,устна
7,Wange::N,ersaq,буза
8,Gesicht::N,kiinaq,лице
9,Gesicht::N,kiinaq,образ
10,Stirn::N,qaaq,чело
11,Haar::N,meqqoq,коса
12,Haar::N,meqqoq,косъм
13,Bart::N,umik,брада
14,Kinn::N,talloq,брада
15,Kinn::N,talloq,брадичка
16,Kiefer[Anatomie]::N,alleroq,челюст
17,Kehle::N,malaq,гърло
18,Hals::N,qungaseq,врат
19,Genick::N,pukusuk,тил
20,Kopf::N,niaqoq,глава
21,Rücken::N,qimerlut,гръб
22,Bauch::N,naaq,корем
23,Nabel::N,qalaseq,пъп
24,Busen::N,iviangeq,бозка
25,Brust::N,iviangeq,гръд
26,Schulter::N,ersik,рамо
27,Schulter::N,ersik,плещи
28,Schulter::N,assaqqoq,рамо
29,Schulter::N,assaqqoq,плещи
30,Arm::N,taleq,ръка
31,Ellenbogen::N,ikusik,лакът
32,Hand::N,assak,ръка
33,Hand::N,assak,китка
34,Handfläche::N,itumak,длан
35,Finger::N,inuak,пръст
36,Fingernagel::N,kikiak,нокът
37,Nagel[Anatomie]::N,kukik,нокът
38,Zeh::N,isigak,пръст на крак
39,Ferse::N,kimmik,пета
40,Knie::N,seeqqoq,коляно
41,Oberschenkel::N,uppat,бедро
42,Oberschenkel::N,quttoraq,бедро
43,Bein::N,isigak,крак
44,Bein::N,isigak,нога
45,Körper::N,timi,тяло
46,Haut::N,mattak,кожа
47,Blut::N,aak,кръв
48,Ader::N,taqaq,вена
49,Ader::N,taqaq,артерия
50,Sehne::N,ujalu,жила
51,Sehne::N,ujalu,сухожилие
52,Sehne::N,ujaloq,жила
53,Sehne::N,ujaloq,сухожилие
54,Knochen::N,saanikut,кост
55,Gehirn::N,qarasaq,мозък
56,Herz::N,uummat,сърце
57,Magen::N,aqajaroq,стомах
58,Leber::N,tinguk,черен дроб
59,Atem::N,anerneq,дишане
60,Hunger::N,kaanneq,глад
61,Träne::N,qia,сълза
62,Träne::N,qiak,сълза
63,Geschmack::N,qilanaartuut,вкус
64,Geruch::N,tipi,миризма
65,Geruch::N,tipik,миризма
66,Traum::N,sinnattoq,сън
67,Traum::N,sinnattugaq,сън
68,Himmel::N,qilak,небе
69,Sonne::N,seqineq,слънце
70,Mond::N,qaammat,луна
71,Mond::N,qaammat,месец
72,Stern::N,ulloriaq,звезда
73,Luft::N,silaannaq,въздух
74,Wind::N,anori,вятър
75,Wind::N,anorsarik,вятър
76,Welle::N,aalappaa,вълна
77,Wasser::N,imeq,вода
78,Stein::N,ujarak,камък
79,Boden::N,nateq,земя
80,Boden::N,nateq,почва
81,Erde::N,issoq,земя
82,Erde::N,issoq,почва
83,Staub::N,pujualanerit,прах
84,Staub::N,pujoralanerit,прах
85,Rauch::N,iseq,дим
86,Rauch::N,iseq,пушек
87,Rauch::N,pujoq,дим
88,Rauch::N,pujoq,пушек
89,Funke::N,illoorneq,искра
90,Feuer::N,inneq,огън
91,Licht::N,qaamaneq,светлина
92,Schatten::N,tarraq,сянка
93,Wetter::N,sila,време
94,Nebel::N,pujoq,мъгла
95,Wolke::N,nuia,облак
96,Regen::N,sialuk,дъжд
97,Schnee::N,aput,сняг
98,Eis::N,siku,лед
99,Frost::N,issi,мраз
100,Frost::N,issik,мраз
101,Kälte::N,issi,студ
102,Hitze::N,kianneq,жега
103,Hitze::N,kianneq,горещина
104,Hitze::N,kiassuseq,жега
105,Hitze::N,kiassuseq,горещина
106,Raureif::N,kaneq,скреж
