,Concept_ID,mrj,br
136,Ei::N,мыны,vi
137,Nest::N,пӹжӓш,neizh
138,Bau::N,ыраж,douarenn
139,Tier::N,во́льык,loen
140,Herde::N,кӹтö,tropell
141,Kuh::N,ышкал,buoc'h
142,Bulle::N,ӱшкӱж,tarv
143,Pferd::N,имни,marc'h
144,Schaf::N,шарык,dañvad
145,Schwein::N,сасна,pemoc'h
146,Hund::N,пи,ki
147,Katze::N,коти,kazh
148,Bär::N,мöскӓ,arzh
149,Eichhörnchen::N,ур,gwiñver
150,Elch::N,шарды,karv-dour
151,Fuchs::N,рӹвӹж,louarn
152,Hase::N,морен,gad
153,Maus::N,каля,logodenn
154,Wolf::N,пирӹ,bleiz
155,Vogel::N,кек,labous
156,Schwarm::N,цуца,nijad
157,Huhn::N,цӹвӹ,yar
158,Hahn::N,ӓптӓн,kilhog
159,Gans::N,комбы,gwazenn
160,Adler::N,кучкыж,erer
161,Ente::N,лыды,houad
162,Eule::N,тымана,toud
163,Kranich::N,тырня,garan
164,Kranich::N,тыртня,garan
165,Krähe::N,лудыгарак,bran
166,Kuckuck::N,куку,koukoug
167,Schwan::N,йӱксӹ,alarc'h
168,Fisch::N,кол,pesk
169,Barsch::N,алангы,brell
170,Hecht::N,нуж,beked
171,Hecht::N,нужгол,beked
172,Schlange[Tier]::N,кӹшкы,naer
173,Wurm::N,шукш,preñv
174,Spinne::N,ӓнгӹремшӹ,kevnidenn
175,Ameise::N,кыткы,merion
176,Laus::N,ти,laouenn
177,Mücke::N,кужнер,moustik
178,Mücke::N,кужынер,moustik
179,Fliege::N,шӹнгӓ,kelienenn
180,Schmetterling::N,лӹпӹ,balafenn
181,Beere::N,мöр,hog
182,Apfel::N,олма,aval
183,Pilz::N,понгы,kabell-touseg
184,Zwiebel::N,охыра,ognonenn
185,Saat::N,нӱшмӹ,had
186,Saat::N,нӱшмӱ,had
187,Korn::N,пӹрцӹ,ed
188,Heu::N,шуды,foenn
189,Schale::N,аваха,peliadur
190,Schale::N,карлангы,peliadur
191,Grube::N,йӓм,
192,Falle::N,лӱдӹ,pech
193,Falle::N,лӱдӹш,pech
194,Schlinge::N,онгы,krouglas
195,Spur::N,кишӓ,
196,Asche::N,ломых,ludu
197,Asche::N,ломпыж,ludu
198,Dreck::N,лявӹрӓ,fank
199,Eisen::N,кӹртни,houarn
200,Gold::N,шöртни,aour
201,Gold::N,шöртньӹ,aour
202,Silber::N,ши,arc'hant
203,Kohle::N,шӱ,glaou
204,Glas::N,охоница,gwer
205,Lehm::N,шун,
206,Sand::N,ошма,traezh
207,Mensch::N,эдем,den
208,Mann::N,пӱэргӹ,den
209,Frau::N,ӹдӹрӓмӓш,maouez
210,Kind::N,ӓзӓ,bugel
211,Kind::N,шачшы,bugel
212,Junge::N,рвезӹ,paotr
213,Junge::N,ӹрвезӹ,paotr
214,Mädchen::N,ӹдӹрӓш,plac'h
215,Familie::N,йиш,familh
216,Familie::N,семня,familh
217,Großvater::N,тьоти,tad-kozh
218,Großmutter::N,папа,mamm-gozh
219,Eltern::N,ӓтя-ӓвӓ,kerent
220,Vater::N,ӓтя,tad
221,Mutter::N,ӓвӓ,mamm
222,Sohn::N,эргӹ,mab
223,Tochter::N,ӹдӹр,merc'h
224,Bruder::N,ӹза,breur
225,Schwester::N,ӓкӓ,c'hoar
226,Onkel::N,кугуза,eontr
227,Tante::N,куака,moereb
228,Ehemann::N,мары,gwaz
229,Ehefrau::N,вӓтӹ,gwreg
230,Freude::N,ӹвӹртӹмӓш,levenez
231,Gelächter::N,ваштылмаш,c'hoarzherezh
232,Glück::N,пиӓл,chañs
233,Kummer::N,ясы,doan
234,Wunsch::N,охата,c'hoant
235,Wunsch::N,шанымаш,c'hoant
