,Concept_ID,hy,et
0,Auge::N,աչք,silm
1,Ohr::N,ականջ,kõrv
2,Nase::N,քիթ,nina
3,Mund::N,բերան,suu
4,Zahn::N,ատամ,hammas
5,Zunge::N,լեզու,keel
6,Lippe::N,շրթունք,huul
7,Wange::N,այտ,põsk
8,Wange::N,թուշ,põsk
9,Gesicht::N,դեմք,nägu
10,Stirn::N,ճակատ,otsmik
11,Haar::N,մազ,juus
12,Schnurrbart::N,բեղ,vurrud
13,Schnurrbart::N,բեղ,vuntsid
14,Bart::N,մորուք,habe
15,Kinn::N,կզակ,lõug
16,Kiefer[Anatomie]::N,ծնոտ,lõualuu
17,Kehle::N,կոկորդ,kõri
18,Hals::N,վիզ,kael
19,Hals::N,պարանոց,kael
20,Genick::N,ծոծրակ,kukal
21,Kopf::N,գլուխ,pea
22,Rücken::N,մեջք,selg
23,Bauch::N,փոր,kõht
24,Bauch::N,որովայն,kõht
25,Nabel::N,պորտ,naba
26,Busen::N,ծոց,rind
27,Brust::N,կուրծք,rind
28,Schulter::N,ուս,õlg
29,Arm::N,թեւ,käsivars
30,Arm::N,բազուկ,käsivars
31,Ellenbogen::N,արմունկ,küünarnukk
32,Hand::N,ձեռք,käsi
33,Handfläche::N,ափ,pihk
34,Finger::N,մատ,sõrm
35,Fingernagel::N,եղունգ,küüs
36,Nagel[Anatomie]::N,եղունգ,küüs
37,Zeh::N,ոտքի մատ,varvas
38,Fuß::N,ոտք,jalg
39,Ferse::N,գարշապար,kand
40,Knie::N,ծունկ,põlv
41,Oberschenkel::N,ազդր,reis
42,Bein::N,ոտք,jalg
43,Körper::N,մարմին,ihu
44,Körper::N,մարմին,keha
45,Haut::N,մաշկ,nahk
46,Blut::N,արյուն,veri
47,Ader::N,երակ,veen
48,Sehne::N,ջիղ,kõõlus
49,Sehne::N,ձգտան,kõõlus
50,Knochen::N,ոսկոր,luu
51,Gehirn::N,խելք,aju
52,Herz::N,սիրտ,süda
53,Magen::N,ստամոքս,magu
54,Leber::N,լյարդ,maks
55,Atem::N,շունչ,hingeõhk
56,Atem::N,շունչ,hingamine
57,Hunger::N,քաղց,nälg
58,Träne::N,արտասուք,pisar
59,Geschmack::N,համ,maitse
60,Geschmack::N,բուրմունք,maitse
61,Geruch::N,հոտ,lõhn
62,Geruch::N,բուրում,lõhn
63,Schlaf::N,քուն,uni
64,Traum::N,երազ,unenägu
65,Himmel::N,երկինք,taevas
66,Sonne::N,արեւ,päike
67,Mond::N,լուսին,kuu
68,Stern::N,աստղ,täht
69,Luft::N,օդ,õhk
70,Wind::N,քամի,tuul
71,Welle::N,ալիք,laine
72,Wasser::N,ջուր,vesi
73,Stein::N,քար,kivi
74,Boden::N,գետին,maa
75,Boden::N,գետին,pinnas
76,Erde::N,հող,maa
77,Staub::N,փոշի,põrm
78,Rauch::N,ծուխ,suits
79,Funke::N,կայծ,säde
80,Feuer::N,կրակ,tuli
81,Feuer::N,հրդեհ,tuli
82,Licht::N,լույս,valgus
83,Schatten::N,ստվեր,vari
84,Wetter::N,եղանակ,ilm
85,Nebel::N,մեգ,udu
86,Nebel::N,մառախուղ,udu
87,Wolke::N,ամպ,pilv
88,Regen::N,անձրև,sadu
89,Schnee::N,ձյուն,lumi
90,Eis::N,սառույց,jää
91,Frost::N,սառնամանիք,pakane
92,Kälte::N,դող,külm
93,Kälte::N,դող,külmus
94,Hitze::N,շոգ,kuumus
95,Hitze::N,շոգ,palavus
96,Raureif::N,ցօղեղեամ,härmatis
97,Regenbogen::N,ծիածան,vikerkaar
98,Donner::N,որոտ,kõu
99,Donner::N,որոտ,müristamine
100,Strömung::N,հոսանք,voolus
101,Strömung::N,հոսանք,jõevool
102,Tropfen::N,կաթիլ,tilk
103,Schaum::N,փրփուր,vaht
104,Schmutz::N,կեղտ,pori
105,Schmutz::N,կեղտ,mustus
106,See::N,լիճ,järv
107,Sumpf::N,ճահիճ,soo
108,Moor::N,ճահիճ,raba
109,Wiese::N,մարգագետին,aas
110,Wiese::N,մարգագետին,nurm
111,Wald::N,անտառ,mets
112,Hügel::N,բլուր,küngas
113,Anhöhe::N,բարձունք,küngas
114,Berg::N,լեռ,mägi
115,Gipfel::N,գագաթ,mäetipp
116,Gipfel::N,կատար,mäetipp
117,Höhle::N,քարայր,koobas
118,Abhang::N,լանջ,nõlvak
119,Abhang::N,զառիվայր,nõlvak
120,Quelle::N,աղբյուր,allikas
121,Bach::N,վտակ,oja
122,Fluss::N,գետ,jõgi
123,Ufer::N,ծովափ,kallas
124,Küste::N,ափ,rannik
125,Küste::N,ծովափ,rannik
126,Festland::N,ցամաք,mander
127,Festland::N,ցամաք,maismaa
128,Meer::N,ծով,meri
129,Bucht::N,հաչիւն,laht
130,Insel::N,վղզի,saar
131,Blume::N,ծաղիկ,lill
132,Gras::N,խոտ,rohi
133,Wurzel::N,արմատ,juur
134,Baum::N,ծառ,puu
135,Stamm::N,իրան,tüvi
136,Rinde::N,կեղեւ,koor
137,Rinde::N,հաչոց,koor
138,Ast::N,ճյուղ,oks
139,Zweig::N,ճյուղ,oks
140,Blatt::N,տերեւ,leht
141,Birke::N,ցարասի,kask
142,Kiefer[Baum]::N,սոճի,mänd
143,Weide[Baum]::N,ուռենի,paju
144,Tanne::N,եղեւին,nulg
145,Feder::N,փետուր,sulg
146,Fell::N,մորթի,karvkate
147,Fell::N,մորթի,karusnahk
148,Flügel::N,թեւ,tiib
149,Flügel::N,թեւ,tiivik
150,Klaue::N,չանչ,küüs
151,Kralle::N,ճանկ,küünis
152,Schwanz::N,պոչ,saba
153,Ei::N,ձու,muna
154,Nest::N,բույն,pesa
155,Bau::N,որջ,urg
156,Bau::N,բայոց,urg
157,Tier::N,կենդանի,loom
158,Herde::N,հոտ,kari
159,Kuh::N,կով,lehm
160,Bulle::N,ցուլ,pull
161,Pferd::N,ձի,hobune
162,Schaf::N,ոչխար,lammas
163,Schwein::N,խոզ,siga
164,Hund::N,շուն,koer
165,Katze::N,կատու,kass
166,Bär::N,արջ,karu
167,Eichhörnchen::N,սկյուռ,orav
168,Elch::N,հիւսիսային եղջերու,põder
169,Fuchs::N,աղվես,rebane
170,Hase::N,նապաստակ,jänes
171,Maus::N,մուկ,hiir
172,Wolf::N,գայլ,hunt
173,Vogel::N,թռչուն,lind
174,Schwarm::N,երամ,parv
175,Huhn::N,հավ,kana
176,Hahn::N,աքաղաղ,kukk
177,Gans::N,սագ,hani
178,Adler::N,արծիվ,kotkas
179,Ente::N,բադ,part
180,Eule::N,բու,kakk
181,Eule::N,բու,öökull
182,Kranich::N,կռունկ,kurg
183,Krähe::N,ագռավ,vares
184,Kuckuck::N,կուկու,kägu
185,Schwan::N,կարապ,luik
186,Fisch::N,ձուկ,kala
187,Barsch::N,պերկես,ahven
188,Hecht::N,գայլաձուկ,haug
189,Schlange[Tier]::N,օձ,uss
190,Wurm::N,որդ,uss
191,Wurm::N,որդ,vagel
192,Wurm::N,ճիճու,uss
193,Wurm::N,ճիճու,vagel
194,Spinne::N,սարդ,ämblik
195,Ameise::N,միջյուն,sipelgas
196,Laus::N,ոջիլ,täi
197,Mücke::N,մժղուկ,sääsk
198,Fliege::N,ճանճ,kärbes
199,Schmetterling::N,թիթեռ,liblikas
200,Beere::N,հատապտուղ,mari
201,Apfel::N,խնձոր,õun
202,Pilz::N,սունկ,seen
203,Zwiebel::N,սոխ,sibul
204,Saat::N,սերմ,seeme
205,Korn::N,հատիկ,iva
206,Korn::N,հատիկ,tera
207,Heu::N,խոտ,hein
208,Schale::N,կեղեւ,koor
209,Grube::N,փոս,kaevand
210,Falle::N,ծուղակ,lõks
211,Falle::N,ծուղակ,püünis
212,Schlinge::N,խեղդան,aas
213,Spur::N,հետք,jälg
214,Asche::N,մոխիր,tuhk
215,Dreck::N,աղտ,saast
216,Dreck::N,աղտ,mustus
217,Eisen::N,երկաթ,raud
218,Gold::N,ոսկի,kuld
219,Silber::N,արծաթ,hõbe
220,Kohle::N,քարածուխ,süsi
221,Glas::N,ապակի,klaas
222,Lehm::N,կավ,savi
223,Sand::N,ավազ,liiv
224,Mensch::N,մարդ,inimene
225,Mann::N,մարդ,mees
226,Mann::N,տղամարդ,mees
227,Frau::N,կին,naine
228,Kind::N,զավակ,laps
229,Junge::N,տղա,poiss
230,Mädchen::N,աղջիկ,tüdruk
231,Familie::N,ընտանիք,perekond
232,Großvater::N,պապ,vanaisa
233,Großmutter::N,տատ,vanaema
234,Eltern::N,ծնողներ,vanemad
235,Vater::N,հայր,isa
236,Mutter::N,մայր,ema
237,Sohn::N,որդի,poeg
238,Tochter::N,աղջիկ,tütar
239,Tochter::N,դուստր,tütar
240,Bruder::N,եղբայր,vend
241,Schwester::N,քույր,õde
242,Onkel::N,քեռի,onu
243,Onkel::N,հորեղբայր,onu
244,Tante::N,մորաքույր,tädi
245,Ehemann::N,մարդ,mees
246,Ehemann::N,մարդ,abikaasa
247,Ehemann::N,ամուսին,mees
248,Ehemann::N,ամուսին,abikaasa
