,Concept_ID,et,de
0,Auge::N,silm,Auge
1,Ohr::N,kõrv,Ohr
2,Nase::N,nina,Nase
3,Mund::N,suu,Mund
4,Zahn::N,hammas,Zahn
5,Zunge::N,keel,Zunge
6,Lippe::N,huul,Lippe
7,Wange::N,põsk,Wange
8,Gesicht::N,nägu,Gesicht
9,Stirn::N,otsmik,Stirn
10,Haar::N,juus,Haar
11,Schnurrbart::N,vurrud,Schnurrbart
12,Schnurrbart::N,vuntsid,Schnurrbart
13,Bart::N,habe,Bart
14,Kinn::N,lõug,Kinn
15,Kiefer[Anatomie]::N,lõualuu,Kiefer
16,Kehle::N,kõri,Kehle
17,Hals::N,kael,Hals
18,Genick::N,kukal,Genick
19,Kopf::N,pea,Kopf
20,Rücken::N,selg,Rücken
21,Bauch::N,kõht,Bauch
22,Nabel::N,naba,Nabel
23,Busen::N,rind,Busen
24,Brust::N,rind,Brust
25,Schulter::N,õlg,Schulter
26,Arm::N,käsivars,Arm
27,Ellenbogen::N,küünarnukk,Ellenbogen
28,Hand::N,käsi,Hand
29,Handfläche::N,pihk,Handfläche
30,Finger::N,sõrm,Finger
31,Fingernagel::N,küüs,Fingernagel
32,Nagel[Anatomie]::N,küüs,Nagel
33,Zeh::N,varvas,Zeh
34,Fuß::N,jalg,Fuß
35,Ferse::N,kand,Ferse
36,Knie::N,põlv,Knie
37,Oberschenkel::N,reis,Oberschenkel
38,Bein::N,jalg,Bein
39,Körper::N,ihu,Körper
40,Körper::N,keha,Körper
41,Haut::N,nahk,Haut
42,Blut::N,veri,Blut
43,Ader::N,veen,Ader
44,Sehne::N,kõõlus,Sehne
45,Knochen::N,luu,Knochen
46,Gehirn::N,aju,Gehirn
47,Herz::N,süda,Herz
48,Magen::N,magu,Magen
49,Leber::N,maks,Leber
50,Atem::N,hingeõhk,Atem
51,Atem::N,hingamine,Atem
52,Hunger::N,nälg,Hunger
53,Träne::N,pisar,Träne
54,Geschmack::N,maitse,Geschmack
55,Geruch::N,lõhn,Geruch
56,Schlaf::N,uni,Schlaf
57,Traum::N,unenägu,Traum
58,Himmel::N,taevas,Himmel
59,Sonne::N,päike,Sonne
60,Mond::N,kuu,Mond
61,Stern::N,täht,Stern
62,Luft::N,õhk,Luft
63,Wind::N,tuul,Wind
64,Welle::N,laine,Welle
65,Wasser::N,vesi,Wasser
66,Stein::N,kivi,Stein
67,Boden::N,maa,Boden
68,Boden::N,pinnas,Boden
69,Erde::N,maa,Erde
70,Staub::N,põrm,Staub
71,Rauch::N,suits,Rauch
72,Funke::N,säde,Funke
73,Feuer::N,tuli,Feuer
74,Licht::N,valgus,Licht
75,Schatten::N,vari,Schatten
76,Wetter::N,ilm,Wetter
77,Nebel::N,udu,Nebel
78,Wolke::N,pilv,Wolke
79,Regen::N,sadu,Regen
80,Schnee::N,lumi,Schnee
81,Eis::N,jää,Eis
82,Frost::N,pakane,Frost
83,Kälte::N,külm,Kälte
84,Kälte::N,külmus,Kälte
85,Hitze::N,kuumus,Hitze
86,Hitze::N,palavus,Hitze
87,Raureif::N,härmatis,Raureif
88,Regenbogen::N,vikerkaar,Regenbogen
89,Donner::N,kõu,Donner
90,Donner::N,müristamine,Donner
91,Strömung::N,voolus,Strömung
92,Strömung::N,jõevool,Strömung
93,Tropfen::N,tilk,Tropfen
94,Schaum::N,vaht,Schaum
95,Schmutz::N,pori,Schmutz
96,Schmutz::N,mustus,Schmutz
97,See::N,järv,See
98,Sumpf::N,soo,Sumpf
99,Moor::N,raba,Moor
100,Wiese::N,aas,Wiese
101,Wiese::N,nurm,Wiese
102,Wald::N,mets,Wald
103,Hügel::N,küngas,Hügel
104,Anhöhe::N,küngas,Anhöhe
105,Berg::N,mägi,Berg
106,Gipfel::N,mäetipp,Gipfel
107,Höhle::N,koobas,Höhle
108,Abhang::N,nõlvak,Abhang
109,Quelle::N,allikas,Quelle
110,Bach::N,oja,Bach
111,Fluss::N,jõgi,Fluss
112,Ufer::N,kallas,Ufer
113,Küste::N,rannik,Küste
114,Festland::N,mander,Festland
115,Festland::N,maismaa,Festland
116,Meer::N,meri,Meer
