,Concept_ID,ml,ru
0,Auge::N,കണ്ണ്,глаз
1,Ohr::N,ചെവി,ухо
2,Nase::N,മൂക്ക്,нос
3,Mund::N,വായ,рот
4,Zahn::N,പല്ല്,зуб
5,Zunge::N,നാക്ക്,язык
6,Lippe::N,ചുണ്ട്,губа
7,Wange::N,കവിൾത്തടം,щека
8,Gesicht::N,മുഖം,лицо
9,Stirn::N,നെറ്റി,лоб
10,Haar::N,തലമുടി,волос
11,Haar::N,തലമുടി,волосы
12,Schnurrbart::N,മീശ,ус
13,Schnurrbart::N,മീശ,усы
14,Bart::N,താടിരോമം,борода
15,Kinn::N,താടി,подбородок
16,Kiefer[Anatomie]::N,താടിയെല്ല്,челюсть
17,Kehle::N,കണ്ഠനാളം,горло
18,Hals::N,കഴുത്ത്,шея
19,Genick::N,പിടലി,затылок
20,Kopf::N,തല,голова
21,Rücken::N,മുതുക്,спина
22,Bauch::N,നയറ്,живот
23,Nabel::N,നാഭി,пупок
24,Busen::N,സ്തനം,женская грудь
25,Brust::N,സ്തനം,грудь
26,Schulter::N,തോൾ,плечо
27,Arm::N,കൈ,рука
28,Ellenbogen::N,കൈമുട്ട്,локоть
29,Hand::N,കൈ,кисть
30,Handfläche::N,ഉള്ളം കൈ,ладонь
31,Finger::N,വിരൽ,палец
32,Fingernagel::N,നഖം,ноготь
33,Nagel[Anatomie]::N,നഖം,ноготь
34,Zeh::N,കാൽവിരൽ,палец
35,Fuß::N,കാൽപ്പാദം,ступня
36,Ferse::N,ഉപ്പൂറ്റി,пята
37,Ferse::N,ഉപ്പൂറ്റി,пятка
38,Knie::N,കാൽമുട്ട്,колено
39,Oberschenkel::N,തുട,бедро
40,Bein::N,കാൽ,нога
41,Körper::N,ശരീരം,тело
42,Haut::N,ചർമ്മം,кожа
43,Blut::N,രക്തം,кровь
44,Ader::N,ഞരമ്പ്,вена
45,Ader::N,ഞരമ്പ്,сосуд
46,Sehne::N,സ്നായു,жила
47,Sehne::N,സ്നായു,тетива
48,Sehne::N,സ്നായു,сухожилие
49,Knochen::N,അസ്ഥി,кость
50,Gehirn::N,തലച്ചോറ്,мозг
51,Herz::N,ഹൃദയം,сердце
52,Magen::N,വയർ,желудок
53,Leber::N,കരൾ,печень
54,Atem::N,ശ്വാസം,дух
55,Atem::N,ശ്വാസം,дыхание
56,Hunger::N,വിശപ്പ്,голод
57,Träne::N,കണ്ണീർ,слеза
58,Geschmack::N,രുചി,вкус
59,Geruch::N,ഗന്ധം,запах
60,Schlaf::N,ഉറകും,сон
61,Traum::N,സ്വപ്നം,сновидение
62,Himmel::N,ആകാശം,небо
63,Sonne::N,സൂര്യൻ,солнце
64,Mond::N,ചന്ദ്രൻ,луна
65,Stern::N,നക്ഷത്രം,звезда
66,Luft::N,കാറ്റ്,воздух
67,Wind::N,കാറ്റ്,ветер
68,Welle::N,തിരമാല,волна
69,Wasser::N,വെള്ളം,вода
70,Stein::N,ശില,камень
71,Stein::N,കല്ല്,камень
72,Boden::N,തറ,почва
73,Boden::N,നിലം,почва
74,Erde::N,മണ്ണ്,земля
75,Staub::N,പൊടി,пыль
76,Rauch::N,പുക,дым
77,Funke::N,തീപ്പൊരി,искра
78,Feuer::N,തീ,огонь
79,Licht::N,വിളക്ക്,свет
80,Licht::N,സൂര്യപ്രകാശം,свет
81,Schatten::N,തണൽ,тень
82,Wetter::N,കാലാവസ്ഥ,погода
83,Nebel::N,മൂടൽമഞ്ഞ്,туман
84,Wolke::N,മേഘം,облако
85,Regen::N,മഴ,дождь
86,Schnee::N,മഞ്ഞ്,снег
87,Eis::N,ഐസ്,лед
88,Frost::N,മൂടൽമഞ്ഞ്,мороз
89,Kälte::N,തണുപ്പ്,холод
90,Hitze::N,ചൂട്,жара
91,Raureif::N,കോടമഞ്ഞ്,иней
92,Regenbogen::N,മഴവില്ല്,радуга
93,Donner::N,ഇടി,гром
94,Strömung::N,പ്രവാഹം,течение
95,Tropfen::N,തുള്ളി,капля
96,Schaum::N,നുര,пена
