,Concept_ID,ce,fr
0,Auge::N,бӏаьрг,œil
1,Ohr::N,лерг,oreille
2,Nase::N,мара,nez
3,Mund::N,бага,bouche
4,Zahn::N,церг,dent
5,Zunge::N,мотт,langue
6,Lippe::N,балда,lèvre
7,Wange::N,бесни,joue
8,Gesicht::N,юьхь,face
9,Gesicht::N,юьхь,visage
10,Stirn::N,хьаж,front
11,Haar::N,мас,cheveu
12,Schnurrbart::N,мекх,moustache
13,Bart::N,маж,barbe
14,Kinn::N,чӏениг,menton
15,Kiefer[Anatomie]::N,мочхал,mâchoire
16,Kehle::N,къамкъарг,gorge
17,Hals::N,ворта,cou
18,Genick::N,кӏесаркӏаг,nuque
19,Kopf::N,корта,tête
20,Rücken::N,букъ,dos
21,Bauch::N,кийра,ventre
22,Nabel::N,цӏонга,nombril
23,Busen::N,зударийн накха,sein
24,Brust::N,накха,poitrine
25,Schulter::N,белш,épaule
26,Arm::N,пхьарс,bras
27,Ellenbogen::N,пхьаьрсан гола,coude
28,Hand::N,куьг,main
29,Handfläche::N,кераюкъ,paume
30,Finger::N,пӏелг,doigt
31,Fingernagel::N,мӏара,ongle
32,Nagel[Anatomie]::N,мӏара,ongle
33,Zeh::N,кога пӏелг,orteil
34,Zeh::N,кога пӏелг,doigt de pied
35,Fuß::N,ког,pied
36,Ferse::N,кӏажа,talon
37,Knie::N,гола,genou
38,Oberschenkel::N,варе,cuisse
39,Bein::N,ког,jambe
40,Körper::N,хӏума,corps
41,Haut::N,чкъор,peau
42,Blut::N,цӏий,sang
43,Ader::N,пха,veine
44,Sehne::N,хьорзам,tendon
45,Knochen::N,даьӏахк,os
46,Gehirn::N,хье,cerveau
47,Herz::N,дог,cœur
48,Magen::N,зорх,estomac
49,Leber::N,доӏах,foie
50,Atem::N,садеӏар,haleine
51,Hunger::N,мацалла,faim
52,Träne::N,бӏаьрхи,larme
53,Geschmack::N,чам,goût
54,Geschmack::N,чам,saveur
55,Geruch::N,хьожа,odeur
56,Schlaf::N,наб,sommeil
57,Traum::N,гӏан,songe
58,Himmel::N,стигал,ciel
59,Sonne::N,малх,soleil
60,Mond::N,бутт,lune
61,Stern::N,седа,étoile
62,Luft::N,xӏаваъ,air
63,Wind::N,мох,vent
64,Welle::N,тулгӏе,vague
65,Wasser::N,хи,eau
66,Stein::N,тӏулг,pierre
67,Boden::N,цӏенкъа,sol
68,Boden::N,цӏенкъа,terrain
69,Erde::N,латта,terre
70,Staub::N,чан,poussière
71,Rauch::N,кӏур,fumée
72,Funke::N,суй,étincelle
73,Feuer::N,цӏе,feu
74,Licht::N,серло,lumière
75,Schatten::N,ӏиндагӏ,ombre
76,Wetter::N,хенан хӏоттам,temps
77,Nebel::N,дохк,brume
78,Nebel::N,дохк,brouillard
79,Wolke::N,марха,nuage
80,Regen::N,догӏа,pluie
81,Schnee::N,ло,neige
