,Concept_ID,kk,ab
0,Auge::N,көз,ала
1,Ohr::N,құлақ,алымҳа
2,Nase::N,мұрын,аҧынҵа
3,Mund::N,ауыз,аҧышə
4,Zahn::N,тіс,ахаҧыц
5,Zunge::N,тіл,абз
6,Lippe::N,ерін,ақьышə
7,Wange::N,ұрт,аӡамҩа
8,Gesicht::N,бет-аузы,аҿы
9,Stirn::N,маңдай,алахь
10,Haar::N,қыл,ахəыц
11,Schnurrbart::N,мұрт,аҧаҵа
12,Bart::N,сақал,ажакьа
13,Kinn::N,иек,ацламкəыгə
14,Kiefer[Anatomie]::N,жақ,ацламҳəа
15,Kehle::N,алқым,ахəда
16,Hals::N,мойын,ахəда
17,Genick::N,желке,ахəдаџьал
18,Kopf::N,кәллә,ахы
19,Rücken::N,арқа,азқəа
20,Bauch::N,қарын,амгəа
21,Nabel::N,кіндік,аҷапан
22,Busen::N,омырау,агəыҧҳəы
23,Brust::N,кеуде,агəышҧы
24,Schulter::N,иық,ажəҩахыр
25,Arm::N,қол,амахəар
26,Ellenbogen::N,шынтақ,амашьхəылҵ
27,Hand::N,қол,анапы
28,Handfläche::N,алақан,анапсаргəыҵа
29,Finger::N,саусақ,анацəа
30,Fingernagel::N,тырнақ,анапхыц
31,Nagel[Anatomie]::N,тырнақ,ашьапхыц
32,Zeh::N,тырнақ,ашьацəа
33,Zeh::N,тұяқ,ашьацəа
34,Fuß::N,аяқ-басы,ашьапсыргəыҵа
35,Ferse::N,өкше,ашьхəа
36,Ferse::N,өкшелік,ашьхəа
37,Knie::N,тізе,ашьамхы
38,Oberschenkel::N,жамбас,ауаҭəа
39,Bein::N,аяқ,ашьапы
40,Körper::N,дене,ацəеижь
41,Haut::N,тері,ацəа
42,Blut::N,қан,ашьа
43,Ader::N,көктамыр,ада
44,Ader::N,күретамыр,ада
45,Sehne::N,сіңір,адаш
46,Knochen::N,жілік,абаҩ
47,Gehirn::N,ми,ахшлыбаҩ
48,Gehirn::N,ми,ахшыбаҩ
49,Herz::N,жүрек,агəы
50,Magen::N,асқазан,аца
51,Magen::N,асқазан,ацар
52,Leber::N,бауыр,агəаҵəа
53,Atem::N,леп,аҧсыҧлагаҩгара
54,Hunger::N,ашаршылық,амла
55,Träne::N,жас,алабжыш
56,Geschmack::N,дәм,агьама
57,Geschmack::N,татым,агьама
58,Geschmack::N,талғам,агьама
59,Geruch::N,иіс,афҩы
60,Schlaf::N,ұйқы,ацəа
61,Schlaf::N,ұйықтау,ацəа
62,Traum::N,түс,аҧхыӡ
63,Himmel::N,аспан,ажəҩан
64,Himmel::N,көқ,ажəҩан
65,Himmel::N,таңдай,ажəҩан
66,Sonne::N,күн,амра
67,Mond::N,ай,амза
68,Stern::N,жұлдыз,аеҵəа
69,Luft::N,әуе,аҳаир
70,Wind::N,жел,аҧша
71,Welle::N,толқын,ацəқəырҧа
72,Wasser::N,су,аӡы
73,Stein::N,тас,ахаҳə
74,Boden::N,қыртыс,адгьыл
75,Erde::N,топырақ,адгьыл
76,Staub::N,шаң,асаба
77,Rauch::N,түтін,алҩа
78,Funke::N,ұшқын,акəиц
79,Funke::N,ұшқын,ацҧхь
80,Feuer::N,алау,амца
81,Licht::N,шұғыла,алашара
82,Schatten::N,көлеңке,ашəшьыра
83,Wetter::N,ауа райы,амш
84,Nebel::N,тұман,анаҟəа
85,Wolke::N,бұлт,аҧсҭҳəа
86,Regen::N,жаңбыр,ақəа
87,Schnee::N,қар,асы
88,Eis::N,мұз,аҵаа
89,Frost::N,суық,аҵаа
90,Kälte::N,ызғар,ахьҭа
91,Kälte::N,суықтық,ахьҭа
92,Hitze::N,аптап,ашоура
93,Raureif::N,қырау,аҵааҧшқа
94,Regenbogen::N,кемпірқосақ,ацəаҟəа
95,Donner::N,күн күркіреу,адыд
96,Strömung::N,ағын,аиасра
97,Strömung::N,ағын,амҩасра
98,Tropfen::N,тамшы,ацəыкəбар
99,Schaum::N,көбік,ашəах
100,Schmutz::N,кір,алымт
101,See::N,көл,аӡиа
102,Sumpf::N,саз,аӡмах
103,Moor::N,саз,
104,Wiese::N,шалғын,адəы
105,Wald::N,орман,абна
106,Hügel::N,төбе,ахəы
107,Hügel::N,белес,ахəы
108,Hügel::N,белес-белес,ахəы
109,Anhöhe::N,дөң,аҳаракыра
110,Anhöhe::N,адыр,аҳаракыра
111,Anhöhe::N,қырат,аҳаракыра
112,Berg::N,тау,ашьха
113,Gipfel::N,төбе,ацəқəа
114,Höhle::N,үңгір,аҳаҧы
115,Abhang::N,бауыр,анаара
116,Quelle::N,қайнар,аҵҵырҭа
117,Bach::N,жылға,акəараҷҷа
118,Fluss::N,өзен,аӡиас
119,Ufer::N,жиек,ахықə
120,Küste::N,жиегі,ахықə
121,Küste::N,жағалау,ахықə
122,Festland::N,құрылық,абарра
123,Meer::N,теңіз,амшын
124,Bucht::N,шығанақ,аӡбжьахала
125,Insel::N,арал,адгьылбжьаха
126,Blume::N,гүл,ашəҭ
127,Gras::N,от,аҳасакьын
128,Wurzel::N,түбір,адац
129,Baum::N,ағаш,аҵла
130,Baum::N,дарақ,аҵла
131,Stamm::N,сояу,ашьапы
132,Stamm::N,оқпан,ашьапы
133,Rinde::N,қабық,ацəа
134,Ast::N,бұтақ,амахə
135,Ast::N,бұтақ,амахəҭа
136,Zweig::N,шыбық,амахə
137,Zweig::N,шыбық,амахəҭа
138,Blatt::N,жапырақ,абҕьы
139,Birke::N,қайың,аҵааҵла
140,Kiefer[Baum]::N,қарағай,амза
141,Weide[Baum]::N,тал,аҧслыш
142,Tanne::N,шырша,аҧсаӡ
143,Horn::N,мүйіз,атəыҩа
144,Feder::N,қаламұш,ахӡы
145,Fell::N,тері,ацəа
146,Flügel::N,қанат,амҵəыжəа
147,Klaue::N,тырнақ,ашьапхыц
148,Kralle::N,аяқ,
149,Schwanz::N,құйрық,аҵыхəа
150,Ei::N,жұмыртқа,акəтаӷь
151,Nest::N,ұя,аҭра
152,Nest::N,ұя,аҵысҭра
153,Bau::N,жатақ,аҭыҩра
154,Tier::N,айуан,аҧстəы
155,Tier::N,айуан,агыгшəыг
156,Tier::N,жануар,аҧстəы
157,Tier::N,жануар,агыгшəыг
158,Herde::N,пада,агəарҭа
159,Kuh::N,сиыр,ажə
160,Bulle::N,өгіз,ацə
161,Pferd::N,жылқы,аҽы
162,Schaf::N,қой,ауаса
163,Schwein::N,шошқа,аҳəа
164,Hund::N,ит,ала
165,Katze::N,мысық,ацгəы
166,Bär::N,аю,амшə
167,Eichhörnchen::N,тиін,аеш
168,Elch::N,бұғы,аҽаҩа
169,Fuchs::N,түлкі,абгахəыҷы
170,Hase::N,қоян,ажьа
171,Maus::N,қаптесер,аҳəынаҧ
172,Wolf::N,бөрі,абгаду
173,Wolf::N,қасқыр,абгаду
174,Vogel::N,құс,аҧсаатə
175,Schwarm::N,топ,
176,Schwarm::N,үйір,
177,Huhn::N,тауық,акəты
178,Huhn::N,мекиен,акəты
179,Hahn::N,әтеш,арбаҕь
180,Hahn::N,қораз,арбаҕь
181,Gans::N,қаз,аҟыз
182,Adler::N,бүркіт,ауарба
183,Ente::N,үйрек,акəата
184,Eule::N,жапалақ,аты
185,Kranich::N,тырна,апҟа
186,Krähe::N,қарға,аҟəараан
187,Kuckuck::N,көкек,акəыкəу
188,Schwan::N,аққу,агьад
189,Fisch::N,балық,аҧсыӡ
190,Barsch::N,алабұға,ацəыбла
191,Hecht::N,шортан,ахиаала
192,Schlange[Tier]::N,жылан,амаҭ
193,Wurm::N,шұбалшаң,ахəа
194,Wurm::N,шұбалшаң,ахəац
195,Spinne::N,өрмекші,абызкаҭаҳа
196,Ameise::N,қүмырска,ашышкамс
197,Laus::N,бит,аҵа
198,Mücke::N,маса,акəыбры
199,Fliege::N,шыбын,амҵ
200,Schmetterling::N,көбелек,аҧарҧалыкь
201,Beere::N,жидек,аргуц
202,Apfel::N,алма,аҵəа
203,Pilz::N,қозықұйрық,акəкəбаа
204,Pilz::N,саңыраукулақ,акəкəбаа
205,Zwiebel::N,жуа,аџьымшьы
206,Zwiebel::N,жуа,аџьымшьхы
207,Saat::N,тұқым,ажəла
208,Korn::N,дән,арыц
209,Heu::N,шөп,аҭəа
210,Schale::N,қабық,ацəа
211,Schale::N,қабығы,ацəа
212,Grube::N,ор,ажра
213,Grube::N,ор,атыша
214,Falle::N,дұзақ,арыҧҟьа
215,Falle::N,қақпан,арыҧҟьа
216,Schlinge::N,ілмек,аҟəараҟəантə
217,Spur::N,із,ашьҭа
218,Asche::N,күл,ахəа
219,Dreck::N,былғаныш,аҳəынҵəа
220,Dreck::N,былғаныш,аҟьамсар
221,Eisen::N,темір,аиха
222,Gold::N,алтын,ахьы
223,Silber::N,күміс,аразны
224,Kohle::N,көмір,арацəа
225,Glas::N,шыны,асаркьа
226,Lehm::N,балшық,анышəаҧшь
227,Sand::N,құм,аҧслымӡ
228,Mensch::N,адам,ауаҩы
229,Mann::N,еркек,ахаҵа
230,Mann::N,ер адам,ахаҵа
231,Frau::N,бике,аҧҳəыс
232,Frau::N,қатын,аҧҳəыс
233,Kind::N,бала,ахəыҷы
234,Kind::N,перзент,ахəыҷы
235,Junge::N,бала,аҷкəын
236,Junge::N,бала,ахаҵарҧыс
237,Junge::N,ер бала,аҷкəын
238,Junge::N,ер бала,ахаҵарҧыс
239,Mädchen::N,қыз,аӡӷаб
240,Familie::N,жанұя,аҭаацəа
241,Großvater::N,ата,абду
242,Großmutter::N,әже,анду
243,Großmutter::N,әжей,анду
244,Eltern::N,ата-аналар,ани аби
245,Vater::N,әке,аб
246,Mutter::N,ана,ан
247,Sohn::N,ұл,аҧа
248,Tochter::N,қызым,аҧҳа
249,Bruder::N,бауырым,аиашьа
250,Schwester::N,әпке,Аҳəшьа
251,Onkel::N,көке,абиашьа
252,Onkel::N,көке,аншьа
253,Tante::N,тәте,абиаҳəшьа
254,Ehemann::N,ер,ахаҵа
255,Ehemann::N,ер,аҧшəма
256,Ehefrau::N,зайып,аҧҳəыс
257,Freude::N,қуаныш,агəырӷьара
258,Freude::N,сүйініш,агəырӷьара
259,Freude::N,шат-думан,агəырӷьара
260,Freude::N,қуаныштылық,агəырӷьара
261,Gelächter::N,күлу,ачча
262,Gelächter::N,күлу,аччара
263,Glück::N,бақыт,аразҟы
264,Glück::N,бақыттылық,аразҟы
265,Kummer::N,аза,агəырҩа
266,Kummer::N,қайғы,агəырҩа
267,Kummer::N,қасырет,агəырҩа
268,Wunsch::N,мүдде,агəхəтəы
269,Wunsch::N,мүдде,аҭахра
270,Lust::N,тәбет,агəазыҳəара
271,Lust::N,ынтызар,агəазыҳəара
272,Lust::N,құштарлық,агəазыҳəара
273,Geist::N,рух,аҧсы
274,Gedanke::N,ой,ахəыцырҭа
275,Gedächtnis::N,ес,агəынкылара
276,Gedächtnis::N,жады,агəынкылара
277,Gedächtnis::N,ақыл-ес,агəынкылара
278,Verstand::N,ақыл,ахшыҩ
279,Verstand::N,парасат,ахшыҩ
280,Sinn::N,мән,аҵакы
281,Sinn::N,маныз,аҵакы
282,Sinn::N,мағына,аҵакы
283,Sinn::N,мән-мағына,аҵакы
284,Grund::N,себеп,амзыз
285,Wahrheit::N,рас,аиаша
286,Gespräch::N,әңгіме,аиҿцәажәара
287,Märchen::N,ертеп,алакə
288,Märchen::N,ертек,алакə
289,Erzählung::N,әңгіме,ажәабжь
290,Nachricht::N,хабар,адырраҭара
291,Neuigkeit::N,жаңалық,ажәабжь ҿыц
292,Name::N,ат,ахьӡ
293,Name::N,атау,ахьӡ
294,Rätsel::N,жұмбақ,ацуфара
295,Rede::N,сөз,ажәа
296,Sprache::N,тіл,абызшəа
297,Stimme::N,үн,абжьы
298,Stimme::N,әуен,абжьы
299,Stimme::N,дауыс,абжьы
300,Wort::N,сөз,ажәа
301,Zeichen::N,ишара,адырга
302,Ruf::N,айғай,аҿҭы
303,Lärm::N,айғай-шу,ашьҭыбжь
304,Lärm::N,айғай-ұйғай,ашьҭыбжь
305,Laut::N,дыбыс,ашьҭыбжь
306,Laut::N,дауыс,ашьҭыбжь
