,Concept_ID,nl,ko
0,Auge::N,oog,눈
1,Ohr::N,oor,귀
2,Nase::N,neus,코
3,Mund::N,mond,입
4,Zahn::N,tand,이
5,Zunge::N,tong,혀
6,Lippe::N,lip,입술
7,Wange::N,wang,뺨
8,Gesicht::N,gelaat,얼굴
9,Gesicht::N,gezicht,얼굴
10,Stirn::N,voorhoofd,이마
11,Haar::N,haar,털
12,Schnurrbart::N,snor,윗수몀
13,Schnurrbart::N,snor,코밑수염
14,Bart::N,baard,수엄
15,Kinn::N,kin,아래턱
16,Kiefer[Anatomie]::N,kaak,턱
17,Kehle::N,keel,인후
18,Kehle::N,strot,인후
19,Hals::N,hals,목
20,Genick::N,nek,먹덜이
21,Kopf::N,hoofd,머리
22,Rücken::N,rug,든
23,Bauch::N,buik,배
24,Nabel::N,navel,배꼽
25,Busen::N,boezem,가슴속
26,Brust::N,borst,가슴
27,Schulter::N,schouder,어깨
28,Arm::N,arm,팔
29,Ellenbogen::N,elleboog,팔쿰치
30,Hand::N,hand,손
31,Handfläche::N,handpalm,손바닥
32,Finger::N,vinger,속가락
33,Fingernagel::N,nagel,손톱
34,Nagel[Anatomie]::N,nagel,손톱
35,Zeh::N,teen,발가락
36,Fuß::N,voet,발
37,Ferse::N,hak,발꿈치
38,Ferse::N,hiel,발꿈치
39,Knie::N,knie,무릎
40,Oberschenkel::N,dij,허벅다리
41,Bein::N,been,다리
42,Körper::N,lichaam,구간
43,Haut::N,huid,살갗
44,Blut::N,bloed,피
45,Ader::N,ader,정맥
46,Sehne::N,pees,현
47,Knochen::N,bot,뼈
48,Knochen::N,been,뼈
49,Knochen::N,knook,뼈
50,Gehirn::N,hersenen,뇌
51,Gehirn::N,hersenen,뇌수
52,Herz::N,hart,염통
53,Magen::N,maag,위
54,Leber::N,lever,간
55,Atem::N,adem,기식
56,Hunger::N,honger,공복
57,Träne::N,traan,눈물
58,Geschmack::N,smaak,기호
59,Geruch::N,geur,냄새
60,Schlaf::N,slaap,수면
61,Traum::N,droom,쿰
62,Himmel::N,hemel,하늘
63,Sonne::N,zon,해
64,Mond::N,maan,달
65,Stern::N,ster,별
66,Luft::N,lucht,동준
67,Luft::N,lucht,가스채
68,Wind::N,wind,바람
69,Welle::N,golf,물결
70,Wasser::N,water,물
71,Stein::N,steen,돌
72,Boden::N,grond,바닥
73,Erde::N,aarde,흙
74,Staub::N,stof,먼지
75,Rauch::N,rook,연기
76,Funke::N,vonk,불티
77,Feuer::N,vuur,불
78,Licht::N,licht,불
79,Schatten::N,schaduw,어스레함
80,Wetter::N,weer,기상
81,Nebel::N,mist,안개
82,Nebel::N,nevel,안개
83,Wolke::N,wolk,구름
84,Regen::N,regen,비
85,Schnee::N,sneeuw,눈
86,Eis::N,ijs,얼음
