,Concept_ID,ru,cs
0,Auge::N,глаз,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,pusa
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jazyk
6,Lippe::N,губа,ret
7,Wange::N,щека,tvář
8,Gesicht::N,лицо,obličej
9,Stirn::N,лоб,čelo
10,Haar::N,волос,vlas
11,Haar::N,волос,vlasy
12,Haar::N,волосы,vlas
13,Haar::N,волосы,vlasy
14,Schnurrbart::N,ус,kníry
15,Schnurrbart::N,усы,kníry
16,Bart::N,борода,vousy
17,Kinn::N,подбородок,brada
18,Kiefer[Anatomie]::N,челюсть,čelist
19,Kehle::N,горло,hrdlo
20,Hals::N,шея,krk
21,Genick::N,затылок,týl
22,Kopf::N,голова,hlava
23,Rücken::N,спина,záda
24,Rücken::N,спина,hřbet
25,Bauch::N,живот,břicho
26,Nabel::N,пупок,pupek
27,Busen::N,женская грудь,ňadra
28,Brust::N,грудь,prsa
29,Schulter::N,плечо,plece
30,Schulter::N,плечо,rameno
31,Arm::N,рука,ruka
32,Ellenbogen::N,локоть,loket
33,Hand::N,кисть,ruka
34,Handfläche::N,ладонь,dlaň
35,Finger::N,палец,prst
36,Fingernagel::N,ноготь,nehet
37,Nagel[Anatomie]::N,ноготь,nehet
38,Zeh::N,палец,prst u nohy
39,Fuß::N,ступня,noha
40,Ferse::N,пята,pata
41,Ferse::N,пятка,pata
42,Knie::N,колено,koleno
43,Oberschenkel::N,бедро,stehno
44,Bein::N,нога,noha
45,Körper::N,тело,tělo
46,Haut::N,кожа,kůže
47,Blut::N,кровь,krev
48,Ader::N,вена,céva
49,Ader::N,сосуд,céva
50,Sehne::N,жила,šlacha
51,Sehne::N,тетива,šlacha
52,Sehne::N,сухожилие,šlacha
53,Knochen::N,кость,kost
54,Gehirn::N,мозг,mozek
55,Herz::N,сердце,srdce
56,Magen::N,желудок,žaludek
57,Leber::N,печень,játra
58,Atem::N,дух,dech
59,Atem::N,дыхание,dech
60,Hunger::N,голод,hlad
61,Träne::N,слеза,slza
62,Geschmack::N,вкус,vkus
63,Geruch::N,запах,vůně
64,Geruch::N,запах,zápach
65,Schlaf::N,сон,spánek
66,Traum::N,сновидение,sen
67,Himmel::N,небо,nebe
68,Sonne::N,солнце,slunce
69,Mond::N,луна,měsíc
70,Stern::N,звезда,hvězda
71,Luft::N,воздух,vzduch
72,Wind::N,ветер,vítr
73,Welle::N,волна,vlna
74,Wasser::N,вода,voda
75,Stein::N,камень,kámen
76,Boden::N,почва,půda
77,Erde::N,земля,země
78,Staub::N,пыль,prach
79,Rauch::N,дым,dým
80,Rauch::N,дым,kouř
81,Funke::N,искра,jiskra
82,Feuer::N,огонь,oheň
83,Licht::N,свет,světlo
84,Schatten::N,тень,stín
85,Wetter::N,погода,počasí
86,Nebel::N,туман,mlha
87,Wolke::N,облако,mrak
88,Wolke::N,облако,oblak
89,Regen::N,дождь,déšť
90,Schnee::N,снег,sníh
91,Eis::N,лед,led
92,Frost::N,мороз,mráz
93,Kälte::N,холод,chlad
94,Hitze::N,жара,horko
95,Raureif::N,иней,jinovatka
96,Regenbogen::N,радуга,duha
97,Donner::N,гром,hrom
98,Strömung::N,течение,proudění
99,Tropfen::N,капля,kapka
100,Schaum::N,пена,pěna
101,Schmutz::N,грязь,špína
102,See::N,озеро,jezero
103,Sumpf::N,топь,močál
104,Sumpf::N,топь,bažina
105,Moor::N,болото,bažina
106,Moor::N,болото,slatina
107,Wiese::N,луг,louka
108,Wald::N,лес,les
109,Hügel::N,холм,kopec
110,Anhöhe::N,возвышенность,pahorek
111,Berg::N,гора,hora
112,Gipfel::N,вершина,vrchol
113,Höhle::N,пещера,jeskyně
114,Abhang::N,склон,svah
115,Abhang::N,склон,stráň
116,Quelle::N,источник,pramen
117,Bach::N,ручей,potok
118,Fluss::N,река,řeka
119,Ufer::N,берег,břeh
120,Küste::N,побережье,pobřeží
121,Festland::N,суша,souš
122,Festland::N,суша,pevnina
123,Meer::N,море,moře
124,Bucht::N,бухта,záliv
125,Bucht::N,бухта,zátoka
126,Insel::N,остров,ostrov
127,Blume::N,цветок,květina
128,Gras::N,трава,tráva
129,Wurzel::N,корень,kořen
130,Baum::N,дерево,strom
131,Stamm::N,ствол,kmen
132,Rinde::N,кора,kůra
133,Ast::N,сук,větev
134,Zweig::N,ветвь,větev
135,Blatt::N,лист,lupen
136,Birke::N,береза,bříza
137,Kiefer[Baum]::N,сосна,sosna
138,Kiefer[Baum]::N,сосна,borovice
139,Weide[Baum]::N,ива,vrba
140,Tanne::N,ель,jedle
141,Horn::N,рог,roh
142,Feder::N,перо,pero
143,Fell::N,шкура,srst
144,Flügel::N,крыло,křídlo
145,Klaue::N,коготь,dráp
146,Klaue::N,коготь,pazneht
147,Kralle::N,лапа,dráp
148,Schwanz::N,хвост,ocas
