,Concept_ID,it,cs
0,Auge::N,occhio,oko
1,Ohr::N,orecchio,ucho
2,Nase::N,naso,nos
3,Mund::N,bocca,pusa
4,Zahn::N,dente,zub
5,Zunge::N,lingua,jazyk
6,Lippe::N,labbro,ret
7,Wange::N,guancia,tvář
8,Gesicht::N,viso,obličej
9,Gesicht::N,faccia,obličej
10,Stirn::N,fronte,čelo
11,Haar::N,capello,vlas
12,Haar::N,capello,vlasy
13,Schnurrbart::N,baffi,kníry
14,Schnurrbart::N,mustacchi,kníry
15,Bart::N,barba,vousy
16,Kinn::N,mento,brada
17,Kiefer[Anatomie]::N,mascella,čelist
18,Kehle::N,gola,hrdlo
19,Hals::N,collo,krk
20,Genick::N,nuca,týl
21,Kopf::N,capo,hlava
22,Kopf::N,testa,hlava
23,Rücken::N,dorso,záda
24,Rücken::N,dorso,hřbet
25,Rücken::N,schiena,záda
26,Rücken::N,schiena,hřbet
27,Bauch::N,ventre,břicho
28,Nabel::N,ombelico,pupek
29,Busen::N,seno,ňadra
30,Brust::N,petto,prsa
31,Schulter::N,spalla,plece
32,Schulter::N,spalla,rameno
33,Arm::N,braccio,ruka
34,Ellenbogen::N,gomito,loket
35,Hand::N,mano,ruka
36,Handfläche::N,palma,dlaň
37,Finger::N,dito,prst
38,Fingernagel::N,unghia,nehet
39,Nagel[Anatomie]::N,unghia,nehet
40,Zeh::N,dito del piede,prst u nohy
41,Fuß::N,piede,noha
42,Ferse::N,tallone,pata
43,Ferse::N,calcagno,pata
44,Knie::N,ginocchio,koleno
45,Oberschenkel::N,fèmore,stehno
46,Bein::N,gamba,noha
47,Körper::N,corpo,tělo
48,Haut::N,pelle,kůže
49,Blut::N,sangue,krev
50,Ader::N,vena,céva
51,Sehne::N,tèndine,šlacha
52,Knochen::N,osso,kost
53,Gehirn::N,cervello,mozek
54,Herz::N,cuore,srdce
55,Magen::N,stòmaco,žaludek
56,Leber::N,fegato,játra
57,Atem::N,fiato,dech
58,Atem::N,respiro,dech
59,Hunger::N,fame,hlad
60,Träne::N,làcrima,slza
61,Geschmack::N,gusto,vkus
62,Geschmack::N,sapore,vkus
63,Geruch::N,odore,vůně
64,Geruch::N,odore,zápach
65,Schlaf::N,sonno,spánek
66,Traum::N,sogno,sen
67,Himmel::N,cielo,nebe
68,Sonne::N,sole,slunce
69,Mond::N,luna,měsíc
70,Stern::N,stella,hvězda
71,Luft::N,aria,vzduch
72,Wind::N,vento,vítr
73,Welle::N,onda,vlna
74,Wasser::N,acqua,voda
75,Stein::N,sasso,kámen
76,Stein::N,pietra,kámen
77,Boden::N,suolo,půda
78,Boden::N,terreno,půda
79,Erde::N,terra,země
80,Staub::N,polvere,prach
81,Rauch::N,fumo,dým
82,Rauch::N,fumo,kouř
83,Funke::N,scintilla,jiskra
84,Feuer::N,fuoco,oheň
85,Licht::N,luce,světlo
86,Schatten::N,ombra,stín
87,Wetter::N,tempo,počasí
88,Nebel::N,nebbia,mlha
89,Wolke::N,nube,mrak
90,Wolke::N,nube,oblak
91,Wolke::N,nùvola,mrak
92,Wolke::N,nùvola,oblak
93,Regen::N,pioggia,déšť
94,Schnee::N,neve,sníh
95,Eis::N,ghiaccio,led
96,Frost::N,gelo,mráz
97,Kälte::N,freddo,chlad
98,Hitze::N,caldo,horko
99,Hitze::N,calura,horko
100,Raureif::N,brina,jinovatka
101,Regenbogen::N,arcobaleno,duha
102,Donner::N,tuono,hrom
103,Strömung::N,corrente,proudění
104,Tropfen::N,goccia,kapka
105,Schaum::N,spuma,pěna
106,Schaum::N,schiuma,pěna
107,Schmutz::N,sudiciume,špína
108,See::N,lago,jezero
109,Sumpf::N,palude,močál
110,Sumpf::N,palude,bažina
111,Moor::N,torbiera,bažina
112,Moor::N,torbiera,slatina
113,Wiese::N,prato,louka
114,Wald::N,bosco,les
115,Wald::N,foresta,les
116,Hügel::N,colle,kopec
117,Hügel::N,collina,kopec
118,Anhöhe::N,altura,pahorek
119,Berg::N,monte,hora
120,Berg::N,montagna,hora
121,Gipfel::N,cima,vrchol
122,Höhle::N,grotta,jeskyně
123,Höhle::N,caverna,jeskyně
124,Abhang::N,pendìo,svah
125,Abhang::N,pendìo,stráň
126,Quelle::N,sorgente,pramen
127,Bach::N,ruscello,potok
128,Fluss::N,fiume,řeka
129,Ufer::N,riva,břeh
130,Küste::N,costa,pobřeží
131,Festland::N,terraferma,souš
132,Festland::N,terraferma,pevnina
133,Meer::N,mare,moře
134,Bucht::N,cala,záliv
135,Bucht::N,cala,zátoka
136,Insel::N,ìsola,ostrov
137,Blume::N,fiore,květina
138,Gras::N,erba,tráva
139,Wurzel::N,radice,kořen
140,Baum::N,àlbero,strom
141,Stamm::N,tronco,kmen
142,Rinde::N,corteccia,kůra
143,Ast::N,ramo,větev
144,Zweig::N,ramo,větev
145,Blatt::N,foglia,lupen
146,Birke::N,betulla,bříza
147,Kiefer[Baum]::N,pino,sosna
148,Kiefer[Baum]::N,pino,borovice
149,Weide[Baum]::N,sàlice,vrba
150,Tanne::N,abete,jedle
151,Horn::N,corno,roh
152,Feder::N,penna,pero
153,Fell::N,manto,srst
154,Fell::N,pelame,srst
155,Flügel::N,ala,křídlo
156,Klaue::N,grinfia,dráp
157,Klaue::N,grinfia,pazneht
158,Kralle::N,unghia,dráp
159,Kralle::N,artiglio,dráp
160,Schwanz::N,coda,ocas
