,Concept_ID,kv,pl
185,Ameise::N,кӧдзывкар,mrówka
186,Laus::N,ляпа той,wesz
187,Mücke::N,ном,komar
188,Fliege::N,гут,mucha
189,Schmetterling::N,бабыв,motyl
190,Beere::N,ягӧд,jagoda
191,Apfel::N,яблоко,jabłko
192,Pilz::N,тшак,grzyb
193,Zwiebel::N,грез,cebula
194,Saat::N,кӧдзыс,siew
195,Korn::N,сю,ziarno
196,Heu::N,турун,siano
197,Schale::N,кыш,łupina
198,Schale::N,киль,łupina
199,Grube::N,яма,dół
200,Grube::N,яма,jama
201,Falle::N,нальк,pułapka
202,Falle::N,кляпча,pułapka
203,Schlinge::N,лӧч,sidła
204,Spur::N,туй,ślad
205,Asche::N,пӧим,popiół
206,Dreck::N,нять,brud
207,Eisen::N,кӧрт,żelazo
208,Gold::N,зарни,złoto
209,Silber::N,язісь,srebro
210,Kohle::N,шом,węgiel
211,Kohle::N,уголь,węgiel
212,Glas::N,стекло,szkło
213,Lehm::N,сёй,glina
214,Sand::N,лыа,piasek
215,Mensch::N,морт,człowiek
216,Mann::N,мужик,mężczyzna
217,Frau::N,инька,kobieta
218,Kind::N,кага,dziecko
219,Junge::N,зонка,chłopak
220,Junge::N,зонка,chłopiec
221,Mädchen::N,нывкаок,dziewczynka
222,Familie::N,семья,rodzina
223,Großvater::N,дед,dziadek
224,Großmutter::N,баб,babka
225,Eltern::N,ай-мам,rodzice
226,Vater::N,ай,ojciec
227,Mutter::N,мам,matka
228,Sohn::N,зон,syn
229,Tochter::N,ныв,córka
230,Bruder::N,вон,brat
231,Schwester::N,сой,siostra
232,Onkel::N,дядь,wuj
233,Onkel::N,дядь,stryj
234,Tante::N,айӧлӧн сой,ciotka
235,Tante::N,ичинь,ciotka
236,Ehemann::N,жӧник,mąż
237,Ehefrau::N,инь,żona
238,Freude::N,гаж,radość
239,Freude::N,радъялӧм,radość
240,Gelächter::N,сералӧм,śmiech
241,Glück::N,мичлун,szczęście
242,Kummer::N,шог,zmartwienie
243,Wunsch::N,мӧдӧм,życzenie
244,Wunsch::N,охотитӧм,życzenie
245,Lust::N,охота,chęć
246,Lust::N,охота,ochota
247,Geist::N,лов,duch
248,Gedanke::N,дума,myśl
249,Gedächtnis::N,тӧдвыв,pamięć
250,Verstand::N,вежӧр,rozum
251,Sinn::N,ылӧс,zmysł
252,Grund::N,мог,powód
253,Wahrheit::N,правда,prawda
254,Gespräch::N,сёрни,rozmowa
255,Märchen::N,сказка,bajka
256,Erzählung::N,висьт,opowiadanie
257,Nachricht::N,юӧр,wiadomość
