,Concept_ID,sl,sq
0,Auge::N,okó,sy
1,Ohr::N,uhó,vesh
2,Nase::N,nós,hundë
3,Mund::N,ústa,gojë
4,Zahn::N,zób,dhëmb
5,Zunge::N,jêzik,gjuhë
6,Lippe::N,ústnica,buzë
7,Wange::N,líce,faqe
8,Wange::N,líce,mollëz
9,Gesicht::N,oblíčje,fytyrë
10,Stirn::N,čêlo,ballë
11,Haar::N,lás,flokë
12,Schnurrbart::N,bŕki,mustaqe
13,Bart::N,bráda,mjekër
14,Kinn::N,bráda,mjekër
15,Kiefer[Anatomie]::N,čeljúst,nofull
16,Kehle::N,gŕlo,fyt
17,Kehle::N,gŕlo,grykë
18,Hals::N,vrát,qafë
19,Genick::N,zatílnik,arrëz
20,Kopf::N,gláva,kokë
21,Rücken::N,hrbèt,kurriz
22,Bauch::N,trébuh,bark
23,Nabel::N,pópek,kërthizë
24,Busen::N,nédrja,gji
25,Brust::N,pŕsi,gjoks
26,Brust::N,pŕsi,kraharor
27,Schulter::N,ráma,sup
28,Schulter::N,ráma,krah
29,Schulter::N,plêče,sup
30,Schulter::N,plêče,krah
31,Arm::N,rôka,krah
32,Ellenbogen::N,komólec,bërryl
33,Hand::N,rôka,dorë
34,Handfläche::N,dlán,pëllëmbë
35,Finger::N,pŕst,gisht
36,Fingernagel::N,nóht na rôki,thua
37,Nagel[Anatomie]::N,nóht,thua
38,Zeh::N,pŕst na nôgi,gisht i këmbës
39,Fuß::N,nôga,këmbë
40,Ferse::N,pêta,thembër
41,Knie::N,koléno,gju
42,Oberschenkel::N,stêgno,kofshë
43,Bein::N,nôga,këmbë
44,Körper::N,teló,trup
45,Haut::N,kóža,lëkurë
46,Blut::N,krí,gjak
47,Ader::N,žíla,venë
48,Sehne::N,kíta,dell
49,Knochen::N,kóst,asht
50,Knochen::N,kóst,kockë
51,Gehirn::N,možgáni,tru
52,Herz::N,srcé,zemër
53,Magen::N,želódec,stomak
54,Leber::N,jétra,mëlçi
55,Atem::N,díh,frymë
56,Hunger::N,glád,uri
57,Träne::N,sólza,lot
58,Geschmack::N,okús,shije
59,Geruch::N,vónj,erë
60,Schlaf::N,sèn,gjumë
61,Schlaf::N,spánec,gjumë
62,Traum::N,sánje,ëndërr
63,Himmel::N,nebó,qiell
64,Sonne::N,sónce,diell
65,Mond::N,lúna,hënë
66,Mond::N,mésec,hënë
67,Stern::N,zvézda,yll
68,Luft::N,zràk,ajër
69,Wind::N,véter,erë
70,Welle::N,vál,valë
71,Welle::N,vál,dallgë
72,Wasser::N,vôda,ujë
73,Stein::N,kámen,gur
74,Boden::N,tlà,tokë
75,Boden::N,tlà,truall
76,Erde::N,pŕst,dhe
77,Erde::N,pŕst,baltë
78,Erde::N,zêmlja,dhe
79,Erde::N,zêmlja,baltë
80,Staub::N,práh,pluhur
81,Rauch::N,dìm,tym
82,Funke::N,ískra,xixë
83,Funke::N,ískra,shkëndijë
84,Feuer::N,ôgenj,zjarr
85,Licht::N,lúč,dritë
86,Schatten::N,sénca,hije
87,Wetter::N,vrême,mot
88,Nebel::N,meglà,mjegull
89,Wolke::N,oblák,re
90,Regen::N,dèž,shi
91,Schnee::N,snég,borë
92,Eis::N,léd,akull
93,Frost::N,zmrzál,ngricë
94,Kälte::N,mràz,të ftohtë
95,Hitze::N,pripéka,vapë
96,Hitze::N,pripéka,nxehtësi
97,Raureif::N,ívje,cikmë
98,Raureif::N,slána,cikmë
99,Regenbogen::N,mávrica,ylber
100,Donner::N,gròm,gjëmim
101,Donner::N,gròm,bubullimë
102,Strömung::N,strúja,rrymë
103,Tropfen::N,káplja,pikë
104,Schaum::N,péna,shkumë
105,Schmutz::N,nesnága,baltë
106,See::N,jézero,liqen
107,Sumpf::N,močvírje,batak
108,Moor::N,bárje,kënetë
109,Wiese::N,trávnik,livadh
110,Wald::N,lés,pyll
111,Wald::N,gòzd,pyll
112,Hügel::N,brég,kodër
113,Hügel::N,goríca,kodër
114,Anhöhe::N,gríč,bregore
115,Anhöhe::N,višína,bregore
116,Berg::N,gôra,mal
117,Berg::N,planína,mal
118,Gipfel::N,vŕh,kulm
119,Höhle::N,jáma,shpellë
120,Höhle::N,jáma,zgafelle
121,Höhle::N,votlína,shpellë
122,Höhle::N,votlína,zgafelle
123,Abhang::N,pobóčje,shpat
124,Abhang::N,pobóčje,tatëpjetë
125,Quelle::N,izvír,krua
126,Quelle::N,izvír,burim
127,Bach::N,pôtok,virua
128,Fluss::N,réka,lumë
129,Ufer::N,brég,breg
130,Küste::N,obála,anëdet
131,Küste::N,obála,bregdet
132,Küste::N,obréžje,anëdet
133,Küste::N,obréžje,bregdet
134,Festland::N,celína,kontinent
135,Festland::N,kopnína,kontinent
136,Meer::N,mórje,det
137,Bucht::N,zalív,gji deti
138,Insel::N,ôtok,ishull
139,Insel::N,ôtok,ujdhesë
140,Blume::N,cvetlíca,lule
141,Gras::N,tráva,bar
142,Wurzel::N,korenína,rrënjë
143,Baum::N,drevó,pemë
144,Stamm::N,dêblo,trung
145,Rinde::N,lúbje,lëvore
146,Rinde::N,skórja,lëvore
147,Ast::N,véja,degë
148,Zweig::N,véja,bisk
149,Blatt::N,líst,fletë
150,Blatt::N,líst,gjethe
151,Birke::N,bréza,mështekën
152,Kiefer[Baum]::N,bòr,pishë
153,Weide[Baum]::N,vŕba,shelg
154,Tanne::N,hója,bredh
155,Horn::N,róg,bri
156,Feder::N,peró,pupël
157,Fell::N,kŕzno,lëkurë
158,Flügel::N,krílo,krah
159,Flügel::N,krílo,fletë
160,Klaue::N,párkelj,kthetër
161,Kralle::N,krémpelj,thua
162,Kralle::N,krémpelj,kthetër
163,Schwanz::N,rèp,bisht
164,Ei::N,jájce,vezë
165,Nest::N,gnézdo,fole
166,Bau::N,brlòg,strofkë
167,Tier::N,živál,kafshë
168,Herde::N,čréda,kope
169,Herde::N,čréda,grigjë
170,Kuh::N,kráva,lopë
171,Bulle::N,bìk,dem
172,Pferd::N,kònj,kalë
173,Schaf::N,ôvca,dele
174,Schwein::N,svínja,derr
175,Hund::N,pès,qen
176,Katze::N,máčka,mace
177,Bär::N,mêdved,ari
178,Eichhörnchen::N,véverica,ketër
179,Elch::N,lós,dre brilopatë
180,Fuchs::N,lisíca,dhelpër
181,Hase::N,zájec,lepur
182,Maus::N,mìš,mi
183,Wolf::N,vólk,ujk
184,Vogel::N,ptìč,zog
185,Vogel::N,ptìč,shpend
186,Vogel::N,ptíca,zog
187,Vogel::N,ptíca,shpend
188,Schwarm::N,játa,luzmë
189,Huhn::N,kokóš,pulë
190,Hahn::N,petêlin,gjel
191,Hahn::N,petêlin,këndes
192,Gans::N,gós,patë
193,Adler::N,ôrel,shqiponjë
194,Ente::N,ráca,rosë
195,Eule::N,sôva,buf
196,Kranich::N,žerjàv,lejlek
197,Kranich::N,žerjàv,kurrillë
198,Krähe::N,vrána,sorrë
199,Kuckuck::N,kúkavica,qyqe
200,Schwan::N,labód,mjellmë
201,Fisch::N,ríba,peshk
202,Barsch::N,ostríž,purtekë
203,Hecht::N,ščúka,mlysh
204,Schlange[Tier]::N,káča,gjarpër
205,Wurm::N,čr̀v,krimb
206,Wurm::N,glísta,krimb
207,Spinne::N,pájek,marimangë
208,Ameise::N,mrávlja,thnegël
209,Ameise::N,mrávlja,milingonë
210,Laus::N,úš,morr
211,Mücke::N,komár,kunup
212,Mücke::N,komár,mushkonjë
213,Fliege::N,múha,mizë
214,Schmetterling::N,metúlj,flutur
215,Beere::N,jágoda,frutë
216,Beere::N,jágoda,manaferrë
217,Apfel::N,jábolko,mollë
218,Pilz::N,góba,kërpudhë
219,Zwiebel::N,čebúla,qepë
220,Saat::N,séme,farë
221,Korn::N,zŕno,grurë
222,Korn::N,zŕno,kokërr
223,Heu::N,senó,sanë
224,Schale::N,lupína,lëkurë
225,Grube::N,jáma,gropë
226,Falle::N,pást,kurth
227,Falle::N,pást,grackë
228,Schlinge::N,zánka,nyjë
229,Schlinge::N,pêtlja,nyjë
230,Spur::N,sléd,gjurmë
231,Asche::N,pepél,hi
232,Dreck::N,bláto,baltë
233,Eisen::N,želézo,hekur
234,Gold::N,zlató,ar
235,Gold::N,zlató,flori
236,Silber::N,srebró,argjend
237,Kohle::N,ógel,qymyr
238,Glas::N,stêklo,qelq
239,Lehm::N,ílo,argjilë
240,Sand::N,pések,rërë
241,Mensch::N,člôvek,njeri
