,Concept_ID,el,el
0,Auge::N,μάτι,μάτι
1,Auge::N,μάτι,οφθαλμός
2,Auge::N,οφθαλμός,μάτι
3,Auge::N,οφθαλμός,οφθαλμός
4,Ohr::N,αυτί,αυτί
5,Nase::N,μύτη,μύτη
6,Mund::N,στόμα,στόμα
7,Zahn::N,δόντι,δόντι
8,Zunge::N,γλώσσα,γλώσσα
9,Lippe::N,χείλος,χείλος
10,Wange::N,παρειά,παρειά
11,Wange::N,παρειά,μάγουλο
12,Wange::N,μάγουλο,παρειά
13,Wange::N,μάγουλο,μάγουλο
14,Gesicht::N,πρόσωπο,πρόσωπο
15,Stirn::N,μέτωπο,μέτωπο
16,Haar::N,μαλλιά,μαλλιά
17,Schnurrbart::N,μουστάκι,μουστάκι
18,Bart::N,γένια,γένια
19,Kinn::N,πιγούνι,πιγούνι
20,Kiefer[Anatomie]::N,σαγόνι,σαγόνι
21,Kehle::N,λαρύγγι,λαρύγγι
22,Hals::N,λαιμός,λαιμός
23,Genick::N,σβέρκος,σβέρκος
24,Kopf::N,κεφάλι,κεφάλι
25,Rücken::N,ράχη,ράχη
26,Bauch::N,κοιλιά,κοιλιά
27,Nabel::N,αφαλός,αφαλός
28,Busen::N,στήθος,στήθος
29,Brust::N,στήθος,στήθος
30,Schulter::N,ώμος,ώμος
31,Arm::N,χέρι,χέρι
32,Arm::N,χέρι,μπράτςο
33,Arm::N,μπράτςο,χέρι
34,Arm::N,μπράτςο,μπράτςο
35,Ellenbogen::N,αγκώνας,αγκώνας
36,Hand::N,χέρι,χέρι
37,Handfläche::N,παλάμη,παλάμη
38,Finger::N,δάχτυλο,δάχτυλο
39,Fingernagel::N,νύχι,νύχι
40,Nagel[Anatomie]::N,νύχι,νύχι
41,Zeh::N,δάχτυλο του ποδιού,δάχτυλο του ποδιού
42,Fuß::N,πόδι,πόδι
43,Ferse::N,φτέρνα,φτέρνα
44,Knie::N,γόνατο,γόνατο
45,Oberschenkel::N,μηρός,μηρός
46,Bein::N,πόδι,πόδι
47,Körper::N,σώμα,σώμα
48,Körper::N,σώμα,κορμί
49,Körper::N,κορμί,σώμα
50,Körper::N,κορμί,κορμί
51,Haut::N,πετσί,πετσί
52,Blut::N,αίμα,αίμα
53,Ader::N,φλέβα,φλέβα
54,Sehne::N,νεύρο,νεύρο
55,Sehne::N,νεύρο,τένοντας
56,Sehne::N,τένοντας,νεύρο
57,Sehne::N,τένοντας,τένοντας
58,Knochen::N,οστό,οστό
59,Knochen::N,οστό,κόκκαλο
60,Knochen::N,κόκκαλο,οστό
61,Knochen::N,κόκκαλο,κόκκαλο
62,Gehirn::N,μυαλό,μυαλό
63,Gehirn::N,μυαλό,εγκέφαλος
64,Gehirn::N,εγκέφαλος,μυαλό
65,Gehirn::N,εγκέφαλος,εγκέφαλος
66,Herz::N,καρδιά,καρδιά
67,Magen::N,στομάχι,στομάχι
68,Leber::N,ήπαρ,ήπαρ
69,Leber::N,ήπαρ,συκωτί
70,Leber::N,συκωτί,ήπαρ
71,Leber::N,συκωτί,συκωτί
72,Atem::N,αναπνοή,αναπνοή
73,Hunger::N,πείνα,πείνα
74,Träne::N,δάκρυ,δάκρυ
75,Geschmack::N,γεύση,γεύση
76,Geruch::N,οσμή,οσμή
77,Geruch::N,οσμή,μυρωδία
78,Geruch::N,μυρωδία,οσμή
79,Geruch::N,μυρωδία,μυρωδία
80,Schlaf::N,ύπνος,ύπνος
81,Traum::N,όνειρο,όνειρο
82,Himmel::N,ουρανός,ουρανός
83,Sonne::N,ήλιος,ήλιος
84,Mond::N,σελήνη,σελήνη
85,Mond::N,σελήνη,φεγγάρι
86,Mond::N,φεγγάρι,σελήνη
87,Mond::N,φεγγάρι,φεγγάρι
88,Stern::N,άστρο,άστρο
89,Stern::N,άστρο,αστέρι
90,Stern::N,αστέρι,άστρο
91,Stern::N,αστέρι,αστέρι
92,Luft::N,αέρας,αέρας
93,Wind::N,αέρας,αέρας
94,Wind::N,αέρας,άνεμος
95,Wind::N,άνεμος,αέρας
96,Wind::N,άνεμος,άνεμος
97,Welle::N,κύμα,κύμα
98,Wasser::N,νερό,νερό
99,Stein::N,πέτρα,πέτρα
100,Boden::N,χώμα,χώμα
101,Erde::N,γη,γη
102,Staub::N,σκόνη,σκόνη
103,Rauch::N,καπνός,καπνός
104,Funke::N,σπίθα,σπίθα
105,Funke::N,σπίθα,σπινθήρας
106,Funke::N,σπινθήρας,σπίθα
107,Funke::N,σπινθήρας,σπινθήρας
108,Feuer::N,φωτιά,φωτιά
109,Licht::N,φως,φως
110,Schatten::N,σκιά,σκιά
111,Schatten::N,σκιά,ίσκιος
112,Schatten::N,ίσκιος,σκιά
113,Schatten::N,ίσκιος,ίσκιος
114,Wetter::N,καιρός,καιρός
115,Nebel::N,ομίχλη,ομίχλη
116,Wolke::N,σύννεφο,σύννεφο
117,Regen::N,βροχή,βροχή
118,Schnee::N,χιόνι,χιόνι
119,Eis::N,πάγος,πάγος
120,Frost::N,παγωνία,παγωνία
121,Kälte::N,κρύο,κρύο
122,Kälte::N,κρύο,ψύχος
123,Kälte::N,ψύχος,κρύο
124,Kälte::N,ψύχος,ψύχος
125,Hitze::N,ζέστη,ζέστη
126,Raureif::N,πάχνη,πάχνη
127,Regenbogen::N,ουράνιο τόξο,ουράνιο τόξο
128,Donner::N,βροντή,βροντή
129,Strömung::N,ρεύμα,ρεύμα
130,Tropfen::N,στάλα,στάλα
131,Schaum::N,αφρός,αφρός
132,Schmutz::N,βρωμιά,βρωμιά
133,See::N,λίμνη,λίμνη
134,Sumpf::N,βάλτος,βάλτος
135,Moor::N,έλος,έλος
136,Wiese::N,λιβάδι,λιβάδι
137,Wald::N,δάσος,δάσος
138,Hügel::N,λόφος,λόφος
139,Anhöhe::N,ύψωμα,ύψωμα
140,Berg::N,όρος,όρος
141,Berg::N,όρος,βουνό
142,Berg::N,βουνό,όρος
143,Berg::N,βουνό,βουνό
144,Gipfel::N,κορυφή,κορυφή
145,Höhle::N,σπηλιά,σπηλιά
146,Abhang::N,πλαγιά,πλαγιά
147,Quelle::N,πηγή,πηγή
148,Quelle::N,πηγή,βρύση
149,Quelle::N,βρύση,πηγή
150,Quelle::N,βρύση,βρύση
151,Bach::N,ρυάκι,ρυάκι
152,Fluss::N,ποτάμι,ποτάμι
153,Fluss::N,ποτάμι,ποταμός
154,Fluss::N,ποταμός,ποτάμι
155,Fluss::N,ποταμός,ποταμός
156,Ufer::N,όχθη,όχθη
157,Küste::N,ακτή,ακτή
158,Küste::N,ακτή,ακρογιαλιά
159,Küste::N,ακρογιαλιά,ακτή
