,Concept_ID,,zh
0,Auge::N,,眼睛
1,Ohr::N,,耳朵
2,Nase::N,,鼻子
3,Mund::N,,嘴
4,Zahn::N,,牙齿
5,Zunge::N,,舌头
6,Lippe::N,,嘴唇
7,Wange::N,,面颊
8,Gesicht::N,,脸
9,Stirn::N,,额
10,Haar::N,,头发
11,Schnurrbart::N,,髭须
12,Bart::N,,胡子
13,Kinn::N,,下巴
14,Kiefer[Anatomie]::N,,颌
15,Kehle::N,,嗓子
16,Hals::N,,颈
17,Genick::N,,后颈
18,Kopf::N,,头
19,Rücken::N,,背
20,Bauch::N,,肚子
21,Nabel::N,,肚脐
22,Busen::N,,胸脯
23,Brust::N,,胸
24,Schulter::N,,肩膀
25,Arm::N,,臂膀
26,Ellenbogen::N,,肘
27,Hand::N,,手
28,Handfläche::N,,手掌
29,Finger::N,,手指
30,Fingernagel::N,,指甲
31,Nagel[Anatomie]::N,,指甲
32,Zeh::N,,脚趾
33,Fuß::N,,脚
34,Ferse::N,,后跟
35,Knie::N,,膝
36,Oberschenkel::N,,大腿
37,Bein::N,,腿
38,Körper::N,,身体
39,Haut::N,,皮肤
40,Blut::N,,血
41,Ader::N,,血管
42,Sehne::N,,腱
43,Knochen::N,,骨
44,Gehirn::N,,脑
45,Herz::N,,心
46,Magen::N,,胃
47,Leber::N,,肝
48,Atem::N,,呼吸
49,Hunger::N,,饿
50,Träne::N,,眼泪
51,Geschmack::N,,味道
52,Geruch::N,,气味
53,Schlaf::N,,睡眠
54,Traum::N,,梦
55,Himmel::N,,天空
56,Sonne::N,,太阳
57,Mond::N,,月亮
58,Stern::N,,星
59,Luft::N,,空气
60,Wind::N,,风
61,Welle::N,,波
62,Wasser::N,,水
63,Stein::N,,石头
64,Boden::N,,地面
65,Erde::N,,地
66,Staub::N,,灰尘
67,Rauch::N,,烟
68,Funke::N,,火花
69,Feuer::N,,火
70,Licht::N,,光
71,Schatten::N,,影子
72,Wetter::N,,天气
73,Nebel::N,,雾
74,Wolke::N,,云
75,Regen::N,,雨
76,Schnee::N,,雪
77,Eis::N,,冰
78,Frost::N,,霜冻
79,Kälte::N,,寒冷
80,Hitze::N,,炎热
81,Raureif::N,,霜
82,Regenbogen::N,,虹
83,Donner::N,,雷
84,Strömung::N,,水流
85,Tropfen::N,,滴
86,Schaum::N,,泡沫
87,Schmutz::N,,赃物
88,See::N,,湖
89,Sumpf::N,,沼泽
90,Moor::N,,沼泽
91,Wiese::N,,草地
92,Wald::N,,森林
93,Hügel::N,,丘陵
94,Anhöhe::N,,山丘
95,Berg::N,,山
96,Gipfel::N,,峰
97,Höhle::N,,洞穴
98,Abhang::N,,斜坡
99,Quelle::N,,泉
100,Bach::N,,溪
101,Fluss::N,,河流
102,Ufer::N,,岸
103,Küste::N,,海岸
104,Festland::N,,大陆
105,Meer::N,,海
106,Bucht::N,,海湾
107,Insel::N,,岛
108,Blume::N,,花
109,Gras::N,,草
110,Wurzel::N,,根
111,Baum::N,,树
112,Stamm::N,,树干
113,Rinde::N,,树皮
114,Ast::N,,树枝
115,Zweig::N,,树枝
116,Blatt::N,,叶子
117,Birke::N,,桦木
118,Kiefer[Baum]::N,,松树
119,Weide[Baum]::N,,柳树
120,Tanne::N,,冷杉
121,Horn::N,,角
122,Feder::N,,羽毛
123,Fell::N,,皮毛
124,Flügel::N,,翅膀
125,Klaue::N,,爪子
126,Kralle::N,,爪子
127,Schwanz::N,,尾巴
128,Ei::N,,蛋
129,Nest::N,,巢
130,Bau::N,,穴
131,Tier::N,,动物
132,Herde::N,,群
133,Kuh::N,,母牛
134,Bulle::N,,公牛
135,Pferd::N,,马
136,Schaf::N,,羊
137,Schwein::N,,猪
138,Hund::N,,狗
139,Katze::N,,猫
140,Bär::N,,熊
141,Eichhörnchen::N,,松鼠
142,Elch::N,,麋鹿
143,Fuchs::N,,狐狸
144,Hase::N,,兔子
145,Maus::N,,老鼠
146,Wolf::N,,狼
147,Vogel::N,,鸟
148,Schwarm::N,,群
149,Huhn::N,,鸡
150,Hahn::N,,公鸡
151,Gans::N,,鹅
152,Adler::N,,鹰
153,Ente::N,,鸭
154,Eule::N,,猫头鹰
155,Kranich::N,,鹤
156,Krähe::N,,乌鸦
157,Kuckuck::N,,布谷鸟
158,Schwan::N,,天鹅
159,Fisch::N,,鱼
160,Barsch::N,,鲈鱼
161,Hecht::N,,狗鱼
162,Schlange[Tier]::N,,蛇
163,Wurm::N,,蠕虫
164,Spinne::N,,蜘蛛
165,Ameise::N,,蚂蚁
166,Laus::N,,虱子
167,Mücke::N,,蚊子
168,Fliege::N,,苍蝇
169,Schmetterling::N,,蝴蝶
170,Beere::N,,将果
171,Apfel::N,,苹果
172,Pilz::N,,蘑菇
173,Zwiebel::N,,洋葱
174,Saat::N,,种子
175,Korn::N,,谷粒
176,Heu::N,,干草
177,Schale::N,,壳
178,Grube::N,,坑
179,Falle::N,,圈套
180,Schlinge::N,,活扣
181,Spur::N,,踪迹
182,Asche::N,,灰烬
183,Dreck::N,,污垢
184,Eisen::N,,铁
185,Gold::N,,金子
186,Silber::N,,银
187,Kohle::N,,煤
188,Glas::N,,玻璃
189,Lehm::N,,粘土
190,Sand::N,,沙
191,Mensch::N,,人
192,Mann::N,,男子
193,Frau::N,,妇女
194,Kind::N,,小孩
195,Junge::N,,男孩
196,Mädchen::N,,女孩
197,Familie::N,,家庭
198,Großvater::N,,祖父
199,Großmutter::N,,祖母
200,Eltern::N,,父母
201,Vater::N,,父亲
202,Mutter::N,,母亲
203,Sohn::N,,儿子
204,Tochter::N,,女儿
205,Bruder::N,,兄弟
206,Schwester::N,,姐妹
207,Onkel::N,,伯父
208,Tante::N,,阿姨
209,Ehemann::N,,丈夫
210,Ehefrau::N,,妻子
211,Freude::N,,愉快
212,Gelächter::N,,大笑
213,Glück::N,,运气
214,Kummer::N,,苦恼
215,Wunsch::N,,愿望
216,Lust::N,,乐趣
217,Geist::N,,精神
218,Gedanke::N,,思想
219,Gedächtnis::N,,记性
220,Verstand::N,,理智
221,Sinn::N,,感觉
222,Grund::N,,理由
223,Wahrheit::N,,真理
224,Gespräch::N,,谈话
225,Märchen::N,,童话
226,Erzählung::N,,故事
227,Nachricht::N,,消息
228,Neuigkeit::N,,新闻
229,Name::N,,名字
230,Rätsel::N,,谜语
231,Rede::N,,讲话
232,Sprache::N,,语言
233,Stimme::N,,声音
234,Wort::N,,词
235,Zeichen::N,,标记
236,Ruf::N,,呼喊
237,Lärm::N,,噪音
238,Laut::N,,响声
239,Ton::N,,声音
240,Lied::N,,歌曲
241,Ruhe::N,,安静
242,Leute::N,,人们
243,Volk::N,,人民
244,Arbeit::N,,劳动
245,Gast::N,,客人
246,Geschenk::N,,礼物
247,Spiel::N,,游戏
248,Gesellschaft::N,,陪同
249,Hilfe::N,,帮助
250,Freund::N,,朋友
251,Kamerad::N,,同志
252,Angelegenheit::N,,事情
253,Anzahl::N,,数目
254,Art::N,,种类
255,Stück::N,,块
256,Teil::N,,部分
257,Hälfte::N,,一半
258,Kreis::N,,圆
259,Kreuz::N,,十字架
260,Linie::N,,线条
261,Strich::N,,划
262,Abstand::N,,距离
263,Entfernung::N,,距离
264,Gegend::N,,地区
265,Platz::N,,场所
266,Ort::N,,地点
267,Seite::N,,面
268,Mitte::N,,中间
269,Gegenstand::N,,物品
270,Sache::N,,物
271,Rand::N,,边
272,Kante::N,,棱
273,Ecke::N,,角
274,Spitze::N,,尖
