,Concept_ID,ady,eu
0,Auge::N,нэ,begi
1,Ohr::N,тхьакӏу́м,belarri
2,Nase::N,пэ,sudur
3,Mund::N,жэ,aho
4,Zahn::N,цэ,hortz
5,Zunge::N,бзэгу,mihi
6,Lippe::N,ӏупшӏэ́,ezpain
7,Wange::N,нэкӏу́шъу,masail
8,Gesicht::N,нэ́гу,aurpegi
9,Stirn::N,натӏэ́,bekoki
10,Haar::N,шъхьацы́,ile
11,Haar::N,шъхьацы́,bilo
12,Bart::N,жакӏэ́,bizar
13,Kinn::N,жэкӏэпэпкъ,kokots
14,Kiefer[Anatomie]::N,жэпкъы́,masailezur
15,Kehle::N,чый,eztarri
16,Hals::N,пшъэ,sama
17,Genick::N,шъхьэпхэтыку,garondo
18,Kopf::N,шъхьэ́,buru
19,Rücken::N,кӏыбы́,bizkar
20,Bauch::N,ныбэ́,sabel
21,Busen::N,бгъэ́,titi
22,Busen::N,бгъэ́,ugatz
23,Brust::N,бгъэ́,bular
24,Schulter::N,блыпкъ,besaburu
25,Arm::N,ӏэ,beso
26,Ellenbogen::N,ӏэнтэ́гъу,ukondo
27,Hand::N,ӏэтхьэцу,esku
28,Handfläche::N,ӏэ́гу,ahur
29,Finger::N,ӏэхъуа́мб,hatz
30,Fingernagel::N,ӏэбжъа́н,azazkal
31,Nagel[Anatomie]::N,ӏэбжъа́н,azazkal
32,Zeh::N,ӏэхъуа́мб,behatz
33,Fuß::N,лъэгу,oin
34,Ferse::N,лъэдакъэ,orpo
35,Ferse::N,лъэдакъэ,oinburu
36,Knie::N,лъагуа́ндж,belaun
37,Oberschenkel::N,ко,izter
38,Bein::N,лъакъо́,zango
39,Körper::N,пкъышъол,soin
40,Haut::N,кӏы́шъу,azal
41,Blut::N,лъы,odol
42,Ader::N,льытф,zain
43,Sehne::N,фэ,gihar-zain
44,Knochen::N,къупшъхьэ́,hezur
45,Gehirn::N,куцӏы,garun
46,Gehirn::N,куцӏы,burmuin
47,Herz::N,гу,bihotz
48,Magen::N,мышкӏу,urdail
49,Leber::N,шӏу,gibel
50,Atem::N,къэщэныр,hats
51,Atem::N,къэщэныр,arnasa
52,Hunger::N,гъаблэ́,gose
53,Träne::N,нэпсы,malko
54,Geschmack::N,ӏэшӏугъа́кӏ,dasta
55,Geruch::N,мэ,usain
56,Schlaf::N,пчыхьы́пӏ,lo
57,Traum::N,пчыхьы́пӏ,amets
58,Himmel::N,уашъо́,zeru
59,Sonne::N,тыгъэ,eguzki
60,Mond::N,мазэ,ilargi
61,Stern::N,жъуагъо́,izar
62,Luft::N,жьы,aire
63,Wind::N,жьыбгъэ́,haize
64,Welle::N,ор,uhin
