,Concept_ID,br,ps
0,Auge::N,lagad,سترګه
1,Ohr::N,skouarn,غوږ
2,Nase::N,fri,پوزه
3,Mund::N,genoù,خوله
4,Zahn::N,dant,غاښ
5,Zunge::N,teod,جبه
6,Lippe::N,muzell,شونډه
7,Wange::N,chot,باړخو
8,Gesicht::N,dremm,مخ
9,Stirn::N,tal,تندی
10,Stirn::N,tal,وچولی
11,Haar::N,blev,وېښته
12,Schnurrbart::N,mourenn,برېت
13,Bart::N,barv,ږیره
14,Kinn::N,groñj,زنه
15,Kiefer[Anatomie]::N,javed,جامه
16,Kehle::N,gouzoug,غاړه
17,Hals::N,gouzoug,غاړه
18,Genick::N,choug,ورمېږ
19,Kopf::N,penn,سر
20,Rücken::N,kein,شا
21,Bauch::N,kof,نس
22,Bauch::N,kof,ګېډه
23,Nabel::N,begel,نوم
24,Busen::N,bronn,تی
25,Brust::N,bruched,سینه
26,Schulter::N,skoaz,اوږه
27,Arm::N,brec'h,لاس
28,Ellenbogen::N,ilin,څنګل
29,Hand::N,dorn,لاس
30,Handfläche::N,palv,ورغوی
31,Finger::N,biz,ګوته
32,Fingernagel::N,ivin,نوک
33,Nagel[Anatomie]::N,ivin,نوک
34,Zeh::N,biz-troad,ګوته
35,Fuß::N,troad,پښه
36,Ferse::N,seul,پونده
37,Knie::N,glin,زنګون
38,Oberschenkel::N,morzhed,پتون
39,Bein::N,gar,پښه
40,Körper::N,korf,ځان
41,Haut::N,kroc'hen,پوټکی
42,Blut::N,gwad,وینه
43,Ader::N,gwazhi,رګ
44,Sehne::N,stir,پله
45,Knochen::N,askorn,هډوکی
46,Gehirn::N,empenn,ماغزه
47,Herz::N,kalon,زړه
48,Magen::N,stomog,معده
49,Leber::N,avu,ينه
50,Leber::N,avu,ځیګر
51,Atem::N,anal,نفس
52,Hunger::N,naon,ولږه
53,Träne::N,daer,اوښکه
54,Geschmack::N,blaz,مزه
55,Geschmack::N,blaz,خوند
56,Geruch::N,c'hwezh,بوی
57,Schlaf::N,kousked,خوب
58,Traum::N,hune,خوب
59,Himmel::N,oabl,اسمان
60,Sonne::N,heol,لمر
61,Mond::N,loar,سپوږمۍ
62,Stern::N,steredenn,ستوری
63,Luft::N,aer,هوا
64,Wind::N,avel,ورښ
65,Welle::N,houlenn,موج
66,Wasser::N,dour,اوبه
67,Stein::N,maen,ډبره
68,Boden::N,tachenn,مځکه
69,Erde::N,douar,خاوره
70,Staub::N,poultr,ګرد
71,Staub::N,poultr,خاوره
72,Rauch::N,moged,دود
73,Rauch::N,moged,لوګی
74,Funke::N,ful,سپرغۍ
75,Feuer::N,tan,اور
76,Licht::N,gouloù,رڼا
77,Schatten::N,disheol,سیوری
78,Wetter::N,amzer,هوا
79,Nebel::N,brumenn,لړه
80,Wolke::N,koumoulenn,ورېځ
81,Regen::N,glav,وریا
82,Regen::N,glav,باران
83,Schnee::N,erc'h,واوره
84,Eis::N,skorn,یخ
85,Eis::N,skorn,کنګل
86,Frost::N,rev,یخ
87,Kälte::N,yen,ساړه
88,Hitze::N,tommder,تودوخي
89,Raureif::N,frim,سپینه پرخه
90,Regenbogen::N,gwareg-ar-glav,بوډۍ ټال
91,Regenbogen::N,gwareg-ar-glav,سره زرغونه
92,Donner::N,kurun,تالنده
93,Strömung::N,red,بهېدنه
94,Tropfen::N,bannac'h,قطره
95,Tropfen::N,bannac'h,څاڅکی
96,Tropfen::N,takenn,قطره
97,Tropfen::N,takenn,څاڅکی
98,Schaum::N,spoum,ځګ
99,Schmutz::N,fank,ناپاکي
100,See::N,lenn,جهیل
101,Sumpf::N,gwern,جبه
102,Moor::N,taouarc'heg,جبه
103,Wiese::N,prad,چمن
104,Wiese::N,prad,شنېلی
105,Wald::N,koad,ځنګل
106,Hügel::N,torgenn,تپه
107,Anhöhe::N,run,غونډۍ
108,Berg::N,menez,غ‍‍‍‍‍ر
109,Gipfel::N,barr,څوکه
110,Höhle::N,kav,کاز
111,Abhang::N,naou,لمن
112,Quelle::N,feunteun,چینه
113,Bach::N,gwazh,واله
114,Fluss::N,stêr,سیند
115,Ufer::N,ribl,غاړه
116,Küste::N,aod,ساحل
117,Festland::N,douar,وچه
118,Meer::N,mor,بحر
119,Meer::N,mor,سمندر
120,Bucht::N,mor-bihan,کارۍ
121,Insel::N,enez,ټاپو
122,Insel::N,enez,جزيره
123,Blume::N,bleunienn,ګل
124,Gras::N,geot,واښه
125,Wurzel::N,gwrizienn,ریښه
126,Baum::N,gwezenn,ونه
127,Stamm::N,kef,ډډ
128,Rinde::N,rusk,پوستکی
129,Ast::N,barr,ښاخ
130,Zweig::N,bod,څانګه
131,Blatt::N,delienn,پاڼه
132,Birke::N,bezvenn,توس
133,Kiefer[Baum]::N,pinenn,نښتر
134,Weide[Baum]::N,halegenn,وله
135,Tanne::N,sapenn,ناجو
136,Horn::N,korn,ښکر
137,Feder::N,pluñv,بڼکه
138,Fell::N,kreoñ,پوستکی
139,Flügel::N,askell,وزر
140,Klaue::N,skilf,پنجه
141,Klaue::N,skilf,منګول
142,Kralle::N,skilf,پنجه
143,Kralle::N,skilf,منګول
144,Schwanz::N,lost,لکۍ
145,Ei::N,vi,وۍ
146,Ei::N,vi,هګۍ
147,Nest::N,neizh,جاله
148,Bau::N,douarenn,کاز
149,Tier::N,loen,ژوی
150,Tier::N,loen,حیوان
151,Herde::N,tropell,رمه
152,Herde::N,tropell,غېله
153,Kuh::N,buoc'h,غوا
154,Bulle::N,tarv,غوئی
155,Pferd::N,marc'h,آس
156,Schaf::N,dañvad,پسه
157,Schwein::N,pemoc'h,سرکوزی
158,Hund::N,ki,سپی
159,Katze::N,kazh,پشه
160,Bär::N,arzh,خرس
161,Eichhörnchen::N,gwiñver,خړ لمی
162,Elch::N,karv-dour,ګوزن
163,Fuchs::N,louarn,سپلم
164,Hase::N,gad,سوی
165,Maus::N,logodenn,مږک
166,Wolf::N,bleiz,لېوه
167,Vogel::N,labous,مرغه
168,Schwarm::N,nijad,سېل
169,Huhn::N,yar,چرګه
170,Hahn::N,kilhog,چرګ
171,Gans::N,gwazenn,بته
172,Adler::N,erer,عقاب
173,Ente::N,houad,ایلۍ
174,Eule::N,toud,ګونګی
175,Kranich::N,garan,کلنګ
176,Krähe::N,bran,کارغه
177,Kuckuck::N,koukoug,فاخته
178,Schwan::N,alarc'h,قو
179,Fisch::N,pesk,کب
180,Fisch::N,pesk,ماهی
181,Barsch::N,brell,
182,Hecht::N,beked,
183,Schlange[Tier]::N,naer,مار
184,Wurm::N,preñv,چینجی
185,Spinne::N,kevnidenn,غڼه
186,Spinne::N,kevnidenn,تارکښ
187,Ameise::N,merion,مېږی
188,Laus::N,laouenn,سپږه
189,Mücke::N,moustik,ماشی
190,Fliege::N,kelienenn,مچ
191,Schmetterling::N,balafenn,پتنګ
192,Beere::N,hog,مېوۍ
193,Apfel::N,aval,مڼه
194,Pilz::N,kabell-touseg,خرېړی
195,Zwiebel::N,ognonenn,پیاز
196,Saat::N,had,تخم
197,Korn::N,ed,تخم
198,Korn::N,ed,دانه
199,Heu::N,foenn,بوس
200,Heu::N,foenn,پروړه
201,Schale::N,peliadur,پوستکی
202,Falle::N,pech,دام
203,Falle::N,pech,لومه
204,Schlinge::N,krouglas,کړۍ
205,Asche::N,ludu,آس
206,Asche::N,ludu,ایره
207,Dreck::N,fank,ناپاکي
208,Eisen::N,houarn,اوسپنه
209,Gold::N,aour,سره زر
210,Silber::N,arc'hant,نقره
211,Silber::N,arc'hant,سپین زر
212,Kohle::N,glaou,سکور
213,Kohle::N,glaou,سکاره
214,Glas::N,gwer,ښيښه
215,Sand::N,traezh,شګه
216,Mensch::N,den,انسان
217,Mann::N,den,سړی
218,Mann::N,den,نارینه
219,Frau::N,maouez,ښځه
220,Kind::N,bugel,بچی
221,Kind::N,bugel,ماشوم
222,Junge::N,paotr,هلک
223,Mädchen::N,plac'h,نجلۍ
224,Familie::N,familh,کورنۍ
225,Großvater::N,tad-kozh,بابا
226,Großmutter::N,mamm-gozh,انا
227,Eltern::N,kerent,مور او پلار
228,Vater::N,tad,پلار
229,Mutter::N,mamm,مور
230,Sohn::N,mab,زوی
231,Tochter::N,merc'h,لور
232,Bruder::N,breur,ورور
233,Schwester::N,c'hoar,خور
234,Onkel::N,eontr,تره
235,Onkel::N,eontr,ماما
236,Tante::N,moereb,خاله
237,Ehemann::N,gwaz,مېړه
238,Ehefrau::N,gwreg,مېرمن
239,Freude::N,levenez,خوشحالي
240,Gelächter::N,c'hoarzherezh,خندا
241,Glück::N,chañs,بخت
242,Kummer::N,doan,غم
243,Wunsch::N,c'hoant,هيله
244,Wunsch::N,c'hoant,غوښتنه
245,Lust::N,c'hoant,شوق
246,Lust::N,c'hoant,مینه
247,Geist::N,spered,روح
248,Gedanke::N,soñj,فکر
249,Gedächtnis::N,eñvor,یاد
250,Gedächtnis::N,eñvor,حافظه
251,Verstand::N,skiant,عقل
252,Verstand::N,skiant,شعور
253,Sinn::N,ster,معنی
254,Grund::N,kaoz,علت
255,Grund::N,kaoz,اساس
256,Wahrheit::N,gwirionez,حقیقت
257,Gespräch::N,kaozeadenn,مرکه
258,Gespräch::N,kaozeadenn,خبرې اترې
259,Märchen::N,kaoz korriganez,افسانه
260,Erzählung::N,kontadenn,قصه
261,Erzählung::N,kontadenn,کیسه
262,Nachricht::N,keloù,خبر
263,Neuigkeit::N,kelaouenn,نوی خبر
264,Name::N,anv,نوم
265,Rätsel::N,divinatez,کیسۍ
266,Rätsel::N,divinatez,چیستان
267,Rede::N,diskour,وینا
268,Sprache::N,yezh,ژبه
269,Stimme::N,mouezh,غږ
270,Stimme::N,mouezh,اواز
271,Wort::N,ger,لغت
272,Wort::N,ger,کلمه
273,Zeichen::N,sin,نښه
274,Zeichen::N,sin,اشاره
275,Ruf::N,galv,ږغ
276,Ruf::N,galv,بلنه
277,Lärm::N,trouz,غالمغال
278,Ton::N,ton,اواز
279,Lied::N,kanaouenn,غزله
280,Lied::N,kanaouenn,سندره
281,Ruhe::N,sioulded,ارامي
282,Leute::N,tud,خلک
283,Volk::N,pobl,ولس
284,Arbeit::N,labour,کار
285,Gast::N,kouviad,مېلمه
286,Geschenk::N,prof,تحفه
287,Geschenk::N,prof,سوغات
288,Spiel::N,c'hoari,لوبه
289,Gesellschaft::N,kompagnunezh,ډله
290,Gesellschaft::N,kavandad,ډله
291,Hilfe::N,sikour,کومک
292,Hilfe::N,sikour,مرسته
293,Freund::N,mignon,ملګری
294,Kamerad::N,kamarad,انډيوال
295,Angelegenheit::N,afer,موضوع
296,Anzahl::N,niver,شمېر
297,Anzahl::N,niver,تعداد
298,Art::N,sort,ډول
299,Stück::N,tamm,ټوټه
300,Teil::N,pezh,برخه
301,Hälfte::N,hanterenn,نیم
302,Kreis::N,kelc'h,دایره
303,Kreuz::N,kroaz,صلیب
304,Linie::N,linenn,خط
305,Linie::N,linenn,لیکه
306,Strich::N,tenn,کرښه
307,Abstand::N,distok,فاصله
308,Entfernung::N,keid,واټن
309,Entfernung::N,kehid,واټن
310,Gegend::N,korn-bro,سیمه
311,Gegend::N,korn-bro,منطقه
312,Platz::N,plasenn,ځای
313,Ort::N,lec'h,ځای
314,Seite::N,tu,مخ
315,Seite::N,tu,اړخ
316,Mitte::N,kreiz,وسط
317,Mitte::N,kreiz,مینځ
318,Gegenstand::N,tra,شی
319,Sache::N,tra,شی
320,Sache::N,tra,څيز
321,Rand::N,kantenn,څنډه
322,Rand::N,kantenn,کناره
323,Kante::N,kantenn,اړخ
324,Ecke::N,korn,ګوټ
325,Spitze::N,begell,څوکه
326,Ende::N,dibenn,څوکه
327,Loch::N,toull,سوری
328,Muster::N,tresadenn,نمونه
329,Größe::N,ment,قد
330,Größe::N,ment,لويوالی
331,Länge::N,hirder,طول
332,Länge::N,hirder,اوږد والی
333,Höhe::N,uhelder,جګوالی
334,Gewicht::N,pouez,وزن
335,Menge::N,bern,اندازه
336,Haufen::N,bern,کوټه
337,Reihe::N,steud,صف
338,Reihe::N,steud,کتار
339,Boot::N,bag,قايق
340,Ruder::N,roeñv,چپه
341,Schlitten::N,trainell,ښویېدونی
342,Ski::N,ski,سکي
343,Last::N,karg,بار
344,Last::N,karg,پېټی
345,Gang::N,kerzh,تګ
346,Schritt::N,paz,ګام
347,Norden::N,norzh,شمال
348,Norden::N,hanternoz,شمال
349,Süden::N,su,سوېل
350,Süden::N,kreisteiz,سوېل
