,Concept_ID,ba,eu
0,Auge::N,күҙ,begi
1,Ohr::N,ҡолаҡ,belarri
2,Nase::N,танау,sudur
3,Mund::N,ауыҙ,aho
4,Zahn::N,теш,hortz
5,Zunge::N,тел,mihi
6,Lippe::N,ирен,ezpain
7,Wange::N,яцаҡтар,masail
8,Gesicht::N,бит,aurpegi
9,Stirn::N,маңлай,bekoki
10,Haar::N,сәс,ile
11,Haar::N,сәс,bilo
12,Schnurrbart::N,мылтыҡ,bibote
13,Schnurrbart::N,мылтыҡ,sudurpeko
14,Bart::N,һаҡал,bizar
15,Kinn::N,эйэк,kokots
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,masailezur
17,Kehle::N,тамаҡ,eztarri
18,Hals::N,муйын,sama
19,Genick::N,соңҡа,garondo
20,Kopf::N,баш,buru
21,Rücken::N,арҡа,bizkar
22,Bauch::N,ҡорһаҡ,sabel
23,Nabel::N,кендек,zilbor
24,Busen::N,күкрәк,titi
25,Busen::N,күкрәк,ugatz
26,Brust::N,түш,bular
27,Schulter::N,яурын,besaburu
28,Arm::N,ҡул,beso
29,Ellenbogen::N,терһәк,ukondo
30,Hand::N,ҡул,esku
31,Hand::N,ҡул суғы,esku
32,Handfläche::N,ус төбө,ahur
33,Finger::N,бармаҡ,hatz
34,Fingernagel::N,тырнаҡ,azazkal
35,Nagel[Anatomie]::N,тырнаҡ,azazkal
36,Zeh::N,бармаҡ,behatz
37,Fuß::N,табан,oin
38,Ferse::N,үксә,orpo
39,Ferse::N,үксә,oinburu
40,Knie::N,тубыҡ,belaun
41,Oberschenkel::N,сандыр,izter
42,Bein::N,аяҡ,zango
43,Körper::N,тән,soin
44,Haut::N,тире,azal
45,Blut::N,ҡан,odol
46,Ader::N,тамыр,zain
47,Sehne::N,һеңер,gihar-zain
48,Sehne::N,тарамыш,gihar-zain
49,Knochen::N,һойәк,hezur
50,Gehirn::N,мейе,garun
51,Gehirn::N,мейе,burmuin
52,Herz::N,йорәк,bihotz
53,Magen::N,ашҡаҙан,urdail
54,Leber::N,бауыр,gibel
55,Atem::N,һулыш,hats
56,Atem::N,һулыш,arnasa
57,Hunger::N,аслыҡ,gose
58,Träne::N,күҙ иәше,malko
59,Geschmack::N,тәм,dasta
60,Geruch::N,еҫ,usain
61,Schlaf::N,йоҡлау,lo
62,Traum::N,төш,amets
63,Himmel::N,күк,zeru
64,Sonne::N,ҡояш,eguzki
65,Mond::N,ай,ilargi
66,Stern::N,йондоҙ,izar
67,Luft::N,һауа,aire
68,Wind::N,ел,haize
69,Welle::N,тулҡын,uhin
70,Welle::N,тулҡын,olatu
71,Wasser::N,һыу,ur
72,Stein::N,таш,harri
73,Boden::N,тупраҡ,lur
74,Boden::N,тупраҡ,zoru
75,Erde::N,балсҡ,lur
76,Staub::N,туҙан,hauts
77,Rauch::N,төтөн,ke
78,Funke::N,осҡон,zirta
79,Funke::N,осҡон,txinparta
80,Feuer::N,ут,su
