,Concept_ID,pl,az
0,Auge::N,oko,göz
1,Ohr::N,ucho,qulaq
2,Nase::N,nos,burun
3,Mund::N,usta,ağız
4,Zahn::N,ząb,diş
5,Zunge::N,język,dil
6,Lippe::N,warga,dodaq
7,Wange::N,policzek,yanaq
8,Gesicht::N,twarz,üz
9,Stirn::N,czoło,alın
10,Haar::N,włos,saç
11,Haar::N,włosy,saç
12,Schnurrbart::N,wąsy,bığ
13,Bart::N,broda,saqqal
14,Kinn::N,podbródek,çənə
15,Kiefer[Anatomie]::N,czeluść,çənə
16,Kehle::N,gardło,boğaz
17,Hals::N,szyja,boyun
18,Genick::N,kark,ənsə
19,Kopf::N,głowa,baş
20,Rücken::N,plecy,bel
21,Rücken::N,grzbiet,bel
22,Bauch::N,brzuch,qarın
23,Nabel::N,pępek,göbək
24,Busen::N,biust,məmə
25,Brust::N,pierś,döş
26,Schulter::N,bark,çiyin
27,Schulter::N,ramię,çiyin
28,Arm::N,ręka,qol
29,Arm::N,ramię,qol
30,Ellenbogen::N,łokieć,dirsək
31,Hand::N,dłoń,əl
32,Handfläche::N,dłoń,ovuc
33,Finger::N,palec,barmaq
34,Fingernagel::N,paznokieć,barmaq dırnağı
35,Nagel[Anatomie]::N,paznokieć,dırnak
36,Zeh::N,palec,ayaq barmağı
37,Fuß::N,stopa,ayaq
38,Ferse::N,pięta,daban
39,Knie::N,kolano,diz
40,Oberschenkel::N,udo,bud
41,Bein::N,noga,qıç
42,Körper::N,ciało,əndam
43,Haut::N,skóra,dəri
44,Blut::N,krew,qan
45,Ader::N,żyła,damar
46,Sehne::N,ścięgno,vətər
47,Knochen::N,kość,sümük
48,Gehirn::N,mózg,beyin
49,Herz::N,serce,ürək
50,Magen::N,żołądek,mədə
51,Leber::N,wątroba,qara ciyər
52,Atem::N,dech,nəfəs
53,Atem::N,oddech,nəfəs
54,Hunger::N,głód,aclıq
55,Träne::N,łza,göz yaşı
56,Geschmack::N,smak,tam
57,Geschmack::N,smak,ləzzət
58,Geruch::N,woń,qoxu
59,Geruch::N,zapach,qoxu
60,Schlaf::N,sen,yuxu
61,Traum::N,sen,röya
62,Himmel::N,niebo,göy
63,Himmel::N,niebo,səma
64,Sonne::N,słońce,günəş
65,Mond::N,księżyc,ay
66,Stern::N,gwiazda,ulduz
67,Luft::N,powietrze,hava
68,Wind::N,wiatr,yel
69,Wind::N,wiatr,külək
70,Welle::N,fala,dalğa
71,Wasser::N,woda,su
72,Stein::N,kamień,daş
73,Boden::N,grunt,yer
74,Boden::N,grunt,zəmin
75,Erde::N,ziemia,yer torpaq
76,Staub::N,pył,toz
77,Staub::N,kurz,toz
78,Rauch::N,dym,tüstü
79,Funke::N,iskra,qığılcım
80,Feuer::N,ogień,od
81,Licht::N,światło,işıq
82,Schatten::N,cień,kölgə
83,Wetter::N,pogoda,hava
84,Nebel::N,mgła,duman
85,Wolke::N,obłok,bulud
86,Wolke::N,chmura,bulud
87,Regen::N,deszcz,yağış
88,Regen::N,deszcz,yağmur
89,Schnee::N,śnieg,qar
90,Eis::N,lód,buz
91,Frost::N,mróz,ayaz
92,Kälte::N,chłód,soyuq
93,Hitze::N,gorąco,coşğunluq
94,Raureif::N,szron,qırov
95,Regenbogen::N,tęcza,göy qurşağı
96,Donner::N,grzmot,göy gurultusu
97,Strömung::N,nurt,axın
98,Tropfen::N,kropla,damcı
99,Schaum::N,piana,köpük
100,Schmutz::N,brud,çamır
101,See::N,jezioro,göl
102,Sumpf::N,bagno,bataqlıq
103,Moor::N,bagno,bataqlıq
104,Wiese::N,łąka,çəmən
105,Wald::N,las,meşə
106,Hügel::N,pagórek,təpə
107,Anhöhe::N,wzgórze,təpə
108,Berg::N,góra,dağ
109,Gipfel::N,szczyt,zirvə
110,Gipfel::N,wierzchołek,zirvə
111,Höhle::N,pieczara,mağara
112,Abhang::N,stok,yamac
113,Abhang::N,zbocze,yamac
114,Quelle::N,zdrój,bulaq
115,Quelle::N,źródło,bulaq
116,Bach::N,potok,kiçik çay
117,Bach::N,strumień,kiçik çay
118,Fluss::N,rzeka,çay
119,Ufer::N,brzeg,kənar
120,Küste::N,wybrzeże,sahil
121,Festland::N,ląd,materik
122,Meer::N,morze,dəniz
123,Bucht::N,zatoka,körfəz
124,Insel::N,wyspa,ada
125,Blume::N,kwiat,çiçək
126,Gras::N,trawa,ot
127,Wurzel::N,korzeń,kök
128,Baum::N,drzewo,ağac
129,Stamm::N,pień,gövdə
130,Rinde::N,kora,qabıq
131,Ast::N,gałąź,şax
132,Zweig::N,gałąź,budaq
133,Blatt::N,liść,yarpaq
134,Birke::N,brzoza,tozağacı
135,Kiefer[Baum]::N,sosna,şam
136,Weide[Baum]::N,wierzba,söyüd
137,Tanne::N,jodła,küknar
138,Horn::N,róg,buynuz
139,Feder::N,pióro,tük
140,Feder::N,pióro,lələk
141,Fell::N,futro,xəz
142,Flügel::N,skrzydło,qanad
143,Klaue::N,szpon,pəncə
144,Kralle::N,pazur,dırnaq
145,Schwanz::N,ogon,quyruq
146,Ei::N,jajko,yumurta
147,Nest::N,gniazdo,yuva
148,Bau::N,nora,yuva
149,Tier::N,zwierzę,heyvan
150,Herde::N,stado,sürü
151,Herde::N,trzoda,sürü
152,Kuh::N,krowa,inək
153,Bulle::N,byk,öküz
154,Pferd::N,koń,at
155,Schaf::N,owca,qoyun
156,Schwein::N,świnia,donuz
157,Hund::N,pies,it
158,Hund::N,pies,köpək
159,Katze::N,kot,pişik
160,Katze::N,kotka,pişik
161,Bär::N,niedźwiedż,ayı
162,Eichhörnchen::N,wiewiórka,dələ
163,Elch::N,łóś,sığın
164,Fuchs::N,lis,tülkü
165,Hase::N,zając,dovşan
166,Maus::N,mysz,siçan
167,Wolf::N,wilk,qurd
168,Vogel::N,ptak,quş
169,Schwarm::N,stado,sürü
170,Huhn::N,kura,toyuq
171,Hahn::N,kogut,xoruz
172,Gans::N,gęś,qaz
173,Adler::N,orzeł,qartal
174,Adler::N,orzeł,qaraquş
175,Ente::N,kaczka,ördək
