,Concept_ID,cy,mrj
0,Auge::N,llygad,сӹнзӓ
1,Ohr::N,clust,пӹлӹш
2,Nase::N,trwyn,нер
3,Mund::N,ceg,ышма
4,Zahn::N,dant,пӱ
5,Zunge::N,tafod,йӹлмӹ
6,Lippe::N,gwefus,тӹрвӹ
7,Wange::N,boch,шӹргӹ
8,Gesicht::N,wyneb,лицӓ
9,Stirn::N,talcen,лепкӓ
10,Haar::N,blew,ӱп
11,Schnurrbart::N,mwstas,öрш
12,Bart::N,barf,пандаш
13,Kinn::N,gên,онгылаш
14,Kiefer[Anatomie]::N,gên,пӱ арата
15,Kehle::N,gwddf,логер
16,Hals::N,gwddf,шӱ
17,Genick::N,gwar,ланга
18,Genick::N,gwegil,ланга
19,Kopf::N,pen,вуй
20,Rücken::N,cefn,туп
21,Bauch::N,bol,мӹшкӹр
22,Nabel::N,bogail,кӹлӹмдӹ
23,Busen::N,bron,цӹзӹ
24,Brust::N,brest,мел
25,Schulter::N,ysgwydd,ӹнгӹжӓ
26,Arm::N,braich,кид
27,Ellenbogen::N,penelin,кӹнервуй
28,Hand::N,llaw,лапа
29,Handfläche::N,palf,кид лапа
30,Finger::N,bys,парня
31,Fingernagel::N,ewin,кӹч
32,Nagel[Anatomie]::N,ewin,кӹч
33,Zeh::N,bys troed,парня
34,Fuß::N,troed,ял лапа
35,Ferse::N,sawdl,ялгавал
36,Ferse::N,sawdl,ял кавал
37,Knie::N,glin,пылвуй
38,Oberschenkel::N,clun,ӓрдӹ
39,Bein::N,coes,ял
40,Körper::N,corff,монгыр
41,Haut::N,croen,кавашты
42,Blut::N,gwaed,вӹр
43,Ader::N,gwythïen,вӹршӓр
44,Sehne::N,gewyn,кукшышӱн
45,Knochen::N,asgwrn,лу
46,Gehirn::N,ymennydd,вим
47,Herz::N,calon,шӱм
48,Magen::N,cylla,шӱм
49,Magen::N,stumog,шӱм
50,Leber::N,iau,мокш
51,Atem::N,anadl,шӱлӹш
52,Hunger::N,newyn,шужымаш
53,Träne::N,deigryn,сӹнзӓвӹд
54,Geschmack::N,cyflas,тот
55,Geruch::N,aroglau,пыш
56,Schlaf::N,cwsg,ом
57,Traum::N,breuddwyd,ом
58,Himmel::N,awyr,пӹлгом
59,Sonne::N,haul,кечӹ
60,Mond::N,lleuad,тӹлзӹ
61,Stern::N,seren,шӹдӹр
62,Luft::N,awyr,юж
63,Luft::N,awyr,воздух
64,Wind::N,gwynt,мардеж
65,Welle::N,ton,ко
66,Welle::N,ton,коэ
67,Wasser::N,dŵr,вӹд
68,Stein::N,carreg,кӱ
69,Boden::N,llawr,рок
70,Erde::N,pridd,свет
71,Staub::N,llwch,пырак
72,Rauch::N,mwg,шӹкш
73,Funke::N,gwreichioni,ип
74,Funke::N,gwreichioni,тылип
75,Feuer::N,tân,тыл
76,Licht::N,golau,соты
77,Licht::N,golau,валгыды
78,Schatten::N,cysgod,ӹмӹл
79,Wetter::N,tywydd,игечӹ
80,Nebel::N,niwl,тӹтӹрӓ
81,Wolke::N,cwmwl,пӹл
82,Regen::N,glaw,юр
83,Schnee::N,ôd,лым
84,Schnee::N,eira,лым
85,Eis::N,iâ,и
86,Frost::N,rhew,ӱштӹ
87,Kälte::N,oerni,ӱштӹ
88,Kälte::N,annwyd,ӱштӹ
89,Hitze::N,gwres,шокшы
90,Raureif::N,barrug,пöрш
91,Regenbogen::N,enfys,шанавӹл
92,Donner::N,tyrfau,хӹдӹртӹш
93,Strömung::N,cerrynt,йогы
94,Tropfen::N,dafn,капльы
95,Tropfen::N,dafn,капльык
96,Tropfen::N,diferyn,капльы
97,Tropfen::N,diferyn,капльык
98,Schaum::N,ewyn,шонг
99,Schmutz::N,baw,лявӹрӓ
100,Schmutz::N,budreddi,лявӹрӓ
101,See::N,llyn,йӓр
102,Sumpf::N,cors,лӱкӹ
103,Moor::N,rhos,куп
104,Wiese::N,dôl,алык
105,Wald::N,coedwig,шӹргӹ
106,Hügel::N,bryn,пӱгӹрикӓ
107,Anhöhe::N,bryn,кӱкшикӓ
108,Berg::N,mynydd,кырык
109,Gipfel::N,copa,неркӓ
110,Höhle::N,ogof,ы́раж
111,Abhang::N,llethr,полом
112,Quelle::N,tarddiad,вӹдсӹнзӓ
113,Quelle::N,ffynhonnell,вӹдсӹнзӓ
114,Bach::N,nant,ӓнгӹр
115,Bach::N,afonig,ӓнгӹр
116,Bach::N,cornant,ӓнгӹр
117,Fluss::N,afon,вӹд
118,Ufer::N,glan,сир
119,Küste::N,traeth,сир
120,Küste::N,arfordir,сир
121,Festland::N,tir,мӱлӓндӹ
122,Meer::N,môr,тангыж
123,Bucht::N,bae,вӹдъял
124,Insel::N,ynys,острок
125,Blume::N,blodyn,пеледӹш
126,Gras::N,glaswellt,шуды
127,Wurzel::N,gwreiddyn,важ
128,Baum::N,coeden,пушӓнгӹ
129,Stamm::N,colfen,пушӓнгӹ тӹнг
130,Stamm::N,boncyff,пушӓнгӹ тӹнг
131,Rinde::N,rhisgl,каргыж
132,Ast::N,cangen,укш
133,Zweig::N,cainc,укш
134,Zweig::N,cangen,укш
135,Blatt::N,deilen,листӹ
136,Birke::N,bedwen,куги
137,Kiefer[Baum]::N,pinwydden,йӓктӹ
138,Weide[Baum]::N,helygen,уа
139,Tanne::N,ffynidwydden,кож
140,Horn::N,corn,шур
141,Feder::N,plufyn,пын
142,Fell::N,ffwr,кавашты
143,Flügel::N,adain,шылдыр
144,Klaue::N,crafanc,кӹч
145,Kralle::N,ewin,лапа
146,Schwanz::N,cwt,пач
147,Schwanz::N,cynffon,пач
148,Ei::N,wy,мыны
149,Nest::N,nyth,пӹжӓш
150,Bau::N,ffau,ыраж
151,Tier::N,anifail,во́льык
152,Herde::N,praidd,кӹтö
153,Herde::N,diadell,кӹтö
154,Kuh::N,buwch,ышкал
155,Bulle::N,tarw,ӱшкӱж
156,Pferd::N,ceffyl,имни
157,Schaf::N,dafad,шарык
158,Schwein::N,mochyn,сасна
159,Hund::N,ci,пи
160,Katze::N,cath,коти
161,Bär::N,arth,мöскӓ
162,Eichhörnchen::N,gwiwer,ур
163,Elch::N,elc,шарды
164,Fuchs::N,cadno,рӹвӹж
165,Hase::N,ysgyfarnog,морен
166,Maus::N,llygoden,каля
167,Wolf::N,blaidd,пирӹ
168,Vogel::N,aderyn,кек
169,Schwarm::N,haid,цуца
170,Huhn::N,cyw,цӹвӹ
171,Hahn::N,ceiliog,ӓптӓн
172,Gans::N,gŵydd,комбы
173,Adler::N,eryr,кучкыж
174,Ente::N,hwyad,лыды
175,Eule::N,tylluan,тымана
176,Kranich::N,garan,тырня
177,Kranich::N,garan,тыртня
178,Kranich::N,crychydd,тырня
179,Kranich::N,crychydd,тыртня
180,Krähe::N,brân,лудыгарак
181,Kuckuck::N,cog,куку
182,Kuckuck::N,cwcw,куку
183,Schwan::N,alarch,йӱксӹ
184,Fisch::N,pysgod,кол
185,Barsch::N,draenog,алангы
186,Hecht::N,penhwyad,нуж
187,Hecht::N,penhwyad,нужгол
188,Schlange[Tier]::N,neidr,кӹшкы
189,Wurm::N,abwydyn,шукш
190,Wurm::N,pryf genwair,шукш
191,Spinne::N,cor,ӓнгӹремшӹ
192,Spinne::N,pryf copyn,ӓнгӹремшӹ
193,Ameise::N,morgrugyn,кыткы
194,Laus::N,lleuen,ти
195,Mücke::N,gwybedyn,кужнер
196,Mücke::N,gwybedyn,кужынер
197,Fliege::N,cleren,шӹнгӓ
198,Schmetterling::N,glöyn byw,лӹпӹ
199,Schmetterling::N,iâr fach yr haf,лӹпӹ
200,Beere::N,aeronen,мöр
201,Apfel::N,afal,олма
202,Pilz::N,madarch,понгы
203,Zwiebel::N,nionyn,охыра
204,Zwiebel::N,winwnsyn,охыра
205,Saat::N,had,нӱшмӹ
206,Saat::N,had,нӱшмӱ
207,Korn::N,grawn,пӹрцӹ
208,Heu::N,gwair,шуды
209,Schale::N,croen,аваха
210,Schale::N,croen,карлангы
211,Schale::N,plisgyn,аваха
212,Schale::N,plisgyn,карлангы
213,Grube::N,pwll,йӓм
214,Grube::N,pydew,йӓм
215,Falle::N,magl,лӱдӹ
216,Falle::N,magl,лӱдӹш
217,Schlinge::N,cwlwm rhedeg,онгы
218,Spur::N,ôl,кишӓ
219,Asche::N,lludw,ломых
220,Asche::N,lludw,ломпыж
221,Dreck::N,baw,лявӹрӓ
222,Dreck::N,budreddi,лявӹрӓ
223,Eisen::N,haearn,кӹртни
224,Gold::N,aur,шöртни
225,Gold::N,aur,шöртньӹ
226,Silber::N,arian,ши
227,Kohle::N,glo,шӱ
228,Glas::N,gwydr,охоница
229,Lehm::N,clai,шун
230,Sand::N,tywod,ошма
231,Mensch::N,dyn,эдем
232,Mann::N,dyn,пӱэргӹ
233,Frau::N,merch,ӹдӹрӓмӓш
234,Frau::N,gwraig,ӹдӹрӓмӓш
235,Kind::N,plentyn,ӓзӓ
236,Kind::N,plentyn,шачшы
237,Junge::N,hogyn,рвезӹ
238,Junge::N,hogyn,ӹрвезӹ
239,Junge::N,bachgen,рвезӹ
240,Junge::N,bachgen,ӹрвезӹ
241,Mädchen::N,merch,ӹдӹрӓш
242,Mädchen::N,geneth,ӹдӹрӓш
243,Familie::N,teulu,йиш
244,Familie::N,teulu,семня
245,Familie::N,tylwyth,йиш
246,Familie::N,tylwyth,семня
247,Großvater::N,taid,тьоти
248,Großvater::N,tad-cu,тьоти
249,Großmutter::N,nain,папа
250,Großmutter::N,mam-gu,папа
251,Eltern::N,rhieni,ӓтя-ӓвӓ
252,Vater::N,tad,ӓтя
253,Mutter::N,mam,ӓвӓ
254,Sohn::N,mab,эргӹ
255,Tochter::N,merch,ӹдӹр
256,Bruder::N,brawd,ӹза
257,Schwester::N,chwaer,ӓкӓ
258,Onkel::N,ewythr,кугуза
259,Tante::N,modryb,куака
260,Ehemann::N,gŵr,мары
261,Ehefrau::N,gwraig,вӓтӹ
262,Freude::N,gorfoledd,ӹвӹртӹмӓш
263,Gelächter::N,chwerthin,ваштылмаш
264,Glück::N,hapusrwydd,пиӓл
265,Kummer::N,galar,ясы
266,Wunsch::N,dymuniad,охата
267,Wunsch::N,dymuniad,шанымаш
268,Lust::N,chwant,шӓр
269,Lust::N,chwant,охата
270,Lust::N,chwant,шанымаш
271,Geist::N,ysbryd,тух
272,Gedanke::N,meddwl,шанымаш
273,Gedächtnis::N,cof,ӓш
274,Verstand::N,meddwl,ыш
275,Sinn::N,ystyr,кын
276,Grund::N,achos,вир
277,Grund::N,rheswm,вир
278,Wahrheit::N,gwir,тöр
279,Wahrheit::N,gwirionedd,тöр
280,Gespräch::N,sgwrs,хытырымаш
281,Märchen::N,chwedl werin,ямак
282,Erzählung::N,stori,шайыштмаш
283,Nachricht::N,neges,увертӓрӹмӓш
284,Neuigkeit::N,newydd,увер
285,Name::N,enw,лӹм
286,Rätsel::N,pos,тышты
287,Rede::N,araith,шая
288,Rede::N,araith,шамак
289,Sprache::N,iaith,йӹлмӹ
290,Stimme::N,llais,юк
291,Wort::N,gair,шамак
292,Zeichen::N,arwydd,палӹ
293,Ruf::N,galwad,сӹгӹрӹмӓш
294,Lärm::N,trwst,юкланымащ
295,Laut::N,sain,юк
296,Ton::N,tôn,юк
297,Lied::N,cân,мыры
298,Ruhe::N,tawelwch,тыр
299,Leute::N,pobl,эдемвлӓ
300,Volk::N,pobl,халык
301,Arbeit::N,gwaith,пӓшӓ
302,Gast::N,gwestai,хына
303,Geschenk::N,rhodd,подарка
304,Geschenk::N,anrheg,подарка
305,Spiel::N,chwarae,мадыш
306,Gesellschaft::N,cwmni,йӓл
307,Gesellschaft::N,cwmni,йӓлвлӓ
308,Hilfe::N,cymorth,палшык
309,Freund::N,cyfaill,тӓнг
310,Kamerad::N,cydymaith,тос
311,Angelegenheit::N,pwnc,дела
312,Angelegenheit::N,pwnc,йела
313,Angelegenheit::N,pwnc,йыла
314,Angelegenheit::N,pwnc,пӓшӓ
315,Anzahl::N,cyfrif,шот
316,Art::N,bath,цӹре
317,Stück::N,darn,лаштык
318,Teil::N,rhan,пай
319,Teil::N,rhan,часть
320,Hälfte::N,hanner,пел
321,Kreis::N,cylch,тӹртӹш
322,Kreuz::N,croes,крестӹ
323,Linie::N,llinell,
324,Strich::N,strôc,
325,Strich::N,trawiad,
326,Abstand::N,bwlch,ло
327,Abstand::N,pellter,ло
328,Entfernung::N,pellter,ло
329,Gegend::N,cylch,вӓр
330,Platz::N,lle,вӓр
331,Ort::N,lle,вӓр
332,Seite::N,ochr,öрдӹж
333,Mitte::N,canol,ло
334,Gegenstand::N,eitem,хӓдӹр
335,Sache::N,peth,хӓдӹр
336,Rand::N,cwr,шöр
337,Rand::N,ymyl,шöр
338,Kante::N,min,шöр
339,Kante::N,ymyl,шöр
340,Ecke::N,cornel,лык
341,Spitze::N,blaen,вуй
342,Ende::N,pen,вуй
343,Ende::N,pen,мычаш
344,Loch::N,twll,ыраж
345,Winkel::N,congl,лык
346,Muster::N,patrwm,тӹрлец
347,Größe::N,maint,кӱкшӹц
348,Größe::N,maintioli,кӱкшӹц
349,Länge::N,hyd,кыт
350,Höhe::N,uchder,кӱкшӹц
351,Gewicht::N,pwysau,нелӹц
352,Menge::N,swm,шот
353,Menge::N,maint,шот
354,Haufen::N,pentwr,ара
355,Reihe::N,rhes,ряд
356,Boot::N,cwch,пыш
357,Ruder::N,rhwyf,вешлӓ
358,Schlitten::N,sled,тир
359,Schlitten::N,car llusg,тир
360,Ski::N,sgi,ечӹ
361,Lagerfeuer::N,coelcerth,тыл
362,Last::N,llwyth,нелӹц
363,Gang::N,tro,ход
364,Schritt::N,cam,ашкыл
365,Norden::N,gogledd,йыдпелвел
366,Süden::N,de,кечӹвӓлвел
367,Westen::N,gorllewin,кечӹ шӹцмӹ
368,Osten::N,dwyrain,ирвел
369,Osten::N,dwyrain,кечӹ лӱлтмӹ
370,Holz::N,pren,пушӓнгӹ
371,Brett::N,bwrdd,ханга
372,Brett::N,astell,ханга
373,Platte::N,llech,плитӓ
374,Stütze::N,ateg,цӓрӓк
375,Stütze::N,cynhalydd,цӓрӓк
376,Stange::N,polyn,равы
377,Stange::N,polyn,намаш
378,Stock::N,ffon,панды
379,Stock::N,brigyn,панды
380,Stab::N,ffon,равы
381,Rohr::N,pibell,пыч
382,Haus::N,tŷ,пöрт
383,Heim::N,cartref,пöрт
384,Ofen::N,stof,камака
385,Fußboden::N,llawr,седӹрӓ
386,Tisch::N,bwrdd,стöл
387,Stuhl::N,cadair,пöкен
388,Wiege::N,crud,шипкӓ
389,Bett::N,gwely,койка
390,Bett::N,gwely,кравать
391,Regal::N,silff,полицӓ
392,Kiste::N,bocs,шӱ́ндӹк
393,Kiste::N,blwch,шӱ́ндӹк
394,Fenster::N,ffenestr,окня
