,Concept_ID,te,kk
0,Auge::N,కన్ను,көз
1,Ohr::N,చెవి,құлақ
2,Nase::N,ముక్కు,мұрын
3,Mund::N,నోరు,ауыз
4,Zahn::N,పల్లు,тіс
5,Zunge::N,నాలుక,тіл
6,Lippe::N,పెదవి,ерін
7,Wange::N,చెంప,ұрт
8,Gesicht::N,ముఖము,бет-аузы
9,Stirn::N,నుదురు,маңдай
10,Haar::N,వెండ్రుక,қыл
11,Schnurrbart::N,మీసము,мұрт
12,Bart::N,గడ్డము,сақал
13,Kinn::N,గడ్డము,иек
14,Kiefer[Anatomie]::N,దౌడ,жақ
15,Kehle::N,గొంతు,алқым
16,Hals::N,మెడ,мойын
17,Genick::N,మూపు,желке
18,Kopf::N,తల,кәллә
19,Rücken::N,వెన్ను,арқа
20,Bauch::N,కడుపు,қарын
21,Nabel::N,బొడ్డు,кіндік
22,Busen::N,స్తనము,омырау
23,Brust::N,ఱొమ్ము,кеуде
24,Schulter::N,భుజము,иық
25,Arm::N,చేయి,қол
26,Ellenbogen::N,మోచేయి,шынтақ
27,Hand::N,చేయి,қол
28,Handfläche::N,అరచేయు,алақан
29,Finger::N,చేతిప్రేలు,саусақ
30,Fingernagel::N,గోరు,тырнақ
31,Nagel[Anatomie]::N,గోరు,тырнақ
32,Zeh::N,కాలిప్రేలు,тырнақ
33,Zeh::N,కాలిప్రేలు,тұяқ
34,Fuß::N,అడుగు,аяқ-басы
35,Ferse::N,మడమ,өкше
36,Ferse::N,మడమ,өкшелік
37,Knie::N,మోకాలు,тізе
38,Oberschenkel::N,తొడ,жамбас
39,Bein::N,కాలు,аяқ
40,Körper::N,కాయము,дене
41,Haut::N,చర్మము,тері
42,Blut::N,రక్తము,қан
43,Ader::N,సిర,көктамыр
44,Ader::N,సిర,күретамыр
45,Sehne::N,స్నాయువు,сіңір
46,Knochen::N,ఎముక,жілік
47,Gehirn::N,మెదడు,ми
48,Herz::N,హృదయము,жүрек
49,Magen::N,కడుపు,асқазан
50,Leber::N,కాలేయము,бауыр
51,Atem::N,ఉపిరి,леп
52,Hunger::N,ఆకలి,ашаршылық
53,Träne::N,కన్నీటిచుక్క,жас
54,Geschmack::N,రుచి,дәм
55,Geschmack::N,రుచి,татым
56,Geschmack::N,రుచి,талғам
57,Geruch::N,వాసన,иіс
58,Schlaf::N,నిద్ర,ұйқы
59,Schlaf::N,నిద్ర,ұйықтау
60,Traum::N,కల,түс
61,Himmel::N,ఆకాశము,аспан
62,Himmel::N,ఆకాశము,көқ
63,Himmel::N,ఆకాశము,таңдай
64,Sonne::N,సూర్యుడు,күн
65,Mond::N,చంద్రుడు,ай
66,Stern::N,నక్షత్రము,жұлдыз
67,Luft::N,గాలి,әуе
68,Wind::N,వీచుచున్నగాలి,жел
69,Welle::N,అల,толқын
70,Wasser::N,నీరు,су
71,Stein::N,ఱాయి,тас
72,Boden::N,నేల,қыртыс
73,Erde::N,మన్ను,топырақ
74,Staub::N,దుమ్ము,шаң
75,Rauch::N,పొగ,түтін
76,Funke::N,అగ్నికణము,ұшқын
77,Feuer::N,అగ్ని,алау
78,Licht::N,కాంతి,шұғыла
79,Schatten::N,నీడ,көлеңке
80,Wetter::N,వాతావరణ స్థితి,ауа райы
81,Nebel::N,పొగమంచు,тұман
82,Wolke::N,మేఘము,бұлт
83,Regen::N,వాన,жаңбыр
84,Schnee::N,హిమము,қар
85,Eis::N,మంచుగడ్డ,мұз
86,Frost::N,పేరిన మంచు,суық
87,Kälte::N,చలి,ызғар
88,Kälte::N,చలి,суықтық
89,Hitze::N,వేడిమి,аптап
90,Raureif::N,మంచు,қырау
91,Regenbogen::N,ఇంద్రధనుస్సు,кемпірқосақ
92,Donner::N,ఉరుము,күн күркіреу
93,Strömung::N,ప్రవాహము,ағын
94,Tropfen::N,చుక్క,тамшы
95,Schaum::N,నురుగు,көбік
96,Schmutz::N,మైల,кір
97,See::N,సరస్సు,көл
98,Sumpf::N,చిత్తడినేల,саз
99,Moor::N,చిత్తడినేల,саз
100,Wiese::N,పచ్చిక బయలు,шалғын
101,Wald::N,అడవి,орман
102,Hügel::N,చివ్నకొండ,төбе
103,Hügel::N,చివ్నకొండ,белес
104,Hügel::N,చివ్నకొండ,белес-белес
105,Anhöhe::N,కొండ,дөң
106,Anhöhe::N,కొండ,адыр
107,Anhöhe::N,కొండ,қырат
108,Berg::N,పర్వతము,тау
109,Gipfel::N,శిఖరము,төбе
110,Höhle::N,గుహ,үңгір
111,Abhang::N,ఏటవాలు,бауыр
112,Quelle::N,మూలము,қайнар
113,Bach::N,కాలువ,жылға
114,Fluss::N,నది,өзен
115,Ufer::N,తీరము,жиек
116,Küste::N,తీరము,жиегі
117,Küste::N,తీరము,жағалау
118,Festland::N,భూమి,құрылық
119,Meer::N,సముద్రము,теңіз
120,Bucht::N,మరుగు,шығанақ
121,Insel::N,దీవి,арал
122,Blume::N,పుష్పము,гүл
123,Gras::N,పచ్చగడ్డి,от
124,Wurzel::N,వేరు,түбір
125,Baum::N,చెట్టు,ағаш
126,Baum::N,చెట్టు,дарақ
127,Stamm::N,చెట్టుబోదె,сояу
128,Stamm::N,చెట్టుబోదె,оқпан
129,Rinde::N,చెట్టుపట్ట,қабық
130,Ast::N,కొమ్మ,бұтақ
131,Zweig::N,చివుకు,шыбық
132,Blatt::N,ఆకు,жапырақ
133,Birke::N,తరహా చెట్టు,қайың
134,Kiefer[Baum]::N,దేవదారు చెట్టు,қарағай
135,Weide[Baum]::N,జాతిచెట్టు,тал
136,Tanne::N,దేవదారుచెట్టు,шырша
137,Horn::N,కొమ్ము,мүйіз
138,Feder::N,ఈక,қаламұш
139,Fell::N,తోలు,тері
140,Flügel::N,ఱెక్క,қанат
141,Klaue::N,వంకరగోరు,тырнақ
142,Kralle::N,వంకరగోరు,аяқ
143,Schwanz::N,తోక,құйрық
144,Ei::N,గ్రుడ్డు,жұмыртқа
145,Nest::N,పక్షిగూడు,ұя
146,Bau::N,గుహ,жатақ
147,Tier::N,జంతువు,айуан
148,Tier::N,జంతువు,жануар
149,Herde::N,మంద,пада
150,Kuh::N,ఆవు,сиыр
151,Bulle::N,గిత్త,өгіз
152,Pferd::N,గుఱ్ఱము,жылқы
153,Schaf::N,గొఱ్ఱె,қой
154,Schwein::N,పంది,шошқа
155,Hund::N,కుక్క,ит
156,Katze::N,పిల్లి,мысық
157,Bär::N,ఎలుగుబంటి,аю
158,Eichhörnchen::N,ఉడుత,тиін
159,Elch::N,కణంజు,бұғы
160,Fuchs::N,గుంటనక్క,түлкі
161,Hase::N,కుందేలు,қоян
162,Maus::N,చిట్టెలుక,қаптесер
163,Wolf::N,తోడేలు,бөрі
164,Wolf::N,తోడేలు,қасқыр
165,Vogel::N,పక్షి,құс
166,Schwarm::N,గుంపు,топ
167,Schwarm::N,గుంపు,үйір
168,Huhn::N,కోడిపిల్ల,тауық
169,Huhn::N,కోడిపిల్ల,мекиен
170,Hahn::N,కోడివుంజు,әтеш
171,Hahn::N,కోడివుంజు,қораз
172,Gans::N,ఆడుబాతు,қаз
173,Adler::N,గ్రద్ద,бүркіт
174,Ente::N,పాట్టిబాతు,үйрек
175,Eule::N,గ్రుడ్లగూబ,жапалақ
176,Kranich::N,కొంగ,тырна
177,Krähe::N,కాకి,қарға
178,Kuckuck::N,కోయల,көкек
179,Schwan::N,హంస,аққу
180,Fisch::N,చేప,балық
181,Barsch::N,ఒకచేఁప,алабұға
182,Hecht::N,గండుమీను,шортан
183,Schlange[Tier]::N,పాము,жылан
184,Wurm::N,పురుగు,шұбалшаң
185,Spinne::N,సాలె పురుగు,өрмекші
186,Ameise::N,చీమ,қүмырска
187,Laus::N,పేను,бит
188,Mücke::N,చీకటీగ,маса
189,Fliege::N,ఈగ,шыбын
190,Schmetterling::N,సీతాకోకచిలుక,көбелек
191,Beere::N,కాయ,жидек
192,Apfel::N,ఆపిల్ పండు,алма
193,Pilz::N,కుక్కగొడుగు,қозықұйрық
194,Pilz::N,కుక్కగొడుగు,саңыраукулақ
195,Zwiebel::N,నీరుల్లి,жуа
196,Saat::N,విత్తనము,тұқым
197,Korn::N,గింజ,дән
