,Concept_ID,zh,ady
0,Auge::N,眼睛,нэ
1,Ohr::N,耳朵,тхьакӏу́м
2,Nase::N,鼻子,пэ
3,Mund::N,嘴,жэ
4,Zahn::N,牙齿,цэ
5,Zunge::N,舌头,бзэгу
6,Lippe::N,嘴唇,ӏупшӏэ́
7,Wange::N,面颊,нэкӏу́шъу
8,Gesicht::N,脸,нэ́гу
9,Stirn::N,额,натӏэ́
10,Haar::N,头发,шъхьацы́
11,Schnurrbart::N,髭须,
12,Bart::N,胡子,жакӏэ́
13,Kinn::N,下巴,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,颌,жэпкъы́
15,Kehle::N,嗓子,чый
16,Hals::N,颈,пшъэ
17,Genick::N,后颈,шъхьэпхэтыку
18,Kopf::N,头,шъхьэ́
19,Rücken::N,背,кӏыбы́
20,Bauch::N,肚子,ныбэ́
21,Nabel::N,肚脐,
22,Busen::N,胸脯,бгъэ́
23,Brust::N,胸,бгъэ́
24,Schulter::N,肩膀,блыпкъ
25,Arm::N,臂膀,ӏэ
26,Ellenbogen::N,肘,ӏэнтэ́гъу
27,Hand::N,手,ӏэтхьэцу
28,Handfläche::N,手掌,ӏэ́гу
29,Finger::N,手指,ӏэхъуа́мб
30,Fingernagel::N,指甲,ӏэбжъа́н
31,Nagel[Anatomie]::N,指甲,ӏэбжъа́н
32,Zeh::N,脚趾,ӏэхъуа́мб
33,Fuß::N,脚,лъэгу
34,Ferse::N,后跟,лъэдакъэ
35,Knie::N,膝,лъагуа́ндж
36,Oberschenkel::N,大腿,ко
37,Bein::N,腿,лъакъо́
38,Körper::N,身体,пкъышъол
39,Haut::N,皮肤,кӏы́шъу
40,Blut::N,血,лъы
41,Ader::N,血管,льытф
42,Sehne::N,腱,фэ
43,Knochen::N,骨,къупшъхьэ́
44,Gehirn::N,脑,куцӏы
45,Herz::N,心,гу
46,Magen::N,胃,мышкӏу
47,Leber::N,肝,шӏу
48,Atem::N,呼吸,къэщэныр
49,Hunger::N,饿,гъаблэ́
50,Träne::N,眼泪,нэпсы
51,Geschmack::N,味道,ӏэшӏугъа́кӏ
52,Geruch::N,气味,мэ
53,Schlaf::N,睡眠,пчыхьы́пӏ
54,Traum::N,梦,пчыхьы́пӏ
55,Himmel::N,天空,уашъо́
56,Sonne::N,太阳,тыгъэ
57,Mond::N,月亮,мазэ
58,Stern::N,星,жъуагъо́
59,Luft::N,空气,жьы
60,Wind::N,风,жьыбгъэ́
61,Welle::N,波,ор
62,Welle::N,波,оры
63,Wasser::N,水,псы
64,Stein::N,石头,мыжъо́
65,Boden::N,地面,чӏ́ыгу
66,Erde::N,地,чӏ́ыгу
67,Staub::N,灰尘,сап
68,Rauch::N,烟,ӏугъо́
69,Funke::N,火花,мэшӏуа́ч
70,Feuer::N,火,машӏо́
71,Licht::N,光,нэфы
72,Licht::N,光,нэфын
73,Schatten::N,影子,жьау́
74,Schatten::N,影子,ныбжьыкъу
75,Wetter::N,天气,
76,Nebel::N,雾,пща́гъу
77,Wolke::N,云,ошъуапщэ
78,Regen::N,雨,ощхы
79,Schnee::N,雪,осы́
80,Eis::N,冰,мылы
81,Frost::N,霜冻,
82,Kälte::N,寒冷,чъыӏэ́
83,Hitze::N,炎热,фэба́е
84,Raureif::N,霜,
85,Regenbogen::N,虹, лэгъупэкъо́пс
86,Donner::N,雷,шыблэ́
87,Strömung::N,水流,ток
88,Tropfen::N,滴,ткӏопс
89,Tropfen::N,滴,гъуаткӏу
90,Schaum::N,泡沫,тхъурбэ
91,Schmutz::N,赃物,псынжъы
92,See::N,湖,хыку́м
93,See::N,湖,псыхъура́й
94,Sumpf::N,沼泽,орыжъ
95,Moor::N,沼泽,орыжъ
96,Wiese::N,草地,хъупӏэ́
97,Wiese::N,草地,мэкъупӏ
98,Wald::N,森林,мэзы́
99,Hügel::N,丘陵,ӏуашъхь
100,Anhöhe::N,山丘,чӏыӏэтыгъ
101,Berg::N,山,къушъхьэ́
102,Gipfel::N,峰,шыгу
103,Höhle::N,洞穴,гъочӏэгъ
104,Abhang::N,斜坡,чапэ
105,Quelle::N,泉,псынэчэ́чъ
106,Bach::N,溪,псышкуашку
107,Fluss::N,河流,псыхъо́
108,Ufer::N,岸,нэпкъы
109,Küste::N,海岸,ӏушъо
110,Festland::N,大陆,чӏл́ыгу
111,Meer::N,海,хы
112,Bucht::N,海湾,хыблыгу
113,Insel::N,岛,хыгъэхъу́н
114,Blume::N,花,къэгъа́гь
115,Gras::N,草,уцы́
116,Wurzel::N,根,лъапсэ́
117,Baum::N,树,чъыгы́
118,Stamm::N,树干,пкъы
119,Rinde::N,树皮,пхъашъо́
120,Ast::N,树枝,куамэ
121,Zweig::N,树枝,къутамэ́
122,Blatt::N,叶子,тхьап
123,Birke::N,桦木,пчэн
124,Kiefer[Baum]::N,松树,сэснэй
125,Weide[Baum]::N,柳树,пце́л
126,Tanne::N,冷杉,ель
127,Horn::N,角,бжъэ
128,Feder::N,羽毛,къамӏы́й
129,Fell::N,皮毛,шъо
130,Flügel::N,翅膀,тамэ́
131,Klaue::N,爪子,лъэбжъа́н
132,Kralle::N,爪子,лъакъо
133,Schwanz::N,尾巴,кӏэ
134,Ei::N,蛋,кӏэнкӏэ́
135,Nest::N,巢,набгъо́
136,Bau::N,穴,гъу
137,Bau::N,穴,бы
138,Tier::N,动物,псэу́шъхь
139,Herde::N,群,ӏэхъогъу
140,Kuh::N,母牛,чэмы́
141,Bulle::N,公牛,цу
142,Pferd::N,马,шы
143,Schaf::N,羊,мэлы́
144,Schwein::N,猪,къо
145,Hund::N,狗,бьэ
146,Katze::N,猫,чэты́у
147,Bär::N,熊,мышъэ́
148,Eichhörnchen::N,松鼠,цызэ́
149,Elch::N,麋鹿,лось
150,Fuchs::N,狐狸,баджэ́
151,Hase::N,兔子,тхьакӏумкӏы́хь
