,Concept_ID,tt,ru
0,Auge::N,күз,глаз
1,Ohr::N,колак,ухо
2,Nase::N,борын,нос
3,Mund::N,авыз,рот
4,Mund::N,тамак,рот
5,Zahn::N,теш,зуб
6,Zunge::N,тел,язык
7,Lippe::N,ирен,губа
8,Wange::N,яңак,щека
9,Gesicht::N,йөз,лицо
10,Stirn::N,маңгай,лоб
11,Haar::N,чәч,волос
12,Haar::N,чәч,волосы
13,Schnurrbart::N,мыек,ус
14,Schnurrbart::N,мыек,усы
15,Bart::N,сакал,борода
16,Kinn::N,ияк,подбородок
17,Kiefer[Anatomie]::N,казналык,челюсть
18,Kehle::N,тамак,горло
19,Hals::N,бугаз,шея
20,Genick::N,җилкә,затылок
21,Kopf::N,баш,голова
22,Rücken::N,сырт,спина
23,Bauch::N,корсак,живот
24,Nabel::N,кендек,пупок
25,Busen::N,түш,женская грудь
26,Brust::N,имчәк,грудь
27,Brust::N,күкрәк,грудь
28,Schulter::N,иңбаш,плечо
29,Schulter::N,кулбаш,плечо
30,Arm::N,кул,рука
31,Ellenbogen::N,терсәк,локоть
32,Hand::N,кул,кисть
33,Handfläche::N,уч,ладонь
34,Finger::N,бармак,палец
35,Fingernagel::N,тырнак,ноготь
36,Nagel[Anatomie]::N,тырнак,ноготь
37,Zeh::N,бармак,палец
38,Fuß::N,табан,ступня
39,Ferse::N,үкчә,пята
40,Ferse::N,үкчә,пятка
41,Knie::N,тез,колено
42,Oberschenkel::N,бот,бедро
43,Bein::N,аяк,нога
44,Körper::N,тән,тело
45,Körper::N,җисем,тело
46,Haut::N,тире,кожа
47,Blut::N,кан,кровь
48,Ader::N,тамыр,вена
49,Ader::N,тамыр,сосуд
50,Sehne::N,сеңер,жила
51,Sehne::N,сеңер,тетива
52,Sehne::N,сеңер,сухожилие
53,Knochen::N,сөяк,кость
54,Gehirn::N,ми,мозг
55,Herz::N,йөрәк,сердце
56,Magen::N,ашказаны,желудок
57,Leber::N,бавыр,печень
58,Atem::N,сулыш,дух
59,Atem::N,сулыш,дыхание
60,Hunger::N,ачлык,голод
61,Träne::N,яшь,слеза
62,Geschmack::N,тәм,вкус
63,Geschmack::N,зәвык,вкус
64,Geruch::N,ис,запах
65,Schlaf::N,йокы,сон
66,Traum::N,төш,сновидение
67,Himmel::N,күк,небо
68,Sonne::N,кояш,солнце
69,Mond::N,ай,луна
70,Stern::N,йолдыз,звезда
71,Luft::N,һава,воздух
72,Wind::N,җил,ветер
73,Welle::N,дулкын,волна
74,Wasser::N,су,вода
75,Stein::N,таш,камень
76,Boden::N,туфрак,почва
77,Erde::N,җир,земля
78,Staub::N,тузан,пыль
79,Rauch::N,төтен,дым
80,Funke::N,очкын,искра
81,Feuer::N,ут,огонь
82,Licht::N,якты,свет
83,Schatten::N,күләгә,тень
84,Wetter::N,һава,погода
85,Nebel::N,томан,туман
86,Wolke::N,болыт,облако
87,Regen::N,яңгыр,дождь
88,Schnee::N,кар,снег
89,Eis::N,боз,лед
90,Frost::N,суык,мороз
91,Frost::N,салкын,мороз
92,Kälte::N,суык,холод
93,Kälte::N,салкын,холод
94,Hitze::N,эсселек,жара
95,Raureif::N,бәс,иней
96,Raureif::N,сыкы,иней
97,Regenbogen::N,салават күпере,радуга
98,Donner::N,күкрәү,гром
99,Strömung::N,агыш'агым,течение
100,Tropfen::N,тамчы,капля
101,Schaum::N,күбек,пена
102,Schmutz::N,пычрак,грязь
103,See::N,күл,озеро
104,Sumpf::N,саз,топь
105,Moor::N,торфлык,болото
106,Wiese::N,болын,луг
107,Wald::N,урман,лес
108,Hügel::N,калку,холм
109,Anhöhe::N,үр,возвышенность
110,Berg::N,тау,гора
111,Gipfel::N,оч,вершина
112,Höhle::N,мәгарә,пещера
113,Abhang::N,кабырга,склон
114,Quelle::N,чишмә,источник
115,Bach::N,елга,ручей
116,Fluss::N,дәрья,река
117,Ufer::N,су кырые,берег
118,Küste::N,яр буе,побережье
119,Festland::N,коры җир,суша
120,Meer::N,диңгез,море
121,Bucht::N,бухта,бухта
122,Bucht::N,култык,бухта
123,Insel::N,атау,остров
124,Insel::N,утрау,остров
125,Blume::N,чәчкә,цветок
126,Gras::N,үлән,трава
127,Wurzel::N,тамыр,корень
128,Baum::N,агач,дерево
129,Stamm::N,кәүсә,ствол
130,Rinde::N,кабык,кора
131,Ast::N,ботак,сук
132,Zweig::N,ботак,ветвь
133,Zweig::N,тармак,ветвь
134,Blatt::N,яфрак,лист
135,Birke::N,каен,береза
136,Kiefer[Baum]::N,нарат,сосна
137,Weide[Baum]::N,тал,ива
138,Tanne::N,чыршы,ель
139,Horn::N,мөгез,рог
140,Feder::N,йон,перо
141,Fell::N,тире,шкура
142,Flügel::N,канат,крыло
143,Klaue::N,тырнак,коготь
144,Kralle::N,тырнак,лапа
145,Schwanz::N,койрык,хвост
146,Ei::N,күкәй,яйцо
147,Ei::N,йомырка,яйцо
148,Nest::N,оя,гнездо
149,Bau::N,өн,нора
150,Tier::N,хайван,животное
151,Herde::N,көтү,стадо
152,Kuh::N,сыер,корова
153,Bulle::N,үгез,бык
154,Pferd::N,ат,лошадь
155,Schaf::N,сарык,овца
156,Schwein::N,дуңгыз,свинья
157,Hund::N,эт,собака
158,Katze::N,песи,кошка
159,Bär::N,аю,медведь
160,Eichhörnchen::N,тиен,белка
161,Elch::N,поши,лось
162,Fuchs::N,төлке,лиса
163,Hase::N,куян,заяц
164,Maus::N,тычкан,мышь
165,Wolf::N,бүре,волк
166,Vogel::N,кош,птица
167,Schwarm::N,көтү,стая
168,Huhn::N,тавык,курица
169,Hahn::N,әтәч,петух
170,Gans::N,каз,гусь
171,Adler::N,каракош,орел
172,Ente::N,үрдәк,утка
173,Eule::N,ябалак,сова
174,Kranich::N,торна,журавль
175,Krähe::N,карга,ворона
176,Kuckuck::N,күке,кукушка
177,Kuckuck::N,кәккүк,кукушка
178,Schwan::N,аккош,лебедь
179,Fisch::N,балык,рыба
180,Barsch::N,алабуга,окунь
181,Hecht::N,чуртан,щука
182,Schlange[Tier]::N,елан,змея
183,Wurm::N,корт,червяк
184,Spinne::N,үрмәкүч,паук
185,Ameise::N,кырмыска,муравей
186,Laus::N,бет,вошь
187,Mücke::N,черки,комар
188,Mücke::N,озынборын,комар
189,Fliege::N,чебен,муха
190,Schmetterling::N,күбәләк,бабочка
191,Beere::N,җиләк,ягода
192,Apfel::N,алма,яблоко
193,Pilz::N,гөмбә,гриб
194,Zwiebel::N,суган,луковица
195,Zwiebel::N,суганбаш,луковица
196,Saat::N,орлык,семя
197,Korn::N,иген,зерно
198,Korn::N,орлык,зерно
199,Heu::N,печән,сено
200,Schale::N,кабык,шелуха
201,Grube::N,баз,яма
202,Grube::N,чокыр,яма
203,Falle::N,тозак,ловушка
204,Falle::N,капкын,ловушка
205,Schlinge::N,элмәк,силок
206,Spur::N,эз,след
207,Asche::N,көл,зола
208,Asche::N,көл,пепел
209,Dreck::N,пычрак,грязь
210,Eisen::N,тимер,железо
211,Gold::N,алтын,золото
212,Silber::N,көмеш,серебро
213,Kohle::N,күмер,уголь
214,Glas::N,пыяла,стекло
215,Lehm::N,балчык,глина
216,Sand::N,ком,песок
217,Mensch::N,адәм,человек
218,Mensch::N,инсан,человек
219,Mann::N,ир,мужчина
220,Frau::N,хатын,женщина
221,Kind::N,бала,ребенок
222,Junge::N,малай,мальчик
223,Mädchen::N,кыз,девочка
224,Familie::N,гаилә,семья
225,Großvater::N,бабай,дедушка
226,Großmutter::N,әби,бабушка
227,Eltern::N,ата-ана,родители
228,Vater::N,ата,отец
229,Mutter::N,ана,мать
230,Sohn::N,ул,сын
231,Tochter::N,кыз,дочь
232,Bruder::N,кардәш,брат
233,Schwester::N,апа,сестра
234,Schwester::N,сеңел,сестра
235,Onkel::N,дәдә,дядя
236,Onkel::N,дәдәй,дядя
237,Tante::N,түти,тетя
238,Tante::N,тәтәй,тетя
239,Ehemann::N,ир,муж
240,Ehefrau::N,хатын,жена
241,Freude::N,сөенеч,радость
242,Gelächter::N,көлү,смех
243,Gelächter::N,көлеш,смех
244,Glück::N,бәхет,счастье
245,Kummer::N,хәсрәт,горе
246,Wunsch::N,теләк,желание
247,Lust::N,теләк,влечение
248,Lust::N,теләү,влечение
249,Geist::N,рух,дух
250,Gedanke::N,уй,мысль
251,Gedanke::N,фикер,мысль
252,Gedächtnis::N,хәтер,память
253,Verstand::N,акыл,ум
254,Sinn::N,мәгънә,смысл
255,Grund::N,сәбәп,повод
256,Wahrheit::N,хак,правда
257,Gespräch::N,әңгәмә,беседа
258,Märchen::N,әкият,сказка
259,Erzählung::N,хикәя,рассказ
260,Nachricht::N,хәбәр,сообщение
261,Neuigkeit::N,яңалык,новость
262,Name::N,исем,имя
263,Rätsel::N,табышмак,загадка
264,Rede::N,нотык,речь
265,Sprache::N,тел,язык
266,Stimme::N,тавыш,голос
267,Wort::N,сүз,слово
268,Zeichen::N,ишарә,знак
269,Ruf::N,дәшү,зов
270,Lärm::N,шау,шум
271,Laut::N,аваз,звук
272,Ton::N,шалтырату,звучание
273,Lied::N,җыр,песня
274,Ruhe::N,тынлык,покой
275,Leute::N,халык,люди
276,Volk::N,халык,народ
277,Arbeit::N,эш,работа
278,Arbeit::N,хезмәт,работа
279,Gast::N,кунак,гость
280,Geschenk::N,бүләк,подарок
281,Spiel::N,уен,игра
282,Gesellschaft::N,җәмгыять,общество
283,Hilfe::N,ярдәм,помощь
284,Hilfe::N,булышлык,помощь
285,Freund::N,дус,друг
286,Kamerad::N,иптәш,приятель
287,Angelegenheit::N,эш,дело
288,Anzahl::N,микъдар,количество
289,Art::N,төр,вид
290,Stück::N,кисәк,кусок
291,Teil::N,өлеш,часть
292,Hälfte::N,ярым,половина
293,Kreis::N,түгәрәк,круг
294,Kreuz::N,хач,крест
295,Kreuz::N,тәре,крест
296,Linie::N,сызык,линия
297,Strich::N,сызык,черта
298,Abstand::N,ара,промежуток
299,Entfernung::N,ераклык,расстояние
300,Gegend::N,урын,местность
301,Platz::N,бушлык,пространство
302,Ort::N,урын,место
303,Seite::N,як,сторона
304,Mitte::N,урта,середина
305,Gegenstand::N,нәрсә,предмет
306,Sache::N,нәрсә,вещь
307,Rand::N,чит,край
308,Kante::N,кырый,ребро
309,Ecke::N,почмак,угол
310,Spitze::N,оч,кончик
311,Ende::N,азак,конец
312,Loch::N,тишек,дыра
313,Winkel::N,почмак,угол
314,Muster::N,парча,узор
315,Größe::N,зурлык,размер
316,Länge::N,озынлык,длина
317,Höhe::N,биеклек,высота
318,Gewicht::N,авырлык,вес
319,Menge::N,микъдар,количество
320,Haufen::N,өем,куча
321,Reihe::N,рәт,ряд
322,Boot::N,каек,лодка
323,Boot::N,көймә,лодка
324,Ruder::N,ишкәк,весло
325,Schlitten::N,чана,сани
326,Ski::N,чаңгы,лыжа
327,Lagerfeuer::N,костёр,костер
328,Last::N,йөк,тяжесть
329,Gang::N,йөреш,ход
330,Schritt::N,адым,шаг
331,Norden::N,төньяк,север
332,Süden::N,көньяк,юг
333,Westen::N,көнбатыш,запад
334,Osten::N,шәрык,восток
335,Osten::N,көнчыгыш,восток
336,Holz::N,агач,древесина
337,Brett::N,такта,доска
338,Platte::N,плитә,плита
339,Stütze::N,таяу,подпорка
340,Stange::N,колга,жердь
341,Stock::N,таяк,палка
342,Stab::N,таяк,шест
343,Rohr::N,торба,труба
344,Haus::N,өй,дом
345,Haus::N,йорт,дом
346,Heim::N,гаилә,дом
347,Heim::N,нәсел,дом
348,Ofen::N,мич,печь
349,Fußboden::N,идән,пол
350,Tisch::N,өстәл,стол
351,Stuhl::N,утыргыч,стул
352,Wiege::N,бишек,колыбель
353,Bett::N,ятак,постель
354,Bett::N,урын-җир,постель
355,Regal::N,киштә,полка
356,Regal::N,шүрлек,полка
357,Kiste::N,әрҗә,ящик
358,Fenster::N,тәрәзә,окно
359,Tür::N,ишек,дверь
360,Tor::N,капка,ворота
361,Zaun::N,койма,забор
362,Dach::N,түбә,крыша
363,Leiter::N,баскыч,лестница
364,Besen::N,себерке,метла
365,Spaten::N,көрәк,лопата
366,Schaufel::N,көрәк,совок
367,Gabel::N,чәннечке,вилка
368,Löffel::N,кашык,ложка
369,Messer::N,пычак,нож
370,Nagel::N,кадак,гвоздь
371,Netz::N,челтәр,сеть
372,Haken::N,ыргак,крюк
373,Griff::N,тотка,ручка
374,Schloss::N,йозак,замок
375,Bild::N,рәсем,картина
376,Bild::N,картина,картина
377,Figur::N,сын,фигура
378,Figur::N,фигура,фигура
379,Puppe::N,курчак,кукла
380,Beutel::N,луза,мешок
381,Bündel::N,бәйләм,связка
382,Tasche::N,букча,сумка
383,Eimer::N,чиләк,ведро
384,Deckel::N,капкач,крышка
385,Geschirr::N,савыт-саба,посуда
386,Geschirr::N,кашык-аяк,посуда
387,Sack::N,капчык,мешок
388,Tasse::N,чынаяк,чашка
389,Topf::N,чүлмәк,кастрюля
390,Kessel::N,казан,котел
391,Essen::N,ашау,еда
392,Nahrung::N,азык,пища
393,Nahrung::N,тәгам,пища
394,Nahrung::N,ашамлык,пища
395,Speise::N,ризык,блюдо
396,Speise::N,ризык,кушанье
397,Fleisch::N,ит,мясо
398,Getreide::N,ашлык,хлеб
399,Brei::N,ботка,каша
400,Brot::N,ипи,хлеб
401,Brot::N,икмәк,хлеб
402,Scheibe::N,телем,ломоть
403,Fett::N,май,жир
404,Butter::N,май,масло
405,Öl::N,май,масло
