,Concept_ID,es,uk
0,Auge::N,ojo,око
1,Ohr::N,oreja,вухо
2,Nase::N,nariz,ніс
3,Mund::N,boca,рот
4,Zahn::N,diente,зуб
5,Zunge::N,lengua,язик
6,Lippe::N,labio,губа
7,Wange::N,mejilla,щока
8,Gesicht::N,cara,обличчя
9,Stirn::N,frente,лоб
10,Haar::N,cabello,волосся
11,Schnurrbart::N,bigote,вуса
12,Bart::N,barba,борода
13,Kinn::N,barbilla,підборіддя
14,Kiefer[Anatomie]::N,mandíbula,щелепа
15,Kehle::N,garganta,горло
16,Hals::N,cuello,шия
17,Genick::N,nuca,потилиця
18,Genick::N,cerviz,потилиця
19,Kopf::N,cabeza,голова
20,Rücken::N,espalda,спина
21,Bauch::N,vientre,живіт
22,Nabel::N,ombligo,пупок
23,Busen::N,pecho,груди
24,Brust::N,pecho,груди
25,Schulter::N,hombro,плече
26,Arm::N,brazo,рука
27,Ellenbogen::N,codo,лікоть
28,Hand::N,mano,рука
29,Handfläche::N,palma,долоня
30,Finger::N,dedo,палець
31,Fingernagel::N,uña,ніготь
32,Nagel[Anatomie]::N,uña,ніготь
33,Zeh::N,dedo del pie,палець на нозі
34,Fuß::N,pie,нога
35,Ferse::N,talón,п’ятка
36,Knie::N,rodilla,коліно
37,Oberschenkel::N,muslo,стегно
38,Bein::N,pierna,нога
39,Körper::N,cuerpo,тіло
40,Haut::N,piel,шкіра
41,Blut::N,sangre,кров
42,Ader::N,vena,вена
43,Sehne::N,tendón,сухожилля
44,Knochen::N,hueso,кістка
45,Gehirn::N,cerebro,мозок
46,Gehirn::N,encéfalo,мозок
47,Herz::N,corazón,серце
48,Magen::N,estómago,шлунок
49,Leber::N,hígado,печінка
50,Atem::N,aliento,дихання
51,Hunger::N,hambre,голод
52,Träne::N,lágrima,сльоза
53,Geschmack::N,gusto,смак
54,Geruch::N,olor,запах
55,Schlaf::N,sueño,сон
56,Schlaf::N,sueño,сплячка
57,Traum::N,sueño,сон
58,Traum::N,ensueño,сон
59,Himmel::N,cielo,небо
60,Sonne::N,sol,сонце
61,Mond::N,luna,місяць
62,Stern::N,estrella,зірка
63,Luft::N,aire,повітря
64,Wind::N,viento,вітер
65,Welle::N,ola,хвиля
66,Welle::N,onda,хвиля
67,Wasser::N,agua,вода
68,Stein::N,piedra,камінь
69,Boden::N,suelo,ґрунт
70,Erde::N,tierra,земля
71,Staub::N,polvo,пил
72,Rauch::N,humo,дим
73,Funke::N,chispa,іскра
74,Feuer::N,fuego,вогонь
75,Licht::N,luz,світло
76,Schatten::N,sombra,тінь
77,Wetter::N,tiempo,погода
78,Nebel::N,niebla,туман
79,Wolke::N,nube,хмара
80,Regen::N,lluvia,дощ
81,Schnee::N,nieve,сніг
82,Eis::N,hielo,лід
83,Frost::N,helada,мороз
84,Kälte::N,frío,холод
85,Hitze::N,calor,жар
86,Raureif::N,escarcha,іній
87,Regenbogen::N,arco iris,райдуга
88,Donner::N,trueno,грім
89,Strömung::N,corriente,струмина
90,Tropfen::N,gota,крапля
91,Schaum::N,espuma,піна
92,Schmutz::N,suciedad,бруд
93,See::N,lago,озеро
94,Sumpf::N,pantano,драговина
95,Moor::N,turbera,болото
96,Wiese::N,prado,луг
97,Wiese::N,prado,лука
98,Wiese::N,pradera,луг
99,Wiese::N,pradera,лука
100,Wald::N,bosque,ліс
101,Hügel::N,colina,горб
102,Anhöhe::N,cerro,височина
103,Berg::N,monte,гора
104,Berg::N,montaña,гора
105,Gipfel::N,cima,вершина
106,Gipfel::N,cumbre,вершина
107,Höhle::N,cueva,печера
108,Höhle::N,caverna,печера
109,Abhang::N,cuesta,схил
110,Abhang::N,declive,схил
111,Quelle::N,fuente,джерело
112,Quelle::N,manantial,джерело
113,Bach::N,arroyo,струмок
114,Fluss::N,río,річка
115,Ufer::N,orilla,берег
116,Küste::N,costa,узбережжя
117,Festland::N,tierra firme,суша
118,Meer::N,mar,море
119,Bucht::N,cala,бухта
120,Bucht::N,cala,затока
121,Bucht::N,bahía,бухта
122,Bucht::N,bahía,затока
123,Insel::N,isla,острів
124,Blume::N,flor,квітка
125,Gras::N,hierba,трава
126,Wurzel::N,raíz,корінь
127,Baum::N,árbol,дерево
128,Stamm::N,tronco,стовбур
129,Rinde::N,corteza,кора
130,Ast::N,rama,гілка
131,Zweig::N,ramo,галузь
132,Blatt::N,hoja,лист
133,Birke::N,abedul,береза
134,Kiefer[Baum]::N,pino,сосна
135,Weide[Baum]::N,sauce,верба
136,Tanne::N,abeto,ялиця
137,Horn::N,asta,ріг
138,Horn::N,cuerno,ріг
139,Feder::N,pluma,перо
140,Fell::N,piel,хутро
141,Flügel::N,ala,крило
142,Klaue::N,garra,кіготь
143,Kralle::N,uña,лапа
144,Kralle::N,garra,лапа
145,Schwanz::N,cola,хвіст
146,Ei::N,huevo,яйце
147,Nest::N,nido,гніздо
148,Bau::N,madriguera,лігво
149,Tier::N,animal,тварина
150,Herde::N,rebaño,стадо
151,Kuh::N,vaca,корова
152,Bulle::N,toro,бик
153,Bulle::N,toro,бугай
154,Pferd::N,caballo,кінь
155,Schaf::N,oveja,вівця
156,Schwein::N,cerdo,свиня
157,Hund::N,perro,собака
158,Katze::N,gato,кішка
159,Bär::N,oso,ведмідь
160,Eichhörnchen::N,ardilla,білка
161,Elch::N,alce,лось
162,Fuchs::N,zorro,лисиця
163,Hase::N,liebre,заєць
164,Maus::N,ratón,миша
165,Wolf::N,lobo,вовк
166,Vogel::N,ave,птах
167,Vogel::N,pájaro,птах
168,Schwarm::N,bandada,зграя
169,Huhn::N,gallina,курка
170,Hahn::N,gallo,півень
171,Gans::N,oca,гуска
172,Gans::N,ganso,гуска
173,Adler::N,águila,орел
174,Ente::N,pato,качка
175,Eule::N,lechuza,сова
176,Kranich::N,grulla,журавель
177,Krähe::N,corneja,ворона
178,Kuckuck::N,cuco,зозуля
179,Schwan::N,cisne,лебідь
180,Fisch::N,pez,риба
181,Barsch::N,perca,окунь
182,Hecht::N,lucio,щука
183,Schlange[Tier]::N,serpiente,змія
184,Wurm::N,gusano,черв’як
185,Spinne::N,araña,павук
186,Ameise::N,hormiga,мурашка
187,Laus::N,piojo,воша
188,Mücke::N,mosquito,комар
189,Fliege::N,mosca,муха
