,Concept_ID,tr,myv
0,Auge::N,göz,сельме
1,Ohr::N,kulak,пиле
2,Nase::N,burun,судо
3,Mund::N,ağız,курго
4,Zahn::N,diş,пей
5,Zunge::N,dil,кель
6,Lippe::N,dudak,турва
7,Wange::N,yanak,чамабока
8,Wange::N,yanak,чамаумарь
9,Gesicht::N,yüz,чама
10,Stirn::N,alın,коня
11,Haar::N,saç,черь
12,Schnurrbart::N,bıyık,ус
13,Schnurrbart::N,bıyık,муюк
14,Bart::N,sakal,сакал
15,Kinn::N,çene,уло
16,Kiefer[Anatomie]::N,çene,пейпакар
17,Kiefer[Anatomie]::N,çene,пейловажа
18,Kehle::N,boğaz,кирьгапарь
19,Hals::N,boyun,кирьга
20,Hals::N,gerdan,кирьга
21,Genick::N,ense,човонь
22,Kopf::N,baş,пря
23,Kopf::N,kafa,пря
24,Rücken::N,arka,копорь
25,Bauch::N,karın,пеке
26,Nabel::N,göbek,почо
27,Busen::N,koyun,поте
28,Brust::N,göğüs,меште
29,Schulter::N,omuz,лавтов
30,Arm::N,kol,кедь
31,Ellenbogen::N,dirsek,кенерепакарь
32,Hand::N,el,кедь
33,Handfläche::N,avuç,кедькуншка
34,Handfläche::N,avuç,кедьлапушка
35,Handfläche::N,el ayası,кедькуншка
36,Handfläche::N,el ayası,кедьлапушка
37,Finger::N,parmak,сур
38,Fingernagel::N,el tırnağı,кенже
39,Nagel[Anatomie]::N,tırnak,кенже
40,Zeh::N,ayak parmağı,пильге сур
41,Fuß::N,ayak,пильге
42,Ferse::N,topuk,кочкаря
43,Knie::N,diz,эле
44,Knie::N,diz,эзне
45,Knie::N,diz,кумажа
46,Oberschenkel::N,uyluk,качо
47,Bein::N,bacak,пильге
48,Körper::N,vücut,рунго
49,Haut::N,cilt,киське
50,Blut::N,kan,верь
51,Ader::N,damar,сан
52,Sehne::N,kiriş,коське сан
53,Knochen::N,kemik,пакарь
54,Gehirn::N,beyin,удем
55,Herz::N,kalp,седей
56,Herz::N,yürek,седей
57,Magen::N,mide,пеке
58,Leber::N,karaciğer,максо
59,Atem::N,nefes,лексема
60,Atem::N,nefes,оймень таргсема
61,Hunger::N,açlık,вачочи
62,Träne::N,gözyaşı,селведь
63,Geschmack::N,tat,тансть
64,Geschmack::N,lezzet,тансть
65,Geruch::N,koku,чине
66,Schlaf::N,uyku,удома
67,Traum::N,düş,он
68,Traum::N,rüya,он
69,Himmel::N,gök,менель
70,Sonne::N,güneş,чи
71,Mond::N,ay,ков
72,Stern::N,yıldız,теште
73,Luft::N,hava,кошт
74,Wind::N,yel,варма
75,Wind::N,rüzgâr,варма
76,Welle::N,dalga,толкун
77,Wasser::N,su,ведь
78,Stein::N,taş,кев
79,Boden::N,yer,мода
80,Boden::N,zemin,мода
81,Erde::N,toprak,мастор
82,Staub::N,toz,пуль
83,Rauch::N,duman,качамо
84,Funke::N,kıvılcım,сятко
85,Feuer::N,ateş,тол
86,Licht::N,ışık,валдо
87,Schatten::N,gölge,сулей
88,Schatten::N,gölge,сулейкс
89,Wetter::N,hava,ушо
90,Nebel::N,pus,сув
