,Concept_ID,zh,hr
194,Schlange[Tier]::N,蛇,guja
195,Schlange[Tier]::N,蛇,zmija
196,Wurm::N,蠕虫,crv
197,Spinne::N,蜘蛛,pauk
198,Ameise::N,蚂蚁,mrav
199,Laus::N,虱子,uš
200,Mücke::N,蚊子,komarac
201,Fliege::N,苍蝇,muha
202,Schmetterling::N,蝴蝶,leptir
203,Beere::N,将果,boba
204,Beere::N,将果,bobica
205,Apfel::N,苹果,jabuka
206,Pilz::N,蘑菇,pečurka
207,Zwiebel::N,洋葱,luk
208,Zwiebel::N,洋葱,kapula
209,Saat::N,种子,sjemenje
210,Korn::N,谷粒,zrno
211,Heu::N,干草,sijeno
212,Schale::N,壳,kora
213,Schale::N,壳,ljuska
214,Grube::N,坑,jama
215,Falle::N,圈套,zamka
216,Falle::N,圈套,klopka
217,Schlinge::N,活扣,uzao
218,Schlinge::N,活扣,petlja
219,Spur::N,踪迹,trag
220,Spur::N,踪迹,slijed
221,Asche::N,灰烬,pepeo
222,Dreck::N,污垢,blato
223,Eisen::N,铁,željezo
224,Gold::N,金子,zlato
225,Silber::N,银,srebro
226,Kohle::N,煤,ugalj
227,Kohle::N,煤,ugljen
228,Glas::N,玻璃,staklo
229,Lehm::N,粘土,glina
230,Lehm::N,粘土,ilovača
231,Sand::N,沙,pijesak
232,Mensch::N,人,čovjek
233,Mann::N,男子,muškarac
234,Frau::N,妇女,žena
235,Kind::N,小孩,čedo
236,Kind::N,小孩,dijete
237,Junge::N,男孩,momče
238,Junge::N,男孩,dječak
239,Mädchen::N,女孩,djevojka
240,Mädchen::N,女孩,djevojčica
241,Familie::N,家庭,obitelj
242,Familie::N,家庭,porodica
243,Großvater::N,祖父,djed
244,Großmutter::N,祖母,baka
245,Eltern::N,父母,roditelji
246,Vater::N,父亲,otac
247,Mutter::N,母亲,majka
248,Sohn::N,儿子,sin
249,Tochter::N,女儿,kći
250,Tochter::N,女儿,kćerka
251,Bruder::N,兄弟,brat
252,Schwester::N,姐妹,sestra
253,Onkel::N,伯父,čika
254,Onkel::N,伯父,ujak
255,Tante::N,阿姨,ujna
256,Tante::N,阿姨,tetka
257,Ehemann::N,丈夫,muž
258,Ehemann::N,丈夫,suprug
259,Ehefrau::N,妻子,žena
260,Ehefrau::N,妻子,supruga
261,Freude::N,愉快,radost
262,Gelächter::N,大笑,grohot
263,Glück::N,运气,sreća
264,Kummer::N,苦恼,jad
265,Kummer::N,苦恼,briga
266,Wunsch::N,愿望,želja
267,Lust::N,乐趣,volja
268,Geist::N,精神,duh
269,Gedanke::N,思想,misao
270,Gedächtnis::N,记性,pamćenje
271,Verstand::N,理智,um
272,Verstand::N,理智,razum
273,Sinn::N,感觉,smisao
274,Sinn::N,感觉,značenje
275,Grund::N,理由,razlog
276,Wahrheit::N,真理,istina
277,Gespräch::N,谈话,razgovor
278,Märchen::N,童话,bajka
279,Erzählung::N,故事,priča
280,Erzählung::N,故事,pripovijest
281,Nachricht::N,消息,vijest
282,Neuigkeit::N,新闻,novost
283,Name::N,名字,ime
284,Rätsel::N,谜语,zagonetka
285,Rede::N,讲话,govor
286,Rede::N,讲话,besjeda
287,Sprache::N,语言,jezik
288,Stimme::N,声音,glas
