,Concept_ID,lv,ab
0,Auge::N,син,ала
1,Auge::N,acs,ала
2,Ohr::N,пель,алымҳа
3,Ohr::N,auss,алымҳа
4,Nase::N,ныр,аҧынҵа
5,Nase::N,deguns,аҧынҵа
6,Mund::N,вом,аҧышə
7,Mund::N,mute,аҧышə
8,Zahn::N,пинь,ахаҧыц
9,Zahn::N,zobs,ахаҧыц
10,Zunge::N,кыв,абз
11,Zunge::N,mēle,абз
12,Lippe::N,вом дор,ақьышə
13,Lippe::N,lūpa,ақьышə
14,Wange::N,бан,аӡамҩа
15,Wange::N,vaigs,аӡамҩа
16,Gesicht::N,чужӧм,аҿы
17,Gesicht::N,seja,аҿы
18,Gesicht::N,ģīmis,аҿы
19,Stirn::N,плеш,алахь
20,Stirn::N,кымӧс,алахь
21,Stirn::N,piere,алахь
22,Haar::N,си,ахəыц
23,Haar::N,юрси,ахəыц
24,Haar::N,mats,ахəыц
25,Schnurrbart::N,ус,аҧаҵа
26,Schnurrbart::N,пыртсим,аҧаҵа
27,Schnurrbart::N,ūsas,аҧаҵа
28,Bart::N,тош,ажакьа
29,Bart::N,bārda,ажакьа
30,Kinn::N,тшӧка,ацламкəыгə
31,Kinn::N,zods,ацламкəыгə
32,Kinn::N,smakrs,ацламкəыгə
33,Kiefer[Anatomie]::N,черлы,ацламҳəа
34,Kiefer[Anatomie]::N,алака лы,ацламҳəа
35,Kiefer[Anatomie]::N,вомкӧтш лы,ацламҳəа
36,Kiefer[Anatomie]::N,žoklis,ацламҳəа
37,Kehle::N,голя,ахəда
38,Kehle::N,rīkle,ахəда
39,Hals::N,сьылі,ахəда
40,Hals::N,kakls,ахəда
41,Genick::N,юрбӧр,ахəдаџьал
42,Genick::N,балябӧж,ахəдаџьал
43,Genick::N,sprands,ахəдаџьал
44,Kopf::N,юр,ахы
45,Kopf::N,galva,ахы
46,Rücken::N,мыш,азқəа
47,Rücken::N,mugura,азқəа
48,Bauch::N,рушку,амгəа
49,Bauch::N,vēders,амгəа
50,Nabel::N,гӧг,аҷапан
51,Nabel::N,naba,аҷапан
52,Busen::N,морӧс,агəыҧҳəы
53,Busen::N,krūts,агəыҧҳəы
54,Brust::N,морӧс,агəышҧы
55,Brust::N,krūts,агəышҧы
56,Schulter::N,пельпом,ажəҩахыр
57,Schulter::N,plecs,ажəҩахыр
58,Arm::N,ки,амахəар
59,Arm::N,roka,амахəар
60,Arm::N,delms,амахəар
61,Ellenbogen::N,гырддза,амашьхəылҵ
62,Ellenbogen::N,elkonis,амашьхəылҵ
63,Hand::N,ки,анапы
64,Hand::N,roka,анапы
65,Hand::N,plauksta,анапы
66,Handfläche::N,ки пыдӧс,анапсаргəыҵа
67,Handfläche::N,delna,анапсаргəыҵа
68,Handfläche::N,plauksta,анапсаргəыҵа
69,Finger::N,чунь,анацəа
70,Finger::N,pirksts,анацəа
71,Fingernagel::N,гыж,анапхыц
72,Fingernagel::N,nags,анапхыц
73,Nagel[Anatomie]::N,гыж,ашьапхыц
74,Nagel[Anatomie]::N,nags,ашьапхыц
75,Zeh::N,кок чунь,ашьацəа
76,Zeh::N,pirksts,ашьацəа
77,Fuß::N,кок,ашьапсыргəыҵа
78,Fuß::N,kāja,ашьапсыргəыҵа
79,Ferse::N,кокбӧр,ашьхəа
80,Ferse::N,papēdis,ашьхəа
81,Knie::N,пидзӧс,ашьамхы
82,Knie::N,celis,ашьамхы
83,Oberschenkel::N,лядьвей,ауаҭəа
84,Oberschenkel::N,бек,ауаҭəа
85,Oberschenkel::N,ciska,ауаҭəа
86,Oberschenkel::N,augšstilbs,ауаҭəа
87,Bein::N,кок,ашьапы
88,Bein::N,kāja,ашьапы
89,Körper::N,туша,ацəеижь
90,Körper::N,вывтыр,ацəеижь
91,Körper::N,miesa,ацəеижь
92,Körper::N,ķermenis,ацəеижь
93,Haut::N,ку,ацəа
94,Haut::N,āda,ацəа
95,Blut::N,вир,ашьа
96,Blut::N,asins,ашьа
97,Ader::N,сӧн,ада
98,Ader::N,asinsvads,ада
99,Sehne::N,вез,адаш
100,Sehne::N,dzīsla,адаш
101,Knochen::N,лы,абаҩ
102,Knochen::N,kauls,абаҩ
103,Gehirn::N,вем,ахшлыбаҩ
104,Gehirn::N,вем,ахшыбаҩ
105,Gehirn::N,smadzenes,ахшлыбаҩ
106,Gehirn::N,smadzenes,ахшыбаҩ
107,Herz::N,сьӧлӧм,агəы
108,Herz::N,sirds,агəы
109,Magen::N,кынӧм,аца
110,Magen::N,кынӧм,ацар
111,Magen::N,kuņģis,аца
112,Magen::N,kuņģis,ацар
113,Leber::N,мус,агəаҵəа
114,Leber::N,aknas,агəаҵəа
115,Atem::N,лов,аҧсыҧлагаҩгара
116,Atem::N,elpa,аҧсыҧлагаҩгара
117,Hunger::N,тшыг,амла
118,Hunger::N,bads,амла
119,Hunger::N,izsalkums,амла
120,Träne::N,синва,алабжыш
121,Träne::N,asara,алабжыш
122,Geschmack::N,кӧр,агьама
123,Geschmack::N,чӧсмӧс,агьама
124,Geschmack::N,garša,агьама
125,Geruch::N,зын,афҩы
126,Geruch::N,дук,афҩы
127,Geruch::N,smaka,афҩы
128,Schlaf::N,узьӧм,ацəа
129,Schlaf::N,miegs,ацəа
130,Traum::N,вӧт,аҧхыӡ
131,Traum::N,вӧтасьӧм,аҧхыӡ
132,Traum::N,sapnis,аҧхыӡ
133,Himmel::N,енэж,ажəҩан
134,Himmel::N,debess,ажəҩан
135,Sonne::N,шонді,амра
136,Sonne::N,saule,амра
137,Mond::N,тӧлысь,амза
138,Mond::N,mēness,амза
139,Stern::N,кодзув,аеҵəа
140,Stern::N,zvaigzne,аеҵəа
141,Luft::N,сынӧд,аҳаир
142,Luft::N,gaiss,аҳаир
143,Wind::N,тӧв,аҧша
144,Wind::N,vējš,аҧша
145,Welle::N,гы,ацəқəырҧа
146,Welle::N,vilnis,ацəқəырҧа
147,Wasser::N,ва,аӡы
148,Wasser::N,ūdens,аӡы
149,Stein::N,из,ахаҳə
150,Stein::N,akmens,ахаҳə
151,Boden::N,му,адгьыл
152,Boden::N,augsne,адгьыл
153,Erde::N,му,адгьыл
154,Erde::N,му-ва,адгьыл
155,Erde::N,zeme,адгьыл
156,Staub::N,бус,асаба
157,Staub::N,putekļi,асаба
158,Rauch::N,тшын,алҩа
159,Rauch::N,dūmi,алҩа
160,Funke::N,кинь,акəиц
161,Funke::N,кинь,ацҧхь
162,Funke::N,би кинь,акəиц
163,Funke::N,би кинь,ацҧхь
164,Funke::N,dzirkstele,акəиц
165,Funke::N,dzirkstele,ацҧхь
166,Feuer::N,би,амца
167,Feuer::N,uguns,амца
168,Licht::N,югӧр,алашара
169,Licht::N,gaisma,алашара
170,Schatten::N,вуджӧр,ашəшьыра
171,Schatten::N,ēna,ашəшьыра
172,Wetter::N,поводдя,амш
173,Wetter::N,laiks,амш
174,Nebel::N,ру,анаҟəа
175,Nebel::N,онь,анаҟəа
176,Nebel::N,migla,анаҟəа
