,Concept_ID,pt,lt
0,Auge::N,olho,akis
1,Ohr::N,orelha,ausis
2,Nase::N,nariz,nosis
3,Mund::N,boca,burna
4,Zahn::N,dente,dantis
5,Zunge::N,língua,liežuvis
6,Lippe::N,lábio,lūpa
7,Wange::N,face,žandas
8,Wange::N,face,skruostas
9,Gesicht::N,cara,veidas
10,Gesicht::N,rosto,veidas
11,Stirn::N,testa,kakta
12,Haar::N,cabelo,plaukai
13,Schnurrbart::N,bigode,ūsai
14,Bart::N,barba,barzda
15,Kinn::N,queixo,smakras
16,Kiefer[Anatomie]::N,maxila,žandikaulis
17,Kiefer[Anatomie]::N,mandíbula,žandikaulis
18,Kehle::N,garganta,gerklė
19,Hals::N,colo,kaklas
20,Hals::N,pescoço,kaklas
21,Genick::N,nuca,sprandas
22,Kopf::N,cabeça,galva
23,Rücken::N,dorso,nugara
24,Rücken::N,costas,nugara
25,Bauch::N,ventre,pilvas
26,Bauch::N,barriga,pilvas
27,Nabel::N,umbigo,bamba
28,Busen::N,seio,krūtinė
29,Brust::N,peito,krūtis
30,Schulter::N,ombro,petys
31,Arm::N,braço,ranka
32,Ellenbogen::N,cotovelo,alkūnė
33,Hand::N,mão,ranka
34,Hand::N,mão,plaštaka
35,Handfläche::N,palma,delnas
36,Handfläche::N,palma,plaštaka
37,Handfläche::N,palma da mão,delnas
38,Handfläche::N,palma da mão,plaštaka
39,Finger::N,dedo,pirštas
40,Fingernagel::N,unha,nagas
41,Nagel[Anatomie]::N,unha,nagas
42,Zeh::N,dedo do pé,pirštas
43,Fuß::N,pé,pėda
44,Ferse::N,calcanhar,kulnas
45,Knie::N,joelho,kelis
46,Oberschenkel::N,coxa,kulšis
47,Oberschenkel::N,coxa,šlaunis
48,Bein::N,perna,koja
49,Körper::N,corpo,kūnas
50,Haut::N,pele,oda
51,Blut::N,sangue,kraujas
52,Ader::N,veia,kraujagyslė
53,Sehne::N,tendão,sausgyslė
54,Knochen::N,osso,kaulas
55,Gehirn::N,cérebro,smegenys
56,Herz::N,coração,širdis
57,Magen::N,estômago,skrandis
58,Leber::N,fígado,kepenys
59,Atem::N,fôlego,kvapas
60,Hunger::N,fome,badas
61,Hunger::N,fome,alkis
62,Träne::N,lágrima,ašara
63,Geschmack::N,gosto,skonis
64,Geruch::N,odor,kvapas
65,Geruch::N,cheiro,kvapas
66,Schlaf::N,sono,miegas
67,Traum::N,sonho,sapnas
68,Himmel::N,céu,dangus
69,Sonne::N,sol,saulė
70,Mond::N,lua,mėnulis
71,Stern::N,estrela,žvaigždė
72,Luft::N,ar,oras
73,Wind::N,vento,vėjas
74,Welle::N,onda,banga
75,Welle::N,onda,vilnis
76,Wasser::N,água,vanduo
77,Stein::N,pedra,akmuo
78,Boden::N,solo,žemė
79,Boden::N,solo,dugnas
80,Erde::N,terra,žemė
81,Staub::N,pó,dulkės
82,Rauch::N,fumo,dūmai
83,Funke::N,faísca,kibirkštis
84,Funke::N,centelha,kibirkštis
85,Feuer::N,fogo,ugnis
86,Licht::N,luz,šviesa
87,Schatten::N,sombra,paūksmė
88,Wetter::N,tempo,oras
89,Nebel::N,nevoeiro,migla
90,Nebel::N,nevoeiro,rūkas
91,Wolke::N,nuvem,debesis
92,Regen::N,chuva,lietus
93,Schnee::N,neve,sniegas
94,Eis::N,gelo,ledas
95,Frost::N,gelo,šalna
96,Frost::N,geada,šalna
97,Kälte::N,frio,šaltis
98,Hitze::N,ardor,karštis
99,Raureif::N,geada,šerkšnas
100,Regenbogen::N,arco-iris,vaivorykštė
101,Donner::N,trovão,perkūnas
102,Donner::N,trovão,griaustinis
103,Strömung::N,corrente,tėkmė
104,Tropfen::N,gota,lašas
105,Schaum::N,espuma,putos
106,Schmutz::N,sujidade,purvas
107,Schmutz::N,imundície,purvas
108,See::N,lago,ežeras
109,Sumpf::N,charco,klampynė
110,Sumpf::N,charco,liūnas
111,Sumpf::N,pântano,klampynė
112,Sumpf::N,pântano,liūnas
113,Moor::N,pântano,pelkė
114,Wiese::N,prado,pieva
115,Wald::N,bosque,miškas
116,Wald::N,floresta,miškas
117,Hügel::N,colina,kalva
118,Anhöhe::N,alto,kauburys
119,Anhöhe::N,outeiro,kauburys
120,Berg::N,monte,kalnas
121,Berg::N,montanha,kalnas
122,Gipfel::N,pico,viršūnė
123,Höhle::N,caverna,ola
124,Abhang::N,encosta,šlaitas
125,Abhang::N,encosta,nuokalnė
126,Quelle::N,fonte,versmė
127,Quelle::N,fonte,šaltinis
128,Bach::N,regato,upelis
129,Bach::N,ribeiro,upelis
130,Fluss::N,rio,upė
131,Ufer::N,beira,krantas
132,Küste::N,costa,pajūris
133,Festland::N,terra firme,sausuma
134,Meer::N,mar,jūra
135,Bucht::N,baía,įlanka
136,Bucht::N,baía,užutekis
137,Insel::N,ilha,sala
138,Blume::N,flor,gėlė
139,Gras::N,erva,žolė
140,Wurzel::N,raiz,šaknis
141,Baum::N,árvore,medis
142,Stamm::N,tronco,kamienas
143,Rinde::N,casca,žievė
144,Ast::N,ramo,šaka
145,Zweig::N,galho,šakelė
146,Blatt::N,folha,lapas
147,Birke::N,bétula,beržas
