,Concept_ID,sk,pt
0,Auge::N,oko,olho
1,Ohr::N,ucho,orelha
2,Nase::N,nos,nariz
3,Mund::N,ústa,boca
4,Zahn::N,zub,dente
5,Zunge::N,jazyk,língua
6,Lippe::N,pera,lábio
7,Wange::N,líce,face
8,Gesicht::N,tvár,cara
9,Gesicht::N,tvár,rosto
10,Gesicht::N,obličaj,cara
11,Gesicht::N,obličaj,rosto
12,Stirn::N,čelo,testa
13,Haar::N,vlas,cabelo
14,Schnurrbart::N,fúzy,bigode
15,Bart::N,brada,barba
16,Kinn::N,brada,queixo
17,Kiefer[Anatomie]::N,čeľusť,maxila
18,Kiefer[Anatomie]::N,čeľusť,mandíbula
19,Kehle::N,hrdlo,garganta
20,Hals::N,krk,colo
21,Hals::N,krk,pescoço
22,Genick::N,väzy,nuca
23,Kopf::N,hlava,cabeça
24,Rücken::N,chrbát,dorso
25,Rücken::N,chrbát,costas
26,Bauch::N,brucho,ventre
27,Bauch::N,brucho,barriga
28,Nabel::N,pupok,umbigo
29,Busen::N,prsia,seio
30,Brust::N,hruď,peito
31,Schulter::N,plece,ombro
32,Arm::N,rameno,braço
33,Ellenbogen::N,lakeť,cotovelo
34,Hand::N,ruka,mão
35,Handfläche::N,dlaň,palma
36,Handfläche::N,dlaň,palma da mão
37,Finger::N,prst,dedo
38,Fingernagel::N,necht,unha
39,Nagel[Anatomie]::N,necht,unha
40,Zeh::N,prst na nohe,dedo do pé
41,Fuß::N,noha,pé
42,Ferse::N,päta,calcanhar
43,Knie::N,koleno,joelho
44,Oberschenkel::N,stehno,coxa
45,Bein::N,noha,perna
46,Körper::N,telo,corpo
47,Haut::N,koža,pele
48,Blut::N,krv,sangue
49,Ader::N,žila,veia
50,Sehne::N,šľacha,tendão
51,Knochen::N,kosť,osso
52,Gehirn::N,mozog,cérebro
53,Herz::N,srdce,coração
54,Magen::N,žalúdok,estômago
55,Leber::N,pečeň,fígado
56,Atem::N,dych,fôlego
57,Hunger::N,hlad,fome
58,Träne::N,slza,lágrima
59,Geschmack::N,chuť,gosto
60,Geruch::N,pach,odor
61,Geruch::N,pach,cheiro
62,Schlaf::N,spánok,sono
63,Traum::N,sen,sonho
64,Himmel::N,nebo,céu
65,Sonne::N,slnko,sol
66,Mond::N,mesiac,lua
67,Stern::N,hviezda,estrela
68,Luft::N,vzduch,ar
69,Wind::N,vietor,vento
70,Welle::N,vlna,onda
71,Wasser::N,voda,água
72,Stein::N,kameň,pedra
73,Boden::N,zem,solo
74,Boden::N,pôda,solo
75,Erde::N,zem,terra
76,Staub::N,prach,pó
77,Rauch::N,dym,fumo
78,Funke::N,iskra,faísca
79,Funke::N,iskra,centelha
80,Feuer::N,oheň,fogo
81,Licht::N,svetlo,luz
82,Schatten::N,tieň,sombra
83,Wetter::N,počasie,tempo
84,Nebel::N,hmla,nevoeiro
85,Wolke::N,oblak,nuvem
86,Wolke::N,mračno,nuvem
87,Regen::N,dážď,chuva
88,Schnee::N,sneh,neve
89,Eis::N,ľad,gelo
90,Frost::N,mráz,gelo
91,Frost::N,mráz,geada
92,Kälte::N,zima,frio
93,Kälte::N,chlad,frio
94,Hitze::N,horúčava,ardor
95,Raureif::N,srieň,geada
96,Raureif::N,inovať,geada
97,Regenbogen::N,dúha,arco-iris
98,Donner::N,hrom,trovão
99,Strömung::N,prúdenie,corrente
100,Tropfen::N,kvapka,gota
101,Schaum::N,pena,espuma
102,Schmutz::N,špina,sujidade
103,Schmutz::N,špina,imundície
104,Schmutz::N,nečistota,sujidade
105,Schmutz::N,nečistota,imundície
106,See::N,jazero,lago
107,Sumpf::N,bahno,charco
108,Sumpf::N,bahno,pântano
109,Moor::N,močiar,pântano
110,Wiese::N,lúka,prado
111,Wald::N,les,bosque
112,Wald::N,les,floresta
113,Wald::N,hora,bosque
114,Wald::N,hora,floresta
115,Hügel::N,vŕšok,colina
116,Anhöhe::N,výšina,alto
117,Anhöhe::N,výšina,outeiro
118,Anhöhe::N,vyvýšenina,alto
119,Anhöhe::N,vyvýšenina,outeiro
120,Berg::N,hora,monte
121,Berg::N,hora,montanha
122,Gipfel::N,vrchol,pico
123,Höhle::N,jaskyňa,caverna
124,Abhang::N,úbočie,encosta
125,Quelle::N,prameň,fonte
126,Bach::N,potok,regato
127,Bach::N,potok,ribeiro
128,Fluss::N,rieka,rio
129,Ufer::N,breh,beira
130,Küste::N,pobrežie,costa
131,Festland::N,pevnina,terra firme
132,Meer::N,more,mar
133,Bucht::N,záliv,baía
134,Bucht::N,zátoka,baía
135,Insel::N,ostrov,ilha
136,Blume::N,kvet,flor
137,Blume::N,kvetina,flor
138,Gras::N,tráva,erva
139,Wurzel::N,koreň,raiz
140,Baum::N,strom,árvore
141,Stamm::N,kmeň,tronco
142,Rinde::N,kôra,casca
143,Ast::N,konár,ramo
144,Zweig::N,vetva,galho
145,Blatt::N,list,folha
146,Birke::N,breza,bétula
147,Kiefer[Baum]::N,sosna,pinheiro
148,Kiefer[Baum]::N,borovica,pinheiro
149,Weide[Baum]::N,vŕba,salgueiro
150,Tanne::N,jedľa,abeto
151,Horn::N,roh,corno
152,Horn::N,roh,chifre
153,Feder::N,pero,pena
154,Fell::N,koža,pele
155,Fell::N,kožušina,pele
156,Flügel::N,krídlo,asa
157,Klaue::N,paznecht,pata
158,Kralle::N,pazúr,unha
159,Kralle::N,pazúr,garra
160,Schwanz::N,chvost,rabo
161,Schwanz::N,chvost,cauda
162,Ei::N,vajce,ovo
163,Ei::N,vajíčko,ovo
164,Nest::N,hniezdo,ninho
165,Bau::N,nora,toca
166,Bau::N,nora,covil
167,Tier::N,zviera,animal
168,Herde::N,stádo,rebanho
169,Kuh::N,krava,vaca
170,Bulle::N,býk,touro
171,Pferd::N,kôň,cavalo
172,Schaf::N,ovca,ovelha
173,Schwein::N,sviňa,porco
174,Hund::N,pes,cão
175,Katze::N,mačka,gata
176,Bär::N,medveď,urso
177,Eichhörnchen::N,veverička,esquilo
178,Elch::N,los,alce
179,Fuchs::N,líška,raposa
180,Hase::N,zajac,lebre
181,Maus::N,myš,rato
182,Wolf::N,vlk,lobo
183,Vogel::N,vták,ave
184,Vogel::N,vták,pássaro
185,Schwarm::N,roj,bando
186,Schwarm::N,roj,enxame
187,Huhn::N,kurča,galinha
188,Huhn::N,sliepka,galinha
189,Hahn::N,kohút,galo
190,Gans::N,hus,ganso
191,Adler::N,orol,águia
192,Ente::N,kačka,pata
193,Ente::N,kačica,pata
194,Eule::N,sova,mocho
195,Eule::N,sova,coruja
196,Kranich::N,žeriav,grou
197,Krähe::N,vrana,gralha
198,Kuckuck::N,kukučka,cuco
199,Schwan::N,labuť,cisne
200,Fisch::N,ryba,peixe
201,Barsch::N,ostriež,perca
202,Hecht::N,šťuka,lúcio
203,Schlange[Tier]::N,had,serpente
204,Wurm::N,červ,verme
205,Spinne::N,pavúk,aranha
206,Ameise::N,mravec,formiga
207,Laus::N,voš,piolho
208,Mücke::N,komár,mosquito
209,Fliege::N,mucha,mosca
210,Schmetterling::N,motýľ,borboleta
211,Beere::N,bobuľa,bago
212,Apfel::N,jablko,maçã
213,Pilz::N,hríb,fungo
214,Pilz::N,hríb,cogumelo
215,Zwiebel::N,cibuľa,cebola
216,Saat::N,osivo,sementeira
217,Korn::N,zrno,grão
218,Heu::N,seno,feno
219,Schale::N,šupa,casca
220,Schale::N,škrupina,casca
221,Grube::N,jama,cova
222,Grube::N,jama,fossa
223,Falle::N,pasca,armadilha
224,Falle::N,klepec,armadilha
225,Schlinge::N,slučka,laço
226,Spur::N,stopa,pista
227,Spur::N,stopa,vestígio
228,Asche::N,popol,cinza
229,Dreck::N,kal,sujidade
230,Dreck::N,blato,sujidade
231,Eisen::N,železo,ferro
232,Gold::N,zlato,ouro
233,Silber::N,striebro,prata
234,Kohle::N,uhlie,carvão
235,Glas::N,sklo,vidro
236,Lehm::N,íl,barro
237,Lehm::N,íl,argila
238,Lehm::N,hlina,barro
239,Lehm::N,hlina,argila
240,Sand::N,piesok,areia
241,Mensch::N,človek,homem
242,Mensch::N,človek,pessoa
243,Mann::N,muž,homem
244,Mann::N,chlap,homem
245,Frau::N,žena,mulher
246,Kind::N,dieťa,filho
247,Kind::N,dieťa,criança
248,Junge::N,chlapec,rapaz
249,Junge::N,chlapec,menino
250,Mädchen::N,dievka,menina
251,Mädchen::N,dievka,rapariga
252,Familie::N,rodina,família
253,Großvater::N,dedo,avô
254,Großvater::N,starý otec,avô
255,Großmutter::N,babička,avó
256,Großmutter::N,stará mať,avó
257,Eltern::N,rodičia,pais
258,Vater::N,otec,pai
259,Mutter::N,mať,mãe
260,Mutter::N,matka,mãe
261,Sohn::N,syn,filho
262,Tochter::N,dcéra,filha
263,Bruder::N,brat,irmão
264,Schwester::N,sestra,irmã
265,Onkel::N,ujo,tio
266,Onkel::N,strýko,tio
267,Tante::N,teta,tia
268,Tante::N,tetka,tia
269,Ehemann::N,muž,esposo
270,Ehemann::N,manžel,esposo
271,Ehefrau::N,žena,esposa
272,Ehefrau::N,manželka,esposa
273,Freude::N,radosť,prazer
274,Freude::N,radosť,alegria
275,Gelächter::N,smiech,risada
276,Gelächter::N,smiech,gargalhada
277,Glück::N,šťastie,felicidade
278,Kummer::N,žiaľ,aflição
279,Kummer::N,žiaľ,desgosto
280,Kummer::N,zármutok,aflição
281,Kummer::N,zármutok,desgosto
282,Wunsch::N,prianie,desejo
283,Lust::N,chuť,vontade
284,Geist::N,duch,mente
285,Geist::N,duch,espírito
286,Gedanke::N,myšlienka,ideia
287,Gedanke::N,myšlienka,pensamento
288,Gedächtnis::N,pamäť,memória
289,Verstand::N,rozum,razão
290,Verstand::N,rozum,inteligência
291,Sinn::N,zmysel,sentido
292,Sinn::N,zmysel,significado
293,Grund::N,dôvod,causa
294,Grund::N,dôvod,motivo
295,Grund::N,príčina,causa
296,Grund::N,príčina,motivo
297,Wahrheit::N,pravda,verdade
298,Gespräch::N,reč,conversa
299,Gespräch::N,reč,conversação
300,Gespräch::N,rozhovor,conversa
301,Gespräch::N,rozhovor,conversação
302,Märchen::N,rozprávka,conto
303,Erzählung::N,poviedka,conto
304,Erzählung::N,poviedka,narrativa
305,Nachricht::N,správa,mensagem
306,Neuigkeit::N,novinka,notícia
307,Neuigkeit::N,novinka,novidade
308,Name::N,meno,nome
309,Rätsel::N,záhada,adivinha
310,Rätsel::N,hádanka,adivinha
311,Rede::N,reč,oração
312,Rede::N,reč,discurso
313,Sprache::N,reč,língua
314,Sprache::N,jazyk,língua
315,Stimme::N,hlas,voz
316,Wort::N,slovo,palavra
317,Zeichen::N,znak,marca
318,Ruf::N,volanie,grito
319,Ruf::N,volanie,chamada
320,Ruf::N,zavolanie,grito
321,Ruf::N,zavolanie,chamada
322,Lärm::N,hluk,ruído
323,Lärm::N,hluk,barulho
324,Lärm::N,hurhaj,ruído
325,Lärm::N,hurhaj,barulho
326,Laut::N,zvuk,som
327,Ton::N,tón,tom
328,Ton::N,zvuk,tom
329,Lied::N,pieseň,canção
330,Ruhe::N,pokoj,calma
331,Ruhe::N,pokoj,silêncio
332,Leute::N,ľudia,gente
333,Leute::N,ľudia,pessoas
334,Volk::N,ľud,povo
335,Volk::N,ľud,nação
336,Volk::N,národ,povo
337,Volk::N,národ,nação
338,Arbeit::N,práca,trabalho
339,Arbeit::N,robota,trabalho
340,Gast::N,hosť,hóspede
341,Gast::N,hosť,convidado
342,Geschenk::N,dar,prenda
343,Geschenk::N,dar,presente
344,Spiel::N,hra,jogo
345,Gesellschaft::N,spoločnosť,companhia
346,Hilfe::N,pomoc,ajuda
347,Hilfe::N,pomoc,socorro
348,Freund::N,priateľ,amigo
349,Kamerad::N,kamarát,camarada
350,Angelegenheit::N,vec,assunto
351,Angelegenheit::N,záležitosť,assunto
352,Anzahl::N,počet,número
353,Anzahl::N,počet,quantidade
354,Anzahl::N,množstvo,número
355,Anzahl::N,množstvo,quantidade
356,Art::N,druh,tipo
357,Art::N,druh,espécie
358,Stück::N,kus,pedaço
359,Stück::N,kúsok,pedaço
360,Teil::N,časť,peça
361,Teil::N,časť,parte
362,Hälfte::N,polka,metade
363,Hälfte::N,polovica,metade
364,Kreis::N,kruh,círculo
365,Kreuz::N,kríž,cruz
366,Linie::N,línia,linha
367,Strich::N,čiara,traço
368,Abstand::N,vzdialenosť,distância
369,Entfernung::N,vzdialenosť,distância
370,Gegend::N,kraj,área
371,Gegend::N,kraj,região
372,Gegend::N,krajina,área
373,Gegend::N,krajina,região
374,Platz::N,miesto,lugar
375,Ort::N,miesto,sítio
376,Seite::N,bok,lado
377,Seite::N,strana,lado
378,Mitte::N,stred,meio
379,Gegenstand::N,predmet,objecto
380,Sache::N,vec,coisa
381,Rand::N,kraj,bordo
382,Rand::N,kraj,margem
383,Rand::N,okraj,bordo
384,Rand::N,okraj,margem
385,Kante::N,hrana,borda
386,Kante::N,hrana,aresta
387,Ecke::N,roh,esquina
388,Spitze::N,hrot,ponta
389,Spitze::N,špička,ponta
390,Ende::N,koniec,cabo
391,Ende::N,koniec,extremo
392,Loch::N,diera,furo
393,Loch::N,diera,buraco
394,Winkel::N,kút,canto
395,Winkel::N,kút,ângulo
396,Muster::N,vzor,padrão
397,Muster::N,vzor,desenho
398,Muster::N,vzorka,padrão
399,Muster::N,vzorka,desenho
400,Größe::N,veľkosť,tamanho
401,Länge::N,dĺžka,comprimento
402,Höhe::N,výška,altura
403,Höhe::N,výška,altitude
404,Gewicht::N,váha,peso
405,Menge::N,množstvo,quantidade
406,Haufen::N,hŕba,pilha
407,Reihe::N,rad,fila
408,Boot::N,čln,barco
409,Ruder::N,veslo,remo
410,Schlitten::N,sane,trenó
411,Ski::N,lyža,esqui
412,Lagerfeuer::N,táborák,fogueira
413,Last::N,ťarcha,carga
414,Last::N,bremeno,carga
415,Gang::N,chôdza,curso
416,Gang::N,chôdza,caminhada
