,Concept_ID,ps,sah
0,Auge::N,سترګه,харах
1,Ohr::N,غوږ,кулгаах
2,Nase::N,پوزه,мурун
3,Mund::N,خوله,айах
4,Zahn::N,غاښ,тиис
5,Zunge::N,جبه,тыл
6,Lippe::N,شونډه,уос
7,Wange::N,باړخو,иэдэс
8,Gesicht::N,مخ,сирэй
9,Stirn::N,تندی,сүүс
10,Stirn::N,وچولی,сүүс
11,Haar::N,وېښته,баттах
12,Schnurrbart::N,برېت,уос бытыга
13,Bart::N,ږیره,сэҥийэ бытыга
14,Kinn::N,زنه,сэҥийэ
15,Kiefer[Anatomie]::N,جامه,сыҥаах
16,Kehle::N,غاړه,тамах
17,Kehle::N,غاړه,күөмэй
18,Hals::N,غاړه,моой
19,Genick::N,ورمېږ,кэтэх
20,Kopf::N,سر,бас
21,Rücken::N,شا,көҕүс
22,Bauch::N,نس,ис
23,Bauch::N,ګېډه,ис
24,Nabel::N,نوم,киин
25,Busen::N,تی,эмиий
26,Brust::N,سینه,түөс
27,Schulter::N,اوږه,сарын
28,Arm::N,لاس,илии
29,Ellenbogen::N,څنګل,тоҕонох
30,Hand::N,لاس,илии
31,Handfläche::N,ورغوی,ытыс
32,Finger::N,ګوته,тарбах
33,Fingernagel::N,نوک,тыҥырах
34,Nagel[Anatomie]::N,نوک,тыҥырах
35,Zeh::N,ګوته,тарбах
36,Fuß::N,پښه,уллуҥах
37,Ferse::N,پونده,тилэх
38,Knie::N,زنګون,тобук
39,Knie::N,زنګون,дьилбэк
40,Oberschenkel::N,پتون,уллук
41,Oberschenkel::N,پتون,өттүк
42,Bein::N,پښه,атах
43,Körper::N,ځان,бэйэ
44,Haut::N,پوټکی,тирии
45,Blut::N,وینه,хаан
46,Ader::N,رګ,вена
47,Ader::N,رګ,күөх_тымыр
48,Sehne::N,پله,иҥиир
49,Knochen::N,هډوکی,уҥуох
50,Knochen::N,هډوکی,уҥгуох
51,Gehirn::N,ماغزه,мэйии
