,Concept_ID,ce,lez
0,Auge::N,бӏаьрг,вил
1,Ohr::N,лерг,яб
2,Nase::N,мара,нер
3,Mund::N,бага,сив
4,Zahn::N,церг,сас
5,Zahn::N,церг,свах
6,Zunge::N,мотт,мез
7,Lippe::N,балда,пӏуз
8,Wange::N,бесни,хъвехъ
9,Gesicht::N,юьхь,ччин
10,Stirn::N,хьаж,пел
11,Haar::N,мас,чӏар
12,Schnurrbart::N,мекх,спел
13,Schnurrbart::N,мекх,спелар
14,Bart::N,маж,ччуру
15,Kinn::N,чӏениг,чене
16,Kiefer[Anatomie]::N,мочхал,чене
17,Kehle::N,къамкъарг,туьд
18,Hals::N,ворта,гардан
19,Genick::N,кӏесаркӏаг,кьам
20,Kopf::N,корта,кьил
21,Rücken::N,букъ,далу
22,Bauch::N,кийра,руфун
23,Nabel::N,цӏонга,пицӏ
24,Busen::N,зударийн накха,мам
25,Brust::N,накха,хур
26,Schulter::N,белш,къуьн
27,Arm::N,пхьарс,гъил
28,Ellenbogen::N,пхьаьрсан гола,кьуьнт
29,Hand::N,куьг,капаш
30,Handfläche::N,кераюкъ,капан юкь
31,Finger::N,пӏелг,тӏуб
32,Fingernagel::N,мӏара,кек
33,Nagel[Anatomie]::N,мӏара,кек
34,Zeh::N,кога пӏелг,кул
35,Fuß::N,ког,кӏвач
36,Ferse::N,кӏажа,дабан
37,Knie::N,гола,мет
38,Oberschenkel::N,варе,
39,Bein::N,ког,кӏвач
40,Körper::N,хӏума,беден
41,Haut::N,чкъор,хам
42,Blut::N,цӏий,иви
43,Ader::N,пха,дамар
44,Sehne::N,хьорзам,кьуру дамар
45,Knochen::N,даьӏахк,кӏараб
46,Gehirn::N,хье,мефт
47,Herz::N,дог,рикӏ
48,Magen::N,зорх,хук
49,Leber::N,доӏах,лекь
50,Atem::N,садеӏар,ял
51,Atem::N,садеӏар,нефес
52,Hunger::N,мацалла,каш
53,Träne::N,бӏаьрхи,вилин нагъв
54,Geschmack::N,чам,дад
55,Geschmack::N,чам,тӏям
56,Geruch::N,хьожа,ни
57,Schlaf::N,наб,ахвар
58,Traum::N,гӏан,ахвар
59,Himmel::N,стигал,цав
60,Sonne::N,малх,рагъ
61,Mond::N,бутт,варз
62,Stern::N,седа,гъед
63,Luft::N,xӏаваъ,гьава
64,Wind::N,мох,гар
65,Welle::N,тулгӏе,лепе
66,Wasser::N,хи,яд
67,Stein::N,тӏулг,къван
68,Boden::N,цӏенкъа,накьв
69,Erde::N,латта,ччил
70,Staub::N,чан,руг
71,Rauch::N,кӏур,гум
72,Funke::N,суй,цӏелхем
73,Feuer::N,цӏе,цӏай
74,Licht::N,серло,экв
75,Schatten::N,ӏиндагӏ,серин
76,Wetter::N,хенан хӏоттам,гьава
77,Nebel::N,дохк,ччилин циф
78,Wolke::N,марха,циф
79,Regen::N,догӏа,марф
80,Schnee::N,ло,жив
81,Eis::N,ша,мурк
82,Frost::N,шело,аяз
83,Kälte::N,шело,мекь
84,Kälte::N,шело,мекьивал
85,Hitze::N,йовхо,зегьем
86,Raureif::N,йис,къирав
87,Regenbogen::N,стелаӏад,яргъируш
88,Donner::N,ткъес,цавун ван
89,Strömung::N,дӏаэхар,
90,Strömung::N,дӏасалелар,
91,Tropfen::N,тӏадам,стӏал
92,Schaum::N,чопа,каф
93,Schmutz::N,хатт,чирк
94,Schmutz::N,хатт,кьуруш
95,See::N,ӏам,вир
96,Sumpf::N,уьшал,уьлен
97,Moor::N,уьшал,
98,Wiese::N,бай,векь
99,Wald::N,хьун,там
100,Hügel::N,гу,кӏунтӏ
101,Hügel::N,шу,кӏунтӏ
102,Hügel::N,барз,кӏунтӏ
103,Anhöhe::N,акъари,тепе
104,Anhöhe::N,акъари,гьуьндуьрвал
105,Berg::N,лам,дагъ
106,Gipfel::N,бохь,кӏукӏ
107,Höhle::N,хьех,кьветӏ
108,Abhang::N,басе,гуьне
109,Quelle::N,шовда,чешме
110,Bach::N,татол,булах
111,Fluss::N,хи,вацӏ
112,Ufer::N,хийист,къерех
113,Küste::N,йист,къерех
114,Festland::N,латта,кьурамат
115,Meer::N,xӏорд,гьуьл
116,Bucht::N,чож,бухта
117,Insel::N,гӏайре,остров
118,Blume::N,зезаг,цуьк
119,Gras::N,буц,хъач
120,Wurzel::N,орам,дувул
121,Baum::N,дитт,ттар
122,Stamm::N,гӏад,тан
123,Stamm::N,тайпа,тан
124,Rinde::N,кевстиг,чкал
125,Ast::N,га,тӏур
126,Zweig::N,га,хел
127,Blatt::N,гӏа,пеш
128,Birke::N,дакх,верх
129,Kiefer[Baum]::N,бага,шамагъаж
130,Weide[Baum]::N,дак,цӏвелин ттар
131,Tanne::N,база,ель
132,Horn::N,маӏа,карч
133,Feder::N,пелаг,цӏакул
134,Fell::N,цӏока,хам
135,Flügel::N,тӏам,лув
136,Klaue::N,мӏара,къармах
137,Kralle::N,тlод,пац
138,Kralle::N,тlод,тапас
139,Schwanz::N,цӏога,ттум
140,Ei::N,xӏoa,кака
141,Nest::N,бен,муг
142,Bau::N,lуьрг,тӏеквен
143,Tier::N,дийнат,гьайван
144,Herde::N,жа,суьруь
145,Kuh::N,етт,ккал
146,Bulle::N,сту,яц
147,Bulle::N,сту,бугъа
148,Pferd::N,говр,балкӏан
149,Schaf::N,жий,хеб
150,Schaf::N,уьстагӏ,хеб
151,Schwein::N,хьакха,вак
152,Hund::N,жӏаьла,кицӏ
153,Katze::N,цициг,кац
154,Bär::N,ча,сев
155,Eichhörnchen::N,тарсал,белка
156,Elch::N,сай,лось
157,Fuchs::N,цхьогал,сикӏ
158,Hase::N,пхьагал,къуьр
159,Maus::N,дахка,кьиф
160,Wolf::N,борз,жанавур
161,Vogel::N,олхазар,луван ничхир
162,Huhn::N,котам,верч
163,Hahn::N,нӏаьна,кӏек
164,Hahn::N,боргӏал,кӏек
165,Gans::N,гӏаз,къаз
166,Adler::N,aьрзу,лекь
167,Ente::N,бад,пӏатӏ
168,Eule::N,бухӏа,тӏиб
169,Kranich::N,гӏаргӏули,дурна
170,Krähe::N,къиг,къаргъа
171,Kuckuck::N,aттйокх,кукупӏ
172,Schwan::N,гӏургӏаз,къугь
173,Fisch::N,чӏара,гъед
174,Barsch::N,окунь,окунь
175,Hecht::N,гӏазкхийн чӏара,щука
176,Schlange[Tier]::N,лаьхьа,илан
177,Schlange[Tier]::N,лаьхьа,гъуьлягъ
178,Wurm::N,нӏаьна,квак
179,Spinne::N,гезг,хуьшрекан
180,Ameise::N,зингат,цегв
181,Laus::N,меза,нет
182,Laus::N,гӏениг,нет
183,Mücke::N,чуьрк,ветӏ
184,Fliege::N,моза,тӏветӏ
185,Schmetterling::N,полла,чепелукь
186,Beere::N,цӏазам,куьлуь емиш
187,Apfel::N,ӏаж,ич
188,Pilz::N,жӏаьлин нускал,къарникъуз
189,Zwiebel::N,xох,чичӏек
190,Saat::N,чlу,тумар
191,Korn::N,буьртиг,твар
192,Heu::N,йол,векь
193,Heu::N,йол,векьер
194,Schale::N,пардо,пириш
195,Schale::N,пардо,хъуьруьш
196,Grube::N,ор,фур
197,Falle::N,кӏело,ракьар
198,Spur::N,лар,гел
199,Asche::N,чим,руьхъ
200,Dreck::N,мода,чирк
201,Dreck::N,мода,кьуруш
202,Eisen::N,эчиг,ракь
203,Gold::N,деши,алтун
204,Silber::N,дети,гимиш
205,Kohle::N,кӏора,цӏивин
206,Glas::N,aнгали,шуьше
207,Lehm::N,поппар,ччеб
208,Sand::N,гӏум,къум
209,Mensch::N,адам,инсан
210,Mann::N,майра,итим
211,Frau::N,зуда,паб
212,Frau::N,зуда,дишегьли
213,Kind::N,бер,аял
214,Junge::N,жимха,гада
215,Mädchen::N,жима йоӏ,руш
216,Familie::N,доьзал,хзан
217,Familie::N,доьзал,килфет
218,Großvater::N,ненада,чӏехи буба
219,Großmutter::N,денана,чӏехи диде
220,Eltern::N,да-нана,диде-буба
221,Vater::N,да,буба
222,Mutter::N,нана,диде
223,Sohn::N,кӏант,хва
224,Tochter::N,йоӏ,руш
225,Bruder::N,ваша,стха
226,Schwester::N,йиша,вах
227,Onkel::N,деваша,ими
228,Onkel::N,деваша,халу
229,Tante::N,дейиша,эме
230,Tante::N,дейиша,хала
231,Ehemann::N,майра,гъуьл
232,Ehefrau::N,зуда,паб
233,Freude::N,самукъа,шадвал
234,Freude::N,хазахетар,шадвал
235,Gelächter::N,белам,хъвер
236,Glück::N,ирс,бахт
237,Kummer::N,бала,дерт
238,Kummer::N,бала,хажалат
239,Wunsch::N,лаам,мурад
240,Lust::N,лаам,гьевес
241,Geist::N,са,руьгь
242,Gedanke::N,ойла,фикир
243,Gedächtnis::N,диццадалар,
244,Verstand::N,хьекъал,акьул
245,Sinn::N,маьӏна,мана
246,Grund::N,бахьана,себеб
247,Wahrheit::N,бакъдерг,керчек
248,Wahrheit::N,бакъдерг,гьакъикъат
249,Gespräch::N,къамел,ихтилат
250,Märchen::N,туьйра,мах
