,Concept_ID,mrj,uk
0,Auge::N,сӹнзӓ,око
1,Ohr::N,пӹлӹш,вухо
2,Nase::N,нер,ніс
3,Mund::N,ышма,рот
4,Zahn::N,пӱ,зуб
5,Zunge::N,йӹлмӹ,язик
6,Lippe::N,тӹрвӹ,губа
7,Wange::N,шӹргӹ,щока
8,Gesicht::N,лицӓ,обличчя
9,Stirn::N,лепкӓ,лоб
10,Haar::N,ӱп,волосся
11,Schnurrbart::N,öрш,вуса
12,Bart::N,пандаш,борода
13,Kinn::N,онгылаш,підборіддя
14,Kiefer[Anatomie]::N,пӱ арата,щелепа
15,Kehle::N,логер,горло
16,Hals::N,шӱ,шия
17,Genick::N,ланга,потилиця
18,Kopf::N,вуй,голова
19,Rücken::N,туп,спина
20,Bauch::N,мӹшкӹр,живіт
21,Nabel::N,кӹлӹмдӹ,пупок
22,Busen::N,цӹзӹ,груди
23,Brust::N,мел,груди
24,Schulter::N,ӹнгӹжӓ,плече
25,Arm::N,кид,рука
26,Ellenbogen::N,кӹнервуй,лікоть
27,Hand::N,лапа,рука
28,Handfläche::N,кид лапа,долоня
29,Finger::N,парня,палець
30,Fingernagel::N,кӹч,ніготь
31,Nagel[Anatomie]::N,кӹч,ніготь
32,Zeh::N,парня,палець на нозі
33,Fuß::N,ял лапа,нога
34,Ferse::N,ялгавал,п’ятка
35,Ferse::N,ял кавал,п’ятка
36,Knie::N,пылвуй,коліно
37,Oberschenkel::N,ӓрдӹ,стегно
38,Bein::N,ял,нога
39,Körper::N,монгыр,тіло
40,Haut::N,кавашты,шкіра
41,Blut::N,вӹр,кров
42,Ader::N,вӹршӓр,вена
43,Sehne::N,кукшышӱн,сухожилля
44,Knochen::N,лу,кістка
45,Gehirn::N,вим,мозок
46,Herz::N,шӱм,серце
47,Magen::N,шӱм,шлунок
48,Leber::N,мокш,печінка
49,Atem::N,шӱлӹш,дихання
50,Hunger::N,шужымаш,голод
51,Träne::N,сӹнзӓвӹд,сльоза
52,Geschmack::N,тот,смак
53,Geruch::N,пыш,запах
54,Schlaf::N,ом,сон
55,Schlaf::N,ом,сплячка
56,Traum::N,ом,сон
57,Himmel::N,пӹлгом,небо
58,Sonne::N,кечӹ,сонце
59,Mond::N,тӹлзӹ,місяць
60,Stern::N,шӹдӹр,зірка
61,Luft::N,юж,повітря
62,Luft::N,воздух,повітря
63,Wind::N,мардеж,вітер
64,Welle::N,ко,хвиля
65,Welle::N,коэ,хвиля
66,Wasser::N,вӹд,вода
67,Stein::N,кӱ,камінь
68,Boden::N,рок,ґрунт
69,Erde::N,свет,земля
70,Staub::N,пырак,пил
71,Rauch::N,шӹкш,дим
72,Funke::N,ип,іскра
73,Funke::N,тылип,іскра
74,Feuer::N,тыл,вогонь
75,Licht::N,соты,світло
76,Licht::N,валгыды,світло
77,Schatten::N,ӹмӹл,тінь
78,Wetter::N,игечӹ,погода
79,Nebel::N,тӹтӹрӓ,туман
80,Wolke::N,пӹл,хмара
81,Regen::N,юр,дощ
82,Schnee::N,лым,сніг
83,Eis::N,и,лід
84,Frost::N,ӱштӹ,мороз
85,Kälte::N,ӱштӹ,холод
86,Hitze::N,шокшы,жар
87,Raureif::N,пöрш,іній
88,Regenbogen::N,шанавӹл,райдуга
89,Donner::N,хӹдӹртӹш,грім
90,Strömung::N,йогы,струмина
91,Tropfen::N,капльы,крапля
92,Tropfen::N,капльык,крапля
93,Schaum::N,шонг,піна
94,Schmutz::N,лявӹрӓ,бруд
95,See::N,йӓр,озеро
96,Sumpf::N,лӱкӹ,драговина
97,Moor::N,куп,болото
98,Wiese::N,алык,луг
99,Wiese::N,алык,лука
100,Wald::N,шӹргӹ,ліс
101,Hügel::N,пӱгӹрикӓ,горб
102,Anhöhe::N,кӱкшикӓ,височина
103,Berg::N,кырык,гора
104,Gipfel::N,неркӓ,вершина
105,Höhle::N,ы́раж,печера
106,Abhang::N,полом,схил
107,Quelle::N,вӹдсӹнзӓ,джерело
108,Bach::N,ӓнгӹр,струмок
