,Concept_ID,sl,es
0,Auge::N,okó,ojo
1,Ohr::N,uhó,oreja
2,Nase::N,nós,nariz
3,Mund::N,ústa,boca
4,Zahn::N,zób,diente
5,Zunge::N,jêzik,lengua
6,Lippe::N,ústnica,labio
7,Wange::N,líce,mejilla
8,Gesicht::N,oblíčje,cara
9,Stirn::N,čêlo,frente
10,Haar::N,lás,cabello
11,Schnurrbart::N,bŕki,bigote
12,Bart::N,bráda,barba
13,Kinn::N,bráda,barbilla
14,Kiefer[Anatomie]::N,čeljúst,mandíbula
15,Kehle::N,gŕlo,garganta
16,Hals::N,vrát,cuello
17,Genick::N,zatílnik,nuca
18,Genick::N,zatílnik,cerviz
19,Kopf::N,gláva,cabeza
20,Rücken::N,hrbèt,espalda
21,Bauch::N,trébuh,vientre
22,Nabel::N,pópek,ombligo
23,Busen::N,nédrja,pecho
24,Brust::N,pŕsi,pecho
25,Schulter::N,ráma,hombro
26,Schulter::N,plêče,hombro
27,Arm::N,rôka,brazo
28,Ellenbogen::N,komólec,codo
29,Hand::N,rôka,mano
30,Handfläche::N,dlán,palma
31,Finger::N,pŕst,dedo
32,Fingernagel::N,nóht na rôki,uña
33,Nagel[Anatomie]::N,nóht,uña
34,Zeh::N,pŕst na nôgi,dedo del pie
35,Fuß::N,nôga,pie
36,Ferse::N,pêta,talón
37,Knie::N,koléno,rodilla
38,Oberschenkel::N,stêgno,muslo
39,Bein::N,nôga,pierna
40,Körper::N,teló,cuerpo
41,Haut::N,kóža,piel
42,Blut::N,krí,sangre
43,Ader::N,žíla,vena
44,Sehne::N,kíta,tendón
45,Knochen::N,kóst,hueso
46,Gehirn::N,možgáni,cerebro
47,Gehirn::N,možgáni,encéfalo
48,Herz::N,srcé,corazón
49,Magen::N,želódec,estómago
50,Leber::N,jétra,hígado
51,Atem::N,díh,aliento
52,Hunger::N,glád,hambre
53,Träne::N,sólza,lágrima
54,Geschmack::N,okús,gusto
55,Geruch::N,vónj,olor
56,Schlaf::N,sèn,sueño
57,Schlaf::N,spánec,sueño
58,Traum::N,sánje,sueño
59,Traum::N,sánje,ensueño
60,Himmel::N,nebó,cielo
61,Sonne::N,sónce,sol
62,Mond::N,lúna,luna
63,Mond::N,mésec,luna
64,Stern::N,zvézda,estrella
65,Luft::N,zràk,aire
66,Wind::N,véter,viento
67,Welle::N,vál,ola
68,Welle::N,vál,onda
69,Wasser::N,vôda,agua
70,Stein::N,kámen,piedra
71,Boden::N,tlà,suelo
72,Erde::N,pŕst,tierra
73,Erde::N,zêmlja,tierra
74,Staub::N,práh,polvo
75,Rauch::N,dìm,humo
76,Funke::N,ískra,chispa
77,Feuer::N,ôgenj,fuego
78,Licht::N,lúč,luz
79,Schatten::N,sénca,sombra
80,Wetter::N,vrême,tiempo
81,Nebel::N,meglà,niebla
82,Wolke::N,oblák,nube
83,Regen::N,dèž,lluvia
84,Schnee::N,snég,nieve
85,Eis::N,léd,hielo
86,Frost::N,zmrzál,helada
87,Kälte::N,mràz,frío
88,Hitze::N,pripéka,calor
89,Raureif::N,ívje,escarcha
90,Raureif::N,slána,escarcha
91,Regenbogen::N,mávrica,arco iris
92,Donner::N,gròm,trueno
93,Strömung::N,strúja,corriente
94,Tropfen::N,káplja,gota
95,Schaum::N,péna,espuma
96,Schmutz::N,nesnága,suciedad
97,See::N,jézero,lago
98,Sumpf::N,močvírje,pantano
99,Moor::N,bárje,turbera
100,Wiese::N,trávnik,prado
101,Wiese::N,trávnik,pradera
102,Wald::N,lés,bosque
103,Wald::N,gòzd,bosque
104,Hügel::N,brég,colina
105,Hügel::N,goríca,colina
106,Anhöhe::N,gríč,cerro
107,Anhöhe::N,višína,cerro
108,Berg::N,gôra,monte
109,Berg::N,gôra,montaña
110,Berg::N,planína,monte
111,Berg::N,planína,montaña
112,Gipfel::N,vŕh,cima
113,Gipfel::N,vŕh,cumbre
114,Höhle::N,jáma,cueva
115,Höhle::N,jáma,caverna
