,Concept_ID,udm,br
0,Auge::N,син,lagad
1,Ohr::N,пель,skouarn
2,Nase::N,ныр,fri
3,Mund::N,ым,genoù
4,Zahn::N,пинь,dant
5,Zunge::N,кыл,teod
6,Lippe::N,ымдур,muzell
7,Wange::N,бам,chot
8,Gesicht::N,ымныр,dremm
9,Stirn::N,кымес,tal
10,Haar::N,йырси,blev
11,Schnurrbart::N,мыйык,mourenn
12,Bart::N,туш,barv
13,Kinn::N,ангес,groñj
14,Kiefer[Anatomie]::N,ан,javed
15,Kiefer[Anatomie]::N,анлы,javed
16,Kehle::N,гульым,gouzoug
17,Hals::N,чырты,gouzoug
18,Genick::N,йырбер,choug
19,Kopf::N,йыр,penn
20,Rücken::N,мыш,kein
21,Bauch::N,кӧт,kof
22,Nabel::N,гогы,begel
23,Busen::N,ноны,bronn
24,Brust::N,мӧля,bruched
25,Schulter::N,пельпум,skoaz
26,Arm::N,суй,brec'h
27,Ellenbogen::N,гырпум,ilin
28,Hand::N,ки,dorn
29,Handfläche::N,ки пыдэс,palv
30,Handfläche::N,кырым пыдэс,palv
31,Finger::N,чиньы,biz
32,Fingernagel::N,гижы,ivin
33,Fingernagel::N,гиждӥнь,ivin
34,Nagel[Anatomie]::N,гижы,ivin
35,Zeh::N,пыдчиньы,biz-troad
36,Fuß::N,пыд,troad
37,Ferse::N,пыдбер,seul
38,Knie::N,пыдес,glin
39,Oberschenkel::N,макес,morzhed
40,Bein::N,пыд,gar
41,Körper::N,мугор,korf
42,Körper::N,вылтыр,korf
43,Haut::N,ку,kroc'hen
44,Blut::N,вир,gwad
45,Ader::N,вирсэр,gwazhi
46,Sehne::N,вуж,stir
47,Knochen::N,лы,askorn
48,Gehirn::N,вим,empenn
49,Herz::N,сюлэм,kalon
50,Magen::N,ӝуш,stomog
51,Leber::N,мус,avu
52,Atem::N,лул,anal
53,Atem::N,шокан,anal
54,Hunger::N,кӧтсюман,naon
55,Träne::N,синкыли,daer
56,Geschmack::N,шӧм,blaz
57,Geruch::N,зын,c'hwezh
58,Schlaf::N,вӧт,kousked
59,Traum::N,уйвӧт,hune
60,Himmel::N,ин,oabl
61,Sonne::N,шунды,heol
62,Mond::N,толэзь,loar
63,Stern::N,кизили,steredenn
64,Luft::N,омыр,aer
65,Wind::N,тӧл,avel
66,Welle::N,тулкым,houlenn
67,Wasser::N,ву,dour
68,Stein::N,из,maen
69,Boden::N,музъем,tachenn
70,Erde::N,му,douar
71,Staub::N,пыль,poultr
72,Rauch::N,ӵын,moged
73,Funke::N,гизьы,ful
74,Feuer::N,тыл,tan
75,Licht::N,тыл,gouloù
76,Schatten::N,вужер,disheol
77,Wetter::N,куазь,amzer
78,Nebel::N,бус,brumenn
79,Wolke::N,пилем,koumoulenn
80,Regen::N,зор,glav
81,Schnee::N,лымы,erc'h
82,Eis::N,йӧ,skorn
83,Frost::N,кезьыт,rev
84,Kälte::N,кезьыт,yen
85,Hitze::N,пӧсь,tommder
86,Raureif::N,гӧр,frim
87,Regenbogen::N,вуюись,gwareg-ar-glav
