,Concept_ID,et,hi
0,Auge::N,silm,आँख
1,Auge::N,silm,चक्षु
2,Ohr::N,kõrv,कान
3,Ohr::N,kõrv,कर्ण
4,Nase::N,nina,नाक
5,Nase::N,nina,नासा
6,Mund::N,suu,मुख
7,Mund::N,suu,मुँह
8,Zahn::N,hammas,दंत
9,Zahn::N,hammas,दाँत
10,Zunge::N,keel,जीभ
11,Zunge::N,keel,ज़बान
12,Zunge::N,keel,जिह्वा
13,Lippe::N,huul,ओंठ
14,Lippe::N,huul,होंठ
15,Wange::N,põsk,गाल
16,Wange::N,põsk,कपोल
17,Gesicht::N,nägu,मुँह
18,Gesicht::N,nägu,चेहरा
19,Stirn::N,otsmik,माथा
20,Stirn::N,otsmik,मस्तक
21,Haar::N,juus,बाल
22,Schnurrbart::N,vurrud,मूँछें
23,Schnurrbart::N,vuntsid,मूँछें
24,Bart::N,habe,दाढ़ी
25,Kinn::N,lõug,चिबुक
26,Kiefer[Anatomie]::N,lõualuu,जबड़ा
27,Kehle::N,kõri,गला
28,Hals::N,kael,गला
29,Hals::N,kael,गरदन
30,Genick::N,kukal,गरदन
31,Genick::N,kukal,ग्रीवा
32,Kopf::N,pea,सिर
33,Kopf::N,pea,शीर्ष
34,Rücken::N,selg,पीठ
35,Bauch::N,kõht,उदर
36,Nabel::N,naba,नाभि
37,Nabel::N,naba,ढोंढी
38,Busen::N,rind,कुच
39,Busen::N,rind,स्तन
40,Brust::N,rind,वक्ष
41,Schulter::N,õlg,कंधा
42,Schulter::N,õlg,स्कंध
43,Arm::N,käsivars,बाँह
44,Arm::N,käsivars,बाज़ू
45,Ellenbogen::N,küünarnukk,कुहनी
46,Hand::N,käsi,हाथ
47,Hand::N,käsi,हस्त
48,Handfläche::N,pihk,हथेली
49,Finger::N,sõrm,उँगली
50,Finger::N,sõrm,अँगुली
51,Fingernagel::N,küüs,नख
52,Fingernagel::N,küüs,नाख़ून
53,Nagel[Anatomie]::N,küüs,नख
54,Nagel[Anatomie]::N,küüs,नाख़ून
55,Zeh::N,varvas,उँगली
56,Zeh::N,varvas,पाँव की उँगली
57,Fuß::N,jalg,चरण
58,Fuß::N,jalg,पाँव
59,Ferse::N,kand,एड़ी
60,Knie::N,põlv,जानु
61,Knie::N,põlv,घुटना
62,Oberschenkel::N,reis,उरु
63,Bein::N,jalg,टाँग
64,Körper::N,ihu,तन
65,Körper::N,ihu,देह
66,Körper::N,ihu,शरीर
67,Körper::N,keha,तन
68,Körper::N,keha,देह
69,Körper::N,keha,शरीर
70,Haut::N,nahk,चर्म
71,Haut::N,nahk,त्वचा
72,Blut::N,veri,लहू
73,Blut::N,veri,ख़ून
74,Ader::N,veen,रग
75,Ader::N,veen,शिरा
76,Sehne::N,kõõlus,कंडरा
77,Sehne::N,kõõlus,स्नायु
78,Knochen::N,luu,अस्थि
79,Gehirn::N,aju,दिमाग़
80,Gehirn::N,aju,मस्तिष्क
81,Herz::N,süda,दिल
82,Herz::N,süda,हृदय
83,Magen::N,magu,मेदा
84,Magen::N,magu,अमाशय
85,Leber::N,maks,जिगर
86,Leber::N,maks,यकृत्
87,Atem::N,hingeõhk,दम
88,Atem::N,hingeõhk,साँस
89,Atem::N,hingeõhk,श्वास
90,Atem::N,hingamine,दम
91,Atem::N,hingamine,साँस
92,Atem::N,hingamine,श्वास
93,Hunger::N,nälg,भूख
94,Hunger::N,nälg,क्षुधा
95,Träne::N,pisar,आँसू
96,Träne::N,pisar,अश्रु
97,Geschmack::N,maitse,स्वाद
98,Geschmack::N,maitse,ज़ायक़ा
99,Geruch::N,lõhn,बू
100,Geruch::N,lõhn,गंध
101,Schlaf::N,uni,नींद
102,Schlaf::N,uni,निद्रा
103,Traum::N,unenägu,सपना
104,Traum::N,unenägu,स्वप्न
105,Himmel::N,taevas,आकाश
106,Himmel::N,taevas,आसमान
107,Sonne::N,päike,रवि
108,Sonne::N,päike,सूरज
109,Sonne::N,päike,सूर्य
110,Mond::N,kuu,चाँद
111,Mond::N,kuu,चंद्र
112,Stern::N,täht,तारा
113,Stern::N,täht,सितारा
114,Luft::N,õhk,हवा
115,Luft::N,õhk,वायु
116,Wind::N,tuul,पाद
117,Welle::N,laine,लहर
118,Welle::N,laine,तरंग
119,Wasser::N,vesi,जल
120,Wasser::N,vesi,पानी
121,Stein::N,kivi,पत्थर
122,Boden::N,maa,मिट्टी
123,Boden::N,pinnas,मिट्टी
124,Erde::N,maa,भूमि
125,Erde::N,maa,ज़मीन
126,Staub::N,põrm,धूल
127,Rauch::N,suits,धूआँ
128,Rauch::N,suits,धुम्र
129,Funke::N,säde,चिनगारी
130,Funke::N,säde,स्फुलिंग
131,Feuer::N,tuli,आग
132,Feuer::N,tuli,आतिश
133,Feuer::N,tuli,अग्नि
134,Licht::N,valgus,रोशनी
135,Licht::N,valgus,प्रकाश
136,Schatten::N,vari,छाया
137,Schatten::N,vari,परछाई
138,Wetter::N,ilm,ऋतु
139,Wetter::N,ilm,मौसम
140,Nebel::N,udu,धुँध
141,Nebel::N,udu,कुहरा
142,Wolke::N,pilv,मेघ
143,Wolke::N,pilv,अभ्र
144,Regen::N,sadu,मेंह
145,Regen::N,sadu,बारिश
146,Schnee::N,lumi,हिम
147,Schnee::N,lumi,बर्फ़
148,Eis::N,jää,हिम
149,Eis::N,jää,बर्फ़
150,Frost::N,pakane,ठंड
151,Kälte::N,külm,सर्दी
152,Kälte::N,külm,शीतलता
153,Kälte::N,külmus,सर्दी
154,Kälte::N,külmus,शीतलता
155,Hitze::N,kuumus,ताप
156,Hitze::N,kuumus,गरमी
157,Hitze::N,palavus,ताप
158,Hitze::N,palavus,गरमी
159,Raureif::N,härmatis,पाला
160,Regenbogen::N,vikerkaar,इंद्र-धनुष
161,Donner::N,kõu,गरज
162,Donner::N,kõu,मेघ-गर्जन
163,Donner::N,müristamine,गरज
164,Donner::N,müristamine,मेघ-गर्जन
165,Strömung::N,voolus,बहाव
166,Strömung::N,voolus,प्रवाह
167,Strömung::N,jõevool,बहाव
168,Strömung::N,jõevool,प्रवाह
169,Tropfen::N,tilk,बूँद
170,Schaum::N,vaht,झाग
171,Schmutz::N,pori,गंद
172,Schmutz::N,pori,कीचड़
173,Schmutz::N,mustus,गंद
174,Schmutz::N,mustus,कीचड़
175,See::N,järv,झील
176,See::N,järv,सरोवर
177,Sumpf::N,soo,दलदल
178,Sumpf::N,soo,धँसान
179,Moor::N,raba,झाबर
180,Moor::N,raba,धँसान
181,Wiese::N,aas,घास-स्थल
182,Wiese::N,nurm,घास-स्थल
183,Wald::N,mets,जंगल
184,Hügel::N,küngas,टीला
185,Hügel::N,küngas,पहाड़
186,Anhöhe::N,küngas,टीला
187,Anhöhe::N,küngas,पहाड़ी
188,Berg::N,mägi,पहाड़
189,Gipfel::N,mäetipp,शिखर
190,Höhle::N,koobas,गुहा
191,Höhle::N,koobas,गुफ़ा
192,Abhang::N,nõlvak,ढाल
193,Abhang::N,nõlvak,ढलान
194,Quelle::N,allikas,चश्मा
195,Bach::N,oja,सोता
196,Bach::N,oja,नदिका
197,Fluss::N,jõgi,नदी
198,Fluss::N,jõgi,सरिता
199,Ufer::N,kallas,तट
200,Ufer::N,kallas,किनारा
201,Küste::N,rannik,समुद्र-तट
202,Festland::N,mander,महाद्वीप
203,Festland::N,maismaa,महाद्वीप
204,Meer::N,meri,सागर
205,Meer::N,meri,समुद्र
206,Bucht::N,laht,खाड़ी
207,Insel::N,saar,टापू
208,Insel::N,saar,द्वीप
209,Blume::N,lill,फूल
210,Blume::N,lill,पुष्प
211,Gras::N,rohi,घास
212,Wurzel::N,juur,मूल
213,Baum::N,puu,पेड़
214,Baum::N,puu,वृक्ष
215,Stamm::N,tüvi,धड़
216,Rinde::N,koor,छाल
217,Rinde::N,koor,वल्कल
218,Ast::N,oks,डाल
219,Ast::N,oks,शाखा
220,Zweig::N,oks,टहनी
221,Blatt::N,leht,पत्र
222,Blatt::N,leht,पत्ता
223,Birke::N,kask,भूर्ज
224,Kiefer[Baum]::N,mänd,पाइन-वृक्ष
225,Weide[Baum]::N,paju,बेंत
226,Tanne::N,nulg,फ़र
227,Horn::N,sarv,सींग
228,Horn::N,sarv,विषाण
229,Feder::N,sulg,पर
230,Feder::N,sulg,पंख
231,Fell::N,karvkate,खाल
232,Fell::N,karvkate,पशु-चर्म
233,Fell::N,karusnahk,खाल
234,Fell::N,karusnahk,पशु-चर्म
235,Flügel::N,tiib,पंख
236,Flügel::N,tiib,डैना
237,Flügel::N,tiivik,पंख
238,Flügel::N,tiivik,डैना
239,Klaue::N,küüs,पंजा
240,Kralle::N,küünis,पंजा
241,Kralle::N,küünis,नाख़ून
242,Schwanz::N,saba,पूँछ
