,Concept_ID,kl,ro
0,Auge::N,isi,ochi
1,Ohr::N,siut,ureche
2,Mund::N,paaq,gură
3,Mund::N,qaneq,gură
4,Zahn::N,kigut,dinte
5,Zunge::N,oqaq,limbă
6,Lippe::N,qarloq,buză
7,Wange::N,ersaq,bucă
8,Wange::N,ersaq,obraz
9,Gesicht::N,kiinaq,față
10,Gesicht::N,kiinaq,figură
11,Stirn::N,qaaq,frunte
12,Haar::N,meqqoq,păr
13,Bart::N,umik,barbă
14,Kinn::N,talloq,bărbie
15,Kiefer[Anatomie]::N,alleroq,falcă
16,Kehle::N,malaq,beregată
17,Hals::N,qungaseq,gât
18,Genick::N,pukusuk,ceafă
19,Kopf::N,niaqoq,cap
20,Rücken::N,qimerlut,dos
21,Rücken::N,qimerlut,spate
22,Rücken::N,qimerlut,spinare
23,Bauch::N,naaq,burtă
24,Bauch::N,naaq,pântece
25,Nabel::N,qalaseq,buric
26,Busen::N,iviangeq,sân
27,Brust::N,iviangeq,piept
28,Schulter::N,ersik,umăr
29,Schulter::N,ersik,spate
30,Schulter::N,assaqqoq,umăr
31,Schulter::N,assaqqoq,spate
32,Arm::N,taleq,braț
33,Ellenbogen::N,ikusik,cot
34,Hand::N,assak,mână
35,Handfläche::N,itumak,palmă
36,Finger::N,inuak,deget
37,Fingernagel::N,kikiak,unghie
38,Nagel[Anatomie]::N,kukik,unghie
39,Zeh::N,isigak,deget de la picior
40,Ferse::N,kimmik,călcâi
41,Knie::N,seeqqoq,genunchi
42,Oberschenkel::N,uppat,coapsă
43,Oberschenkel::N,quttoraq,coapsă
44,Bein::N,isigak,picior
45,Körper::N,timi,corp
46,Haut::N,mattak,piele
47,Blut::N,aak,sânge
48,Ader::N,taqaq,vână
49,Ader::N,taqaq,arteră
50,Sehne::N,ujalu,tendon
51,Sehne::N,ujaloq,tendon
52,Knochen::N,saanikut,os
53,Gehirn::N,qarasaq,creier
54,Herz::N,uummat,inimă
55,Magen::N,aqajaroq,stomac
56,Leber::N,tinguk,ficat
57,Atem::N,anerneq,răsuflare
58,Atem::N,anerneq,respirație
59,Hunger::N,kaanneq,foame
60,Träne::N,qia,lacrimă
61,Träne::N,qiak,lacrimă
62,Geschmack::N,qilanaartuut,gust
63,Geruch::N,tipi,miros
64,Geruch::N,tipik,miros
65,Traum::N,sinnattoq,vis
66,Traum::N,sinnattugaq,vis
67,Himmel::N,qilak,cer
68,Sonne::N,seqineq,soare
69,Mond::N,qaammat,lună
70,Stern::N,ulloriaq,stea
71,Luft::N,silaannaq,aer
72,Wind::N,anori,vânt
73,Wind::N,anorsarik,vânt
74,Welle::N,aalappaa,val
75,Welle::N,aalappaa,undă
76,Wasser::N,imeq,apă
77,Stein::N,ujarak,piatră
78,Boden::N,nateq,sol
79,Boden::N,nateq,pământ
80,Erde::N,issoq,pământ
81,Staub::N,pujualanerit,praf
82,Staub::N,pujoralanerit,praf
83,Rauch::N,iseq,fum
84,Rauch::N,pujoq,fum
85,Funke::N,illoorneq,scânteie
86,Feuer::N,inneq,foc
87,Licht::N,qaamaneq,lumină
88,Schatten::N,tarraq,umbră
89,Wetter::N,sila,timp
90,Wetter::N,sila,vreme
91,Nebel::N,pujoq,ceață
92,Nebel::N,pujoq,negură
93,Wolke::N,nuia,nor
94,Regen::N,sialuk,ploaie
95,Schnee::N,aput,zăpadă
96,Eis::N,siku,gheață
97,Frost::N,issi,ger
98,Frost::N,issik,ger
99,Kälte::N,issi,frig
100,Hitze::N,kianneq,arșiță
101,Hitze::N,kianneq,căldură
102,Hitze::N,kiassuseq,arșiță
103,Hitze::N,kiassuseq,căldură
104,Raureif::N,kaneq,chiciură
105,Regenbogen::N,neriusaaq,curcubeu
106,Donner::N,kalleq,tunet
107,Tropfen::N,kuseriarneq,picătură
108,Schaum::N,qapuk,spumă
109,Schmutz::N,minguk,murdărie
110,See::N,taseq,lac
111,Sumpf::N,maqulluk,mlaștină
112,Wiese::N,masarsuk,fânaț
113,Wiese::N,masarsuk,livadă
114,Hügel::N,qattuneq,deal
115,Hügel::N,qattuneq,movilă
116,Hügel::N,majuariaq,deal
117,Hügel::N,majuariaq,movilă
118,Hügel::N,majorajaaq,deal
119,Hügel::N,majorajaaq,movilă
120,Hügel::N,qaqqannguaq,deal
121,Hügel::N,qaqqannguaq,movilă
122,Berg::N,qaqqaq,munte
123,Höhle::N,qaarusuk,peșteră
124,Abhang::N,ippik,pantă
125,Abhang::N,ippik,versant
126,Abhang::N,sivinganeq,pantă
127,Abhang::N,sivinganeq,versant
128,Abhang::N,sivingajaaq,pantă
129,Abhang::N,sivingajaaq,versant
130,Abhang::N,kussangajaaq,pantă
131,Abhang::N,kussangajaaq,versant
132,Bach::N,kuunnguaq,gârlă
133,Fluss::N,kuuk,râu
134,Fluss::N,kuuk,fluviu
135,Ufer::N,sissap sinaa,mal
136,Ufer::N,sissap sinaa,țărm
137,Küste::N,sineriak,coastă
138,Meer::N,imaq,mare
139,Bucht::N,ikeq,golf
140,Bucht::N,kangerluk,golf
141,Bucht::N,kangerliumaneq,golf
142,Insel::N,qeqertaq,insulă
143,Blume::N,naasoq,floare
144,Gras::N,ivigaq,iarbă
145,Wurzel::N,niulutaq,rădăcină
146,Baum::N,orpik,copac
147,Baum::N,orpik,arbore
148,Stamm::N,kanaartaq,tulpină
149,Rinde::N,ameraq,scoarță
150,Ast::N,avalequt,cracă
151,Ast::N,avalequt,creangă
152,Zweig::N,avalequt,ramură
153,Zweig::N,avalequt,creangă
154,Blatt::N,pilutaq,frunză
155,Birke::N,patitsit,mesteacăn
156,Weide[Baum]::N,palleq,salcie
157,Weide[Baum]::N,palleq,răchită
158,Tanne::N,orsuerneq,brad
159,Horn::N,nassuk,corn
160,Feder::N,suluk,pană
161,Fell::N,ameq,piele
162,Flügel::N,suluk,aripă
163,Flügel::N,isaroq,aripă
164,Klaue::N,kukik,gheară
165,Kralle::N,kukik,labă
166,Kralle::N,kukik,gheară
167,Schwanz::N,pamioq,coadă
168,Schwanz::N,paperuusaq,coadă
169,Ei::N,mannik,ou
170,Nest::N,ullut,cuib
171,Bau::N,ini,bârlog
172,Bau::N,ini,vizuină
173,Tier::N,uumasoq,animal
174,Herde::N,unguukkat,turmă
175,Herde::N,unguukkat,cireadă
176,Kuh::N,ussik,vacă
177,Bulle::N,angukulak,taur
178,Bulle::N,anguteralak,taur
179,Bulle::N,angutikulooq,taur
180,Schaf::N,sava,oaie
181,Schwein::N,puuluki,porc
182,Hund::N,qimmeq,câine
183,Katze::N,puisaaq,pisică
184,Bär::N,allaq,urs
185,Eichhörnchen::N,sissinnguaq,veveriță
186,Fuchs::N,terianniaq,vulpe
187,Hase::N,ukaleq,iepure
188,Maus::N,teriannguaq,șoarece
189,Wolf::N,amaroq,lup
190,Vogel::N,timmiaq,pasăre
191,Huhn::N,kukkukooq,găină
192,Huhn::N,marloraaqaaq,găină
193,Hahn::N,kiasiusaq,cocoș
194,Gans::N,nerleq,gâscă
195,Adler::N,nattoralik,vultur
196,Eule::N,uppik,bufniță
197,Kranich::N,qorlorfik,cocor
198,Krähe::N,tuluatsiaq,cioară
199,Kuckuck::N,kukkooq,cuc
200,Schwan::N,qussuk,lebădă
201,Fisch::N,aalisagaq,pește
202,Schlange[Tier]::N,pulateriarsuk,șarpe
203,Schlange[Tier]::N,pulateriaarsuk,șarpe
204,Spinne::N,aasiaq,păianjen
205,Spinne::N,nissavaarsuk,păianjen
206,Ameise::N,uniaaluk,furnică
207,Laus::N,kumak,păduche
208,Mücke::N,ippernaq,țânțar
209,Fliege::N,ippernaq,muscă
210,Schmetterling::N,paluaq,fluture
211,Schmetterling::N,pakkaluaq,fluture
212,Schmetterling::N,utsuppaluaq,fluture
213,Schmetterling::N,taqaleqisaaq,fluture
214,Beere::N,paarmaq,boabă
215,Beere::N,paarngaq,boabă
216,Apfel::N,iipili,măr
217,Pilz::N,anngiusaq,burete
218,Pilz::N,anngiusaq,ciupercă
219,Zwiebel::N,uanitsoq,ceapă
220,Saat::N,naatsiiassaq,semănătură
221,Korn::N,maannineq,grâu
222,Schale::N,niutsivik,coajă
223,Schale::N,ilulissaq qaartussaq,coajă
224,Grube::N,itersaq,groapă
225,Falle::N,pualavoq,cursă
226,Falle::N,pualavoq,capcană
227,Schlinge::N,orseq,laț
228,Schlinge::N,norloq,laț
229,Spur::N,tumaa,dâră
230,Asche::N,arsat,cenușă
