,Concept_ID,cs,kn
0,Auge::N,oko,ಕಣ್ಣು
1,Ohr::N,ucho,ಕಿವಿ
2,Nase::N,nos,ಮೂಗು
3,Mund::N,pusa,ಬಾಯಿ
4,Zahn::N,zub,ಹಲ್ಲು
5,Zunge::N,jazyk,ನಾಲಿಗೆ
6,Lippe::N,ret,ತುಟಿ
7,Wange::N,tvář,ಗಲ್ಲ
8,Gesicht::N,obličej,ಮುಖ
9,Stirn::N,čelo,ಹಣೆ
10,Haar::N,vlas,ಕೂದಲು
11,Haar::N,vlasy,ಕೂದಲು
12,Schnurrbart::N,kníry,ಮೀಸೆ
13,Bart::N,vousy,ಗಡ್ಡ
14,Kinn::N,brada,ಗದ್ದ
15,Kiefer[Anatomie]::N,čelist,ದವಡೆ
16,Kehle::N,hrdlo,ಗಂಟಲು
17,Hals::N,krk,ಕೊರಳು
18,Genick::N,týl,ಹಿಂಗತ್ತು
19,Kopf::N,hlava,ತಲೆ
20,Rücken::N,záda,ಬೆನ್ನು
21,Rücken::N,hřbet,ಬೆನ್ನು
22,Bauch::N,břicho,ಹೊಟ್ಟೆ
23,Nabel::N,pupek,ಹೊಕ್ಕುಳು
24,Busen::N,ňadra,ಸ್ತನ
25,Brust::N,prsa,ಎದೆ
26,Schulter::N,plece,ಭುಜ
27,Schulter::N,rameno,ಭುಜ
28,Arm::N,ruka,ತೋಳು
29,Ellenbogen::N,loket,ಮೊಣಕೈ
30,Hand::N,ruka,ಕೈ
31,Handfläche::N,dlaň,ಅಂಗೈ
32,Finger::N,prst,ಕೈಬೆರಳು
33,Fingernagel::N,nehet,ಉಗುರು
34,Nagel[Anatomie]::N,nehet,ಉಗುರು
35,Zeh::N,prst u nohy,ಕಾಲ್ಬೆರಳು
36,Fuß::N,noha,ಪಾದ
37,Ferse::N,pata,ಹಿಮ್ಮಡಿ
38,Knie::N,koleno,ಮಂಡಿ
39,Oberschenkel::N,stehno,ತೊಡೆ
40,Bein::N,noha,ಕಾಲು
41,Körper::N,tělo,ದೇಹ
42,Haut::N,kůže,ಚರ್ಮ
43,Blut::N,krev,ರಕ್ತ
44,Ader::N,céva,ನರ
45,Sehne::N,šlacha,ನರ
46,Knochen::N,kost,ಮೂಳೆ
47,Gehirn::N,mozek,ಮಿದುಳು
48,Herz::N,srdce,ಹೃದಯ
49,Magen::N,žaludek,ಉದರ
50,Leber::N,játra,ಯಕೃತ್ತು
51,Atem::N,dech,ಉಸಿರು
52,Hunger::N,hlad,ಹಸಿವು
53,Träne::N,slza,ಕಣ್ಣೀರು
54,Geschmack::N,vkus,ರುಚಿ
