,Concept_ID,zh,el
0,Auge::N,眼睛,μάτι
1,Auge::N,眼睛,οφθαλμός
2,Ohr::N,耳朵,αυτί
3,Nase::N,鼻子,μύτη
4,Mund::N,嘴,στόμα
5,Zahn::N,牙齿,δόντι
6,Zunge::N,舌头,γλώσσα
7,Lippe::N,嘴唇,χείλος
8,Wange::N,面颊,παρειά
9,Wange::N,面颊,μάγουλο
10,Gesicht::N,脸,πρόσωπο
11,Stirn::N,额,μέτωπο
12,Haar::N,头发,μαλλιά
13,Schnurrbart::N,髭须,μουστάκι
14,Bart::N,胡子,γένια
15,Kinn::N,下巴,πιγούνι
16,Kiefer[Anatomie]::N,颌,σαγόνι
17,Kehle::N,嗓子,λαρύγγι
18,Hals::N,颈,λαιμός
19,Genick::N,后颈,σβέρκος
20,Kopf::N,头,κεφάλι
21,Rücken::N,背,ράχη
22,Bauch::N,肚子,κοιλιά
23,Nabel::N,肚脐,αφαλός
24,Busen::N,胸脯,στήθος
25,Brust::N,胸,στήθος
26,Schulter::N,肩膀,ώμος
27,Arm::N,臂膀,χέρι
28,Arm::N,臂膀,μπράτςο
29,Ellenbogen::N,肘,αγκώνας
30,Hand::N,手,χέρι
31,Handfläche::N,手掌,παλάμη
32,Finger::N,手指,δάχτυλο
33,Fingernagel::N,指甲,νύχι
34,Nagel[Anatomie]::N,指甲,νύχι
35,Zeh::N,脚趾,δάχτυλο του ποδιού
36,Fuß::N,脚,πόδι
37,Ferse::N,后跟,φτέρνα
38,Knie::N,膝,γόνατο
39,Oberschenkel::N,大腿,μηρός
40,Bein::N,腿,πόδι
41,Körper::N,身体,σώμα
42,Körper::N,身体,κορμί
43,Haut::N,皮肤,πετσί
44,Blut::N,血,αίμα
45,Ader::N,血管,φλέβα
46,Sehne::N,腱,νεύρο
47,Sehne::N,腱,τένοντας
48,Knochen::N,骨,οστό
49,Knochen::N,骨,κόκκαλο
50,Gehirn::N,脑,μυαλό
51,Gehirn::N,脑,εγκέφαλος
52,Herz::N,心,καρδιά
53,Magen::N,胃,στομάχι
54,Leber::N,肝,ήπαρ
55,Leber::N,肝,συκωτί
56,Atem::N,呼吸,αναπνοή
57,Hunger::N,饿,πείνα
58,Träne::N,眼泪,δάκρυ
59,Geschmack::N,味道,γεύση
60,Geruch::N,气味,οσμή
61,Geruch::N,气味,μυρωδία
62,Schlaf::N,睡眠,ύπνος
63,Traum::N,梦,όνειρο
64,Himmel::N,天空,ουρανός
65,Sonne::N,太阳,ήλιος
66,Mond::N,月亮,σελήνη
67,Mond::N,月亮,φεγγάρι
68,Stern::N,星,άστρο
69,Stern::N,星,αστέρι
70,Luft::N,空气,αέρας
71,Wind::N,风,αέρας
72,Wind::N,风,άνεμος
73,Welle::N,波,κύμα
74,Wasser::N,水,νερό
75,Stein::N,石头,πέτρα
76,Boden::N,地面,χώμα
77,Erde::N,地,γη
78,Staub::N,灰尘,σκόνη
79,Rauch::N,烟,καπνός
80,Funke::N,火花,σπίθα
81,Funke::N,火花,σπινθήρας
82,Feuer::N,火,φωτιά
83,Licht::N,光,φως
84,Schatten::N,影子,σκιά
85,Schatten::N,影子,ίσκιος
86,Wetter::N,天气,καιρός
87,Nebel::N,雾,ομίχλη
88,Wolke::N,云,σύννεφο
89,Regen::N,雨,βροχή
90,Schnee::N,雪,χιόνι
91,Eis::N,冰,πάγος
92,Frost::N,霜冻,παγωνία
93,Kälte::N,寒冷,κρύο
94,Kälte::N,寒冷,ψύχος
95,Hitze::N,炎热,ζέστη
96,Raureif::N,霜,πάχνη
97,Regenbogen::N,虹,ουράνιο τόξο
98,Donner::N,雷,βροντή
99,Strömung::N,水流,ρεύμα
100,Tropfen::N,滴,στάλα
101,Schaum::N,泡沫,αφρός
102,Schmutz::N,赃物,βρωμιά
103,See::N,湖,λίμνη
104,Sumpf::N,沼泽,βάλτος
105,Moor::N,沼泽,έλος
106,Wiese::N,草地,λιβάδι
107,Wald::N,森林,δάσος
108,Hügel::N,丘陵,λόφος
109,Anhöhe::N,山丘,ύψωμα
110,Berg::N,山,όρος
111,Berg::N,山,βουνό
112,Gipfel::N,峰,κορυφή
113,Höhle::N,洞穴,σπηλιά
114,Abhang::N,斜坡,πλαγιά
115,Quelle::N,泉,πηγή
116,Quelle::N,泉,βρύση
117,Bach::N,溪,ρυάκι
118,Fluss::N,河流,ποτάμι
119,Fluss::N,河流,ποταμός
120,Ufer::N,岸,όχθη
121,Küste::N,海岸,ακτή
122,Küste::N,海岸,ακρογιαλιά
123,Festland::N,大陆,στεριά
124,Meer::N,海,θάλασσα
125,Bucht::N,海湾,κόλπος
126,Insel::N,岛,νησί
127,Insel::N,岛,νήσος
128,Blume::N,花,άνθος
129,Blume::N,花,λουλούδι
130,Gras::N,草,χόρτο
131,Gras::N,草,χορτάρι
132,Wurzel::N,根,ρίζα
133,Baum::N,树,δέντρο
134,Stamm::N,树干,κορμός
135,Rinde::N,树皮,φλούδα
136,Ast::N,树枝,κλαδί
137,Zweig::N,树枝,κλαδί
138,Zweig::N,树枝,κλάδος
139,Blatt::N,叶子,φύλλο
140,Birke::N,桦木,σημύδα
141,Kiefer[Baum]::N,松树,πεύκο
142,Weide[Baum]::N,柳树,ιτιά
143,Tanne::N,冷杉,έλατο
144,Horn::N,角,κέρας
145,Horn::N,角,κέρατο
146,Feder::N,羽毛,φτερό
147,Fell::N,皮毛,δέρμα
148,Fell::N,皮毛,τομάρι
149,Flügel::N,翅膀,πτερύγιο
150,Klaue::N,爪子,κουλό
151,Kralle::N,爪子,νύχι
152,Schwanz::N,尾巴,ουρά
153,Ei::N,蛋,αβγό
154,Nest::N,巢,φωλιά
155,Bau::N,穴,φωλιά
156,Tier::N,动物,ζώο
157,Herde::N,群,κοπάδι
158,Kuh::N,母牛,αγελάδα
159,Bulle::N,公牛,ταύρος
160,Pferd::N,马,άλογο
161,Schaf::N,羊,πρόβατο
162,Schwein::N,猪,γουρούνι
163,Hund::N,狗,σκυλί
164,Hund::N,狗,σκύλος
165,Katze::N,猫,γάτα
166,Bär::N,熊,άρκτος
167,Bär::N,熊,αρκούδα
168,Eichhörnchen::N,松鼠,βερβερίτσα
169,Elch::N,麋鹿,άλκη
170,Fuchs::N,狐狸,αλεπού
171,Hase::N,兔子,λαγός
172,Maus::N,老鼠,ποντικός
173,Wolf::N,狼,λύκος
174,Vogel::N,鸟,πουλί
175,Schwarm::N,群,σμήνος
176,Huhn::N,鸡,κότα
177,Huhn::N,鸡,όρνιθα
178,Hahn::N,公鸡,πετεινός
179,Gans::N,鹅,χήνα
180,Adler::N,鹰,αετός
181,Ente::N,鸭,πάπια
182,Eule::N,猫头鹰,κουκουβάγια
183,Kranich::N,鹤,γερανός
184,Krähe::N,乌鸦,καρακάξα
185,Kuckuck::N,布谷鸟,κούκος
186,Schwan::N,天鹅,κύκνος
187,Fisch::N,鱼,ψάρι
188,Barsch::N,鲈鱼,πέρκα
189,Hecht::N,狗鱼,λούτσος
190,Schlange[Tier]::N,蛇,φίδι
191,Wurm::N,蠕虫,σκουλήκι
192,Spinne::N,蜘蛛,αράχνη
193,Ameise::N,蚂蚁,μυρμήγκι
194,Laus::N,虱子,ψείρα
195,Mücke::N,蚊子,κουνούπι
196,Fliege::N,苍蝇,μύγα
197,Schmetterling::N,蝴蝶,πεταλούδα
198,Beere::N,将果,ρόγα
199,Apfel::N,苹果,μήλο
200,Pilz::N,蘑菇,μανιτάρι
201,Zwiebel::N,洋葱,κρεμμύδι
202,Saat::N,种子,σπόρος
203,Korn::N,谷粒,σπυρί
204,Heu::N,干草,σανός
205,Schale::N,壳,τσόφλι
206,Grube::N,坑,λάκκος
207,Falle::N,圈套,παγίδα
208,Schlinge::N,活扣,θηλειά
209,Spur::N,踪迹,ίχνος
210,Asche::N,灰烬,στάχτη
211,Dreck::N,污垢,βρωμιά
212,Eisen::N,铁,σίδερο
213,Gold::N,金子,μάλαμα
214,Gold::N,金子,χρυσάφι
215,Silber::N,银,ασήμι
216,Silber::N,银,άργυρος
217,Kohle::N,煤,κάρβουνο
218,Glas::N,玻璃,γυαλί
219,Lehm::N,粘土,πηλός
220,Sand::N,沙,άμμος
221,Mensch::N,人,άνθρωπος
222,Mann::N,男子,άνδρας
223,Frau::N,妇女,γυναίκα
224,Kind::N,小孩,παιδί
225,Junge::N,男孩,αγόρι
226,Mädchen::N,女孩,κοπέλα
227,Mädchen::N,女孩,κορίτσι
228,Familie::N,家庭,οικογένεια
229,Großvater::N,祖父,παππούς
230,Großmutter::N,祖母,γιαγιά
231,Eltern::N,父母,γονείς
232,Vater::N,父亲,πατέρας
233,Mutter::N,母亲,μητέρα
234,Sohn::N,儿子,γιος
235,Tochter::N,女儿,κόρη
236,Bruder::N,兄弟,αδελφός
237,Schwester::N,姐妹,αδελφή
238,Onkel::N,伯父,θείος
239,Tante::N,阿姨,θεία
240,Ehemann::N,丈夫,σύζυγος
241,Ehefrau::N,妻子,σύζυγος
242,Freude::N,愉快,χαρά
243,Gelächter::N,大笑,γέλια
244,Glück::N,运气,ευτυχία
245,Kummer::N,苦恼,έγνοια
246,Wunsch::N,愿望,επιθυμία
247,Lust::N,乐趣,όρεξη
248,Geist::N,精神,πνέυμα
249,Gedanke::N,思想,σκέψη
250,Gedächtnis::N,记性,μνήμη
251,Verstand::N,理智,νους
252,Sinn::N,感觉,νόημα
253,Grund::N,理由,λόγος
254,Wahrheit::N,真理,αλήθεια
255,Gespräch::N,谈话,συνομιλία
256,Märchen::N,童话,παραμύθι
257,Erzählung::N,故事,διήγημα
258,Nachricht::N,消息,είδηση
259,Neuigkeit::N,新闻,νέο
260,Name::N,名字,όνομα
261,Rätsel::N,谜语,αίνιγμα
262,Rede::N,讲话,λόγος
263,Rede::N,讲话,ομιλία
264,Sprache::N,语言,γλώσσα
265,Stimme::N,声音,φωνή
266,Wort::N,词,λέξη
267,Zeichen::N,标记,σημείο
268,Ruf::N,呼喊,κραυγή
269,Lärm::N,噪音,θόρυβος
270,Laut::N,响声,ήχος
271,Ton::N,声音,ήχος
272,Ton::N,声音,τόνος
273,Lied::N,歌曲,τραγούδι
274,Ruhe::N,安静,ησυχία
275,Leute::N,人们,κόσμος
276,Leute::N,人们,άνθρωποι
277,Volk::N,人民,λαός
278,Arbeit::N,劳动,εργασία
279,Gast::N,客人,επισκέπτης
280,Geschenk::N,礼物,δώρο
281,Spiel::N,游戏,παιχνίδι
282,Gesellschaft::N,陪同,κοινωνία
