,Concept_ID,sq,ka
0,Auge::N,sy,თვალი
1,Ohr::N,vesh,ყური
2,Nase::N,hundë,ცხვირი
3,Mund::N,gojë,პირი
4,Zahn::N,dhëmb,კბილი
5,Zunge::N,gjuhë,ენა
6,Lippe::N,buzë,ბაგე
7,Wange::N,faqe,ლოყა
8,Wange::N,mollëz,ლოყა
9,Gesicht::N,fytyrë,სახე
10,Stirn::N,ballë,შუბლი
11,Haar::N,flokë,თმა
12,Schnurrbart::N,mustaqe,ულვაში
13,Bart::N,mjekër,წვერი
14,Kinn::N,mjekër,ნიკაპი
15,Kiefer[Anatomie]::N,nofull,ყბა
16,Kehle::N,fyt,ყელი
17,Kehle::N,grykë,ყელი
18,Hals::N,qafë,ყელი
19,Hals::N,qafë,კისერი
20,Genick::N,arrëz,კეფა
21,Kopf::N,kokë,თავი
22,Rücken::N,kurriz,ზურგი
23,Bauch::N,bark,მუცელი
24,Nabel::N,kërthizë,ჭიპი
25,Busen::N,gji,ძუძუ
26,Brust::N,gjoks,მკერდი
27,Brust::N,kraharor,მკერდი
28,Schulter::N,sup,მხარი
29,Schulter::N,sup,მკლავი
30,Schulter::N,krah,მხარი
31,Schulter::N,krah,მკლავი
32,Arm::N,krah,ხელი
33,Ellenbogen::N,bërryl,იდაყვი
34,Hand::N,dorë,ხელი
35,Handfläche::N,pëllëmbë,ნები
36,Handfläche::N,pëllëmbë,ხელისგული
37,Finger::N,gisht,თითი
38,Fingernagel::N,thua,ფრჩხილი
39,Nagel[Anatomie]::N,thua,ფრჩხილი
40,Zeh::N,gisht i këmbës,ფეხის თითი
41,Fuß::N,këmbë,ტერფი
42,Fuß::N,këmbë,ფეხისგული
43,Ferse::N,thembër,ქუსლი
44,Knie::N,gju,მუხლი
45,Oberschenkel::N,kofshë,ბარძაყი
46,Bein::N,këmbë,ფეხი
47,Körper::N,trup,ტანი
48,Körper::N,trup,სხეული
49,Haut::N,lëkurë,კანი
50,Blut::N,gjak,სისხლი
51,Ader::N,venë,ძარღვი
52,Sehne::N,dell,მყესი
53,Knochen::N,asht,ძვალი
54,Knochen::N,kockë,ძვალი
55,Gehirn::N,tru,ტვინი
56,Herz::N,zemër,გული
57,Magen::N,stomak,კუჭი
58,Leber::N,mëlçi,ღვიძლი
59,Atem::N,frymë,სუნთქვა
60,Hunger::N,uri,შიმშილი
61,Träne::N,lot,ცრემლი
62,Geschmack::N,shije,გემო
63,Geruch::N,erë,სუნი
64,Schlaf::N,gjumë,ძილი
65,Traum::N,ëndërr,სიზმარი
66,Himmel::N,qiell,ცა
67,Sonne::N,diell,მზე
68,Mond::N,hënë,მთვარე
69,Stern::N,yll,ვარსკვლავი
70,Luft::N,ajër,ჰაერი
71,Wind::N,erë,ქარი
72,Welle::N,valë,ტალღა
73,Welle::N,dallgë,ტალღა
74,Wasser::N,ujë,წყალი
75,Stein::N,gur,ქვა
76,Boden::N,tokë,მიწა
77,Boden::N,truall,მიწა
78,Erde::N,dhe,ნიადაგი
79,Erde::N,baltë,ნიადაგი
80,Staub::N,pluhur,მტვერი
81,Rauch::N,tym,ბოლი
82,Rauch::N,tym,კვამლი
83,Funke::N,xixë,ნაკვესი
84,Funke::N,shkëndijë,ნაკვესი
85,Feuer::N,zjarr,ცეცხლი
86,Licht::N,dritë,შუქი
87,Licht::N,dritë,სინათლე
88,Schatten::N,hije,ლანდი
89,Schatten::N,hije,ჩრდილი
90,Wetter::N,mot,ამინდი
91,Nebel::N,mjegull,ნისლი
92,Wolke::N,re,ღრუბელი
93,Regen::N,shi,წვიმა
94,Schnee::N,borë,თოვლი
95,Eis::N,akull,თოში
96,Eis::N,akull,ყინული
97,Frost::N,ngricë,ყინვა
98,Kälte::N,të ftohtë,სიცივე
99,Hitze::N,vapë,სიცხე
100,Hitze::N,nxehtësi,სიცხე
101,Raureif::N,cikmë,ჭირხლი
102,Raureif::N,cikmë,თრთვილი
103,Regenbogen::N,ylber,ცისარტყელა
104,Donner::N,gjëmim,ქუხილი
105,Donner::N,bubullimë,ქუხილი
106,Strömung::N,rrymë,დინება
107,Tropfen::N,pikë,წვეთი
108,Schaum::N,shkumë,ქაფი
109,Schaum::N,shkumë,დორბლი
110,Schmutz::N,baltë,ჭუჭყი
111,Schmutz::N,baltë,ტალახი
112,See::N,liqen,ტბა
113,Sumpf::N,batak,ჭაობი
114,Moor::N,kënetë,ტორფნარი
115,Wiese::N,livadh,ველი
116,Wiese::N,livadh,მდელო
117,Wald::N,pyll,ტყე
118,Hügel::N,kodër,ბორცვი
119,Anhöhe::N,bregore,მაღლობი
120,Berg::N,mal,მთა
121,Gipfel::N,kulm,მწვერვალი
122,Höhle::N,shpellë,მღვიმე
123,Höhle::N,shpellë,გამოქვებული
124,Höhle::N,zgafelle,მღვიმე
125,Höhle::N,zgafelle,გამოქვებული
126,Abhang::N,shpat,ფერდობი
127,Abhang::N,tatëpjetë,ფერდობი
128,Quelle::N,krua,წყარო
129,Quelle::N,krua,სათავე
130,Quelle::N,burim,წყარო
131,Quelle::N,burim,სათავე
132,Bach::N,virua,რუ
133,Bach::N,virua,ნაკადული
134,Fluss::N,lumë,მდინარე
135,Ufer::N,breg,კიდე
136,Ufer::N,breg,ნაპირი
137,Küste::N,anëdet,ნაპირი
138,Küste::N,bregdet,ნაპირი
139,Festland::N,kontinent,ხმელეთი
140,Meer::N,det,ზღვა
141,Bucht::N,gji deti,ყურე
142,Insel::N,ishull,კუნძული
143,Insel::N,ujdhesë,კუნძული
144,Blume::N,lule,ყვავილი
145,Gras::N,bar,ბალახი
146,Wurzel::N,rrënjë,ძირი
147,Wurzel::N,rrënjë,ფესვი
148,Baum::N,pemë,ხე
149,Stamm::N,trung,ტანი
150,Rinde::N,lëvore,ქერქი
151,Ast::N,degë,ტოტი
152,Zweig::N,bisk,შტო
153,Blatt::N,fletë,ფოთოლი
154,Blatt::N,gjethe,ფოთოლი
155,Birke::N,mështekën,არყი
156,Kiefer[Baum]::N,pishë,ფიჭვი
157,Weide[Baum]::N,shelg,ტირიფი
158,Tanne::N,bredh,ნაძვი
159,Horn::N,bri,რქა
160,Feder::N,pupël,ფრთა
161,Fell::N,lëkurë,ტყავი
162,Flügel::N,krah,ფრთა
163,Flügel::N,fletë,ფრთა
164,Klaue::N,kthetër,კლანჭი
165,Kralle::N,thua,ტორი
166,Kralle::N,kthetër,ტორი
167,Schwanz::N,bisht,კუდი
168,Ei::N,vezë,კვერცხი
169,Nest::N,fole,ბუდე
170,Bau::N,strofkë,სორო
171,Tier::N,kafshë,ნადირი
172,Tier::N,kafshë,ცხოველი
173,Herde::N,kope,ფარა
174,Herde::N,grigjë,ფარა
175,Kuh::N,lopë,ფური
176,Kuh::N,lopë,ძროხა
177,Bulle::N,dem,ხარი
178,Pferd::N,kalë,რაში
179,Pferd::N,kalë,ცხენი
180,Schaf::N,dele,ცხვარი
181,Schwein::N,derr,ღორი
182,Hund::N,qen,ძაღლი
183,Katze::N,mace,კატა
184,Bär::N,ari,დათვი
185,Eichhörnchen::N,ketër,ციყვი
186,Elch::N,dre brilopatë,ცხენ-ირემი
187,Fuchs::N,dhelpër,მელა
188,Hase::N,lepur,კურდღელი
189,Maus::N,mi,თაგვი
190,Wolf::N,ujk,მგელი
191,Vogel::N,zog,ჩიტი
192,Vogel::N,zog,ფრინველი
