,Concept_ID,nl,tr
0,Auge::N,oog,göz
1,Ohr::N,oor,kulak
2,Nase::N,neus,burun
3,Mund::N,mond,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tong,dil
6,Lippe::N,lip,dudak
7,Wange::N,wang,yanak
8,Gesicht::N,gelaat,yüz
9,Gesicht::N,gezicht,yüz
10,Stirn::N,voorhoofd,alın
11,Haar::N,haar,saç
12,Schnurrbart::N,snor,bıyık
13,Bart::N,baard,sakal
14,Kinn::N,kin,çene
15,Kiefer[Anatomie]::N,kaak,çene
16,Kehle::N,keel,boğaz
17,Kehle::N,strot,boğaz
18,Hals::N,hals,boyun
19,Hals::N,hals,gerdan
20,Genick::N,nek,ense
21,Kopf::N,hoofd,baş
22,Kopf::N,hoofd,kafa
23,Rücken::N,rug,arka
24,Bauch::N,buik,karın
25,Nabel::N,navel,göbek
26,Busen::N,boezem,koyun
27,Brust::N,borst,göğüs
28,Schulter::N,schouder,omuz
29,Arm::N,arm,kol
30,Ellenbogen::N,elleboog,dirsek
31,Hand::N,hand,el
32,Handfläche::N,handpalm,avuç
33,Handfläche::N,handpalm,el ayası
34,Finger::N,vinger,parmak
35,Fingernagel::N,nagel,el tırnağı
36,Nagel[Anatomie]::N,nagel,tırnak
37,Zeh::N,teen,ayak parmağı
38,Fuß::N,voet,ayak
39,Ferse::N,hak,topuk
40,Ferse::N,hiel,topuk
41,Knie::N,knie,diz
42,Oberschenkel::N,dij,uyluk
43,Bein::N,been,bacak
44,Körper::N,lichaam,vücut
45,Haut::N,huid,cilt
46,Blut::N,bloed,kan
47,Ader::N,ader,damar
48,Sehne::N,pees,kiriş
49,Knochen::N,bot,kemik
50,Knochen::N,been,kemik
51,Knochen::N,knook,kemik
52,Gehirn::N,hersenen,beyin
53,Herz::N,hart,kalp
54,Herz::N,hart,yürek
55,Magen::N,maag,mide
56,Leber::N,lever,karaciğer
57,Atem::N,adem,nefes
58,Hunger::N,honger,açlık
59,Träne::N,traan,gözyaşı
60,Geschmack::N,smaak,tat
61,Geschmack::N,smaak,lezzet
62,Geruch::N,geur,koku
63,Schlaf::N,slaap,uyku
64,Traum::N,droom,düş
65,Traum::N,droom,rüya
66,Himmel::N,hemel,gök
67,Sonne::N,zon,güneş
68,Mond::N,maan,ay
69,Stern::N,ster,yıldız
70,Luft::N,lucht,hava
71,Wind::N,wind,yel
72,Wind::N,wind,rüzgâr
73,Welle::N,golf,dalga
74,Wasser::N,water,su
75,Stein::N,steen,taş
76,Boden::N,grond,yer
77,Boden::N,grond,zemin
78,Erde::N,aarde,toprak
79,Staub::N,stof,toz
80,Rauch::N,rook,duman
81,Funke::N,vonk,kıvılcım
82,Feuer::N,vuur,ateş
83,Licht::N,licht,ışık
84,Schatten::N,schaduw,gölge
85,Wetter::N,weer,hava
86,Nebel::N,mist,pus
87,Nebel::N,nevel,pus
88,Wolke::N,wolk,bulut
89,Regen::N,regen,yağmur
90,Schnee::N,sneeuw,kar
91,Eis::N,ijs,buz
92,Frost::N,vorst,don
93,Kälte::N,kou,soğukluk
94,Kälte::N,koude,soğukluk
95,Hitze::N,hitte,sıcaklık
96,Raureif::N,rijp,kırç
97,Regenbogen::N,regenboog,gökkuşağı
98,Donner::N,donder,gök gürlemesi
99,Strömung::N,stroming,akıntı
100,Strömung::N,stroming,cereyan
101,Tropfen::N,druppel,damla
102,Schaum::N,schuim,köpük
103,Schmutz::N,vuil,çamur
104,Schmutz::N,vuil,pislik
105,See::N,meer,göl
106,Sumpf::N,moeras,batak
107,Moor::N,veen,cılgıt
108,Wiese::N,wei,çimen
109,Wiese::N,weide,çimen
110,Wald::N,bos,koru
111,Wald::N,bos,orman
112,Hügel::N,heuvel,tepe
113,Anhöhe::N,hoogte,tümsek
114,Anhöhe::N,hoogte,yükseklik
115,Berg::N,berg,dağ
116,Gipfel::N,top,zirve
117,Höhle::N,hol,in
118,Höhle::N,hol,mağara
119,Abhang::N,helling,bayır
120,Quelle::N,bron,pınar
121,Quelle::N,bron,kaynak
122,Bach::N,beek,çay
123,Bach::N,beek,dere
124,Fluss::N,stroom,nehir
125,Ufer::N,wal,kıyı
126,Ufer::N,wal,sahil
127,Ufer::N,oever,kıyı
128,Ufer::N,oever,sahil
129,Küste::N,kust,kıyı
130,Küste::N,kust,sahil
131,Festland::N,vasteland,kara
132,Meer::N,zee,deniz
133,Bucht::N,baai,koy
134,Bucht::N,baai,körfez
135,Bucht::N,inham,koy
136,Bucht::N,inham,körfez
137,Insel::N,eiland,ada
138,Blume::N,bloem,çiçek
139,Gras::N,gras,ot
140,Gras::N,gras,çim
141,Wurzel::N,wortel,kök
142,Baum::N,boom,ağaç
143,Stamm::N,stam,gövde
144,Rinde::N,schors,kabuk
145,Ast::N,tak,dal
146,Ast::N,tak,budak
147,Zweig::N,twijg,dal
148,Blatt::N,blad,yaprak
149,Birke::N,berk,huş
150,Kiefer[Baum]::N,den,çam
151,Weide[Baum]::N,wilg,söğüt
152,Tanne::N,spar,çam
153,Tanne::N,spar,köknar
154,Horn::N,hoorn,boynuz
155,Feder::N,veer,tüy
156,Feder::N,pluim,tüy
157,Fell::N,vel,post
158,Flügel::N,vleugel,kanat
159,Klaue::N,klauw,pençe
160,Kralle::N,klauw,tırnak
161,Schwanz::N,staart,kuyruk
162,Ei::N,ei,yumurta
163,Nest::N,nest,yuva
164,Bau::N,hol,in
165,Tier::N,dier,hayvan
166,Herde::N,kudde,sürü
167,Kuh::N,koe,inek
168,Bulle::N,stier,boğa
169,Pferd::N,paard,at
170,Pferd::N,paard,beygir
171,Schaf::N,schaap,koyun
172,Schwein::N,varken,domuz
173,Hund::N,hond,it
174,Hund::N,hond,köpek
175,Katze::N,kat,kedi
176,Bär::N,beer,ayı
177,Eichhörnchen::N,eekhoorntje,sincap
178,Elch::N,eland,büyük kuzey geyiği
179,Fuchs::N,vos,tilki
180,Hase::N,haas,tavşan
181,Maus::N,muis,fare
182,Maus::N,muis,sıçan
183,Wolf::N,wolf,kurt
184,Vogel::N,vogel,kuş
185,Schwarm::N,zwerm,sürü
186,Huhn::N,kip,tavuk
187,Huhn::N,hoen,tavuk
188,Hahn::N,haan,horoz
189,Gans::N,gans,kaz
190,Adler::N,arend,kartal
191,Adler::N,arend,karakuş
192,Ente::N,eend,ördek
193,Eule::N,uil,baykuş
194,Kranich::N,kraanvogel,turna
195,Krähe::N,kraai,karga
196,Kuckuck::N,koekoek,guguk
197,Schwan::N,zwaan,kuğu
198,Fisch::N,vis,balık
199,Barsch::N,baars,hani
200,Barsch::N,baars,levrek
201,Hecht::N,snoek,turnabalığı
202,Schlange[Tier]::N,slang,yılan
203,Wurm::N,worm,kurt
204,Wurm::N,worm,solucan
205,Spinne::N,spin,örümcek
206,Ameise::N,mier,karınca
207,Laus::N,luis,bit
208,Mücke::N,mug,sivrisinek
209,Fliege::N,vlieg,sinek
210,Schmetterling::N,vlinder,kelebek
211,Beere::N,bes,tane
212,Apfel::N,appel,elma
213,Pilz::N,paddestoel,mantar
214,Zwiebel::N,ui,soğan
215,Saat::N,zaad,ekin
