,Concept_ID,el,he
0,Auge::N,μάτι,עין
1,Auge::N,οφθαλμός,עין
2,Ohr::N,αυτί,אזן
3,Nase::N,μύτη,אף
4,Nase::N,μύτη,חטם
5,Mund::N,στόμα,פה
6,Zahn::N,δόντι,שן
7,Zunge::N,γλώσσα,לשון
8,Lippe::N,χείλος,שפה
9,Wange::N,παρειά,לחי
10,Wange::N,μάγουλο,לחי
11,Gesicht::N,πρόσωπο,פנים
12,Stirn::N,μέτωπο,מצח
13,Haar::N,μαλλιά,שערה
14,Schnurrbart::N,μουστάκι,שפם
15,Bart::N,γένια,זקן
16,Kinn::N,πιγούνι,סנטר
17,Kiefer[Anatomie]::N,σαγόνι,לסת
18,Kehle::N,λαρύγγι,גרון
19,Hals::N,λαιμός,צואר
20,Genick::N,σβέρκος,ערף
21,Kopf::N,κεφάλι,ראש
22,Rücken::N,ράχη,גב
23,Bauch::N,κοιλιά,בטן
24,Nabel::N,αφαλός,טבור
25,Busen::N,στήθος,שד
26,Brust::N,στήθος,חזה
27,Schulter::N,ώμος,כתף
28,Arm::N,χέρι,זרוע
29,Arm::N,μπράτςο,זרוע
30,Ellenbogen::N,αγκώνας,מרפק
31,Hand::N,χέρι,יד
32,Handfläche::N,παλάμη,כף יד
33,Finger::N,δάχτυλο,אצבע
34,Fingernagel::N,νύχι,צפרן
35,Nagel[Anatomie]::N,νύχι,צפרן
36,Zeh::N,δάχτυλο του ποδιού,אצבע
37,Fuß::N,πόδι,רגל
38,Ferse::N,φτέρνα,עקב
39,Knie::N,γόνατο,ברך
40,Oberschenkel::N,μηρός,ירך
41,Bein::N,πόδι,רגל
42,Körper::N,σώμα,גוף
43,Körper::N,κορμί,גוף
44,Haut::N,πετσί,עור
45,Blut::N,αίμα,דם
46,Ader::N,φλέβα,וריד
47,Sehne::N,νεύρο,גיד
48,Sehne::N,τένοντας,גיד
49,Knochen::N,οστό,עצם
50,Knochen::N,κόκκαλο,עצם
51,Gehirn::N,μυαλό,מוח
52,Gehirn::N,εγκέφαλος,מוח
53,Herz::N,καρδιά,לב
54,Magen::N,στομάχι,קבה
55,Leber::N,ήπαρ,כבד
56,Leber::N,συκωτί,כבד
57,Atem::N,αναπνοή,נשימה
58,Hunger::N,πείνα,רעב
59,Träne::N,δάκρυ,דמעה
60,Geschmack::N,γεύση,טעם
61,Geruch::N,οσμή,ריח
62,Geruch::N,μυρωδία,ריח
63,Schlaf::N,ύπνος,שנה
64,Traum::N,όνειρο,חלום
65,Himmel::N,ουρανός,שמים
66,Sonne::N,ήλιος,שמש
67,Mond::N,σελήνη,ירח
68,Mond::N,φεγγάρι,ירח
69,Stern::N,άστρο,כוכב
