,Concept_ID,lbe,ady
0,Auge::N,я,нэ
1,Ohr::N,вичӏи,тхьакӏу́м
2,Nase::N,май,пэ
3,Mund::N,кьацӏ,жэ
4,Zahn::N,ккарччи,цэ
5,Zunge::N,маз,бзэгу
6,Lippe::N,мурччи,ӏупшӏэ́
7,Wange::N,чӏав,нэкӏу́шъу
8,Gesicht::N,лажин,нэ́гу
9,Stirn::N,ненттабакӏ,натӏэ́
10,Haar::N,чӏара,шъхьацы́
11,Schnurrbart::N,ссирссилтту,
12,Bart::N,чӏири,жакӏэ́
13,Kinn::N,лунттубакӏ,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ххинчулул,жэпкъы́
15,Kehle::N,кьакьари,чый
16,Hals::N,ссурссу,пшъэ
17,Genick::N,махъабакӏ,шъхьэпхэтыку
18,Kopf::N,бакӏ,шъхьэ́
19,Rücken::N,ттиликӏ,кӏыбы́
20,Bauch::N,лякьа,ныбэ́
21,Nabel::N,цӏумуккутӏ,
22,Busen::N,ккукку,бгъэ́
23,Brust::N,хъазам,бгъэ́
24,Schulter::N,хъачӏ,блыпкъ
25,Arm::N,ка,ӏэ
26,Ellenbogen::N,ссюрхъ,ӏэнтэ́гъу
27,Hand::N,бартка,ӏэтхьэцу
28,Handfläche::N,хъат,ӏэ́гу
29,Handfläche::N,битӏянхъ,ӏэ́гу
30,Finger::N,кӏисса,ӏэхъуа́мб
31,Fingernagel::N,михь,ӏэбжъа́н
32,Nagel[Anatomie]::N,михь,ӏэбжъа́н
33,Zeh::N,кӏисса,ӏэхъуа́мб
34,Fuß::N,чӏанччан,лъэгу
35,Ferse::N,никъа,лъэдакъэ
36,Knie::N,ник,лъагуа́ндж
37,Oberschenkel::N,жира,ко
38,Bein::N,ччан,лъакъо́
39,Körper::N,чурх,пкъышъол
40,Haut::N,бурчу,кӏы́шъу
41,Blut::N,оь,лъы
42,Ader::N,тунну,льытф
43,Sehne::N,хьхьа,фэ
44,Knochen::N,ттаркӏ,къупшъхьэ́
45,Gehirn::N,ня,куцӏы
46,Herz::N,дакӏ,гу
47,Herz::N,къюкӏ,гу
48,Magen::N,лякьа,мышкӏу
49,Atem::N,ссихӏ ласаву,къэщэныр
