,Concept_ID,bn,ce
0,Auge::N,চক্ষু,бӏаьрг
1,Ohr::N,কর্ণ,лерг
2,Nase::N,নাক,мара
3,Mund::N,মুখ,бага
4,Zahn::N,দাঁত,церг
5,Zunge::N,জিহবা,мотт
6,Lippe::N,অধর,балда
7,Wange::N,গণ্ড,бесни
8,Gesicht::N,মুখমণ্ডল,юьхь
9,Stirn::N,কপাল,хьаж
10,Haar::N,চুল,мас
11,Schnurrbart::N,গোঁফ,мекх
12,Bart::N,শ্মশ্রু,маж
13,Kinn::N,চিবুক,чӏениг
14,Kiefer[Anatomie]::N,চোয়াল,мочхал
15,Kehle::N,কণ্ঠ,къамкъарг
16,Hals::N,গল,ворта
17,Genick::N,ঘাড়,кӏесаркӏаг
18,Kopf::N,মাথা,корта
19,Rücken::N,পৃষ্ঠ,букъ
20,Bauch::N,উদর,кийра
21,Nabel::N,নাভি,цӏонга
22,Busen::N,স্তন,зударийн накха
23,Brust::N,বুক,накха
24,Schulter::N,স্কন্ধ,белш
25,Arm::N,বাহু,пхьарс
26,Ellenbogen::N,কনুই,пхьаьрсан гола
27,Hand::N,হাত,куьг
28,Handfläche::N,করতল,кераюкъ
29,Finger::N,আঙ্গুল,пӏелг
30,Fingernagel::N,হাতের নখ,мӏара
31,Nagel[Anatomie]::N,নখ,мӏара
32,Zeh::N,আঙ্গুল,кога пӏелг
33,Fuß::N,পা,ког
34,Ferse::N,গোড়ালি,кӏажа
35,Knie::N,হাঁটু,гола
36,Oberschenkel::N,ঊরু,варе
37,Bein::N,পা,ког
38,Körper::N,দেহ,хӏума
39,Haut::N,ত্বক,чкъор
40,Blut::N,রক্ত,цӏий
41,Ader::N,শিরা,пха
42,Sehne::N,কণ্ডরা,хьорзам
43,Knochen::N,অস্থি,даьӏахк
44,Gehirn::N,মস্তিষ্ক,хье
45,Herz::N,হৃৎপিণ্ড,дог
46,Magen::N,পাকস্থলী,зорх
47,Leber::N,যকৃৎ,доӏах
48,Atem::N,শ্বাস,садеӏар
49,Hunger::N,ক্ষুধা,мацалла
50,Träne::N,অশ্রু,бӏаьрхи
51,Geschmack::N,স্বাদ,чам
52,Geruch::N,গন্ধ,хьожа
53,Schlaf::N,ঘুম,наб
54,Traum::N,স্বপ্ন,гӏан
55,Himmel::N,আকাশ,стигал
56,Sonne::N,সূর্য,малх
57,Mond::N,চন্দ্র,бутт
58,Stern::N,নক্ষত্র,седа
59,Luft::N,বায়ু,xӏаваъ
60,Wind::N,বাতাস,мох
61,Welle::N,ঢেউ,тулгӏе
62,Welle::N,তরঙ্গ,тулгӏе
63,Wasser::N,জল,хи
64,Stein::N,ঢিল,тӏулг
65,Stein::N,প্রস্তর,тӏулг
66,Boden::N,ভূতল,цӏенкъа
67,Erde::N,ভূমি,латта
68,Staub::N,ধুলা,чан
69,Rauch::N,ধোঁয়া,кӏур
70,Funke::N,স্ফুলিঙ্গ,суй
71,Feuer::N,অগ্নি,цӏе
72,Licht::N,আলো,серло
73,Schatten::N,ছায়া,ӏиндагӏ
74,Wetter::N,আবহাওয়া,хенан хӏоттам
75,Nebel::N,কুহেলিকা,дохк
76,Wolke::N,মেঘ,марха
77,Regen::N,বৃষ্টি,догӏа
78,Schnee::N,তুষার,ло
79,Eis::N,বরফ,ша
80,Frost::N,তুষার,шело
81,Kälte::N,শৈত্য,шело
82,Hitze::N,তাপ,йовхо
83,Raureif::N,তুহিন,йис
84,Regenbogen::N,রামধনু,стелаӏад
85,Donner::N,বজ্রধ্বনি,ткъес
86,Strömung::N,স্রোত,дӏаэхар
