,Concept_ID,cy,mn
0,Auge::N,llygad,нүд
1,Ohr::N,clust,чих
2,Nase::N,trwyn,хамар
3,Mund::N,ceg,ам
4,Zahn::N,dant,шүд
5,Zunge::N,tafod,хэл
6,Lippe::N,gwefus,уруул
7,Wange::N,boch,хацар
8,Gesicht::N,wyneb,царай
9,Gesicht::N,wyneb,нүүр
10,Stirn::N,talcen,дух
11,Haar::N,blew,үс
12,Schnurrbart::N,mwstas,дээд сахал
13,Schnurrbart::N,mwstas,живэр сахал
14,Bart::N,barf,сахал
15,Kinn::N,gên,эрүү
16,Kiefer[Anatomie]::N,gên,эрүү
17,Kehle::N,gwddf,хоолой
18,Hals::N,gwddf,хүзүү
19,Genick::N,gwar,шил
20,Genick::N,gwar,хүзүү
21,Genick::N,gwegil,шил
22,Genick::N,gwegil,хүзүү
23,Kopf::N,pen,толгой
24,Rücken::N,cefn,ар
25,Rücken::N,cefn,нуруу
26,Bauch::N,bol,хэвлий
27,Bauch::N,bol,гэдэс
28,Nabel::N,bogail,хүйс
29,Busen::N,bron,хөх
30,Brust::N,brest,цээж
31,Schulter::N,ysgwydd,мөр
32,Schulter::N,ysgwydd,бугалга
33,Arm::N,braich,гар
34,Ellenbogen::N,penelin,тохой
35,Hand::N,llaw,гар
36,Hand::N,llaw,алга
37,Handfläche::N,palf,алга
38,Finger::N,bys,хуруу
39,Fingernagel::N,ewin,хурууны хумс
40,Nagel[Anatomie]::N,ewin,хумс
41,Zeh::N,bys troed,хуруу
42,Fuß::N,troed,хөл
43,Ferse::N,sawdl,өсгий
44,Knie::N,glin,өвдөг
45,Oberschenkel::N,clun,гуя
46,Bein::N,coes,хөл
47,Körper::N,corff,бие
48,Haut::N,croen,арьс
49,Blut::N,gwaed,цус
50,Ader::N,gwythïen,судас
51,Sehne::N,gewyn,бүлх
52,Sehne::N,gewyn,шандас
53,Knochen::N,asgwrn,яс
54,Gehirn::N,ymennydd,тархи
55,Herz::N,calon,зүрх
56,Magen::N,cylla,ходоод
57,Magen::N,stumog,ходоод
58,Leber::N,iau,элэг
59,Atem::N,anadl,амьсгаа
60,Hunger::N,newyn,өлсгөлөн
61,Träne::N,deigryn,нулимс
62,Geschmack::N,cyflas,амт
63,Geruch::N,aroglau,үнэр
64,Schlaf::N,cwsg,нойр
65,Traum::N,breuddwyd,зүүд
66,Himmel::N,awyr,тэнгэр
67,Himmel::N,awyr,огторгуй
68,Sonne::N,haul,нар
69,Mond::N,lleuad,сар
70,Stern::N,seren,од
71,Luft::N,awyr,агаар
72,Wind::N,gwynt,салхи
73,Welle::N,ton,долгио
74,Welle::N,ton,давалгаа
75,Wasser::N,dŵr,ус
76,Stein::N,carreg,чулуу
77,Boden::N,llawr,хөрс
78,Erde::N,pridd,газар
79,Erde::N,pridd,шороо
80,Staub::N,llwch,тоос
81,Rauch::N,mwg,утаа
82,Funke::N,gwreichioni,оч
83,Feuer::N,tân,гал
84,Licht::N,golau,гэрэл
85,Licht::N,golau,гэгээ
86,Schatten::N,cysgod,сүүдэр
87,Wetter::N,tywydd,тэнгэр
88,Wetter::N,tywydd,цаг уур
89,Nebel::N,niwl,будан
90,Wolke::N,cwmwl,үүл
91,Regen::N,glaw,бороо
92,Schnee::N,ôd,цас
93,Schnee::N,eira,цас
94,Eis::N,iâ,мөс
