,Concept_ID,mhr,tr
0,Auge::N,шинча́,göz
1,Ohr::N,пы́лыш,kulak
2,Nase::N,нер,burun
3,Mund::N,умша́,ağız
4,Zahn::N,пӱй,diş
5,Zunge::N,йы́лме,dil
6,Lippe::N,тӱ́рвӧ,dudak
7,Wange::N,шӱ́ргӧ,yanak
8,Gesicht::N,чури́й,yüz
9,Stirn::N,саҥга́,alın
10,Haar::N,ӱп,saç
11,Schnurrbart::N,ӧ́рыш,bıyık
12,Bart::N,понда́ш,sakal
13,Kinn::N,оҥыла́ш,çene
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,çene
15,Kiefer[Anatomie]::N,пӱйората́,çene
16,Kehle::N,лога́р,boğaz
17,Hals::N,шӱй,boyun
18,Hals::N,шӱй,gerdan
19,Genick::N,шӱйло́дыш,ense
20,Kopf::N,вуй,baş
21,Kopf::N,вуй,kafa
22,Rücken::N,туп,arka
23,Bauch::N,мӱ́шкыр,karın
24,Nabel::N,кы́лымде,göbek
25,Busen::N,чы́зе,koyun
26,Brust::N,оҥ,göğüs
27,Schulter::N,ва́че,omuz
28,Arm::N,кид,kol
29,Ellenbogen::N,кынерву́й,dirsek
30,Hand::N,кид,el
31,Hand::N,копа́,el
32,Handfläche::N,со́во,avuç
33,Handfläche::N,со́во,el ayası
34,Finger::N,парня́,parmak
35,Fingernagel::N,кидкӱ́ч,el tırnağı
36,Fingernagel::N,парнягӱ́ч,el tırnağı
37,Nagel[Anatomie]::N,кӱч,tırnak
38,Zeh::N,йолварня́,ayak parmağı
39,Fuß::N,йол,ayak
40,Fuß::N,йолкопа́,ayak
41,Ferse::N,тага́н,topuk
42,Knie::N,пулву́й,diz
43,Oberschenkel::N,э́рде,uyluk
44,Bein::N,йол,bacak
45,Körper::N,кап,vücut
46,Haut::N,кова́ште,cilt
47,Blut::N,вӱр,kan
48,Ader::N,шӧн,damar
49,Sehne::N,шӧн,kiriş
50,Sehne::N,кӱсе́н,kiriş
51,Knochen::N,лу,kemik
52,Gehirn::N,вем,beyin
53,Gehirn::N,вуйве́м,beyin
54,Herz::N,шӱм,kalp
55,Herz::N,шӱм,yürek
56,Magen::N,пага́р,mide
57,Leber::N,мокш,karaciğer
58,Atem::N,шӱ́лыш,nefes
59,Hunger::N,шужыма́ш,açlık
60,Träne::N,шинчавӱ́д,gözyaşı
61,Geschmack::N,там,tat
62,Geschmack::N,там,lezzet
63,Geruch::N,пуш,koku
64,Schlaf::N,о́мо,uyku
65,Traum::N,йӱдо́мо,düş
66,Traum::N,йӱдо́мо,rüya
67,Himmel::N,кава́,gök
68,Sonne::N,ке́че,güneş
69,Mond::N,ты́лзе,ay
70,Stern::N,шӱ́дыр,yıldız
71,Luft::N,юж,hava
72,Wind::N,марде́ж,yel
73,Wind::N,марде́ж,rüzgâr
74,Welle::N,то́лкын,dalga
75,Wasser::N,вӱд,su
76,Stein::N,кӱ,taş
77,Boden::N,рок,yer
78,Boden::N,рок,zemin
79,Erde::N,мла́нде,toprak
80,Staub::N,пура́к,toz
81,Rauch::N,шикш,duman
82,Funke::N,сеске́м,kıvılcım
83,Funke::N,тулйы́п,kıvılcım
84,Feuer::N,тул,ateş
85,Licht::N,со́то,ışık
86,Schatten::N,ӱ́мыл,gölge
87,Wetter::N,иге́че,hava
88,Nebel::N,тӱтыра́,pus
89,Wolke::N,пыл,bulut
90,Regen::N,йӱр,yağmur
91,Schnee::N,лум,kar
92,Eis::N,ий,buz
93,Frost::N,чатлама́,don
